category,tag,domain,source,environment,scenario
Pitch/Register,tinny,Musical,kazoo,nursery,a plastic kazoo being hummed into by a child
Pitch/Register,tinny,Musical,toy piano,playroom,a child's toy piano with metal tines being struck
Pitch/Register,tinny,Musical,jaw harp,campsite,a steel jaw harp being plucked near the mouth
Pitch/Register,tinny,Musical,tin whistle,meadow,a high note played on a thin-walled tin whistle
Pitch/Register,tinny,Musical,music box,attic,the mechanical combs of a small music box rotating
Pitch/Register,tinny,Musical,tambourine,busy street,a cheap plastic tambourine being shaken
Pitch/Register,tinny,Musical,zither,parlor,a thin wire string on a small zither being plucked
Pitch/Register,tinny,Musical,recorder,classroom,a high-pitched note on a plastic soprano recorder
Pitch/Register,tinny,Musical,triangle,studio,a small steel triangle being hit with a thin metal beater
Pitch/Register,tinny,Musical,finger cymbals,marketplace,a pair of thin brass finger cymbals clashing
Pitch/Register,tinny,Musical,harmonica,porch,a high note on a miniature keychain harmonica
Pitch/Register,tinny,Musical,glockenspiel,kindergarten,a plastic mallet hitting a small metal glockenspiel bar
Pitch/Register,tinny,Musical,banjo,riverbank,a sharp pluck on an old banjo with thin wire strings
Pitch/Register,tinny,Musical,kalimba,bedroom,a tiny metal tine on a pocket kalimba being flicked
Pitch/Register,tinny,Musical,cowbell,pasture,a small hollow cowbell clanking as a goat moves
Pitch/Register,tinny,Musical,wind chimes,balcony,thin aluminum wind chimes clinking in a breeze
Pitch/Register,tinny,Musical,ukulele,beach,a small soprano ukulele with plastic strings being strummed
Pitch/Register,tinny,Mechanical,clock,library,the ticking of a small wind-up travel clock
Pitch/Register,tinny,Mechanical,gears,watchmaker,the spinning of miniature brass gears in a pocket watch
Pitch/Register,tinny,Mechanical,typewriter,study,the metallic clack of a portable manual typewriter
Pitch/Register,tinny,Mechanical,fan,office,a small USB-powered plastic desk fan whirring
Pitch/Register,tinny,Mechanical,timer,kitchen,the ticking of a cheap plastic mechanical egg timer
Pitch/Register,tinny,Mechanical,sewing machine,tailor shop,a needle rapidly punching through thin silk fabric
Pitch/Register,tinny,Mechanical,shutter,photography studio,the shutter of a vintage 110mm film camera firing
Pitch/Register,tinny,Mechanical,zipper,dressing room,a small metal zipper being pulled up quickly
Pitch/Register,tinny,Mechanical,stapler,office,a small handheld stapler clicking through a single page
Pitch/Register,tinny,Mechanical,lock,foyer,a small brass key turning in a simple padlock
Pitch/Register,tinny,Mechanical,winch,boathouse,the ratcheting of a small fishing reel under tension
Pitch/Register,tinny,Mechanical,drill,workshop,a hobbyist's miniature drill spinning at high speed
Pitch/Register,tinny,Mechanical,metronome,music room,a small plastic mechanical metronome ticking
Pitch/Register,tinny,Mechanical,bell,bicycle path,a small chrome bicycle bell being flicked once
Pitch/Register,tinny,Mechanical,razor,bathroom,the high-pitched buzzing of an electric travel shaver
Pitch/Register,tinny,Mechanical,projector,home cinema,the mechanical whir of an 8mm film projector
Pitch/Register,tinny,Mechanical,latch,pantry,a thin metal latch snapping shut on a bread box
Pitch/Register,tinny,Mechanical,cash register,diner,the bell of a small vintage cash register ringing
Pitch/Register,tinny,Environmental,rain,porch,raindrops hitting an empty soda can
Pitch/Register,tinny,Environmental,hail,carport,small hail stones bouncing off a corrugated metal roof
Pitch/Register,tinny,Environmental,sand,desert,fine sand blowing against a hollow metal pole
Pitch/Register,tinny,Environmental,ice,lake,thin ice splintering into small shards
Pitch/Register,tinny,Environmental,leaves,pavement,dry autumn leaves skittering across a metal grate
Pitch/Register,tinny,Environmental,wind,ridge,wind whistling through a chain-link fence
Pitch/Register,tinny,Environmental,water,rocky stream,water dripping onto a discarded aluminum tray
Pitch/Register,tinny,Environmental,cicada,orchard,the high-pitched buzzing of a single cicada
Pitch/Register,tinny,Environmental,pebbles,beach,small flat pebbles clinking together in the surf
Pitch/Register,tinny,Environmental,twigs,forest,thin dry pine needles snapping under a light footstep
Pitch/Register,tinny,Environmental,frost,arctic,the delicate splintering of frost on a metal surface
Pitch/Register,tinny,Environmental,reeds,marsh,dry hollow reed stalks rattling in the wind
Pitch/Register,tinny,Environmental,geyser,thermal park,a small vent of steam hissing through a narrow fissure
Pitch/Register,tinny,Environmental,thistle,field,dry thistle pods shaking in a light breeze
Pitch/Register,tinny,Environmental,shells,shore,broken seashell fragments clinking in a tide pool
Pitch/Register,tinny,Environmental,drip,sink,a water drop hitting the bottom of a stainless steel basin
Pitch/Register,tinny,Environmental,grass,prairie,dry blades of grass brushing against a metal fence
Pitch/Register,tinny,Organic,cricket,meadow,the high-frequency stridulation of a field cricket
Pitch/Register,tinny,Organic,teeth,dentist office,teeth chattering rapidly from the cold
Pitch/Register,tinny,Organic,nails,desk,fingernails tapping on a plastic computer keyboard
Pitch/Register,tinny,Organic,whistle,sports field,a human whistling through a small metal whistle
Pitch/Register,tinny,Organic,scuttle,attic,a small beetle crawling over a sheet of paper
Pitch/Register,tinny,Organic,beak,garden,a bird tapping its beak on a plastic birdfeeder
Pitch/Register,tinny,Organic,voice,nursery,a baby's high-pitched babbling in a quiet room
Pitch/Register,tinny,Organic,wings,garden,the rapid buzzing of a housefly against a window
Pitch/Register,tinny,Organic,scales,reptile house,a small lizard's scales scratching against glass
Pitch/Register,tinny,Organic,hair,salon,the snip of small scissors cutting a single strand of hair
Pitch/Register,tinny,Organic,bones,museum,two small dry bird bones clinking together
Pitch/Register,tinny,Organic,shell,beach,a crab's claw clicking against a small pebble
Pitch/Register,tinny,Organic,laughter,playground,the high-pitched giggling of a small child
Pitch/Register,tinny,Organic,sneeze,office,a small sudden sneeze from a person in a quiet room
Pitch/Register,tinny,Organic,scratching,barn,a chicken scratching at a wooden floorboard
Pitch/Register,tinny,Organic,tongue,quiet room,a sharp tongue click against the roof of the mouth
Pitch/Register,tinny,Organic,bark,alley,the high-pitched yapping of a small terrier
Pitch/Register,tinny,Domestic,cutlery,kitchen,stainless steel teaspoons clattering in a metal tray
Pitch/Register,tinny,Domestic,foil,pantry,a small piece of aluminum foil being balled up
Pitch/Register,tinny,Domestic,keys,foyer,a single key jingling in a small metal bowl
Pitch/Register,tinny,Domestic,can,kitchen,a soda can being crushed by a hand
Pitch/Register,tinny,Domestic,jewelry,bedroom,a thin gold chain sliding across a glass surface
Pitch/Register,tinny,Domestic,bottle,bathroom,a plastic pill bottle being shaken
Pitch/Register,tinny,Domestic,scissors,sewing room,small embroidery scissors snipping through silk
Pitch/Register,tinny,Domestic,spray,bathroom,a small aerosol perfume bottle being sprayed
Pitch/Register,tinny,Domestic,beads,craft room,tiny glass beads spilling into a plastic tray
Pitch/Register,tinny,Domestic,stapler,desk,a mini stapler clicking through a few pages
Pitch/Register,tinny,Domestic,lighter,balcony,the lid of a zippo lighter flipping open
Pitch/Register,tinny,Domestic,remote,living room,the battery cover of a remote snapping into place
Pitch/Register,tinny,Domestic,pen,study,the click of a retractable ballpoint pen
Pitch/Register,tinny,Domestic,mirror,bathroom,a small handheld mirror being set on a tile counter
Pitch/Register,tinny,Domestic,clip,office,a small metal binder clip snapping shut
Pitch/Register,tinny,Domestic,pins,sewing room,a handful of dressmaker pins falling into a tin
Pitch/Register,tinny,Domestic,thimble,attic,a metal thimble bouncing on a wooden floor
Pitch/Register,tinny,Electronic,radio,attic,music playing through a small transistor radio speaker
Pitch/Register,tinny,Electronic,beeper,watch,the high-pitched alarm of a digital wristwatch
Pitch/Register,tinny,Electronic,earbuds,table,audio leaking from a pair of earbuds on a hard surface
Pitch/Register,tinny,Electronic,buzzer,toy,the rasping of a small battery-powered buzzer
Pitch/Register,tinny,Electronic,intercom,hallway,a voice coming through a cheap plastic intercom
Pitch/Register,tinny,Electronic,telephone,office,the electronic ringer of a vintage desk phone
Pitch/Register,tinny,Electronic,alarm,bedroom,a digital travel alarm clock beeping
Pitch/Register,tinny,Electronic,static,radio,the high-frequency hiss of an FM radio between stations
Pitch/Register,tinny,Electronic,interference,office,the high-pitched whine of a digital ground loop
Pitch/Register,tinny,Electronic,modem,basement,the handshake tones of a 56k modem
Pitch/Register,tinny,Electronic,scanner,market,the electronic beep of a barcode scanner
Pitch/Register,tinny,Electronic,switch,car,the click of a plastic button on a dashboard
Pitch/Register,tinny,Electronic,flash,studio,the electronic whine of a camera flash charging
Pitch/Register,tinny,Electronic,toy,playroom,a circuit-bent electronic toy chirping
Pitch/Register,tinny,Electronic,timer,kitchen,the beep of a digital kitchen timer
Pitch/Register,tinny,Electronic,relay,server room,the rapid clicking of an electronic relay
Pitch/Register,hissing,Musical,organ,abbey,air escaping through a leaky valve in a pipe organ
