category,tag,domain,source,environment,scenario,file
brightness,bright,musical,chime bar,meadow,a mallet striking a silver chime bar in a grassy mountain meadow,bright/bright_musical_0000.mp3
brightness,bright,musical,glockenspiel,observatory,a steel glockenspiel note echoing through a silent astronomical observatory,bright/bright_musical_0001.mp3
brightness,bright,musical,mandolin,orchard,a mandolin string being plucked sharply in a blooming apple orchard,bright/bright_musical_0002.mp3
brightness,bright,musical,piccolo,canyon,a high piccolo trill resonating against the walls of a narrow red rock canyon,bright/bright_musical_0003.mp3
brightness,bright,musical,triangle,cathedral,a metal triangle being struck once in the center of a vast stone cathedral,bright/bright_musical_0004.mp3
brightness,bright,musical,celesta,attic,a celesta key being pressed softly in a dusty sunlit attic,bright/bright_musical_0005.mp3
brightness,bright,musical,tambourine,desert,a tambourine being shaken during a dry windstorm in a sandy desert,bright/bright_musical_0006.mp3
brightness,bright,musical,cymbals,rooftop,two small finger cymbals clashing together on a breezy apartment rooftop,bright/bright_musical_0007.mp3
brightness,bright,musical,kalimba,greenhouse,a thumb piano tine being flicked inside a humid glass greenhouse,bright/bright_musical_0008.mp3
brightness,bright,musical,banjo,farmstead,a high banjo string being snapped on a porch at a rural farmstead,bright/bright_musical_0009.mp3
brightness,bright,musical,violin,art gallery,a violin bow performing a spiccato stroke in a minimalist art gallery,bright/bright_musical_0010.mp3
brightness,bright,musical,trumpet,harbor,a high trumpet fanfare sounding across a foggy harbor at dawn,bright/bright_musical_0011.mp3
brightness,bright,musical,xylophone,schoolyard,a hardwood xylophone bar being hit in an empty paved schoolyard,bright/bright_musical_0012.mp3
brightness,bright,musical,harp,conservatory,a high harp string being plucked in a tropical botanical conservatory,bright/bright_musical_0013.mp3
brightness,bright,musical,handbells,tundra,a small brass handbell ringing over a frozen arctic tundra,bright/bright_musical_0014.mp3
brightness,bright,musical,sitar,temple,a sympathetic sitar string vibrating in a quiet incense-filled temple,bright/bright_musical_0015.mp3
brightness,bright,musical,flute,waterfall,a silver flute playing a high staccato note near a crashing waterfall,bright/bright_musical_0016.mp3
brightness,bright,mechanical,gears,clock tower,a series of brass gears clicking into place inside a giant clock tower,bright/bright_mechanical_0017.mp3
brightness,bright,mechanical,bicycle bell,busy street,a chrome bicycle bell ringing on a crowded metropolitan street,bright/bright_mechanical_0018.mp3
brightness,bright,mechanical,typewriter,library,a manual typewriter key striking the platen in a quiet university library,bright/bright_mechanical_0019.mp3
brightness,bright,mechanical,lathe,workshop,a metal lathe carving a thin groove into a spinning aluminum rod,bright/bright_mechanical_0020.mp3
brightness,bright,mechanical,camera shutter,museum,a vintage camera shutter clicking in a hall of marble statues,bright/bright_mechanical_0021.mp3
brightness,bright,mechanical,ticking,train station,the rapid ticking of a mechanical station clock above a train platform,bright/bright_mechanical_0022.mp3
brightness,bright,mechanical,wrench,garage,a small metal wrench dropping onto a polished concrete garage floor,bright/bright_mechanical_0023.mp3
brightness,bright,mechanical,escapement,watchmaker,the delicate ticking of a watch escapement in a quiet workshop,bright/bright_mechanical_0024.mp3
brightness,bright,mechanical,cash register,diner,an old-fashioned cash register drawer ringing open in a roadside diner,bright/bright_mechanical_0025.mp3
brightness,bright,mechanical,jack,shipyard,a mechanical jack ratcheting upward on a steel ship hull,bright/bright_mechanical_0026.mp3
brightness,bright,mechanical,pulley,warehouse,a small metal pulley squeaking as it rotates in a brick warehouse,bright/bright_mechanical_0027.mp3
brightness,bright,mechanical,projector,theater,the whirring of a film projector spinning in a dark cinema booth,bright/bright_mechanical_0028.mp3
brightness,bright,mechanical,lock,vault,a tumblers of a combination lock clicking inside a heavy steel vault,bright/bright_mechanical_0029.mp3
brightness,bright,mechanical,sewing machine,studio,a needle bar tapping rapidly on a vintage sewing machine,bright/bright_mechanical_0030.mp3
brightness,bright,mechanical,wind-up toy,nursery,a tin wind-up toy walking across a hardwood nursery floor,bright/bright_mechanical_0031.mp3
brightness,bright,mechanical,stapler,office,a metal stapler firing into a stack of paper in a skyscraper office,bright/bright_mechanical_0032.mp3
brightness,bright,mechanical,metronome,parlor,a mechanical metronome ticking on a mahogany piano in a quiet parlor,bright/bright_mechanical_0033.mp3
brightness,bright,environmental,icicles,cave,frozen icicles snapping and falling onto a limestone cave floor,bright/bright_environmental_0034.mp3
brightness,bright,environmental,rain,tin roof,heavy rain drops bouncing off a corrugated tin roof in the tropics,bright/bright_environmental_0035.mp3
brightness,bright,environmental,hail,carport,hard hail stones hitting the metal roof of a suburban carport,bright/bright_environmental_0036.mp3
brightness,bright,environmental,pebbles,beach,small quartz pebbles tumbling in the receding surf of a rocky beach,bright/bright_environmental_0037.mp3
brightness,bright,environmental,ice,lake,the cracking of thin surface ice on a frozen lake at sunrise,bright/bright_environmental_0038.mp3
brightness,bright,environmental,wind,canyon,a high-pitched wind whistling through a narrow sandstone crevice,bright/bright_environmental_0039.mp3
brightness,bright,environmental,sand,dune,dry sand grains sliding down the face of a steep desert dune,bright/bright_environmental_0040.mp3
brightness,bright,environmental,geyser,valley,the initial hiss of a steam geyser erupting in a geothermal valley,bright/bright_environmental_0041.mp3
brightness,bright,environmental,stream,forest,a shallow stream rippling over a bed of smooth granite stones,bright/bright_environmental_0042.mp3
brightness,bright,environmental,snow,woods,the crisp crunch of fresh snow being compressed by a heavy boot,bright/bright_environmental_0043.mp3
brightness,bright,environmental,lava,volcano,cooling lava crust cracking as it shifts on a volcanic slope,bright/bright_environmental_0044.mp3
brightness,bright,environmental,leaves,autumn,dry maple leaves skittering across a paved park path in autumn,bright/bright_environmental_0045.mp3
brightness,bright,environmental,echo,canyon,a sharp clap echoing off the walls of a granite canyon,bright/bright_environmental_0046.mp3
brightness,bright,environmental,fire,campsite,small pine needles crackling and popping in a hot campfire,bright/bright_environmental_0047.mp3
brightness,bright,environmental,stalactite,cavern,a water droplet hitting a resonant stalactite in an underground cavern,bright/bright_environmental_0048.mp3
brightness,bright,environmental,thunder,plains,a distant crack of dry thunder over the flat horizon of the plains,bright/bright_environmental_0049.mp3
brightness,bright,environmental,bamboo,grove,dry bamboo stalks knocking together in a mountain grove,bright/bright_environmental_0050.mp3
brightness,bright,organic,bird,rainforest,a tropical bird letting out a short melodic whistle in the canopy,bright/bright_organic_0051.mp3
