category,tag,domain,source,environment,scenario
Brightness,bright,Musical,handbell,cathedral,a polished brass handbell struck with a metal rod
Brightness,bright,Musical,glockenspiel,concert hall,a steel mallet hitting a glockenspiel bar
Brightness,bright,Musical,trumpet,city square,a trumpet playing a high fanfare in an open plaza
Brightness,bright,Musical,cymbals,stadium,two brass cymbals crashing together during a parade
Brightness,bright,Musical,mandolin,meadow,a mandolin string being plucked with a hard plectrum
Brightness,bright,Musical,xylophone,botanical garden,a wooden mallet striking a rosewood xylophone key
Brightness,bright,Musical,banjo,front porch,a fingerpicked banjo melody in a dry valley
Brightness,bright,Musical,violin,art gallery,a violin playing a pizzicato note on a steel e-string
Brightness,bright,Musical,harpsichord,ballroom,a harpsichord quill plucking a thin metal wire
Brightness,bright,Musical,triangle,orchestra pit,a chrome triangle being tapped in a silent theater
Brightness,bright,Musical,chimes,mountaintop,tubular aluminum chimes swaying in a stiff breeze
Brightness,bright,Musical,tambourine,festival ground,a tambourine shaken rapidly near a bonfire
Brightness,bright,Musical,piccolo,alpine forest,a silver piccolo trilling in a mountain clearing
Brightness,bright,Musical,ukulele,beach,a high-tension nylon string snapping on a soprano ukulele
Brightness,bright,Musical,celesta,attic,a felt hammer striking a steel plate inside a celesta
Brightness,bright,Musical,lyre,temple ruins,a copper lyre string being swept by a fingernail
Brightness,bright,Musical,cowbell,farmland,a heavy iron cowbell swinging as a bull grazes
Brightness,bright,Mechanical,typewriter,newsroom,a steel typewriter key striking a paper-wrapped platen
Brightness,bright,Mechanical,gears,clock tower,brass gears meshing inside a clock mechanism
Brightness,bright,Mechanical,bicycle,paved path,a bicycle bell being flicked in a suburban park
Brightness,bright,Mechanical,wind-up toy,nursery,a metal spring winding inside a tin robot
Brightness,bright,Mechanical,camera,darkroom,a mechanical camera shutter firing at a fast speed
Brightness,bright,Mechanical,drill,workshop,a steel drill bit spinning against a metal sheet
Brightness,bright,Mechanical,lathe,factory floor,a metal lathe shaving a thin strip of aluminum
Brightness,bright,Mechanical,escapement,watchmaker shop,the ticking of a pocket watch escapement on a velvet pad
Brightness,bright,Mechanical,coin,laundromat,a silver coin spinning on a metal dryer top
Brightness,bright,Mechanical,winch,dockyard,a steel cable ratcheting through a metal pulley
Brightness,bright,Mechanical,fan,office building,a metal-bladed desk fan spinning at high speed
Brightness,bright,Mechanical,stapler,library,a heavy-duty stapler punching through a stack of paper
Brightness,bright,Mechanical,scissors,tailor shop,metal shears snipping through a piece of crisp silk
Brightness,bright,Mechanical,lock,vault,a brass key turning in a complex tumbler lock
Brightness,bright,Mechanical,cash register,antique shop,the bell ringing on a vintage mechanical cash register
Brightness,bright,Mechanical,metronome,music room,a mechanical metronome ticking on a wooden piano
Brightness,bright,Mechanical,printing press,basement,a small letterpress machine engaging its metal gears
Brightness,bright,Environmental,ice,frozen lake,a thin sheet of ice cracking under a light weight
Brightness,bright,Environmental,hail,tin roof,small hailstones bouncing off a corrugated metal roof
Brightness,bright,Environmental,water,cave,water droplets falling into a shallow limestone pool
Brightness,bright,Environmental,wind,canyon,wind whistling through a narrow gap in a rock wall
Brightness,bright,Environmental,fire,campsite,dry pine needles popping in a hot campfire
Brightness,bright,Environmental,crystals,salt flat,salt crystals crunching under a leather boot
Brightness,bright,Environmental,geyser,volcanic field,a small geyser jetting water into the air
Brightness,bright,Environmental,rain,greenhouse,heavy raindrops hitting a glass greenhouse pane
Brightness,bright,Environmental,snow,tundra,a shovel scraping against a layer of hard-packed crusty snow
Brightness,bright,Environmental,river,mountain stream,water rushing over smooth quartz pebbles
Brightness,bright,Environmental,leaves,autumn woods,dry birch leaves rattling in a sharp gust of wind
Brightness,bright,Environmental,sand,desert,fine sand blowing against a glass bottle in the dunes
