tag,domain,source,environment,scenario
thick,Musical,cello string,quiet library,a cello being bowed with heavy pressure on its thickest string in a quiet library
thick,Musical,pipe organ,stone cathedral,a massive pipe organ chord vibrating the air in a stone cathedral
thick,Musical,double bass,wooden attic,a double bass being played with a thick bow in a wooden attic
thick,Musical,taiko drum,temple,a taiko drum being hit with logs in a temple
thick,Musical,didgeridoo,sandy desert,a didgeridoo being blown into a hollow tree trunk in a sandy desert
thick,Musical,bronze gong,monastery,a large bronze gong vibrating after being struck by a felt mallet in a monastery
thick,Musical,concert bass drum,parade route,a concert bass drum being struck during a parade
thick,Musical,grand piano,ballroom,a grand piano's lowest keys being pressed in a ballroom
thick,Musical,tuba,mountain valley,a tuba playing a sustained breath in a mountain valley
thick,Musical,baritone saxophone,shipyard,a baritone saxophone playing a long tone in a shipyard
thick,Musical,timpani,open field,a timpani being hit with a soft beater in an open field
thick,Musical,accordion,town square,an accordion bellows being pulled slowly in a town square
thick,Musical,glass armonica,greenhouse,a glass armonica spinning and singing in a greenhouse
thick,Musical,sitar,botanical garden,a sitar's sympathetic strings vibrating in a botanical garden
thick,Musical,hammered dulcimer,pine forest,a hammered dulcimer being played with heavy beaters in a pine forest
thick,Musical,koto,bamboo grove,a koto being plucked with ivory picks in a bamboo grove
thick,Musical,choir,underground dome,a choir of voices singing a long vowel in an underground dome
thick,Musical,organ pipes,underwater dome,organ pipes vibrating the water inside an underwater dome
thick,Mechanical,cargo ship engine,dock,a cargo ship engine idling at a dock
thick,Mechanical,hydraulic press,factory,a hydraulic press crushing a solid block of lead in a factory
thick,Mechanical,steam locomotive,train station,a steam locomotive venting a plume of steam at a station
thick,Mechanical,industrial fan,warehouse,a massive industrial fan spinning in a hollow warehouse
thick,Mechanical,pile driver,harbor,a pile driver hitting a steel post in a harbor
thick,Mechanical,tractor,cornfield,a heavy tractor pulling a plow through a muddy cornfield
thick,Mechanical,excavator,construction site,an excavator digging into heavy clay on a construction site
thick,Mechanical,tugboat engine,foggy harbor,a tugboat engine vibrating the deck in a foggy harbor
thick,Mechanical,cement mixer,suburban street,a cement mixer rotating with a full load of wet concrete
thick,Mechanical,printing press,basement office,a heavy printing press running in a basement office
thick,Mechanical,wind turbine,grassy hill,a wind turbine's blades cutting through the air on a grassy hill
thick,Mechanical,oil pump jack,sandy desert,an oil pump jack thumping in a sandy desert
thick,Mechanical,metal lathe,workshop,a metal lathe carving a thick steel rod in a workshop
thick,Mechanical,conveyor belt,underground mine,a heavy-duty conveyor belt carrying large rocks in an underground mine
thick,Mechanical,elevator motor,office building,a heavy elevator motor engaging in a high-rise office building
thick,Mechanical,boiler,old basement,a boiler tank vibrating with steam pressure in an old basement
thick,Mechanical,crane motor,shipyard,a crane motor lifting a massive steel beam in a shipyard
thick,Mechanical,air compressor,garage,a large air compressor running on a concrete floor in a garage
thick,Environmental,thunder,wide prairie,a roll of thunder moving across a wide prairie
thick,Environmental,waterfall,tropical jungle,a massive waterfall plunging into a deep pool in a tropical jungle
thick,Environmental,avalanche,mountain slope,an avalanche of snow and ice rushing down a steep slope
thick,Environmental,earthquake,rocky canyon,an earthquake shifting tectonic plates beneath a rocky canyon
thick,Environmental,mudslide,rainy valley,a mudslide of thick clay moving down a rainy valley
thick,Environmental,volcanic rumble,island,a volcanic rumble coming from deep underground on an island
thick,Environmental,ocean swell,sandy beach,a heavy ocean swell hitting a sandy beach during a storm
thick,Environmental,geyser,geothermal park,a geyser's sustained eruption of steam and water in a park
thick,Environmental,landslide,stone quarry,a landslide of boulders and earth in a stone quarry
thick,Environmental,wind,dense forest,wind rushing through a dense canopy of old trees in a forest
thick,Environmental,flash flood,desert wash,a flash flood carrying heavy debris through a desert wash
thick,Environmental,ice shelf,arctic bay,a massive ice shelf calving into the ocean in an arctic bay
thick,Environmental,rain,farm shed,heavy rain pelting a corrugated tin roof of a farm shed
thick,Environmental,sinkhole,farm field,the ground collapsing into a deep sinkhole on a farm field
thick,Environmental,lava flow,wasteland,a thick lava flow moving over a hollow lava tube in a wasteland
thick,Environmental,river rapids,rocky gorge,river rapids churning through a narrow rocky gorge
thick,Environmental,storm surge,coastal town,a heavy storm surge hitting a wooden pier in a coastal town
thick,Environmental,forest fire,pine grove,a forest fire roaring through a stand of pine trees
thick,Organic,elephant,grassy savanna,an elephant emitting a rumble in a grassy savanna
thick,Organic,lion,grasslands,a lion's chest vibrating during a roar in the grasslands
thick,Organic,blue whale,open ocean,a blue whale vocalizing in the deep open ocean
thick,Organic,grizzly bear,rocky cave,a grizzly bear's deep growl inside a rocky cave
thick,Organic,gorilla,tropical rainforest,a gorilla thumping its chest in a tropical rainforest
thick,Organic,hippopotamus,murky river,a hippopotamus grunting underwater in a murky river
thick,Organic,alligator,murky swamp,an alligator bellowing in a murky swamp
thick,Organic,human voice,tiled shower,a person singing a long note in a tiled shower
thick,Organic,human heart,doctor office,a human heart beating steadily heard through a stethoscope
thick,Organic,buffalo herd,dry plain,a herd of buffalo stampeding across a dry plain
thick,Organic,horse,wooden stable,a horse breathing through its nose in a wooden stable
thick,Organic,wolf,snowy forest,a wolf's long howl in a snowy forest
thick,Organic,footsteps,hallway,heavy footsteps on a hollow wooden floor in a hallway
thick,Organic,cat purr,bedroom,a large cat's purr vibrating on a mattress in a bedroom
thick,Organic,stomach,quiet room,a stomach growling loudly in a quiet room
thick,Organic,oak tree,forest,a massive oak tree creaking in a strong wind in a forest
thick,Organic,beaver tail,still pond,a beaver's tail slapping the surface of a still pond
thick,Organic,swan wings,lake,a swan's wings flapping heavily during takeoff from a lake
thick,Domestic,washing machine,laundry room,a washing machine during a heavy spin cycle in a laundry room
thick,Domestic,refrigerator,quiet kitchen,a refrigerator's compressor humming in a quiet kitchen
thick,Domestic,furnace,basement,a furnace igniting and blowing air through metal ducts in a basement
thick,Domestic,fire door,carpeted hotel,a heavy fire door slamming shut in a carpeted hotel
