category,tag,domain,source,environment,scenario
Warmth/Body,warm,Musical,upright bass,jazz club,a double bass being plucked softly in a small carpeted lounge
Warmth/Body,warm,Musical,cello,conservatory,a cello playing a long vibrato note on the g-string
Warmth/Body,warm,Musical,french horn,concert hall,a french horn playing a sustained mellow note
Warmth/Body,warm,Musical,nylon guitar,courtyard,a nylon-string guitar being strummed gently with the thumb
Warmth/Body,warm,Musical,clarinet,meadow,a clarinet playing a smooth melody in the lower register
Warmth/Body,warm,Musical,pipe organ,cathedral,the soft hum of an organ’s wooden pipes during a quiet hymn
Warmth/Body,warm,Musical,marimba,pavilion,a marimba played with very soft yarn mallets
Warmth/Body,warm,Musical,harmonium,temple,the steady wheeze of a harmonium's bellows during a drone
Warmth/Body,warm,Musical,viola,library,a viola playing a slow somber piece on the c-string
Warmth/Body,warm,Musical,bass flute,garden,a bass flute blowing a breathy low note
Warmth/Body,warm,Musical,piano,ballroom,a grand piano being played with the soft pedal engaged
Warmth/Body,warm,Musical,djembe,village square,a resonant thumb stroke on the edge of a goatskin drum
Warmth/Body,warm,Musical,oboe,orchard,an oboe playing a lyrical melody in a sunny grove
Warmth/Body,warm,Musical,ukulele,beach,a wooden ukulele being strummed softly near a campfire
Warmth/Body,warm,Musical,pan flute,mountain side,a bamboo pan flute playing a low hollow tone
Warmth/Body,warm,Musical,fiddle,kitchen,a fiddle playing a slow air by a warm hearth
Warmth/Body,warm,Musical,accordion,cobblestone street,a vintage accordion squeezing out a mellow chord
Warmth/Body,warm,Musical,kalimba,bedroom,a wooden thumb piano playing a gentle lullaby
Warmth/Body,warm,Mechanical,steam radiator,apartment,the rhythmic clicking and hissing of a steam radiator in winter
Warmth/Body,warm,Mechanical,diesel engine,parking garage,the low muffled thrum of a truck engine idling in the distance
Warmth/Body,warm,Mechanical,oiled gears,clock shop,the smooth silent turning of large brass gears in heavy oil
Warmth/Body,warm,Mechanical,sewing machine,tailor shop,the rhythmic thudding of a vintage sewing machine on a wooden table
Warmth/Body,warm,Mechanical,fan,library,the low-speed whir of a large wooden ceiling fan
Warmth/Body,warm,Mechanical,loom,textile mill,the heavy wooden clatter of a hand-operated weaving loom
Warmth/Body,warm,Mechanical,elevator,hotel lobby,the muffled drone of a vintage elevator cable moving through a shaft
Warmth/Body,warm,Mechanical,water wheel,riverside,the heavy splashing and wooden groaning of a large water wheel
