category,tag,domain,source,environment,scenario
Emotional/Subjective,haunting,Musical,cello,stone cathedral,a cello playing a slow vibrato melody in a hollow stone cellar
Emotional/Subjective,haunting,Musical,pipe organ,empty church,the lowest pedal note of a pipe organ vibrating in a dark chapel
Emotional/Subjective,haunting,Musical,glass harmonica,observatory,the friction of a finger on a rotating glass bowl in a quiet dome
Emotional/Subjective,haunting,Musical,flute,misty forest,a wooden flute playing a long breathy note in a foggy wood
Emotional/Subjective,haunting,Musical,piano,ballroom,a grand piano key being pressed slowly in a vast empty hall
Emotional/Subjective,haunting,Musical,violin,stairwell,a violin playing a high harmonic in a concrete stairwell
Emotional/Subjective,haunting,Musical,harmonica,canyon,a harmonica blowing a lone minor chord into a narrow gorge
Emotional/Subjective,haunting,Musical,harp,meadow,a single harp string being plucked and echoing across a silent field
Emotional/Subjective,haunting,Musical,singing bowl,monastery,a bronze singing bowl ringing softly in a remote temple
Emotional/Subjective,haunting,Musical,double bass,cellar,a double bass string being bowed with a slow heavy motion
Emotional/Subjective,haunting,Musical,bassoon,glen,a bassoon playing a low legato phrase in a quiet wooded glen
Emotional/Subjective,haunting,Musical,oboe,theatre,an oboe playing a lyrical melody on an empty stage
Emotional/Subjective,haunting,Musical,gong,cave,the final dying vibration of a large gong in a limestone cavern
Emotional/Subjective,haunting,Musical,clarinet,botanical garden,a clarinet playing a soft sustained note in a greenhouse
Emotional/Subjective,haunting,Musical,lute,courtyard,a lute playing a slow sequence in a moonlit courtyard
Emotional/Subjective,haunting,Musical,banjo,farm,a banjo string being plucked and fading in a quiet barn
Emotional/Subjective,haunting,Musical,trombone,square,a trombone playing a loud low fanfare in an empty plaza
Emotional/Subjective,haunting,Musical,sitar,temple,a sitar's sympathetic strings vibrating in a stone sanctuary
Emotional/Subjective,haunting,Mechanical,clockwork,attic,a slow clockwork mechanism ticking in a large dusty attic
Emotional/Subjective,haunting,Mechanical,pulley,harbor,a wooden pulley creaking as it lifts a load in the fog
Emotional/Subjective,haunting,Mechanical,engine,garage,a car engine idling behind a heavy closed door at night
Emotional/Subjective,haunting,Mechanical,sewing machine,parlor,a vintage treadle sewing machine cycling in a quiet room
Emotional/Subjective,haunting,Mechanical,lathe,workshop,the slow whir of a lathe spinning a piece of damp wood
Emotional/Subjective,haunting,Mechanical,fan,bedroom,a large ceiling fan spinning slowly on a low setting
Emotional/Subjective,haunting,Mechanical,projector,cinema,the steady mechanical hum of an old film projector in a booth
Emotional/Subjective,haunting,Mechanical,windmill,farmland,the low groan of a wooden windmill in a gentle breeze
Emotional/Subjective,haunting,Mechanical,waterwheel,riverbank,a heavy waterwheel churning slowly in a quiet river
Emotional/Subjective,haunting,Mechanical,train,prairie,the distant muffled rhythm of a freight train on the horizon
Emotional/Subjective,haunting,Mechanical,generator,campsite,the low thrum of a portable generator heard from the woods
Emotional/Subjective,haunting,Mechanical,elevator,hotel,the mechanical whir of an elevator car moving in a dark shaft
Emotional/Subjective,haunting,Mechanical,camera,gallery,a mechanical camera shutter clicking in a silent art gallery
Emotional/Subjective,haunting,Mechanical,typewriter,library,a single key being pressed on a manual typewriter in a library
Emotional/Subjective,haunting,Mechanical,printing press,plant,the rhythmic thudding of a letterpress machine in a shop
Emotional/Subjective,haunting,Mechanical,pump,well,a water pump humming deep inside a stone well
Emotional/Subjective,haunting,Mechanical,furnace,basement,the deep steady roar of a furnace igniting in a cellar
Emotional/Subjective,haunting,Mechanical,winch,dock,a heavy winch pulling a cable slowly across a concrete pier
Emotional/Subjective,haunting,Environmental,wind,canyon,wind whistling through a narrow rock fissure in a canyon
Emotional/Subjective,haunting,Environmental,thunder,valley,the low rolling rumble of distant thunder in a wide valley
Emotional/Subjective,haunting,Environmental,ocean,cave,a large wave crashing into the back of a sea cave
Emotional/Subjective,haunting,Environmental,cave,depths,the low-frequency moan of air moving in deep cave tunnels
Emotional/Subjective,haunting,Environmental,forest,woods,the creak of a massive oak tree swaying in a storm
Emotional/Subjective,haunting,Environmental,rain,marsh,heavy raindrops hitting soft mud in a silent swamp
Emotional/Subjective,haunting,Environmental,fire,pit,the deep crackle of a heavy log burning in a fire pit
Emotional/Subjective,haunting,Environmental,waterfall,jungle,the heavy roar of a waterfall behind a thick forest
Emotional/Subjective,haunting,Environmental,ice,glacier,the deep groan of shifting ice in a massive glacier
Emotional/Subjective,haunting,Environmental,geyser,basin,the pre-eruption gurgle of a large geyser in a field
Emotional/Subjective,haunting,Environmental,mud,hot spring,thick mud bubbling slowly in a geothermal pool
Emotional/Subjective,haunting,Environmental,leaves,garden,dry leaves rustling in a steady breeze across a deck
Emotional/Subjective,haunting,Environmental,twigs,forest,a dead branch snapping and falling in a quiet wood
Emotional/Subjective,haunting,Environmental,sand,desert,the low abrasive hiss of a sandstorm in the desert
Emotional/Subjective,haunting,Environmental,reeds,swamp,tall thick reeds swaying and rubbing in a breeze
Emotional/Subjective,haunting,Environmental,shale,cliff,thin pieces of shale sliding down a steep cliffside
Emotional/Subjective,haunting,Environmental,bubbles,lake,large air bubbles popping on the surface of a still lake
Emotional/Subjective,haunting,Environmental,mist,fjord,the low-frequency hiss of heavy mist in a deep fjord
Emotional/Subjective,haunting,Organic,voice,theatre,a person humming a low melody in an empty resonant theatre
Emotional/Subjective,haunting,Organic,heartbeat,room,the slow steady thumping of a heart in a silent bedroom
Emotional/Subjective,haunting,Organic,breathing,cave,deep resonant breathing echoing in a limestone cavern
