tag,domain,source,environment,scenario
robotic,Musical,solenoid,laboratory,a solenoid striking a metal xylophone bar in a clinical laboratory
robotic,Musical,player piano,dusty parlor,a mechanical player piano roll turning over a metal comb in a dusty parlor
robotic,Musical,drum machine arm,rooftop,a mechanical drum machine arm striking a cowbell on a high-rise rooftop
robotic,Musical,sequencer-controlled mallet,warehouse,a sequencer-controlled mallet hitting a marimba in a hollow warehouse
robotic,Musical,hydraulic piston,cathedral,hydraulic pistons moving a pipe organ's bellows in a stone cathedral
robotic,Musical,automated plectrum,library,an automated plectrum plucking a harp string in a quiet library
robotic,Musical,motorized violin bow,greenhouse,a motorized violin bow sliding across a string in a tropical greenhouse
robotic,Musical,percussion blocks,theater,computer-controlled wooden percussion blocks clicking in a theater
robotic,Musical,programmable metronome,kitchen,a programmable mechanical metronome ticking on a granite countertop
robotic,Musical,mechanical accordion,garage,a mechanical accordion being pumped by an electric motor in a garage
robotic,Musical,spring-loaded hammer,bell tower,a spring-loaded hammer hitting a chime in a brick bell tower
robotic,Musical,electric motor,meadow,an electric motor spinning a hurdy-gurdy wheel in a flower meadow
robotic,Musical,pneumatic valve,shipyard,a pneumatic valve opening and closing on a brass instrument in a shipyard
robotic,Musical,leslie speaker,gymnasium,a rotating leslie speaker cabinet spinning in an empty gymnasium
robotic,Musical,robotic finger,rainforest,a robotic finger tapping a bongo skin in a dense rainforest
robotic,Musical,music box mechanism,nursery,a programmable music box mechanism playing in a quiet nursery
robotic,Musical,stepper motor,studio,a stepper motor adjusting the tuning peg of a guitar in a studio
robotic,Musical,metal arm,bathroom,a metal arm striking a snare drum in a tiled bathroom
robotic,Mechanical,stepper motor,robotics lab,a stepper motor rotating in fixed increments in a robotics lab
robotic,Mechanical,assembly arm,factory,an articulated assembly arm clicking into place on a factory floor
robotic,Mechanical,cnc machine,workshop,a cnc machine head carving a metal plate in a workshop
robotic,Mechanical,hydraulic joint,scrapyard,a hydraulic joint hissing and locking in a metal scrapyard
robotic,Mechanical,conveyor belt,shipping hub,a conveyor belt starting and stopping in a busy shipping hub
robotic,Mechanical,sorter arm,post office,a high-speed mechanical sorter arm flicking mail in a post office
robotic,Mechanical,3d printer nozzle,studio,a 3d printer nozzle moving along a metal rail in a design studio
robotic,Mechanical,exoskeleton joint,training center,a mechanical exoskeleton joint creaking in a training center
robotic,Mechanical,automated turret,bunker,an automated turret swiveling on a concrete bunker
robotic,Mechanical,pneumatic gripper,shipyard,a pneumatic gripper releasing a metal cylinder in a shipyard
robotic,Mechanical,motorized mount,observatory,a motorized telescope mount turning in an astronomical observatory
robotic,Mechanical,loom shuttle,mill,a mechanical loom shuttle snapping back and forth in a textile mill
robotic,Mechanical,robotic lawnmower,suburban yard,a robotic lawnmower's blades spinning in a suburban yard
robotic,Mechanical,warehouse crane,shipping center,an automated warehouse crane sliding along a metal track
robotic,Mechanical,feeder plate,print shop,a printing press feeder plate lifting a sheet of paper in a shop
robotic,Mechanical,camera gimbal,windy cliff,a motorized camera gimbal stabilizing on a windy cliff
