tag,domain,source,environment,scenario
snappy,Musical,drumsticks,underground bunker,two drumsticks being clacked together in an underground bunker
snappy,Musical,castanets,dusty plaza,wooden castanets clicking in a rhythmic pattern in a dusty plaza
snappy,Musical,whip,open ranch,a leather whip cracking in the air on an open ranch
snappy,Musical,violin string,recording studio,a violin string being plucked pizzicato in a recording studio
snappy,Musical,slapstick,theater,a wooden slapstick percussion instrument being struck in a theater
snappy,Musical,claves,rainforest,two rosewood claves being struck together in a dense rainforest
snappy,Musical,hi-hat,rooftop,a hi-hat cymbal closing sharply on a high-rise rooftop
snappy,Musical,banjo,porch,a banjo string being plucked with a metal fingerpick on a porch
snappy,Musical,xylophone,museum,a hard mallet striking a xylophone bar in a quiet museum
snappy,Musical,snare drum,city park,a tight snare drum rimshot in a city park
snappy,Musical,electric guitar,garage,a plectrum snapping across a high E string on an electric guitar in a garage
snappy,Musical,tambourine,subway station,a single sharp shake of a tambourine in a subway station
snappy,Musical,cajon,boardwalk,a finger slap on the corner of a wooden cajon on a boardwalk
snappy,Musical,marimba,greenhouse,a hard plastic mallet hitting a marimba bar in a greenhouse
snappy,Musical,triangle,cathedral,a metal beater striking a triangle in a large cathedral
snappy,Musical,bass guitar,beach,a high-tension bass string being popped against the fretboard on a beach
snappy,Musical,cowbell,shipyard,a drumstick striking the edge of a cowbell in a shipyard
snappy,Musical,piano,ballroom,a single staccato note played on a grand piano in a ballroom
snappy,Mechanical,staple gun,construction site,a staple gun firing into a plywood sheet on a construction site
snappy,Mechanical,camera shutter,city street,a rangefinder camera shutter clicking on a busy city street
snappy,Mechanical,briefcase latch,airport,a spring-loaded briefcase latch snapping open in an airport
snappy,Mechanical,tape measure,workshop,the metal end of a tape measure hitting the casing in a workshop
snappy,Mechanical,handbrake,parking garage,the ratchet of a car handbrake clicking in a parking garage
snappy,Mechanical,bicycle shifter,mountain road,a racing bicycle shifter clicking into gear on a mountain road
snappy,Mechanical,date stamp,post office,a manual date stamp hitting a paper envelope in a post office
snappy,Mechanical,toggle switch,old radio,a heavy metal toggle switch being flipped on an old radio
snappy,Mechanical,deadbolt,front door,a spring-loaded deadbolt sliding into a metal strike plate
snappy,Mechanical,hammer,tin roof,a hammer hitting a nail head against a tin roof
snappy,Mechanical,wind-up toy,playroom,the internal spring of a wind-up toy clicking as it is turned
snappy,Mechanical,hole punch,school,a metal hole puncher biting through a sheet of cardstock in a school
snappy,Mechanical,pinball flipper,arcade,a pinball flipper striking a steel ball in a busy arcade
snappy,Mechanical,parking meter,street corner,the internal mechanism of a parking meter clicking after a coin is inserted
snappy,Mechanical,wire,testing lab,a high-tension wire snapping under extreme stress in a testing lab
snappy,Mechanical,door handle,driveway,a car door handle being released and snapping back into place
snappy,Mechanical,mechanical pencil,library,the lead advancing mechanism of a mechanical pencil clicking in a library
snappy,Mechanical,typewriter,newsroom,a single typewriter key striking the platen in a newsroom
snappy,Environmental,dry twig,pine forest,a dry twig snapping under a light footfall in a pine forest
snappy,Environmental,thin ice,arctic shoreline,thin ice sheets cracking under a bird's weight on an arctic shoreline
snappy,Environmental,lightning,mountain ridge,a sharp lightning crack hitting a rocky mountain ridge
snappy,Environmental,seed pod,meadow,a dry seed pod bursting open in a sunny meadow
snappy,Environmental,dry leaf,backyard,a single dry leaf being crushed under a boot in a backyard
snappy,Environmental,stalactite,cave,a small piece of stone snapping off a stalactite in a cave
snappy,Environmental,poplar seed,riverbank,a poplar seed pod popping open on a riverbank
snappy,Environmental,frozen branch,winter orchard,a frozen branch snapping under the weight of snow in an orchard
snappy,Environmental,shale,canyon,a thin piece of shale splitting in two in a desert canyon
snappy,Environmental,raindrop,shed,a single large raindrop hitting a taut plastic tarp on a shed
snappy,Environmental,sea shell,beach,a sea shell being stepped on and cracking on a sandy beach
snappy,Environmental,pinecone,desert,the scales of a dry pinecone snapping open in the desert heat
snappy,Environmental,bamboo,jungle,a dry bamboo stalk snapping in a tropical jungle
snappy,Environmental,mud bubble,geothermal field,a small gas bubble popping in a geothermal mud pot
snappy,Environmental,static spark,dry tundra,a static spark jumping from a dry bush in a tundra
snappy,Environmental,grasshopper,wheat field,a grasshopper's legs clicking together in a wheat field
snappy,Environmental,pebble,frozen pond,a pebble hitting a frozen pond and skidding with a click
snappy,Environmental,slate rock,mountain pass,a thin piece of slate rock sliding and hitting another in a mountain pass
snappy,Organic,finger snap,tiled bathroom,a person's fingers snapping in a tiled bathroom
snappy,Organic,knuckle,classroom,a person's knuckle cracking in a quiet classroom
snappy,Organic,bird beak,bird sanctuary,a parrot's beak clicking shut in a bird sanctuary
snappy,Organic,tongue pop,hallway,a person making a sharp tongue pop in an echoing hallway
snappy,Organic,teeth click,bedroom,a person's teeth clicking together once in a quiet bedroom
snappy,Organic,knee joint,yoga studio,a person's knee joint popping during a stretch in a yoga studio
snappy,Organic,claw,hardwood floor,a dog's claw clicking against a hardwood floor
snappy,Organic,tail slap,beaver pond,a beaver's tail hitting the water surface in a pond
snappy,Organic,wings,pigeon coop,a pigeon's wings snapping together during a sudden takeoff in a coop
snappy,Organic,hand clap,stadium,a single sharp hand clap in an empty stadium
snappy,Organic,footstep,woods,a footstep on dry twigs and leaves in the woods
snappy,Organic,jaw snap,swamp,an alligator's jaws snapping shut in a swamp
snappy,Organic,crab claw,rocky shore,a crab's claw clicking against a stone on a rocky shore
snappy,Organic,eggshell,kitchen,a chicken eggshell cracking against the rim of a bowl
snappy,Organic,nut shell,forest floor,a squirrel cracking a nut shell on the forest floor
snappy,Organic,bone,butcher shop,a small bone snapping under a knife in a butcher shop
snappy,Organic,skin slap,swimming pool,a hand slapping the surface of a swimming pool
snappy,Organic,mouth pop,study,a person's lips popping open in a quiet study
snappy,Domestic,light switch,hallway,a plastic light switch being flipped in a quiet hallway
snappy,Domestic,ballpoint pen,library,a ballpoint pen being clicked open in a library
snappy,Domestic,plastic lid,pantry,a plastic lid being snapped onto a container in a pantry
snappy,Domestic,scissors,craft room,a pair of scissors snipping through a piece of cardstock
snappy,Domestic,toaster,breakfast nook,the mechanism of a toaster popping up in a breakfast nook
snappy,Domestic,magnetic latch,cabinet,a magnetic cabinet latch clicking shut in a kitchen
snappy,Domestic,suitcase clip,airport lobby,a metal clip on a suitcase being snapped shut in an airport
snappy,Domestic,ziploc bag,kitchen,a plastic seal on a food bag being snapped shut
snappy,Domestic,pill bottle,bathroom,a child-proof pill bottle cap clicking as it is pressed
snappy,Domestic,hair clip,bedroom,a metal hair clip snapping shut in a bedroom
snappy,Domestic,remote button,living room,a button on a plastic remote control being pressed
snappy,Domestic,stapler,home office,a desktop stapler driving a staple into a few sheets of paper
snappy,Domestic,soda can tab,porch,the metal tab of a soda can being snapped open
snappy,Domestic,velcro,closet,a strip of velcro being ripped apart in a closet
snappy,Domestic,safety pin,sewing room,a metal safety pin being snapped shut in a sewing room
snappy,Domestic,bubble wrap,garage,a single bubble of plastic wrap being popped in a garage
snappy,Domestic,umbrella,rainy sidewalk,an umbrella frame snapping into place on a rainy sidewalk
snappy,Domestic,mouse trap,basement,the spring of a mouse trap snapping shut in a basement
snappy,Electronic,piezo igniter,campsite,a piezo igniter clicking on a portable stove at a campsite
snappy,Electronic,relay,server room,an electromagnetic relay clicking in a server room
snappy,Electronic,static spark,office,a static spark snapping between a finger and a filing cabinet
snappy,Electronic,bug zapper,backyard,an electric bug zapper snapping as it hits an insect
snappy,Electronic,circuit breaker,basement,a circuit breaker flipping in a metal box in a basement
snappy,Electronic,camera flash,studio,a xenon flash tube firing with a snap in a photo studio
snappy,Electronic,taser,training hall,an electronic taser discharging into a target in a training hall
snappy,Electronic,electric fence,farm,an electric fence wire snapping against a ceramic insulator
snappy,Electronic,smart lock,front door,an electronic deadbolt clicking into place in a front door
snappy,Electronic,solenoid,vending machine,a solenoid pushing a metal arm in a vending machine
snappy,Electronic,walkie-talkie,hiking trail,the transmit button of a walkie-talkie clicking
snappy,Electronic,hard drive,computer desk,a hard drive head clicking against the park position
snappy,Electronic,keyboard switch,bedroom,a mechanical keyboard switch being pressed in a bedroom
snappy,Electronic,capacitor,workshop,a capacitor discharging with a sharp snap in a workshop
snappy,Electronic,microswitch,arcade,a microswitch inside a joystick clicking in an arcade
snappy,Electronic,thermal fuse,kitchen,a thermal fuse snapping inside an electric kettle
snappy,Electronic,laser printer,copy room,a laser printer's paper pickup solenoid clicking
snappy,Electronic,drone motor,park,a drone motor making a short sharp chirp during startup in a park
