tag,domain,source,environment,scenario
smacking,Musical,conga drum,mountain plateau,a hand slapping a conga head on a high mountain plateau
smacking,Musical,acoustic guitar,subway platform,a palm hitting the side of an acoustic guitar on a subway platform
smacking,Musical,leather strap,empty theater,a leather strap hitting a floor tom in an empty theater
smacking,Musical,flat gong,misty garden,a wooden mallet striking a flat gong in a misty garden
smacking,Musical,snare drum,desert dunes,a drumstick hitting a loose snare head in desert dunes
smacking,Musical,cajon,busy sidewalk,a hand slapping a wooden cajon on a busy sidewalk
smacking,Musical,bass drum,underwater dome,a felt beater hitting a large bass drum inside an underwater dome
smacking,Musical,bamboo slats,bamboo forest,bamboo slats striking each other in a dense bamboo forest
smacking,Musical,cello string,stone chapel,a bow hair hitting a cello string in a stone chapel
smacking,Musical,electric bass,beach bonfire,a thumb slapping a thick electric bass string by a beach bonfire
smacking,Musical,marimba bar,alpine meadow,a rubber mallet hitting a marimba bar in an alpine meadow
smacking,Musical,cowbell,rooftop bar,a plastic stick hitting a cowbell at a rooftop bar
smacking,Musical,tambourine,country fair,a hand hitting a tambourine skin at a country fair
smacking,Musical,crash cymbal,industrial loft,a wire brush hitting a crash cymbal in an industrial loft
smacking,Musical,slapstick instrument,open ranch,a wooden slapstick percussion instrument being struck on an open ranch
smacking,Musical,kick drum,garage,a foot pedal hitting a carpeted kick drum in a garage
smacking,Musical,violin body,library,fingers snapping against a violin body in a quiet library
smacking,Musical,floor tom,skate park,a drumstick hitting the rim of a floor tom at a skate park
smacking,Mechanical,rubber fan belt,engine room,a rubber fan belt slapping a metal engine block in a ship's engine room
smacking,Mechanical,pneumatic piston,assembly line,a pneumatic piston striking a metal plate on a car assembly line
smacking,Mechanical,conveyor belt,mining quarry,a loose conveyor belt hitting a plastic roller in a mining quarry
smacking,Mechanical,mechanical flapper,wheat mill,a mechanical flapper hitting a metal drum in a wheat mill
smacking,Mechanical,hydraulic arm,loading dock,a hydraulic arm hitting a rubber stop on a loading dock
smacking,Mechanical,metal hammer,blacksmith shop,a metal hammer striking an anvil in a blacksmith shop
smacking,Mechanical,leather drive belt,saw mill,a leather drive belt hitting a wooden pulley in an old saw mill
smacking,Mechanical,automated stamp,shipping warehouse,an automated stamp hitting a cardboard box in a shipping warehouse
smacking,Mechanical,turbine cable,coastal cliff,a wind turbine cable hitting the metal mast on a coastal cliff
smacking,Mechanical,mechanical lever,train yard,a mechanical lever hitting a metal casing in a train yard
smacking,Mechanical,printing press,newspaper office,a printing press arm hitting a paper stack in a city newspaper office
smacking,Mechanical,jackhammer bit,city street,a jackhammer bit hitting a steel plate on a city street
smacking,Mechanical,metal latch,farmhouse,a metal latch hitting a gate post at a farmhouse
smacking,Mechanical,typewriter hammer,attic,a typewriter hammer hitting a platen in a dusty attic
smacking,Mechanical,sewing machine,tailor shop,a sewing machine needle bar hitting the fabric guide in a tailor shop
smacking,Mechanical,revolving door,hotel lobby,a revolving door hitting a rubber seal in a hotel lobby
smacking,Mechanical,coin mechanism,arcade,a coin mechanism hitting a metal tray in a busy arcade
smacking,Mechanical,engine valve,race track,an engine valve hitting a cylinder head at a race track
smacking,Environmental,ocean waves,rocky cove,heavy ocean waves hitting a flat rock in a rocky cove
smacking,Environmental,raindrops,botanical garden,large raindrops hitting a broad tropical leaf in a botanical garden
smacking,Environmental,wet mud,riverbank,clumps of wet mud hitting a wooden plank on a riverbank
smacking,Environmental,hailstones,greenhouse,hailstones hitting a plastic skylight on a greenhouse
smacking,Environmental,ice floes,arctic sea,ice floes colliding in choppy water in an arctic sea
smacking,Environmental,wind,construction site,a gust of wind hitting a loose tarp on a construction site
smacking,Environmental,wet snow,mountain cabin,wet snow falling onto a metal roof of a mountain cabin
smacking,Environmental,tree branch,stormy forest,a tree branch hitting a glass window in a stormy forest
smacking,Environmental,river water,mountain stream,river water hitting a flat stone in a mountain stream
smacking,Environmental,thunderclap,canyon,a thunderclap echoing off a flat cliff face in a canyon
smacking,Environmental,mud bubble,geothermal park,a volcanic mud bubble bursting in a geothermal park
smacking,Environmental,waterfall,cavern,a waterfall hitting a flat pool surface in a deep cavern
smacking,Environmental,dead branch,pine grove,a dead branch hitting the forest floor in a pine grove
smacking,Environmental,sleet,parking lot,sleet hitting a parked car in a grocery parking lot
smacking,Environmental,heavy fruit,orchard,a heavy fruit falling onto grass in an orchard
smacking,Environmental,sand,desert highway,sand hitting a metal sign on a desert highway
smacking,Environmental,wave crest,marina,a wave crest hitting the hull of a wooden boat in a marina
smacking,Environmental,dry leaves,backyard,dry leaves hitting a wooden picket fence in an autumn backyard
smacking,Organic,beaver tail,lake,a beaver slapping its tail on the water of a lake
smacking,Organic,wet hand,swimming pool,a wet hand slapping a bare shoulder at a swimming pool
smacking,Organic,dog tongue,porch,a dog's tongue lapping water from a metal bowl on a porch
smacking,Organic,human lips,dining room,human lips smacking after a meal in a dining room
smacking,Organic,bare feet,public shower,bare feet walking on a wet tile floor in a public shower
smacking,Organic,bird wings,marsh,bird wings hitting the water surface during takeoff in a marsh
smacking,Organic,hand,stadium bleachers,a hand slapping a thigh on stadium bleachers
smacking,Organic,elephant trunk,savanna,an elephant trunk hitting the ground in a savanna
smacking,Organic,whale tail,deep sea,a whale tail hitting the ocean surface in the deep sea
smacking,Organic,human mouth,quiet study,a person smacking their lips in a quiet study
smacking,Organic,leather shoes,museum,leather shoes hitting a marble floor in a museum
smacking,Organic,palm,boardroom,the palm of a hand hitting a table in a boardroom
smacking,Organic,horse tail,stable,a horse's tail hitting its flank in a stable
smacking,Organic,fish,fishing pier,a fish jumping and landing on a wooden deck at a fishing pier
smacking,Organic,bare chest,sauna,a bare chest being patted in a sauna
smacking,Organic,tongue,hallway,a mouth making a popping sound with the tongue in an echoing hallway
smacking,Organic,cat paws,kitchen,cat paws hitting a linoleum floor in a kitchen
smacking,Organic,human hand,marshland,a human hand slapping a mosquito in a marshland
smacking,Domestic,wet towel,locker room,a wet towel being snapped against a wall in a locker room
smacking,Domestic,flip-flops,boardwalk,rubber flip-flops hitting the soles of feet on a beach boardwalk
smacking,Domestic,metal spatula,diner,a metal spatula smacking a cast iron griddle in a diner
smacking,Domestic,fly swatter,patio,a fly swatter hitting a plastic tabletop on a patio
smacking,Domestic,heavy book,library,a heavy book being slammed shut in a library
smacking,Domestic,plastic lid,pantry,a plastic lid being snapped onto a container in a pantry
smacking,Domestic,wooden spoon,kitchen,a wooden spoon hitting a ceramic bowl in a kitchen
smacking,Domestic,leather belt,dressing room,a leather belt being snapped tight in a dressing room
smacking,Domestic,suction cup,bathroom,a rubber suction cup hitting a glass pane in a bathroom
smacking,Domestic,wet laundry,laundry room,wet laundry being thrown onto a wooden table in a laundry room
smacking,Domestic,dusty rug,backyard,a hand hitting a dusty rug in a backyard
smacking,Domestic,dishcloth,modern kitchen,a dishcloth hitting a granite countertop in a modern kitchen
smacking,Domestic,refrigerator door,apartment,the seal of a refrigerator door hitting the frame in an apartment
smacking,Domestic,glass door,balcony,sliding a heavy glass door shut against its frame on a balcony
smacking,Domestic,newspapers,driveway,dropping a stack of newspapers on a concrete driveway
smacking,Domestic,pillows,bedroom,pillows being fluffed and hit in a bedroom
smacking,Domestic,shower curtain,bathroom,a plastic shower curtain hitting the side of a tub in a bathroom
smacking,Domestic,wooden ruler,classroom,a wooden ruler hitting a desk in a classroom
smacking,Electronic,solenoid plunger,vending machine,a solenoid plunger hitting a metal stop in a vending machine
smacking,Electronic,high-voltage spark,physics lab,a high-voltage spark jumping between electrodes in a physics lab
smacking,Electronic,relay switch,power substation,a relay switch clicking shut in a power substation
smacking,Electronic,speaker cone,car trunk,a speaker cone hitting its frame in a car trunk
smacking,Electronic,static discharge,carpeted office,a static discharge hitting a metal doorknob in a carpeted office
smacking,Electronic,electromagnetic hammer,fire station,an electromagnetic hammer hitting a metal bell in a fire station
smacking,Electronic,printer head,office,a dot matrix printer head hitting the platen in an office
smacking,Electronic,hard drive,server room,a hard drive head parking with a click in a server room
smacking,Electronic,electric stapler,copy room,an electric stapler hitting a stack of paper in a copy room
smacking,Electronic,plasma arc,research facility,a plasma arc popping in a vacuum chamber at a research facility
smacking,Electronic,circuit breaker,basement,a circuit breaker flipping with a heavy thud in a basement
smacking,Electronic,electromagnetic lock,secure vault,an electromagnetic lock engaging in a secure vault
smacking,Electronic,drum pad,recording studio,an electronic drum pad being struck with a stick in a recording studio
smacking,Electronic,camera shutter,photo studio,a camera shutter leaf snapping shut in a photo studio
smacking,Electronic,arcade button,game center,an arcade button being mashed in a game center
smacking,Electronic,piezoelectric igniter,campsite,a piezoelectric igniter clicking at a campsite
smacking,Electronic,electric fence,farmland,an electric fence wire snapping against a post on farmland
smacking,Electronic,smart lock,front door,a smart lock bolt hitting the strike plate on a front door
