category,tag,domain,source,environment,scenario,file
temporal/percussive,fast,musical,snare drum,quiet valley,a rapid snare drum roll,fast/fast_musical_0000.mp3
temporal/percussive,fast,musical,mandolin,bustling bazaar,a quick tremolo on a mandolin string,fast/fast_musical_0001.mp3
temporal/percussive,fast,musical,xylophone,dense rainforest,a flurry of notes on a hardwood xylophone,fast/fast_musical_0002.mp3
temporal/percussive,fast,musical,claves,empty theater,a rapid rhythmic sequence of wooden stick clicks,fast/fast_musical_0003.mp3
temporal/percussive,fast,musical,piano,deserted ballroom,a frantic staccato run in the upper piano register,fast/fast_musical_0004.mp3
temporal/percussive,fast,musical,banjo,misty swamp,a high-speed fingerstyle banjo roll,fast/fast_musical_0005.mp3
temporal/percussive,fast,musical,tambourine,snowy field,a vigorous and rapid tambourine shake,fast/fast_musical_0006.mp3
temporal/percussive,fast,musical,castanets,mountain pass,a quick succession of wooden castanet clacks,fast/fast_musical_0007.mp3
temporal/percussive,fast,musical,glockenspiel,windy desert,a rapid melodic ornament on a glockenspiel,fast/fast_musical_0008.mp3
temporal/percussive,fast,musical,acoustic guitar,coastal cave,a fast rhythmic strumming of steel strings,fast/fast_musical_0009.mp3
temporal/percussive,fast,musical,bongos,busy street,a rapid patterns of finger strikes on small drums,fast/fast_musical_0010.mp3
temporal/percussive,fast,musical,violin,flower garden,a quick spiccato bowing technique on a violin,fast/fast_musical_0011.mp3
temporal/percussive,fast,musical,maracas,shipyard,a high-speed shaking of dried gourd rattles,fast/fast_musical_0012.mp3
temporal/percussive,fast,musical,cymbals,rooftop,a rapid series of hi-hat pedal clicks,fast/fast_musical_0013.mp3
temporal/percussive,fast,musical,flute,meadow,a fast chromatic trill on a silver flute,fast/fast_musical_0014.mp3
temporal/percussive,fast,musical,harp,airport hangar,a quick ascending glissando on nylon harp strings,fast/fast_musical_0015.mp3
temporal/percussive,fast,musical,triangle,subterranean tunnel,a rapid tremolo on a steel triangle,fast/fast_musical_0016.mp3
temporal/percussive,fast,mechanical,ticker tape,newsroom,the rapid clicking of a vintage ticker tape machine,fast/fast_mechanical_0017.mp3
