category,tag,domain,source,environment,scenario
Clarity/Definition,clear,Musical,silver handbell,marble cathedral,a sharp strike on a high-pitched silver handbell
Clarity/Definition,clear,Musical,steel triangle,open meadow,a single crystalline strike on a steel triangle
Clarity/Definition,clear,Musical,glockenspiel plate,high-altitude plateau,a metal mallet hitting a single glockenspiel plate
Clarity/Definition,clear,Musical,violin,narrow stone alleyway,a sharp pizzicato pluck on a high violin string
Clarity/Definition,clear,Musical,piccolo,desert dunes,a short staccato note on a piccolo flute
Clarity/Definition,clear,Musical,acoustic guitar,quiet courtyard,a single pluck on a high-e steel guitar string
Clarity/Definition,clear,Musical,woodblock,botanical garden,a sharp hit on a hollow teak woodblock
Clarity/Definition,clear,Musical,xylophone,misty lakeside,a hard mallet striking a high wooden xylophone bar
Clarity/Definition,clear,Musical,harpsichord,tiled bathroom,the plucking of a single harpsichord string
Clarity/Definition,clear,Musical,chimes,windy rooftop,a single strike on a hollow brass chime
Clarity/Definition,clear,Musical,tin whistle,grassy hillside,a short high-pitched note on a tin whistle
Clarity/Definition,clear,Musical,snare drum,industrial warehouse,a rimshot on a tightly tuned snare drum
Clarity/Definition,clear,Musical,kalimba,dense rainforest,a thumb pluck on a single metal kalimba tine
Clarity/Definition,clear,Musical,banjo,dusty barn,a sharp fingerpick on a high banjo string
Clarity/Definition,clear,Musical,mandolin,mountain ridge,a single crisp pluck on a mandolin string
Clarity/Definition,clear,Musical,cowbell,farmland,a sharp strike on a small brass cowbell
Clarity/Definition,clear,Musical,claves,temple,two rosewood sticks being struck together
Clarity/Definition,clear,Musical,celesta,fairground,a single crystalline note played on a celesta
Clarity/Definition,clear,Mechanical,typewriter,quiet library,the metal typebar of a typewriter striking a paper platen
Clarity/Definition,clear,Mechanical,bicycle bell,suburban sidewalk,the spring-loaded lever releasing on a metal bicycle bell
Clarity/Definition,clear,Mechanical,pocket watch,antique store,the fast rhythmic ticking of a mechanical pocket watch
