category,tag,domain,source,environment,scenario
Temporal/Sustained,slow,Musical,double bass,cathedral,a bow moving across a double bass string at a snail's pace
Temporal/Sustained,slow,Musical,hurdy-gurdy,piazza,a hand turning the crank of a vintage hurdy-gurdy in a square
Temporal/Sustained,slow,Musical,piano,ballroom,a pianist depressing a key without making the hammer strike
Temporal/Sustained,slow,Musical,trombone,hall,a gradual glissando on a trombone slide in a stone hallway
Temporal/Sustained,slow,Musical,harp,conservatory,a harpist plucking one string every few seconds in a quiet room
Temporal/Sustained,slow,Musical,flute,meadow,a wooden flute playing a long and low-speed melody
Temporal/Sustained,slow,Musical,guitar,attic,a performer sliding a glass bottle down a guitar neck
Temporal/Sustained,slow,Musical,gong,temple,a heavy mallet moving towards a bronze gong in a temple
Temporal/Sustained,slow,Musical,wine glass,dining room,a finger tracing the rim of a wine glass very gradually
Temporal/Sustained,slow,Musical,cello,cellar,a cello bow being drawn across a gut string with high friction
Temporal/Sustained,slow,Musical,music box,nursery,a music box mechanism winding down to its final notes
Temporal/Sustained,slow,Musical,pipe organ,church,a pipe organ bellows filling with air at a low rate
Temporal/Sustained,slow,Musical,kalimba,patio,a thumb piano tine being depressed and released with hesitation
Temporal/Sustained,slow,Musical,bagpipes,highlands,a bagpipe player squeezing the air bag with minimal pressure
Temporal/Sustained,slow,Musical,drum,studio,a drum stick being dragged across a textured drum head
Temporal/Sustained,slow,Musical,lute,parlor,a lute string being tuned upward with a wooden peg
Temporal/Sustained,slow,Musical,sitar,shrine,a sitar player sliding their finger along a fretted wire
Temporal/Sustained,slow,Mechanical,water wheel,mill,a large wooden water wheel turning at a low speed in a stream
Temporal/Sustained,slow,Mechanical,gears,clock tower,the heavy rotation of brass gears in a clock tower
Temporal/Sustained,slow,Mechanical,winch,harbor,a rusted winch drum rotating as a steel cable unwinds
Temporal/Sustained,slow,Mechanical,piston,factory,a hydraulic piston sliding into a cylinder at a minimal rate
Temporal/Sustained,slow,Mechanical,conveyor,warehouse,a rubber conveyor belt moving items at a walking pace
Temporal/Sustained,slow,Mechanical,drill,garage,a hand-cranked drill boring into a piece of oak
Temporal/Sustained,slow,Mechanical,crane,shipyard,a massive crane arm pivoting across the horizon
Temporal/Sustained,slow,Mechanical,elevator,hotel,a vintage elevator cabin ascending through a wooden shaft
Temporal/Sustained,slow,Mechanical,lathe,workshop,a metal lathe shaving a thin ribbon of aluminum
Temporal/Sustained,slow,Mechanical,fan,office,the lazy rotation of a large ceiling fan in a humid room
Temporal/Sustained,slow,Mechanical,printing press,basement,a manual printing press lever being pulled down
Temporal/Sustained,slow,Mechanical,jack,roadside,a mechanical car jack being raised one notch at a time
Temporal/Sustained,slow,Mechanical,typewriter,library,the carriage of a typewriter moving across a page
Temporal/Sustained,slow,Mechanical,projector,cinema,the take-up reel of a film projector spinning
Temporal/Sustained,slow,Mechanical,millstone,farmland,two large stones grinding grain in a wind-powered mill
Temporal/Sustained,slow,Mechanical,gate,estate,a heavy wrought iron gate swinging open on greased hinges
Temporal/Sustained,slow,Mechanical,pump,well,the rhythmic and gradual movement of a manual water pump
Temporal/Sustained,slow,Environmental,glacier,valley,an ice sheet sliding down a valley at a geological pace
Temporal/Sustained,slow,Environmental,lava,volcano,a stream of molten lava moving across a rock field
Temporal/Sustained,slow,Environmental,clouds,mountains,a thick fog rolling over a jagged ridge
Temporal/Sustained,slow,Environmental,tide,beach,the gradual advance of the tide across a flat sandbar
Temporal/Sustained,slow,Environmental,ice,lake,a large crack forming in a frozen lake over several minutes
Temporal/Sustained,slow,Environmental,thaw,eaves,water dripping from an icicle in the midday sun
Temporal/Sustained,slow,Environmental,wind,desert,a light breeze shifting the shape of a sand dune
Temporal/Sustained,slow,Environmental,roots,forest,a tree root expanding and cracking a stone
