tag,domain,source,environment,scenario
aggressive,Musical,floor tom,desert canyon,a heavy drumstick striking a floor tom in a desert canyon
aggressive,Musical,violin bow,stone cathedral,violin bow hair shredding against strings in a stone cathedral
aggressive,Musical,trumpet,empty warehouse,a brass trumpet bell hitting a music stand in an empty warehouse
aggressive,Musical,piano,snowy meadow,piano keys being slammed during a fast passage in a snowy meadow
aggressive,Musical,electric guitar,pine forest,an electric guitar being smashed against a wooden stage in a forest
aggressive,Musical,gong,rainy alley,a large gong being struck with a metal rod in a rainy alley
aggressive,Musical,accordion,mountain pass,accordion bellows being yanked apart in a mountain pass
aggressive,Musical,cello,botanical garden,cello strings being plucked with extreme force in a botanical garden
aggressive,Musical,crash cymbal,skyscraper rooftop,a crash cymbal being choked with a gloved hand on a skyscraper rooftop
aggressive,Musical,kick drum pedal,limestone cave,a heavy boot stomping a kick drum pedal in a limestone cave
aggressive,Musical,saxophone reed,ship hull,a saxophone reed snapping during a frantic solo in a ship hull
aggressive,Musical,tambourine,bustling market,a tambourine being thrashed against a hip in a bustling market
aggressive,Musical,harp,dusty attic,harp strings being yanked in a dusty attic
aggressive,Musical,flute,tiled bathroom,a flute being blown with over-pressured air in a tiled bathroom
aggressive,Musical,snare drum,cornfield,a snare drum skin tearing under a heavy strike in a cornfield
aggressive,Musical,steel drum,junkyard,a steel drum being hit with a hammer in a junkyard
aggressive,Musical,organ pipes,underwater dome,organ pipes vibrating intensely in an underwater dome
aggressive,Musical,bass guitar,quiet library,thick bass strings hitting the metal frets during a slap in a quiet library
aggressive,Mechanical,chainsaw,muddy riverbed,a chainsaw biting into a knotted log in a muddy riverbed
aggressive,Mechanical,industrial press,scrap yard,an industrial press crushing a car frame in a scrap yard
aggressive,Mechanical,jackhammer,concrete bridge,a jackhammer tearing through a reinforced concrete slab on a bridge
aggressive,Mechanical,metal gears,abandoned mill,rusty metal gears grinding against each other in an abandoned mill
aggressive,Mechanical,steam engine,frozen tundra,a steam engine venting high-pressure air in a frozen tundra
aggressive,Mechanical,circular saw,cedar forest,a circular saw hitting a metal nail in a cedar forest
aggressive,Mechanical,pneumatic drill,mountain tunnel,a pneumatic drill hammering into a rock face in a mountain tunnel
aggressive,Mechanical,aircraft engine,coastal runway,an aircraft engine revving to maximum thrust on a coastal runway
aggressive,Mechanical,hydraulic arm,industrial hangar,a hydraulic arm snapping a metal beam in an industrial hangar
aggressive,Mechanical,printing press,basement,printing press rollers spinning at high speed in a basement
aggressive,Mechanical,conveyor belt,stone quarry,a conveyor belt motor straining under a heavy load in a stone quarry
aggressive,Mechanical,diesel generator,wooden pier,a diesel generator vibrating violently on a wooden pier
aggressive,Mechanical,metal lathe,desert oasis,a lathe bit carving deep into a steel pipe in a desert oasis
aggressive,Mechanical,wrecking ball,city square,a wrecking ball impacting a brick wall in a city square
aggressive,Mechanical,lawn mower,overgrown field,lawn mower blades hitting a thick branch in an overgrown field
aggressive,Mechanical,escalator chain,empty shopping mall,an escalator chain snapping in an empty shopping mall
aggressive,Mechanical,pile driver,marshland,a pile driver hitting a steel post in a marshland
aggressive,Mechanical,wood chipper,suburban driveway,a wood chipper shredding a dry branch in a suburban driveway
aggressive,Environmental,lightning bolt,mountain range,a lightning bolt striking a tall pine tree in a mountain range
aggressive,Environmental,ocean waves,lighthouse,ocean waves crashing against a lighthouse during a hurricane
aggressive,Environmental,avalanche,steep slope,an avalanche of rocks and snow rushing down a steep slope
aggressive,Environmental,flash flood,narrow gorge,a flash flood carrying heavy boulders through a narrow gorge
aggressive,Environmental,tornado,prairie,tornado winds ripping a metal roof off a barn in a prairie
aggressive,Environmental,wildfire,dense forest,a crown fire leaping between trees in a dense forest
aggressive,Environmental,geyser,geothermal tundra,a geyser erupting with a sudden burst of boiling water in a tundra
aggressive,Environmental,hailstones,plastic greenhouse,golf ball sized hailstones hitting a plastic greenhouse
aggressive,Environmental,earthquake,dry lake bed,an earthquake causing a deep crack to open in a dry lake bed
aggressive,Environmental,volcano,volcanic island,a volcanic eruption throwing molten rocks into the air
