category,tag,domain,source,environment,scenario
Modulation/Movement,vibrating,Musical,tuning fork,laboratory,a steel tuning fork struck and held against a wooden workbench in a laboratory
Modulation/Movement,vibrating,Musical,cello,stone chapel,a low cello string being bowed with heavy pressure in a stone chapel
Modulation/Movement,vibrating,Musical,snare drum,rehearsal room,the bottom wire snares of a drum reacting to a loud nearby piano
Modulation/Movement,vibrating,Musical,mouth harp,front porch,a steel mouth harp being plucked against the teeth on a front porch
Modulation/Movement,vibrating,Musical,didgeridoo,outback,the wooden body of a didgeridoo resonating from a low circular-breathed drone
Modulation/Movement,vibrating,Musical,harmonica,train car,the internal metal reeds of a harmonica sustained by a steady breath
Modulation/Movement,vibrating,Musical,cymbal,concert hall,a large suspended cymbal being rolled with soft yarn mallets
Modulation/Movement,vibrating,Musical,pipe organ,cathedral,the wooden floorboards under a pipe organ during a low pedal note
Modulation/Movement,vibrating,Musical,tambura,meditation room,the long copper strings of a tambura sustaining a harmonic drone
Modulation/Movement,vibrating,Musical,brass trumpet,narrow alleyway,the bell of a brass trumpet during a loud sustained high note
Modulation/Movement,vibrating,Musical,electric guitar,garage,a guitar string vibrating in sympathy with a loud amplifier
Modulation/Movement,vibrating,Musical,kalimba,bedroom,the metal tines of a kalimba ringing out after being plucked
Modulation/Movement,vibrating,Musical,marimba,theatre,the hollow wooden resonator tubes of a marimba after a sharp strike
Modulation/Movement,vibrating,Musical,sitar,open courtyard,the sympathetic strings of a sitar ringing behind a primary melody
Modulation/Movement,vibrating,Musical,glass harmonica,ballroom,the rim of a spinning glass bowl being touched by a wet finger
Modulation/Movement,vibrating,Musical,gong,canyon,a heavy bronze gong sustaining a deep note after a mallet strike
Modulation/Movement,vibrating,Musical,hurdy-gurdy,village square,the drone strings of a hurdy-gurdy being rubbed by the internal wheel
Modulation/Movement,vibrating,Musical,hang drum,urban tunnel,the steel surface of a handpan sustaining a note in a tunnel
Modulation/Movement,vibrating,Mechanical,diesel engine,truck cabin,the dashboard of a diesel truck during a heavy engine idle
Modulation/Movement,vibrating,Mechanical,pneumatic drill,construction site,a heavy-duty jackhammer handle held by a worker on a city street
Modulation/Movement,vibrating,Mechanical,electric motor,factory,a large industrial motor housing bolted to a concrete floor
Modulation/Movement,vibrating,Mechanical,ventilation fan,parking garage,a massive metal fan guard rattling against its frame in a garage
Modulation/Movement,vibrating,Mechanical,refrigerator,kitchen,the wire shelves inside a refrigerator during a compressor cycle
Modulation/Movement,vibrating,Mechanical,lathe,machine shop,a steel rod spinning rapidly in a metal lathe during a cut
Modulation/Movement,vibrating,Mechanical,piston,engine room,the deck plates of a ship engine room near a massive moving piston
Modulation/Movement,vibrating,Mechanical,sewing machine,attic,a vintage treadle sewing machine table during high-speed stitching
Modulation/Movement,vibrating,Mechanical,air compressor,garage,the metal tank of an air compressor while the motor is running
Modulation/Movement,vibrating,Mechanical,drill press,workshop,a metal workpiece vibrating against a drill press table
Modulation/Movement,vibrating,Mechanical,printing press,cellar,a stack of paper on the feeder of a large industrial printing press
Modulation/Movement,vibrating,Mechanical,conveyor belt,warehouse,the metal rollers of a conveyor belt system in a distribution center
Modulation/Movement,vibrating,Mechanical,boiler,basement,the copper pipes of a central heating system during a pressure surge
Modulation/Movement,vibrating,Mechanical,well pump,farmland,the metal handle of an automated well pump in a field
Modulation/Movement,vibrating,Mechanical,propeller,airplane hangar,the aluminum skin of a small plane near the spinning propeller
Modulation/Movement,vibrating,Mechanical,slot machine,casino,the internal mechanical components of a slot machine during a payout
Modulation/Movement,vibrating,Mechanical,lawnmower,suburban yard,the plastic handle of a push mower while cutting thick grass
Modulation/Movement,vibrating,Mechanical,typewriter,study,the internal ribbon vibrator of a manual typewriter during rapid typing
Modulation/Movement,vibrating,Environmental,earthquake,library,the wooden shelves of a library during a low-magnitude tremor
Modulation/Movement,vibrating,Environmental,wind,bridge,a steel suspension cable humming in a steady high-altitude wind
Modulation/Movement,vibrating,Environmental,thunder,valley,the window panes of a remote cabin during a nearby thunderclap
Modulation/Movement,vibrating,Environmental,geyser,volcanic field,the ground near a geothermal vent just before a steam release
Modulation/Movement,vibrating,Environmental,waterfall,cave,the stone floor of a cave near the base of a massive waterfall
Modulation/Movement,vibrating,Environmental,hurricane,coastline,a metal signpost shaking violently in a tropical gale
Modulation/Movement,vibrating,Environmental,lava,lava tube,the cooled crust of a lava flow as liquid rock moves underneath
Modulation/Movement,vibrating,Environmental,bees,meadow,the air inside a hollow tree trunk filled with a large bee colony
Modulation/Movement,vibrating,Environmental,mud,geothermal park,the surface of a thick mud pot during a gas release
Modulation/Movement,vibrating,Environmental,sand,desert,a thin sheet of metal partially buried in a sandstorm
Modulation/Movement,vibrating,Environmental,ice,arctic,the surface of a frozen lake as a heavy vehicle passes in the distance
Modulation/Movement,vibrating,Environmental,rocks,quarry,the loose gravel on a quarry floor during a heavy explosion
Modulation/Movement,vibrating,Environmental,tree,forest,the trunk of a hollow oak tree during a severe windstorm
Modulation/Movement,vibrating,Environmental,reeds,riverbank,a patch of dry river reeds during a steady autumn breeze
Modulation/Movement,vibrating,Environmental,tide,sea cave,the air inside a small sea cave as a heavy wave enters
Modulation/Movement,vibrating,Environmental,hail,tin roof,a corrugated tin roof sustaining the impact of a heavy hailstorm
Modulation/Movement,vibrating,Environmental,glacier,arctic bay,a wall of ice groaning under the pressure of its own weight
Modulation/Movement,vibrating,Environmental,avalanche,mountain pass,the rocky ground of a valley as a distant avalanche descends
Modulation/Movement,vibrating,Organic,purr,living room,the chest of a large cat while resting on a velvet sofa
Modulation/Movement,vibrating,Organic,hum,shower,the throat of a person humming a low note in a tiled bathroom
Modulation/Movement,vibrating,Organic,insect wings,meadow,the body of a large cicada while clinging to a tree branch
Modulation/Movement,vibrating,Organic,heartbeat,nursery,a human chest wall during a period of heavy exertion
Modulation/Movement,vibrating,Organic,vocal cords,empty hall,a person performing a deep guttural throat song in a hall
Modulation/Movement,vibrating,Organic,snore,bedroom,the soft palate of a person in a deep sleep under a blanket
Modulation/Movement,vibrating,Organic,elephant,savanna,the throat of an elephant during a low-frequency rumble
Modulation/Movement,vibrating,Organic,rattlesnake,desert,the dry tail segments of a rattlesnake shaking on a flat rock
Modulation/Movement,vibrating,Organic,teeth,cold basement,a person's jaw as their teeth chatter in a cold room
Modulation/Movement,vibrating,Organic,growl,den,the chest of a large dog during a low territorial growl
Modulation/Movement,vibrating,Organic,throat,bedroom,a person clearing their throat with a long sustained sound
Modulation/Movement,vibrating,Organic,footsteps,wooden bridge,a hollow wooden bridge as a horse gallops across it
Modulation/Movement,vibrating,Organic,grasshopper,field,a grasshopper rubbing its legs against its wings in a dry field
Modulation/Movement,vibrating,Organic,skin,massage parlor,a hand held against an electric massage tool on a person's back
Modulation/Movement,vibrating,Organic,stomach,office,a person's abdomen during a long resonant growl
Modulation/Movement,vibrating,Organic,wasp,attic,a large wasp nest inside a hollow attic wall
Modulation/Movement,vibrating,Organic,tongue,classroom,"a person making a trilling ""r"" sound with their tongue"
Modulation/Movement,vibrating,Organic,muscle,gym,a person's leg muscle during a period of heavy shivering
Modulation/Movement,vibrating,Domestic,electric toothbrush,bathroom,a plastic toothbrush vibrating against the teeth in a bathroom
Modulation/Movement,vibrating,Domestic,blender,kitchen,a plastic blender jar full of ice on a granite countertop
Modulation/Movement,vibrating,Domestic,window,living room,a glass window pane reacting to a heavy truck passing outside
Modulation/Movement,vibrating,Domestic,ceiling fan,bedroom,a wobbly ceiling fan motor humming in a quiet room
Modulation/Movement,vibrating,Domestic,washing machine,laundry room,a top-loading washing machine during a high-speed spin cycle
Modulation/Movement,vibrating,Domestic,radiator,hallway,a metal steam radiator clicking and humming in a hallway
