category,tag,domain,source,environment,scenario
Temporal/Percussive,fast,Musical,snare drum,subway station,a drummer playing a rapid machine gun roll on a snare drum
Temporal/Percussive,fast,Musical,glockenspiel,music room,a glockenspiel playing a sequence of high-speed trills
Temporal/Percussive,fast,Musical,tambourine,festival,a tambourine being shaken at a very high frequency
Temporal/Percussive,fast,Musical,piano,ballroom,a grand piano playing a rapid chromatic scale in the upper register
Temporal/Percussive,fast,Musical,xylophone,school,a xylophone being played with a flurry of hard mallets
Temporal/Percussive,fast,Musical,banjo,porch,a banjo being fingerpicked at an extremely high tempo
Temporal/Percussive,fast,Musical,shakers,dance studio,a pair of maracas being shaken with rapid wrist movements
Temporal/Percussive,fast,Musical,castanets,theatre,a set of castanets clicking in a fast rhythmic pattern
Temporal/Percussive,fast,Musical,violin,concert hall,a violin playing a rapid spiccato passage on a single string
Temporal/Percussive,fast,Musical,hi-hat,jazz club,a pair of hi-hat cymbals being struck repeatedly with a wooden stick
Temporal/Percussive,fast,Musical,mandolin,meadow,a mandolin being strummed with a rapid tremolo technique
Temporal/Percussive,fast,Musical,tabla,temple,a set of tabla drums being played with high-speed finger strokes
Temporal/Percussive,fast,Musical,harpsichord,chamber,a harpsichord playing a rapid sequence of ornaments
Temporal/Percussive,fast,Musical,kalimba,garden,a kalimba being plucked with alternating thumbs in a fast melody
Temporal/Percussive,fast,Musical,claves,street,a pair of wooden claves striking together in a fast syncopated beat
Temporal/Percussive,fast,Musical,conga,beach,a conga drum being played with rapid open palm hits
Temporal/Percussive,fast,Musical,ukulele,island,a ukulele being strummed with a high-speed downward motion
Temporal/Percussive,fast,Musical,triangle,orchestra pit,a triangle being struck inside the frame with a rapid back and forth motion
Temporal/Percussive,fast,Mechanical,sewing machine,factory,a heavy industrial sewing machine needle cycling at full speed
Temporal/Percussive,fast,Mechanical,typewriter,office,a manual typewriter being used by a high-speed typist
Temporal/Percussive,fast,Mechanical,bicycle,alleyway,a bicycle freewheel clicking rapidly while coasting downhill
Temporal/Percussive,fast,Mechanical,camera,studio,a vintage camera film advance lever being cranked repeatedly
Temporal/Percussive,fast,Mechanical,ticker tape,bank,a ticker tape machine printing out a rapid stream of characters
Temporal/Percussive,fast,Mechanical,projector,cinema,a 16mm film projector shutter clicking at high frames per second
Temporal/Percussive,fast,Mechanical,stamping machine,warehouse,a mechanical stamper hitting a conveyor belt in rapid succession
Temporal/Percussive,fast,Mechanical,metronome,music room,a mechanical metronome ticking at its highest speed setting
Temporal/Percussive,fast,Mechanical,jackhammer,street,a jackhammer bit vibrating against a concrete slab at high frequency
Temporal/Percussive,fast,Mechanical,drill,garage,a high-speed drill bit spinning and vibrating against a metal plate
Temporal/Percussive,fast,Mechanical,gears,clock shop,a sequence of small brass gears spinning and clicking in a workshop
Temporal/Percussive,fast,Mechanical,stapler,mailroom,an electric stapler firing repeatedly into stacks of paper
Temporal/Percussive,fast,Mechanical,coin sorter,casino,a mechanical coin sorter dropping metal tokens at a high rate
Temporal/Percussive,fast,Mechanical,telegraph,station,a telegraph key being tapped rapidly by an operator
Temporal/Percussive,fast,Mechanical,wind-up toy,nursery,a tin wind-up toy's feet pattering quickly on a wooden floor
Temporal/Percussive,fast,Mechanical,shutter,rooftop,a metal ventilation shutter flapping rapidly in a high wind
Temporal/Percussive,fast,Mechanical,chains,shipyard,a metal chain being pulled quickly over a revolving sprocket
Temporal/Percussive,fast,Mechanical,counter,station,a mechanical tally counter being clicked in rapid succession
Temporal/Percussive,fast,Environmental,hail,carport,heavy hailstones bouncing off a corrugated metal roof in a storm
Temporal/Percussive,fast,Environmental,rain,tin shed,torrential rain hitting a tin shed in a tropical field
Temporal/Percussive,fast,Environmental,stream,mountain,water bubbling rapidly over a bed of small pebbles
Temporal/Percussive,fast,Environmental,fire,hearth,a bundle of dry pine needles crackling and popping in a flame
Temporal/Percussive,fast,Environmental,sand,desert,fine sand grains hitting a glass bottle in a high-speed wind
Temporal/Percussive,fast,Environmental,leaves,forest,dry leaves skittering across a paved path in a gale
Temporal/Percussive,fast,Environmental,rocks,river,small stones clattering together in a fast-moving mountain current
Temporal/Percussive,fast,Environmental,icicles,eaves,a sequence of icicles shattering on a frozen stone patio
Temporal/Percussive,fast,Environmental,thaw,glacier,water droplets falling rapidly from a melting ice shelf
Temporal/Percussive,fast,Environmental,reeds,marsh,dry reeds knocking together in a stiff wind
Temporal/Percussive,fast,Environmental,shingle,beach,shingle stones being dragged back and forth by a fast wave
Temporal/Percussive,fast,Environmental,frost,morning garden,frost on a window pane cracking as it is scraped quickly
Temporal/Percussive,fast,Environmental,twigs,woods,a bundle of dry twigs being crushed by a fast-moving animal
Temporal/Percussive,fast,Environmental,shell debris,coastline,crushed shells being stirred rapidly by an incoming tide
Temporal/Percussive,fast,Environmental,mist,waterfall,mist droplets hitting a large waxy leaf near a waterfall
Temporal/Percussive,fast,Environmental,volcanic glass,lava field,shards of obsidian clinking together in the wind
Temporal/Percussive,fast,Environmental,thunder,plains,a sequence of short sharp thunder claps in a localized storm
Temporal/Percussive,fast,Environmental,pebbles,shore,small ocean pebbles sliding over each other in a receding wave
Temporal/Percussive,fast,Organic,woodpecker,orchard,a woodpecker drumming its beak against a hollow oak tree
Temporal/Percussive,fast,Organic,hummingbird,garden,the rapid fluttering of a hummingbird's wings near a flower
Temporal/Percussive,fast,Organic,cricket,meadow,a cricket rubbing its wings together at a high frequency
Temporal/Percussive,fast,Organic,cicada,park,the high-speed buzzing of a cicada on a tree branch
Temporal/Percussive,fast,Organic,teeth,bathroom,a person's teeth chattering rapidly in the cold
Temporal/Percussive,fast,Organic,fingernails,study,fingernails drumming a fast rhythm on a wooden desk
Temporal/Percussive,fast,Organic,feet,hallway,a dog's claws pattering rapidly on a hardwood floor
Temporal/Percussive,fast,Organic,clapping,auditorium,a person performing a rapid series of hand claps
Temporal/Percussive,fast,Organic,bones,cave,two dry bones being struck together in a fast rhythmic pattern
Temporal/Percussive,fast,Organic,hooves,road,horse hooves galloping on a hard paved road
Temporal/Percussive,fast,Organic,wings,barn,a bat's wings flapping rapidly in the rafters of a barn
Temporal/Percussive,fast,Organic,beetle,floor,a hard-shelled beetle scurrying across a tiled surface
