category,tag,domain,source,environment,scenario
Modulation/Movement,vibrating,Musical,cello,rehearsal hall,a thick steel cello string after a heavy pizzicato pluck
Modulation/Movement,vibrating,Musical,brass bell,stone cathedral,the rim of a large bronze bell after being struck
Modulation/Movement,vibrating,Musical,drum head,recording studio,a loose snare drum skin during a low-frequency roll
Modulation/Movement,vibrating,Musical,tuning fork,laboratory,a steel tuning fork held against a wooden tabletop
Modulation/Movement,vibrating,Musical,organ pipe,church,the metal walls of a large organ pipe during a pedal note
Modulation/Movement,vibrating,Musical,piano,ballroom,a copper-wound piano string resonating after a forceful strike
Modulation/Movement,vibrating,Musical,cymbals,stage,the surface of a suspended crash cymbal during its decay
Modulation/Movement,vibrating,Musical,violin,music room,the wooden body of a violin during a long G-string bow
Modulation/Movement,vibrating,Musical,harp,conservatory,a low-register wire harp string after being plucked
Modulation/Movement,vibrating,Musical,didgeridoo,outback,the hollow wood of a didgeridoo during a drone
Modulation/Movement,vibrating,Musical,banjo,porch,the skin head of a banjo while the strings are strummed
Modulation/Movement,vibrating,Musical,marimba,theatre,a rosewood bar after being hit with a hard mallet
Modulation/Movement,vibrating,Musical,harmonica,campfire,the metal reeds inside a harmonica during a long draw
Modulation/Movement,vibrating,Musical,gong,temple,the center of a massive gong after a mallet strike
Modulation/Movement,vibrating,Musical,triangle,concert hall,the steel rod of a triangle during its long ring
Modulation/Movement,vibrating,Mechanical,engine,garage,the metal chassis of a car while the engine idles
Modulation/Movement,vibrating,Mechanical,phone,office,a smartphone motor spinning on a hardwood desk
Modulation/Movement,vibrating,Mechanical,drill,construction site,the handle of a pneumatic rock drill in operation
Modulation/Movement,vibrating,Mechanical,lathe,machine shop,a spinning steel rod being carved by a metal tool
Modulation/Movement,vibrating,Mechanical,compressor,basement,the metal housing of an air compressor during its cycle
Modulation/Movement,vibrating,Mechanical,sewing machine,craft room,the needle bar of a high-speed sewing machine
Modulation/Movement,vibrating,Mechanical,sander,woodshop,an orbital sander moving across a plywood sheet
Modulation/Movement,vibrating,Mechanical,fan,bedroom,the wire cage of a metal box fan on high speed
Modulation/Movement,vibrating,Mechanical,pump,industrial site,the external pipes of a high-pressure water pump
Modulation/Movement,vibrating,Mechanical,conveyor,warehouse,the rollers of a belt system under a heavy load
Modulation/Movement,vibrating,Mechanical,shaker,factory,a large industrial sieve sorting gravel
Modulation/Movement,vibrating,Mechanical,motor,workshop,a small electric motor spinning at maximum RPM
Modulation/Movement,vibrating,Mechanical,turbine,dam,the floor of a hydroelectric plant near a spinning turbine
Modulation/Movement,vibrating,Mechanical,clock,study,the internal spring of a wind-up alarm clock
