tag,domain,source,environment,scenario
wobbling,Musical,musical saw,pine forest,a musical saw being bent and struck in a misty pine forest
wobbling,Musical,flexatone,empty theater,a flexatone being shaken in an empty theater
wobbling,Musical,bass drum,garage,a loose bass drum skin vibrating after a soft strike in a garage
wobbling,Musical,metal spring,warehouse,a large metal spring being pulled and released in a warehouse
wobbling,Musical,harp string,limestone grotto,a harp string being bent during a pluck in a limestone grotto
wobbling,Musical,cello string,quiet library,a cello string vibrating with wide finger vibrato in a quiet library
wobbling,Musical,waterphone,deep cave,a waterphone being bowed while being tilted in a deep cave
wobbling,Musical,metal chime,botanical garden,a large metal chime swaying and clashing in a garden
wobbling,Musical,gong,monastery,a large gong being lowered into a pool of water after a strike in a monastery
wobbling,Musical,bullroarer,open field,a wooden bullroarer being whirled in an open field
wobbling,Musical,jaw harp,meadow,a jaw harp being plucked against the teeth in a meadow
wobbling,Musical,organ pipe,stone cathedral,a loose organ pipe vibrating against its rack in a cathedral
wobbling,Musical,thin sheet metal,recording studio,a thin sheet of metal being flexed back and forth in a studio
wobbling,Musical,tuning fork,science lab,a tuning fork being moved across the surface of a wooden table in a lab
wobbling,Musical,singing bowl,stone temple,a singing bowl being swirled with a wooden mallet in a temple
wobbling,Musical,floor tom,school gym,a floor tom with a loose rim being struck in a gym
wobbling,Musical,metallophone,courtyard,a metallophone bar being struck with a soft mallet in a courtyard
wobbling,Musical,steel drum,rocky beach,a steel drum being played with heavy rubber mallets on a rocky beach
wobbling,Mechanical,ceiling fan,bedroom,an unbalanced ceiling fan rocking on its mount in a bedroom
wobbling,Mechanical,pulley belt,farm,a loose pulley belt vibrating on a tractor engine on a farm
wobbling,Mechanical,metal coin,marble lobby,a spinning coin slowing down and oscillating on a marble floor
wobbling,Mechanical,gyroscope,workshop,a metal gyroscope losing speed and tilting on a workbench
wobbling,Mechanical,wagon wheel,dirt road,a rickety wagon wheel shaking on a gravel road
wobbling,Mechanical,washing machine tub,laundry room,an unbalanced washing machine tub during a spin cycle in a laundry room
wobbling,Mechanical,conveyor belt,stone quarry,a loose conveyor belt flapping against a metal roller in a quarry
wobbling,Mechanical,spinning top,nursery,a wooden spinning top oscillating before it falls on a wooden floor
wobbling,Mechanical,desk fan,office,an oscillating desk fan with a loose hinge in an office
wobbling,Mechanical,lathe bit,factory,a metal lathe bit vibrating during a heavy cut in a factory
wobbling,Mechanical,elevator car,hotel,an old elevator car shaking within its shaft in a hotel
wobbling,Mechanical,bicycle wheel,park path,a bicycle wheel with a loose spoke spinning on a park path
wobbling,Mechanical,steam governor,old mill,a centrifugal steam governor spinning unevenly in an old mill
wobbling,Mechanical,drill bit,construction site,a drill bit vibrating in a loose chuck on a construction site
wobbling,Mechanical,outboard motor,harbor,an outboard motor vibrating the hull of a small boat in a harbor
wobbling,Mechanical,centrifuge,laboratory,a centrifuge slowing down with an unbalanced load in a lab
wobbling,Mechanical,wind turbine,hilltop,a wind turbine blade fluttering in a sudden gust on a hilltop
wobbling,Mechanical,transmission gear,truck,a worn transmission gear rattling in a heavy truck
wobbling,Environmental,pine tree,mountain ridge,a tall pine tree swaying in a high-altitude gale
wobbling,Environmental,ice floe,arctic sea,a large ice floe rocking in a choppy arctic sea
wobbling,Environmental,boulder,cliffside,a large boulder teetering on a narrow cliff edge
wobbling,Environmental,suspension bridge,river valley,a suspension bridge cable vibrating in a steady wind
wobbling,Environmental,reeds,marshland,a cluster of reeds shaking and knocking in a marshland
wobbling,Environmental,mud bubble,geothermal field,a thick mud bubble oscillating before it bursts in a geyser basin
wobbling,Environmental,shale,canyon,a thin sheet of shale sliding down a steep scree slope in a canyon
wobbling,Environmental,ice sheet,frozen lake,a thin sheet of ice on a lake rippling in a winter wind
wobbling,Environmental,corn stalks,autumn field,dry corn stalks knocking together in an autumn field
wobbling,Environmental,kelp,underwater,a kelp forest swaying with the ocean surge in a coastal bay
wobbling,Environmental,cactus,desert,a tall cactus arm swaying during a desert storm
wobbling,Environmental,flagpole,rooftop,a metal flagpole vibrating in a strong breeze on a skyscraper rooftop
wobbling,Environmental,stalactite,cave,a stalactite dripping water into a pool and creating ripples in a cave
wobbling,Environmental,sand dune,desert,the surface of a sand dune shifting and sliding in a gust
wobbling,Environmental,tumbleweed,salt flat,a dry tumbleweed bouncing and rolling across a salt flat
wobbling,Environmental,volcanic crust,crater,a volcanic crust creaking as it moves on a lava lake
wobbling,Environmental,log,river gorge,a waterlogged log bobbing in a turbulent river gorge
wobbling,Environmental,vine,jungle,a thick vine swinging from a high tree in a jungle canopy
wobbling,Organic,dog ears,backyard,a dog shaking its head and ears in a sunny backyard
wobbling,Organic,elephant ears,savanna,an elephant flapping its large ears in a grassy savanna
wobbling,Organic,human throat,recording booth,a human throat vibrating during a deep vocal trill
wobbling,Organic,walrus jowls,rocky shore,a walrus shaking its jowls on a rocky shore
wobbling,Organic,bird feathers,birdbath,a bird ruffling its wet feathers in a garden birdbath
wobbling,Organic,fish,wooden pier,a fish flopping on a wooden pier in a marina
wobbling,Organic,jellyfish,aquarium,a jellyfish pulsating its bell in a glass tank
wobbling,Organic,horse,stable,a horse shaking its whole body in a wooden stable
wobbling,Organic,human arm,bedroom,the loose skin on a person's arm being tapped in a bedroom
wobbling,Organic,cat tail,kitchen,a cat's tail twitching against a linoleum floor in a kitchen
wobbling,Organic,frog sac,pond,a frog's vocal sac inflating and vibrating in a quiet pond
wobbling,Organic,bat wings,limestone cave,bat wings fluttering against the air in a limestone cave
wobbling,Organic,human stomach,quiet study,a human stomach gurgling after a large meal in a study
wobbling,Organic,bee wings,orchard,a bee's wings vibrating against a flower petal in an orchard
wobbling,Organic,rattlesnake tail,desert wash,a rattlesnake's tail vibrating in a sandy desert wash
wobbling,Organic,cow udder,meadow,a cow's udder swinging during a trot in a grassy meadow
wobbling,Organic,squirrel tail,pine branch,a squirrel's tail flickering on a pine branch in a forest
wobbling,Organic,loose tooth,bathroom,a loose tooth being moved in a child's mouth in a bathroom
wobbling,Domestic,gelatin,dining room,a gelatin mold shaking on a ceramic plate in a dining room
wobbling,Domestic,table leg,kitchen,a loose table leg rocking on a tile floor in a kitchen
wobbling,Domestic,pot lid,stove,a lid rattling on a boiling pot of water in a kitchen
wobbling,Domestic,laundry basket,laundry room,a laundry basket vibrating on top of a running dryer
wobbling,Domestic,floor lamp,living room,a tall floor lamp swaying after being bumped in a living room
wobbling,Domestic,glass of water,pantry,a glass of water on a vibrating shelf in a pantry
wobbling,Domestic,window pane,attic,a loose window pane rattling in its frame in an attic
wobbling,Domestic,doorknob,hallway,a doorknob being jiggled in a hallway
wobbling,Domestic,broom,porch,a broom leaning against a wall and slipping on a wooden porch
wobbling,Domestic,bucket handle,backyard,a plastic bucket handle swinging back and forth in a backyard
wobbling,Domestic,light fixture,old house,a ceiling light fixture swaying in an old house
wobbling,Domestic,wire hanger,closet,an empty wire hanger clinking on a metal rod in a closet
wobbling,Domestic,rolling pin,bakery,a wooden rolling pin rocking on an uneven countertop in a bakery
wobbling,Domestic,plates,cupboard,a stack of ceramic plates shifting in a cupboard
wobbling,Domestic,ironing board,bedroom,an ironing board rattling during use in a bedroom
wobbling,Domestic,bed springs,nursery,bed springs creaking during a turn in a nursery
wobbling,Domestic,bobblehead,car,a toy bobblehead moving on a dashboard in a moving car
wobbling,Domestic,mirror,bathroom,a mirror on a wall vibrating from a passing truck outside
wobbling,Electronic,cooling fan,office,a loose cooling fan in a desktop computer in an office
wobbling,Electronic,servo motor,lab,a glitching servo motor in a robotic arm in a lab
wobbling,Electronic,tape recorder,studio,a tape recorder with a worn capstan in a recording studio
wobbling,Electronic,speaker cone,garage,a speaker cone vibrating with a loose mount in a garage
wobbling,Electronic,handheld radio,campsite,a handheld radio with a loose antenna at a campsite
wobbling,Electronic,electric shaver,bathroom,an electric shaver slowing down as the battery dies in a bathroom
