category,tag,domain,source,environment,scenario
Darkness,cold,Musical,bowed cymbal,meat locker,a violin bow drawn across the edge of a frozen cymbal
Darkness,cold,Musical,steel flute,glacier,a steel flute playing a slow melody on an ice shelf
Darkness,cold,Musical,metal plate,tundra,a large sheet of stainless steel being struck in the arctic
Darkness,cold,Musical,vibraphone,ice hotel,a vibraphone note ringing in a room made of ice
Darkness,cold,Musical,synthesizer,laboratory,a clinical digital sine wave in a sterile lab
Darkness,cold,Musical,chimes,winter garden,hollow metal chimes clinking in a freezing wind
Darkness,cold,Musical,tuning fork,morgue,a tuning fork vibrating against a metal gurney
Darkness,cold,Musical,piano,ballroom,the high keys of a piano in an unheated mansion
Darkness,cold,Musical,triangle,peak,a steel triangle being struck on a snowy mountain top
Darkness,cold,Musical,bells,taiga,frozen iron bells ringing in a pine forest
Darkness,cold,Musical,harp,cave,wire harp strings being plucked in a damp limestone cave
Darkness,cold,Musical,cello,cellar,a cello string being bowed with a carbon fiber bow
Darkness,cold,Musical,glockenspiel,observatory,a glockenspiel note in a high-altitude dome
Darkness,cold,Musical,tambourine,fjord,a metal tambourine being shaken in a misty fjord
Darkness,cold,Musical,electric guitar,industrial park,a clean electric guitar note with no vibrato
Darkness,cold,Musical,gong,ship,a small metal gong being struck in a refrigerated cargo hold
Darkness,cold,Musical,flute,forest,a crystal flute being blown in a winter forest
Darkness,cold,Mechanical,refrigerator,kitchen,the hum of a refrigerator compressor in an empty kitchen
Darkness,cold,Mechanical,ice machine,hotel,the sound of ice cubes falling into a metal bin
Darkness,cold,Mechanical,lathe,factory,a metal lathe cutting through a block of dry ice
Darkness,cold,Mechanical,piston,warehouse,a hydraulic piston moving in a cold storage facility
Darkness,cold,Mechanical,drill,shipyard,a steel drill bit spinning in the winter air
Darkness,cold,Mechanical,gears,clock tower,the ticking of a large clock in a stone tower at night
Darkness,cold,Mechanical,fan,data center,a high-speed cooling fan in a server room
Darkness,cold,Mechanical,sprinkler,field,a frozen metal sprinkler head struggling to turn
Darkness,cold,Mechanical,vent,hospital,air blowing through a stainless steel ventilation duct
Darkness,cold,Mechanical,lever,factory,a metal lever snapping into place in a drafty warehouse
Darkness,cold,Mechanical,conveyor,plant,a metal conveyor belt moving in a freezing plant
Darkness,cold,Mechanical,engine,garage,a car engine struggling to turn over in winter
Darkness,cold,Mechanical,pump,basement,a water pump circulating coolant in a lab
Darkness,cold,Mechanical,escapement,shop,the metallic tick of a precision instrument
Darkness,cold,Mechanical,shutter,mountain,the click of a metal camera shutter in the snow
Darkness,cold,Mechanical,latches,bunker,a heavy steel hatch locking in an underground bunker
Darkness,cold,Mechanical,sprocket,bike path,the click of a bicycle chain in freezing rain
Darkness,cold,Mechanical,pulley,harbor,a frozen pulley wheel squeaking as it turns
Darkness,cold,Environmental,ice,glacier,an ice sheet cracking under the weight of a person
Darkness,cold,Environmental,rain,street,freezing rain hitting a sheet of plate glass
Darkness,cold,Environmental,wind,tundra,wind whistling through a gap in a metal fence
Darkness,cold,Environmental,hail,car,sleet bouncing off a metal car roof
Darkness,cold,Environmental,water,cave,water dripping into a deep frozen pool
Darkness,cold,Environmental,snow,forest,a crust of frozen snow shattering under a boot
Darkness,cold,Environmental,thaw,eaves,an icicle snapping and falling onto a stone path
Darkness,cold,Environmental,geyser,valley,the hiss of steam in a frozen volcanic basin
Darkness,cold,Environmental,ocean,shore,waves hitting a frozen shoreline of slush
Darkness,cold,Environmental,cave,mountain,the resonance of a wind gust in an icy cavern
Darkness,cold,Environmental,frost,window,the microscopic crackle of frost forming on a pane
Darkness,cold,Environmental,avalanche,slope,a slide of ice crystals down a granite face
Darkness,cold,Environmental,mist,harbor,a foghorn echoing through a freezing mist
Darkness,cold,Environmental,rocks,river,frozen river stones grinding together in the current
Darkness,cold,Environmental,lightning,plains,a sharp crack of thunder in a winter storm
Darkness,cold,Environmental,leaves,path,frozen autumn leaves breaking like glass underfoot
Darkness,cold,Environmental,reeds,marsh,frozen reeds clashing in a stiff north wind
Darkness,cold,Organic,teeth,bathroom,a person's teeth chattering in a cold shower
Darkness,cold,Organic,breath,woods,a sharp intake of breath in the winter air
Darkness,cold,Organic,claws,tile,a dog's claws clicking on a frozen tile floor
Darkness,cold,Organic,vocalizations,arctic,the high-pitched call of a seal on an ice floe
Darkness,cold,Organic,wings,garden,the rapid flutter of a bird's wings in the frost
Darkness,cold,Organic,bones,kitchen,a frozen turkey bone snapping
Darkness,cold,Organic,skin,bedroom,hands rubbing together to create warmth
Darkness,cold,Organic,insects,field,a single cricket chirping in the first frost
Darkness,cold,Organic,branches,orchard,frozen apple tree branches rubbing together
Darkness,cold,Organic,twigs,forest,a brittle frozen twig snapping in the woods
Darkness,cold,Organic,stomp,deck,a boot stomping on a frost-covered wooden deck
Darkness,cold,Organic,scales,desert,a lizard scuttling over a cold stone at night
Darkness,cold,Organic,heartbeat,room,a slow heartbeat heard through a stethoscope
Darkness,cold,Organic,shell,beach,a frozen seashell cracking in the surf
Darkness,cold,Organic,beak,tree,a bird pecking at a frozen tree trunk
Darkness,cold,Organic,snore,tent,a person snoring in a cold sleeping bag
Darkness,cold,Organic,shiver,porch,the rustle of a heavy winter coat during a shiver
Darkness,cold,Domestic,spoon,kitchen,a silver spoon hitting a frozen metal bowl
Darkness,cold,Domestic,keys,foyer,a bunch of keys being dropped onto a granite countertop
Darkness,cold,Domestic,ice,glass,ice cubes shifting in a stainless steel tumbler
Darkness,cold,Domestic,foil,pantry,unrolling a sheet of aluminum foil in a cold room
Darkness,cold,Domestic,scissors,sewing room,metal shears cutting through a piece of silk
Darkness,cold,Domestic,refrigerator,basement,the click of a thermostat turning on a cooler
Darkness,cold,Domestic,faucet,bathroom,a single drop of water hitting a porcelain sink
Darkness,cold,Domestic,zipper,closet,a metal zipper being pulled up on a winter parka
Darkness,cold,Domestic,coins,jar,pouring silver coins into a glass jar
Darkness,cold,Domestic,ceramic,dining room,a porcelain plate being placed on a marble table
Darkness,cold,Domestic,window,bedroom,a window pane rattling in a winter gust
Darkness,cold,Domestic,knife,kitchen,a steel knife sharpening against a honing rod
Darkness,cold,Domestic,thimble,sewing room,a metal thimble dropping onto a wooden floor
Darkness,cold,Domestic,kettle,stove,a copper kettle sitting on a cold burner
Darkness,cold,Domestic,lightbulb,attic,a lightbulb filament vibrating in the cold
Darkness,cold,Domestic,mirror,dressing room,a glass perfume bottle hitting a mirror
Darkness,cold,Domestic,can,garage,shaking an aerosol can in a cold shed
Darkness,cold,Electronic,signal,lab,a high-frequency sine wave from a digital oscillator
Darkness,cold,Electronic,static,radio,the hiss of white noise on a dead frequency
Darkness,cold,Electronic,beeper,hospital,a digital pulse from a heart monitor
Darkness,cold,Electronic,buzzer,office,a sharp electronic buzzer at a security gate
Darkness,cold,Electronic,relay,server room,the click of a relay in a refrigerated rack
Darkness,cold,Electronic,spark,workshop,a small blue spark from a static discharge
Darkness,cold,Electronic,modem,basement,the digital handshake of a computer modem
Darkness,cold,Electronic,led,panel,the faint whine of a large led display
Darkness,cold,Electronic,capacitor,bench,the high-pitched charge of a camera flash
Darkness,cold,Electronic,oscilloscope,studio,the hum of a vintage electronic display
Darkness,cold,Electronic,strobe,club,the discharge of a xenon strobe tube
Darkness,cold,Electronic,sensor,warehouse,an infrared sensor triggering a sharp beep
Darkness,cold,Electronic,keypad,gate,the chirp of a digital keypad in the wind
Darkness,cold,Electronic,router,study,the faint data processing whine of a router
Darkness,cold,Electronic,transformer,pole,the high-pitched buzz of a power transformer
Darkness,cold,Electronic,circuit,device,a circuit breaker flipping in a cold garage
Darkness,cold,Electronic,telecom,tower,the pulse of a digital microwave transmission
Darkness,dark,Musical,double bass,basement,a low open string plucked on a double bass
Darkness,dark,Musical,tuba,cathedral,a sustained low note on a brass tuba
Darkness,dark,Musical,timpani,stage,a timpani roll with soft felt mallets
Darkness,dark,Musical,bassoon,hall,a low staccato note on a bassoon
Darkness,dark,Musical,cello,chamber,a slow vibrato on a cello's C string
Darkness,dark,Musical,gong,temple,a massive bronze gong struck with a heavy padded mallet
Darkness,dark,Musical,organ,church,the lowest pedal note of a pipe organ
Darkness,dark,Musical,piano,ballroom,the lowest keys of a grand piano being struck
Darkness,dark,Musical,drum,forest,a large taiko drum being struck in a wooded valley
Darkness,dark,Musical,didgeridoo,cave,the drone of a didgeridoo in a stone cavern
Darkness,dark,Musical,bass guitar,club,a low note played through a 15-inch speaker
Darkness,dark,Musical,marimba,conservatory,the resonance of a bass marimba bar
Darkness,dark,Musical,baritone saxophone,loft,a low honk on a baritone sax
Darkness,dark,Musical,chimes,tower,the strike of a large cast iron bell
Darkness,dark,Musical,harp,parlor,the lowest gut strings of a harp being plucked
Darkness,dark,Musical,horn,valley,a low alpine horn blast echoing off mountains
Darkness,dark,Musical,violin,vault,a violin being played in its lowest register
Darkness,dark,Mechanical,engine,ship,the low throb of a diesel engine in a ship's hull
Darkness,dark,Mechanical,turbine,dam,the deep hum of a hydroelectric turbine
Darkness,dark,Mechanical,furnace,basement,the roar of an industrial furnace igniting
Darkness,dark,Mechanical,press,factory,the heavy thud of a hydraulic stamping press
Darkness,dark,Mechanical,drill,mine,a large rock drill boring into a deep shaft
Darkness,dark,Mechanical,pump,well,the deep rhythmic pulse of an oil derrick
Darkness,dark,Mechanical,fan,tunnel,a massive ventilation fan spinning in a subway tunnel
Darkness,dark,Mechanical,crane,shipyard,the groan of a heavy crane lifting a container
Darkness,dark,Mechanical,gears,mill,the slow grinding of large stone mill wheels
Darkness,dark,Mechanical,piston,locomotive,the heavy chuff of a steam locomotive piston
Darkness,dark,Mechanical,boiler,foundry,the deep rumble of steam in an industrial boiler
Darkness,dark,Mechanical,winch,dock,the strain of a steel cable on a large winch
Darkness,dark,Mechanical,elevator,skyscraper,the low drone of an elevator motor
Darkness,dark,Mechanical,conveyor,quarry,a heavy rubber conveyor belt moving gravel
Darkness,dark,Mechanical,generator,bunker,the steady hum of a large backup generator
Darkness,dark,Mechanical,lathe,workshop,a heavy lathe turning a large wooden log
Darkness,dark,Mechanical,compressor,garage,the vibration of a large air compressor tank
Darkness,dark,Environmental,thunder,valley,a distant roll of thunder in a mountain pass
Darkness,dark,Environmental,ocean,abyss,the low-frequency groan of shifting tectonic plates
Darkness,dark,Environmental,wind,canyon,a deep moan of wind through a rock arch
Darkness,dark,Environmental,earthquake,plains,the rumble of the ground during a tremor
Darkness,dark,Environmental,water,waterfall,the heavy impact of a waterfall into a deep pool
Darkness,dark,Environmental,fire,forest,the low roar of a large bonfire
Darkness,dark,Environmental,cave,cavern,a massive rock falling into a deep underground lake
Darkness,dark,Environmental,volcano,crater,the deep bubbling of a lava lake
Darkness,dark,Environmental,waves,cliffs,the thud of a heavy swell against a hollow sea cave
Darkness,dark,Environmental,storm,prairie,the low-frequency hum of a distant tornado
Darkness,dark,Environmental,avalanche,mountain,the muffled roar of a snow slide
Darkness,dark,Environmental,geyser,basin,the subterranean rumble before an eruption
Darkness,dark,Environmental,mud,swamp,the thick gloop of a mud pot bubbling
Darkness,dark,Environmental,ice,lake,the deep boom of a frozen lake cracking
Darkness,dark,Environmental,rocks,quarry,a massive boulder hitting the floor of a pit
Darkness,dark,Environmental,glacier,arctic,the groan of an ice shelf shifting
Darkness,dark,Environmental,river,gorge,the deep rush of a swollen river in a canyon
Darkness,dark,Organic,whale,ocean,the low-frequency moan of a blue whale
Darkness,dark,Organic,elephant,savanna,the infra-sonic rumble of an elephant
Darkness,dark,Organic,lion,plain,a deep gutteral growl from a lion's throat
Darkness,dark,Organic,human,cathedral,a low bass vocal drone in a stone room
Darkness,dark,Organic,bear,forest,the deep huff of a grizzly bear
Darkness,dark,Organic,vocalizations,jungle,the low-frequency call of a cassowary
Darkness,dark,Organic,heartbeat,chamber,the thud of a heavy heart in a quiet room
Darkness,dark,Organic,alligator,swamp,an alligator's low-frequency bellow
Darkness,dark,Organic,stomp,barn,the heavy thud of a horse's hoof on dirt
Darkness,dark,Organic,wings,night,the low-frequency flap of a large owl's wings
Darkness,dark,Organic,growl,cave,a large animal's growl echoing in the dark
Darkness,dark,Organic,branches,woods,the deep groan of two old trees rubbing
Darkness,dark,Organic,roots,earth,the sound of roots snapping under heavy soil
Darkness,dark,Organic,snore,room,the deep rhythmic snore of a large man
Darkness,dark,Organic,thud,forest floor,a heavy fruit falling onto soft earth
Darkness,dark,Organic,scales,underbrush,a heavy python sliding over dry mulch
Darkness,dark,Organic,chest,meadow,a person thumping their chest firmly
Darkness,dark,Domestic,door,hallway,a heavy solid oak door closing slowly
Darkness,dark,Domestic,furnace,basement,the deep whoosh of a gas furnace igniting
Darkness,dark,Domestic,fridge,kitchen,the low-frequency hum of an old refrigerator
Darkness,dark,Domestic,steps,stairs,the muffled thud of footsteps on a carpeted stair
