tag,domain,source,environment,scenario
thin,Musical,piccolo,wide canyon,a piccolo playing a single note in a wide canyon
thin,Musical,triangle,cathedral,a metal beater hitting a small triangle in a cathedral
thin,Musical,mandolin,porch,a mandolin string being plucked with a plastic pick on a porch
thin,Musical,violin,attic,a violin bow hair catching a high e string in an attic
thin,Musical,glockenspiel,nursery,a brass mallet striking the smallest bar of a glockenspiel in a nursery
thin,Musical,ukulele,beach,a nylon ukulele string being strummed on a sandy beach
thin,Musical,toy piano,playroom,a plastic hammer hitting a metal rod in a toy piano in a playroom
thin,Musical,kazoo,city street,a paper membrane vibrating in a plastic kazoo on a city street
thin,Musical,wind chimes,garden,a single aluminum wind chime being struck in a garden
thin,Musical,harmonica,meadow,a harmonica reed vibrating in a flower meadow
thin,Musical,finger cymbals,marketplace,two small brass finger cymbals clashing in a marketplace
thin,Musical,harpsichord,parlor,a plectrum plucking a wire string in a harpsichord in a parlor
thin,Musical,recorder,library,a plastic recorder being blown softly in a quiet library
thin,Musical,banjolele,boardwalk,a banjolele being strummed quickly on a wooden boardwalk
thin,Musical,tin whistle,shipyard,a tin whistle playing a melody in a shipyard
thin,Musical,kalimba,greenhouse,a narrow metal tine of a kalimba being flicked in a greenhouse
thin,Musical,celesta,theater,a felt hammer hitting a steel plate in a celesta in a theater
thin,Musical,jaw harp,field,a metal tongue of a jaw harp vibrating in a field
thin,Mechanical,watch gears,jewelry shop,tiny brass gears turning inside a wristwatch in a jewelry shop
thin,Mechanical,sewing machine,tailor shop,a sewing machine needle puncturing silk in a tailor shop
thin,Mechanical,camera shutter,park bench,a mechanical camera shutter firing on a park bench
thin,Mechanical,typewriter,newsroom,a single typewriter key hitting a paper sheet in a newsroom
thin,Mechanical,winding key,playroom,a metal key winding a small clockwork toy in a playroom
thin,Mechanical,copper pipe,basement,a copper pipe ticking as it cools in a basement
thin,Mechanical,metal scribe,workshop,a metal scribe scratching a line on an aluminum sheet in a workshop
thin,Mechanical,paper clips,office,a box of paper clips being shaken in a carpeted office
thin,Mechanical,bicycle chain,garage,a bicycle chain being cleaned with a small brush in a garage
thin,Mechanical,micro-motor,robotics lab,a micro-motor spinning at high speed in a robotics lab
thin,Mechanical,small spring,bedroom,a small spring being stretched and released in a bedroom
thin,Mechanical,compass,desert,a metal compass needle hitting its glass casing in a desert
thin,Mechanical,staple,school,a single staple being removed from a page in a school
thin,Mechanical,laser,factory,a laser beam etching a serial number onto a glass bottle in a factory
thin,Mechanical,solenoid,arcade,a small solenoid clicking in a pinball machine in an arcade
thin,Mechanical,fan blades,kitchen,plastic fan blades spinning in a small kitchen
thin,Mechanical,jewelry saw,studio,a fine jewelry saw cutting through a silver wire in a studio
thin,Mechanical,coin,hallway,a small coin spinning and wobbling on a tile floor in a hallway
thin,Environmental,water drop,cave,a single drop of water hitting a flat stone in a cave
thin,Environmental,wind,forest,wind whistling through a narrow gap in a hollow tree in a forest
thin,Environmental,dry grass,meadow,dry blades of grass rubbing together in a meadow
thin,Environmental,ice,lake,a hairline crack forming in a layer of ice on a lake
thin,Environmental,sand,desert,a few grains of sand hitting a metal sign in a desert
thin,Environmental,pine needles,grove,pine needles falling onto a dry leaf in a grove
thin,Environmental,rain,greenhouse,a single raindrop hitting a glass pane on a greenhouse
thin,Environmental,spark,field,a tiny spark jumping from a dry twig in a field
thin,Environmental,spider silk,attic,a spider silk thread snapping in a dusty attic
thin,Environmental,reeds,marsh,a reed vibrating in a light breeze in a marsh
thin,Environmental,shale,canyon,a small piece of shale sliding down a rock face in a canyon
thin,Environmental,frost,bedroom,frost forming on a cold window pane in a bedroom
thin,Environmental,bubbles,pond,tiny oxygen bubbles popping on the surface of a pond
thin,Environmental,bamboo,jungle,a thin bamboo branch snapping in a jungle
thin,Environmental,pebble,parking lot,a tiny pebble hitting the hubcap of a car in a parking lot
thin,Environmental,steam,kitchen,a jet of steam escaping a kettle in a kitchen
thin,Environmental,leaves,backyard,a single dry leaf skittering across a concrete patio in a backyard
thin,Environmental,hail,nursery,a tiny hailstone hitting a plastic skylight in a nursery
thin,Organic,mosquito,tent,a mosquito buzzing near a person's ear in a tent
thin,Organic,cricket,basement,a single cricket chirping in a dark basement
thin,Organic,bird,garden,a small sparrow chirping on a branch in a garden
thin,Organic,fingernails,study,fingernails tapping on a wooden desk in a study
thin,Organic,hair,bathroom,a single strand of hair being pulled through a plastic comb
thin,Organic,bat,cave,a bat's echolocation click in a cave
thin,Organic,grasshopper,field,a grasshopper's legs rubbing together in a grass field
thin,Organic,lizard,porch,a lizard's feet scurrying across a dry wooden porch
thin,Organic,kitten,bedroom,a kitten's tiny meow in a bedroom
thin,Organic,skin,bathroom,a finger being dragged across a smooth wet mirror in a bathroom
thin,Organic,teeth,nursery,a child's teeth clicking together in a nursery
thin,Organic,shell,beach,a small seashell being crushed under a sandal on a beach
thin,Organic,bone,kitchen,a tiny fish bone snapping in a kitchen
thin,Organic,feather,forest,a bird feather falling and hitting a dry leaf in a forest
thin,Organic,knuckles,library,a person cracking a single knuckle in a quiet library
thin,Organic,lips,hallway,a person making a small pop with their lips in a hallway
thin,Organic,claws,kitchen,a hamster's claws scratching a plastic cage in a kitchen
thin,Organic,breath,observatory,a sharp intake of breath in a cold observatory
thin,Domestic,silver spoon,dining room,a silver spoon hitting a ceramic saucer in a dining room
