category,tag,domain,source,environment,scenario
Energy/Dynamics,powerful,Musical,pipe organ,cathedral,a pipe organ sustaining a low-frequency pedal note in a vast stone cathedral
Energy/Dynamics,powerful,Musical,timpani,concert hall,a large timpani drum being struck with a heavy mallet at full force
Energy/Dynamics,powerful,Musical,gong,temple,a massive bronze gong resonating after a heavy strike
Energy/Dynamics,powerful,Musical,bass drum,stadium,a concert bass drum being hammered in an open arena
Energy/Dynamics,powerful,Musical,brass section,theatre,a full brass section playing a fortissimo chord in a hall
Energy/Dynamics,powerful,Musical,taiko drum,shrine,a massive taiko drum being struck with heavy wooden bats
Energy/Dynamics,powerful,Musical,grand piano,ballroom,the lowest keys of a grand piano being struck with great force
Energy/Dynamics,powerful,Musical,cello ensemble,conservatory,ten cellos playing a sustained low unison note
Energy/Dynamics,powerful,Musical,tuba,rehearsal room,a tuba blowing a deep resonant tone at maximum volume
Energy/Dynamics,powerful,Musical,crash cymbals,parade ground,large brass cymbals clashing together with a wide swing
Energy/Dynamics,powerful,Musical,didgeridoo,outback,a didgeridoo vibrating with an intense low-frequency drone
Energy/Dynamics,powerful,Musical,bagpipes,highlands,a set of bagpipes at full pressure echoing through a valley
Energy/Dynamics,powerful,Musical,organ,chapel,the deep vibration of a reed organ's largest pipes
Energy/Dynamics,powerful,Musical,djembe,beach,a djembe being struck in the center for a deep bass impact
Energy/Dynamics,powerful,Musical,kettle drum,orchestra pit,a kettle drum roll building to a massive crescendo
Energy/Dynamics,powerful,Musical,baritone sax,jazz club,a baritone saxophone holding a deep growling note
Energy/Dynamics,powerful,Musical,harpsichord,gallery,a harpsichord playing a dense chord in a resonant space
Energy/Dynamics,powerful,Musical,udu drum,cave,the deep resonant thump of a large udu drum in a cavern
Energy/Dynamics,powerful,Mechanical,jet engine,runway,a jet turbine at full throttle during a stationary test
Energy/Dynamics,powerful,Mechanical,steam hammer,factory,a massive steam hammer striking a red-hot steel ingot
Energy/Dynamics,powerful,Mechanical,diesel engine,shipyard,a ship's massive diesel engine idling with a deep thrum
Energy/Dynamics,powerful,Mechanical,rock crusher,quarry,a heavy rock crusher grinding granite boulders in a pit
Energy/Dynamics,powerful,Mechanical,industrial fan,warehouse,a massive industrial fan moving a huge volume of air
Energy/Dynamics,powerful,Mechanical,steam whistle,station,a locomotive whistle shrieking at maximum steam pressure
Energy/Dynamics,powerful,Mechanical,hydraulic press,workshop,a hydraulic ram descending with an immense low-frequency hum
Energy/Dynamics,powerful,Mechanical,stamping machine,plant,a metal stamping press hitting a sheet of steel with a heavy thud
Energy/Dynamics,powerful,Mechanical,turbine,dam,a hydroelectric turbine vibrating the floor of a concrete dam
Energy/Dynamics,powerful,Mechanical,crane,dockside,a large crane motor revving as it lifts a heavy container
Energy/Dynamics,powerful,Mechanical,boiler,basement,a commercial boiler system igniting with a deep roar
Energy/Dynamics,powerful,Mechanical,jackhammer,street,a jackhammer striking a thick concrete slab repeatedly
Energy/Dynamics,powerful,Mechanical,drilling rig,oil field,a heavy oil rig drill pulsing into the earth
Energy/Dynamics,powerful,Mechanical,ventilation,bunker,the deep roar of a large underground hvac system
Energy/Dynamics,powerful,Mechanical,elevator,shaft,a heavy freight elevator motor groaning under maximum load
Energy/Dynamics,powerful,Mechanical,compactor,alley,a trash compactor's ram hitting a full load of waste
Energy/Dynamics,powerful,Mechanical,printing press,basement,a large-scale printing press thumping in a deep room
Energy/Dynamics,powerful,Mechanical,foundry,workshop,the collective roar and hiss of a metal foundry furnace
Energy/Dynamics,powerful,Environmental,thunder,canyon,a single loud clap of thunder echoing through a narrow gorge
Energy/Dynamics,powerful,Environmental,waterfall,jungle,a massive waterfall plunging into a deep rocky pool
Energy/Dynamics,powerful,Environmental,volcano,island,the explosive roar of a volcanic eruption from a crater
