tag,domain,source,environment,scenario
rubbery,Musical,rubber mallet,rainforest,a rubber mallet striking a log drum in a dense rainforest
rubbery,Musical,silicone beater,limestone cave,a silicone beater hitting a steel tongue drum in a limestone cave
rubbery,Musical,rubber band,desert oasis,a thick rubber band being plucked over a hollow wooden box in a desert oasis
rubbery,Musical,drumstick,snowy meadow,a rubber-tipped drumstick hitting a floor tom in a snowy meadow
rubbery,Musical,felt mallet,botanical garden,a felt-covered mallet striking a marimba bar in a botanical garden
rubbery,Musical,drum skin,mountain pass,a person's thumb sliding across a wet drum skin in a misty mountain pass
rubbery,Musical,violin mute,quiet library,a rubber mute being pressed onto a violin bridge in a quiet library
rubbery,Musical,rubber ball,empty theater,a soft rubber ball bouncing on a grand piano's strings in an empty theater
rubbery,Musical,silicone pad,high-rise rooftop,a silicone pad being struck on an electronic drum kit on a high-rise rooftop
rubbery,Musical,rubber striker,stone temple,a rubber-headed striker hitting a singing bowl in a stone temple
rubbery,Musical,gut string,jazz club,a thick gut string being plucked on a double bass in a jazz club
rubbery,Musical,rubber stopper,science lab,a rubber stopper being pulled from a flute in a science lab
rubbery,Musical,rubber beater,underwater dome,a rubber-tipped mallet hitting a large gong in an underwater dome
rubbery,Musical,rubber band,dusty attic,a person stretching a large rubber band between two harp pegs in a dusty attic
rubbery,Musical,xylophone mallet,school gym,a rubber mallet striking a xylophone bar in a school gym
rubbery,Musical,silicone wedge,recording studio,a silicone wedge being inserted between piano strings in a recording studio
rubbery,Musical,tambourine handle,bustling market,a rubber handle of a tambourine being shaken in a bustling market
rubbery,Musical,timpani beater,open field,a rubber beater hitting a timpani drum in an open field
rubbery,Mechanical,rubber gasket,shipyard,a rubber gasket being compressed by a metal plate in a shipyard
rubbery,Mechanical,fan belt,desert garage,a loose fan belt rubbing against a pulley in a desert garage
rubbery,Mechanical,rubber seal,parking lot,a rubber seal being pulled off a car door in a snowy parking lot
rubbery,Mechanical,wiper blade,city street,a windshield wiper blade dragging across a dry glass pane in a city street
rubbery,Mechanical,rubber plunger,factory,a rubber plunger moving inside a hydraulic cylinder in a factory
rubbery,Mechanical,tire,rainy valley,a tire spinning and gripping a wet asphalt road in a rainy valley
rubbery,Mechanical,conveyor belt,mining quarry,a rubber conveyor belt rubbing against a metal guide in a mining quarry
rubbery,Mechanical,rubber bushing,mountain pass,a rubber bushing being squeezed in a suspension system on a mountain pass
rubbery,Mechanical,rubber mallet,old mill,a rubber mallet hitting a metal gear in an old mill
rubbery,Mechanical,rubber hose,engine room,a rubber hose vibrating against a metal frame in a ship's engine room
rubbery,Mechanical,rubber diaphragm,construction site,a rubber diaphragm pulsing in a fuel pump on a construction site
rubbery,Mechanical,rubber bumper,warehouse,a rubber bumper stopping a heavy sliding door in a warehouse
rubbery,Mechanical,rubber roller,basement,a rubber roller feeding paper through a printing press in a basement
rubbery,Mechanical,rubber tire,farmhouse,a rubber tire bouncing on a gravel path in a farmhouse
rubbery,Mechanical,drive belt,factory,a rubber drive belt snapping in a textile loom in a factory
rubbery,Mechanical,suction cup,high-rise,a rubber suction cup being pulled from a glass pane in a high-rise
rubbery,Mechanical,rubber boot,junkyard,a rubber boot on a universal joint twisting in a junkyard
rubbery,Mechanical,squeegee,rooftop,a rubber squeegee being pulled across a solar panel on a rooftop
rubbery,Environmental,wet clay,riverbank,a boot stepping into thick wet clay on a riverbank
rubbery,Environmental,rubber tree branch,tropical jungle,a heavy branch of a rubber tree snapping in a tropical jungle
rubbery,Environmental,wet kelp,rocky beach,a piece of wet kelp hitting a flat rock on a rocky beach
rubbery,Environmental,moss,pine forest,a person walking on a thick bed of moss in a pine forest
rubbery,Environmental,mud bubble,geothermal field,a large bubble of mud bursting in a geothermal field
rubbery,Environmental,wet log,mountain stream,a wet log sliding against another in a mountain stream
rubbery,Environmental,cactus leaf,desert wind,a cactus leaf rubbing against another in a desert wind
rubbery,Environmental,sea sponge,coastal bay,a person squeezing a piece of wet sea sponge in a coastal bay
rubbery,Environmental,melting ice,tundra,a thick sheet of melting ice sliding over a rock in a tundra
rubbery,Environmental,driftwood,swamp,a piece of driftwood hitting a muddy shoreline in a swamp
rubbery,Environmental,heavy fruit,orchard,a heavy fruit falling onto a soft forest floor in an orchard
rubbery,Environmental,lily pads,quiet pond,a cluster of lily pads bumping together in a quiet pond
rubbery,Environmental,seaweed,grotto,a mass of wet seaweed being compressed by a wave in a grotto
rubbery,Environmental,silt,marshland,a person pulling a foot out of deep silt in a marshland
rubbery,Environmental,vine,rainforest,a thick vine swinging and hitting a tree trunk in a rainforest
rubbery,Environmental,wet snow,mountain cabin,a layer of wet snow sliding off a metal roof in a mountain cabin
rubbery,Environmental,sap,pine forest,a bubble of sap popping on the bark of a pine tree in a forest
rubbery,Environmental,shale,canyon,a piece of shale sliding over a wet clay deposit in a canyon
rubbery,Organic,wet palm,kitchen,a person's wet palm sliding across a smooth tabletop in a kitchen
rubbery,Organic,paws,hallway,a dog's wet paws rubbing on a linoleum floor in a hallway
rubbery,Organic,whale tail,open ocean,a whale's tail hitting the water surface in the open ocean
rubbery,Organic,tongue,study,a person's tongue clicking against the roof of their mouth in a study
rubbery,Organic,flipper,rocky shoreline,a seal's flipper slapping its wet chest on a rocky shoreline
rubbery,Organic,fingertips,quiet library,a person's fingertips rubbing together in a quiet library
rubbery,Organic,raw meat,butcher shop,a piece of raw meat being dropped onto a wooden block in a butcher shop
rubbery,Organic,elephant trunk,savanna,an elephant's trunk hitting its flank in a grassy savanna
rubbery,Organic,bare feet,public shower,a person's bare feet walking on a wet tile floor in a public shower
rubbery,Organic,fish,harbor,a large fish flopping on a wet wooden deck in a harbor
rubbery,Organic,hand,swimming pool,a person's hand slapping a wet shoulder at a swimming pool
rubbery,Organic,wings,limestone cave,a bat's wings flapping against the air in a limestone cave
rubbery,Organic,lips,dining room,a person's lips smacking after a meal in a dining room
rubbery,Organic,snake belly,desert,a snake's belly scales sliding over a smooth stone in a desert
rubbery,Organic,webbed feet,marsh,a bird's webbed feet hitting the water during a landing in a marsh
rubbery,Organic,knuckles,classroom,a person's knuckles being rubbed together in a classroom
rubbery,Organic,cat paw,living room,a cat's paw pads hitting a glass shelf in a living room
rubbery,Organic,skin,bedroom,a person stretching a piece of skin on their forearm in a bedroom
rubbery,Domestic,spatula,kitchen,a rubber spatula scraping a ceramic bowl in a kitchen
rubbery,Domestic,rubber band,office,a rubber band being snapped against a wooden desk in an office
rubbery,Domestic,plunger,bathroom,a rubber plunger being used in a porcelain sink in a bathroom
rubbery,Domestic,sneakers,gym,a pair of sneakers rubbing on a polished basketball court in a gym
rubbery,Domestic,eraser,study,a rubber eraser being rubbed across heavy paper in a study
rubbery,Domestic,garden hose,stone patio,a rubber garden hose being dragged across a stone patio
rubbery,Domestic,bath mat,bathroom,a rubber bath mat being peeled off a tub surface in a bathroom
rubbery,Domestic,hot water bottle,bedroom,a rubber hot water bottle being squeezed in a bedroom
rubbery,Domestic,rubber glove,laundry room,a rubber glove being snapped onto a hand in a laundry room
rubbery,Domestic,toy car tire,playroom,a rubber tire of a toy car spinning on a linoleum floor in a playroom
rubbery,Domestic,doorstop,hallway,a rubber doorstop being wedged under a wooden door in a hallway
rubbery,Domestic,rubber band,nursery,a rubber band being stretched and released in a nursery
rubbery,Domestic,rubber seal,pantry,a rubber seal on a plastic container being opened in a pantry
rubbery,Domestic,bicycle grip,garage,a rubber handle of a bicycle being gripped in a garage
