category,tag,domain,source,environment,scenario
Brightness/Spectral,bright,Musical,glockenspiel,mountain peak,a glockenspiel mallet striking a steel bar on a high mountain peak
Brightness/Spectral,bright,Musical,piccolo,meadow,a piccolo trill echoing across a flower-filled meadow
Brightness/Spectral,bright,Musical,violin,art gallery,a violin playing high harmonics in a minimalist art gallery
Brightness/Spectral,bright,Musical,triangle,cathedral,a steel triangle being struck once in a vast stone cathedral
Brightness/Spectral,bright,Musical,cymbals,rooftop,a pair of finger cymbals clashing together on a breezy rooftop
Brightness/Spectral,bright,Musical,harp,botanical garden,a harpist plucking the highest nylon strings in a glass botanical garden
Brightness/Spectral,bright,Musical,celesta,snowy forest,a celesta playing a rapid scale in a quiet snowy forest
Brightness/Spectral,bright,Musical,tambourine,busy street,a tambourine shaking rhythmically on a crowded metropolitan street
Brightness/Spectral,bright,Musical,mandolin,vineyard,a mandolin string being tremolo-picked in a sun-drenched vineyard
Brightness/Spectral,bright,Musical,recorder,canyon,a wooden recorder playing a sharp melody in a red rock canyon
Brightness/Spectral,bright,Musical,xylophone,school playground,a rosewood xylophone being played quickly in an empty school playground
Brightness/Spectral,bright,Musical,trumpet,stadium,a trumpet playing a fanfare in a concrete sports stadium
Brightness/Spectral,bright,Musical,ukulele,beach,a ukulele being strummed with a light pick on a sandy beach
Brightness/Spectral,bright,Musical,chimes,clifftop,wind-blown aluminum chimes hanging on a windy clifftop
Brightness/Spectral,bright,Musical,banjo,farmhouse porch,a banjo string being snapped against the fretboard on a farmhouse porch
Brightness/Spectral,bright,Musical,pan flute,waterfall,a pan flute blowing a high note near a misty waterfall
Brightness/Spectral,bright,Musical,music box,attic,a small music box playing its melody in a dusty attic
Brightness/Spectral,bright,Musical,kalimba,rainforest,a kalimba tine being flicked in a lush tropical rainforest
Brightness/Spectral,bright,Musical,harmonica,train station,a harmonica playing a sharp blues note at a train station platform
Brightness/Spectral,bright,Musical,sitar,desert,a sitar string vibrating intensely in a wide desert landscape
Brightness/Spectral,bright,Mechanical,clockwork,clock tower,brass clockwork gears ticking rapidly inside a high clock tower
Brightness/Spectral,bright,Mechanical,typewriter,newsroom,a vintage typewriter carriage returning with a bell ding in a newsroom
Brightness/Spectral,bright,Mechanical,bicycle,paved path,a bicycle bell ringing twice on a suburban paved path
Brightness/Spectral,bright,Mechanical,sewing machine,tailor shop,a sewing machine needle piercing thin silk in a quiet tailor shop
Brightness/Spectral,bright,Mechanical,lathe,machine shop,a metal lathe shaving a thin strip of aluminum in a machine shop
Brightness/Spectral,bright,Mechanical,hand drill,garage,a manual hand drill spinning at high speed in a concrete garage
Brightness/Spectral,bright,Mechanical,gears,factory,small precision gears spinning with a whirring sound in a watch factory
Brightness/Spectral,bright,Mechanical,camera,photography studio,a film camera shutter clicking at a fast speed in a photography studio
Brightness/Spectral,bright,Mechanical,winch,dockside,a small metal winch ratcheting up a light cable at a dockside
Brightness/Spectral,bright,Mechanical,lock,vault,a brass key turning in a complex tumbler lock in a bank vault
Brightness/Spectral,bright,Mechanical,shears,garden,metal garden shears snipping a thin wire in a rose garden
Brightness/Spectral,bright,Mechanical,sprinkler,lawn,a mechanical lawn sprinkler clicking as it rotates on a green lawn
Brightness/Spectral,bright,Mechanical,cash register,general store,a mechanical cash register drawer popping open in a general store
Brightness/Spectral,bright,Mechanical,stapler,office,a metal stapler punching through a single sheet of paper in an office
Brightness/Spectral,bright,Mechanical,projector,cinema,a vintage film projector spinning its reels in a small cinema
Brightness/Spectral,bright,Mechanical,wind-up toy,nursery,a tin wind-up toy walking across a hardwood floor in a nursery
Brightness/Spectral,bright,Mechanical,pulleys,theater,small metal pulleys sliding along a track in a theater backstage
Brightness/Spectral,bright,Mechanical,metronome,music room,a mechanical metronome ticking at a fast tempo in a music room
Brightness/Spectral,bright,Mechanical,microscope,laboratory,the metal adjustment knob of a microscope clicking into place in a lab
Brightness/Spectral,bright,Mechanical,chainsaw,logging camp,a small chainsaw idling with a high-pitched buzz at a logging camp
Brightness/Spectral,bright,Environmental,ice,arctic tundra,thin sheets of ice cracking on the surface of a frozen arctic tundra
Brightness/Spectral,bright,Environmental,rain,tin roof,heavy rain hitting a corrugated tin roof in a rural village
Brightness/Spectral,bright,Environmental,wind,canyon,wind whistling through a narrow gap in a high-altitude canyon
Brightness/Spectral,bright,Environmental,hail,greenhouse,fine hail stones bouncing off the glass panes of a greenhouse
Brightness/Spectral,bright,Environmental,stream,stony brook,a shallow stream rippling over smooth pebbles in a stony brook
Brightness/Spectral,bright,Environmental,leaves,autumn forest,dry autumn leaves skittering across a paved road in a forest
Brightness/Spectral,bright,Environmental,sand,dunes,fine sand grains blowing against a glass bottle in the dunes
Brightness/Spectral,bright,Environmental,fire,campsite,small pine twigs snapping and popping in a hot campsite fire
Brightness/Spectral,bright,Environmental,geyser,volcanic field,a small geyser hissing steam through a narrow vent in a volcanic field
Brightness/Spectral,bright,Environmental,shell,seashore,a seashell being scraped against a piece of coral on a seashore
Brightness/Spectral,bright,Environmental,crystal,cave,water droplets hitting a quartz crystal formation in a deep cave
Brightness/Spectral,bright,Environmental,thaw,mountain slope,icicles dripping onto a sheet of metal on a mountain slope
Brightness/Spectral,bright,Environmental,reeds,marsh,dry reeds clattering together in a strong breeze in a marsh
Brightness/Spectral,bright,Environmental,gravel,driveway,fine gravel being poured from a bucket onto a stone driveway
Brightness/Spectral,bright,Environmental,snow,glacier,a thin crust of frozen snow breaking under a light footstep on a glacier
Brightness/Spectral,bright,Environmental,lava,ocean edge,molten lava hissing as it touches cold seawater at the ocean edge
Brightness/Spectral,bright,Environmental,thunder,high plateau,a sharp crack of thunder echoing across a high plateau
Brightness/Spectral,bright,Environmental,waterfall,rocky gorge,a thin waterfall splashing into a shallow rocky pool in a gorge
Brightness/Spectral,bright,Environmental,frost,morning field,frost-covered grass crunching under a light boot in a morning field
Brightness/Spectral,bright,Environmental,salt,salt flat,salt crystals being crushed by a metal shovel on a salt flat
Brightness/Spectral,bright,Organic,cicada,orchard,a cicada buzzing loudly in a fruit orchard during mid-summer
Brightness/Spectral,bright,Organic,bird,jungle,a tropical bird chirping a series of high notes in a dense jungle
Brightness/Spectral,bright,Organic,cricket,wheat field,a cricket chirping rhythmically in a sunlit wheat field
Brightness/Spectral,bright,Organic,dry grass,savanna,dry savanna grass rustling in a sharp wind
Brightness/Spectral,bright,Organic,wood,woodshop,a piece of cedar being snapped in two in a quiet woodshop
Brightness/Spectral,bright,Organic,beak,pine forest,a woodpecker tapping rapidly on a dry pine branch in a forest
Brightness/Spectral,bright,Organic,squirrel,park,a squirrel chattering a warning call from a high tree in a park
Brightness/Spectral,bright,Organic,bat,cave entrance,a bat emitting high-pitched clicks near a cave entrance
Brightness/Spectral,bright,Organic,dolphin,lagoon,a dolphin whistling through its blowhole in a tropical lagoon
Brightness/Spectral,bright,Organic,fingernails,library,fingernails tapping rapidly on a polished wooden desk in a library
Brightness/Spectral,bright,Organic,teeth,winter street,teeth chattering audibly in the cold on a winter street
Brightness/Spectral,bright,Organic,shrimp,coral reef,snapping shrimp clicking their claws in a vibrant coral reef
Brightness/Spectral,bright,Organic,bamboo,bamboo grove,dry bamboo stalks knocking together in a breeze in a grove
Brightness/Spectral,bright,Organic,seed pods,dry wash,dry seed pods rattling on a desert shrub in a dry wash
Brightness/Spectral,bright,Organic,bones,museum,small bird bones being rattled in a wooden box in a museum
Brightness/Spectral,bright,Organic,scales,desert floor,a snake's scales rasping over dry rocks on a desert floor
Brightness/Spectral,bright,Organic,wings,meadow,a dragonfly's wings buzzing as it hovers over a meadow
Brightness/Spectral,bright,Organic,husk,cornfield,dry corn husks peeling back in a breezy cornfield
Brightness/Spectral,bright,Organic,talons,mountain ledge,an eagle's talons scratching against a granite mountain ledge
Brightness/Spectral,bright,Organic,eggshell,kitchen,a thin bird eggshell being crushed on a marble countertop
Brightness/Spectral,bright,Domestic,silverware,dining room,silver spoons clinking together in a velvet-lined drawer
Brightness/Spectral,bright,Domestic,glass,kitchen,a wine glass being tapped with a silver ring in a kitchen
Brightness/Spectral,bright,Domestic,porcelain,tea room,a porcelain teacup being placed on a matching saucer in a tea room
Brightness/Spectral,bright,Domestic,keys,hallway,a bundle of brass keys jingling in a hallway
Brightness/Spectral,bright,Domestic,aluminum foil,pantry,a sheet of aluminum foil being crinkled in a pantry
Brightness/Spectral,bright,Domestic,ceramic,patio,a ceramic plate breaking on a stone patio
Brightness/Spectral,bright,Domestic,spray can,laundry room,a spray starch can being shaken with its metal mixing ball
Brightness/Spectral,bright,Domestic,scissors,sewing room,sharp scissors snipping through a piece of crisp parchment paper
Brightness/Spectral,bright,Domestic,zipper,bedroom,a metal zipper being pulled up quickly on a light jacket
Brightness/Spectral,bright,Domestic,mirror,bathroom,a handheld mirror being placed face down on a tile floor
Brightness/Spectral,bright,Domestic,blender,kitchen,a blender crushing ice cubes at high speed in a kitchen
Brightness/Spectral,bright,Domestic,coins,laundry,a handful of coins falling onto a tiled laundry room floor
Brightness/Spectral,bright,Domestic,beads,craft room,glass beads being poured into a metal tin in a craft room
Brightness/Spectral,bright,Domestic,ice cubes,wet bar,ice cubes clinking in a thin glass tumbler at a wet bar
Brightness/Spectral,bright,Domestic,light bulb,basement,a light bulb glass filament rattling inside its housing
Brightness/Spectral,bright,Domestic,can opener,kitchen,a manual can opener piercing the lid of a tin can
Brightness/Spectral,bright,Domestic,beater,bakery,a metal whisk hitting the side of a stainless steel bowl
Brightness/Spectral,bright,Domestic,thimble,sewing room,a metal thimble tapping against a glass needle jar
Brightness/Spectral,bright,Domestic,tweezers,bathroom,metal tweezers being dropped into a ceramic sink
Brightness/Spectral,bright,Domestic,whistle,sports field,a metal pea whistle being blown sharply on a sports field
Brightness/Spectral,bright,Electronic,spark,science lab,a blue electrical spark jumping between two metal spheres in a lab
Brightness/Spectral,bright,Electronic,circuit,clean room,a high-frequency pulse emitting from a circuit board in a clean room
