category,tag,domain,source,environment,scenario
Harmonic/Damped,muffled,Musical,trumpet,apartment,a trumpet playing behind a thick drywall in a neighbor's unit
Harmonic/Damped,muffled,Musical,piano,parlor,a grand piano being played with a heavy wool blanket draped over the strings
Harmonic/Damped,muffled,Musical,drums,basement,a drum kit strike heard from the second floor of a house
Harmonic/Damped,muffled,Musical,violin,closet,a violin being played inside a walk-in closet full of winter coats
Harmonic/Damped,muffled,Musical,cello,art gallery,a cello playing in a separate room heard through a velvet curtain
Harmonic/Damped,muffled,Musical,tuba,theatre,a tuba blast coming from beneath a heavy wooden stage
Harmonic/Damped,muffled,Musical,harp,conservatory,the resonance of a harp heard through a closed oak door
Harmonic/Damped,muffled,Musical,flute,meadow,a flute melody carried through a thick and heavy morning fog
Harmonic/Damped,muffled,Musical,gong,temple,a large gong being struck underwater in a deep stone basin
Harmonic/Damped,muffled,Musical,bagpipes,highlands,the drone of bagpipes heard from inside a thick stone cottage
Harmonic/Damped,muffled,Musical,harmonica,campsite,a harmonica being played with the hands tightly cupped over the instrument
Harmonic/Damped,muffled,Musical,accordion,tavern,an accordion being played inside a heavy padded carrying case
Harmonic/Damped,muffled,Musical,organ,church,the sound of a pipe organ heard from the church's underground crypt
Harmonic/Damped,muffled,Musical,timpani,concert hall,timpani being struck while covered with thick felt pads
Harmonic/Damped,muffled,Musical,guitar,recording studio,an acoustic guitar being strummed inside a heavy isolation booth
Harmonic/Damped,muffled,Musical,shaker,festival,a percussion shaker being rattled from inside a deep pocket
Harmonic/Damped,muffled,Musical,triangle,cathedral,a triangle strike heard from the opposite side of a heavy tapestry
Harmonic/Damped,muffled,Mechanical,engine,garage,a car engine idling behind a closed insulated garage door
Harmonic/Damped,muffled,Mechanical,drill,workshop,a power drill being used on the other side of a thick brick wall
Harmonic/Damped,muffled,Mechanical,fan,office,a desk fan spinning inside a cardboard box filled with packing peanuts
Harmonic/Damped,muffled,Mechanical,gears,clock tower,the grinding of gears heard through a floor of heavy timber
Harmonic/Damped,muffled,Mechanical,pump,basement,a water pump vibrating beneath a layer of thick rubber matting
Harmonic/Damped,muffled,Mechanical,generator,campsite,a portable generator running inside a soundproofed wooden shed
Harmonic/Damped,muffled,Mechanical,lathe,factory,the whir of a lathe heard from the foreman's glass-enclosed office
Harmonic/Damped,muffled,Mechanical,winch,dockyard,a motorized winch operating at the bottom of a deep concrete pit
Harmonic/Damped,muffled,Mechanical,typewriter,attic,the clack of a typewriter heard through a thick layer of floor insulation
Harmonic/Damped,muffled,Mechanical,sewing machine,loft,a sewing machine running on a table covered with a heavy tablecloth
Harmonic/Damped,muffled,Mechanical,conveyor,warehouse,a belt drive system operating behind a wall of stacked crates
Harmonic/Damped,muffled,Mechanical,shutter,loading dock,a metal rolling door closing on a garage across a wide yard
Harmonic/Damped,muffled,Mechanical,press,machine shop,a hydraulic press cycling inside a heavy metal enclosure
Harmonic/Damped,muffled,Mechanical,turbine,power plant,a large steam turbine heard through several layers of concrete shielding
Harmonic/Damped,muffled,Mechanical,elevator,hotel,the movement of an elevator car heard through the walls of a guest room
Harmonic/Damped,muffled,Mechanical,clock,hallway,the ticking of a grandfather clock heard from behind a heavy sofa
Harmonic/Damped,muffled,Mechanical,compressor,auto shop,an air compressor running inside a padded closet in a workshop
Harmonic/Damped,muffled,Environmental,thunder,mountain,a distant thunderclap occurring on the opposite side of a high ridge
Harmonic/Damped,muffled,Environmental,waterfall,cave,the roar of a waterfall heard from deep within a winding limestone tunnel
Harmonic/Damped,muffled,Environmental,rain,woods,heavy rain falling on the floor of a forest with a very thick canopy
