category,tag,domain,source,environment,scenario
Spatial/Distant,far,Musical,church bell,distant valley,a church bell tolling from a steeple several miles across a valley
Spatial/Distant,far,Musical,trumpet,mountain range,a trumpet fanfare echoing from a high peak in a distant range
Spatial/Distant,far,Musical,bagpipes,highland,the drone of bagpipes carried over a long stretch of moorland
Spatial/Distant,far,Musical,marching band,stadium,the rhythmic pulse of a marching band practicing in an arena across town
Spatial/Distant,far,Musical,gong,temple,a large temple gong being struck on a far-off misty hillside
Spatial/Distant,far,Musical,flute,meadow,a silver flute melody drifting from the edge of a distant forest
Spatial/Distant,far,Musical,drums,quarry,percussion strikes reflecting off the walls of a quarry half a mile away
Spatial/Distant,far,Musical,alphorn,alpine slope,an alphorn blowing a long note from a distant mountain pasture
Spatial/Distant,far,Musical,piano,manor house,the sound of a piano being played in a distant wing of a large estate
Spatial/Distant,far,Musical,harmonica,campsite,a harmonica playing by a fire on the far side of a lake
Spatial/Distant,far,Musical,violin,art gallery,a violin playing in a distant hall of a massive museum
Spatial/Distant,far,Musical,cello,conservatory,the low notes of a cello emanating from a rehearsal room down a long corridor
Spatial/Distant,far,Musical,triangle,cathedral,a triangle strike echoing from the far end of a stone cathedral
Spatial/Distant,far,Musical,chimes,rooftop,metal wind chimes ringing on a balcony several floors above a street
Spatial/Distant,far,Musical,organ,abbey,a pipe organ chord heard from outside the thick stone walls of an abbey
Spatial/Distant,far,Musical,banjo,farm,a banjo being plucked on a porch across a wide cornfield
Spatial/Distant,far,Musical,recorder,park,a recorder playing a melody from the center of a large public park
Spatial/Distant,far,Musical,tambourine,street festival,a tambourine being shaken at a parade blocks away in the city
Spatial/Distant,far,Mechanical,train,plains,a freight train blowing its horn as it crosses a horizon
Spatial/Distant,far,Mechanical,ship horn,harbor,a massive cargo ship horn sounding from the mouth of a bay
Spatial/Distant,far,Mechanical,foghorn,coastline,a foghorn emitting a low pulse from a lighthouse miles offshore
Spatial/Distant,far,Mechanical,propeller plane,sky,a twin-engine propeller plane flying at high altitude
Spatial/Distant,far,Mechanical,factory siren,industrial district,a mechanical steam whistle blowing at a distant manufacturing plant
Spatial/Distant,far,Mechanical,jackhammer,city street,the rapid thudding of a jackhammer from a construction site several blocks away
Spatial/Distant,far,Mechanical,pile driver,shipyard,a steam-powered pile driver striking a beam at a distant dock
Spatial/Distant,far,Mechanical,tractor,farmland,a diesel tractor engine idling in a field across a wide valley
Spatial/Distant,far,Mechanical,lawnmower,suburban park,a gas lawnmower running in a garden on the far side of a neighborhood
Spatial/Distant,far,Mechanical,winch,mine,a mechanical winch clattering as it operates deep in a distant shaft
Spatial/Distant,far,Mechanical,conveyor,quarry,a heavy conveyor belt moving rocks at the top of a far-off ridge
Spatial/Distant,far,Mechanical,generator,outpost,a large generator humming outside a remote mountain station
Spatial/Distant,far,Mechanical,clock tower,square,the mechanical gears of a clock shifting before a chime in a central tower
Spatial/Distant,far,Mechanical,crane,dock,a gantry crane's joints creaking at a shipyard across the harbor
Spatial/Distant,far,Mechanical,turbine,dam,the high whine of a hydroelectric turbine inside a concrete structure downriver
Spatial/Distant,far,Mechanical,piston,engine room,a large steam piston cycling in a ship's hull heard from the deck
Spatial/Distant,far,Mechanical,roller,factory,a metal roller flattening steel in a plant at the edge of town
Spatial/Distant,far,Mechanical,shutter,alley,a metal security shutter being rolled down in a distant marketplace
Spatial/Distant,far,Environmental,thunder,horizon,a long roll of thunder moving across a distant plain
Spatial/Distant,far,Environmental,avalanche,mountain,the low rumble of a snow slide on a far peak
