category,tag,domain,source,environment,scenario,file
valence/natural,beutiful,musical,concert harp,glass conservatory,a concert harp playing a slow arpeggio in a glass conservatory,beutiful/beutiful_musical_0000.mp3
valence/natural,beutiful,musical,cello,wood-paneled hall,a cello playing a long resonant note in a wood-paneled hall,beutiful/beutiful_musical_0001.mp3
valence/natural,beutiful,musical,silver flute,stone cathedral,a silver flute melody echoing in a stone cathedral,beutiful/beutiful_musical_0002.mp3
valence/natural,beutiful,musical,grand piano,ballroom,a grand piano chord sustaining in a vast empty ballroom,beutiful/beutiful_musical_0003.mp3
valence/natural,beutiful,musical,violin,marble staircase,a violin playing a high harmonic in a marble staircase,beutiful/beutiful_musical_0004.mp3
valence/natural,beutiful,musical,lute,library,a lute being plucked gently in a quiet library,beutiful/beutiful_musical_0005.mp3
valence/natural,beutiful,musical,pipe organ,church,a soft flute stop on a pipe organ sustaining in a church,beutiful/beutiful_musical_0006.mp3
valence/natural,beutiful,musical,sitar,temple,a sitar string vibrating in a stone temple,beutiful/beutiful_musical_0007.mp3
valence/natural,beutiful,musical,marimba,pit,a marimba played with very soft mallets in a theatre pit,beutiful/beutiful_musical_0008.mp3
valence/natural,beutiful,musical,vibraphone,jazz club,a vibraphone note sustaining with the motor spinning slowly,beutiful/beutiful_musical_0009.mp3
valence/natural,beutiful,musical,oboe,conservatory,an oboe playing a lyrical phrase in a conservatory,beutiful/beutiful_musical_0010.mp3
valence/natural,beutiful,musical,acoustic guitar,cellar,an acoustic guitar being strummed in a stone cellar,beutiful/beutiful_musical_0011.mp3
valence/natural,beutiful,musical,handpan,garden,a steel handpan being tapped with fingertips in a garden,beutiful/beutiful_musical_0012.mp3
valence/natural,beutiful,musical,singing bowl,monastery,a metal singing bowl being rubbed in a monastery,beutiful/beutiful_musical_0013.mp3
valence/natural,beutiful,musical,zither,tea house,a zither string being plucked in a tea house,beutiful/beutiful_musical_0014.mp3
valence/natural,beutiful,musical,mandolin,meadow,a mandolin playing a soft tremolo in a meadow,beutiful/beutiful_musical_0015.mp3
valence/natural,beutiful,musical,french horn,concert hall,a french horn playing a warm solo in a concert hall,beutiful/beutiful_musical_0016.mp3
valence/natural,beutiful,musical,glass harmonica,basement,a glass harmonica note sustaining in a quiet basement,beutiful/beutiful_musical_0017.mp3
valence/natural,beutiful,mechanical,antique music box,dusty attic,an antique hand-cranked music box playing in a dusty attic,beutiful/beutiful_mechanical_0018.mp3
valence/natural,beutiful,mechanical,pocket watch,study,the delicate ticking of a gold pocket watch on a desk,beutiful/beutiful_mechanical_0019.mp3
valence/natural,beutiful,mechanical,brass gears,clock tower,small brass gears meshing in a vintage clock mechanism,beutiful/beutiful_mechanical_0020.mp3
valence/natural,beutiful,mechanical,wooden water wheel,river mill,a wooden water wheel splashing rhythmically in a stream,beutiful/beutiful_mechanical_0021.mp3
valence/natural,beutiful,mechanical,windmill blades,farmland,the slow creaking of windmill blades in a light breeze,beutiful/beutiful_mechanical_0022.mp3
valence/natural,beutiful,mechanical,sewing machine,parlor,a vintage treadle sewing machine cycling slowly,beutiful/beutiful_mechanical_0023.mp3
valence/natural,beutiful,mechanical,film projector,cinema,the rhythmic whir of a 16mm film projector,beutiful/beutiful_mechanical_0024.mp3
valence/natural,beutiful,mechanical,spinning wheel,cottage,the hum of a wooden spinning wheel in a cottage,beutiful/beutiful_mechanical_0025.mp3
valence/natural,beutiful,mechanical,metronome,music room,a mechanical metronome ticking in a quiet music room,beutiful/beutiful_mechanical_0026.mp3
valence/natural,beutiful,mechanical,telescope,observatory,the mechanical clicking of a telescope mount being adjusted,beutiful/beutiful_mechanical_0027.mp3
valence/natural,beutiful,mechanical,lathe,workshop,a wood lathe turning a piece of cedar in a workshop,beutiful/beutiful_mechanical_0028.mp3
valence/natural,beutiful,mechanical,pulleys,warehouse,a rope sliding over a polished wooden pulley,beutiful/beutiful_mechanical_0029.mp3
valence/natural,beutiful,mechanical,winch,dock,a manual winch winding a cable on a quiet dock,beutiful/beutiful_mechanical_0030.mp3
valence/natural,beutiful,mechanical,shutter,studio,the soft click of a vintage camera leaf shutter,beutiful/beutiful_mechanical_0031.mp3
valence/natural,beutiful,mechanical,steam engine,station,a steam locomotive releasing a gentle hiss of pressure,beutiful/beutiful_mechanical_0032.mp3
valence/natural,beutiful,mechanical,typewriter,office,a typewriter carriage returning with a bell chime,beutiful/beutiful_mechanical_0033.mp3
valence/natural,beutiful,mechanical,fan,bedroom,a large wooden ceiling fan whirring slowly,beutiful/beutiful_mechanical_0034.mp3
valence/natural,beutiful,mechanical,centrifuge,lab,a laboratory centrifuge whining down to a stop,beutiful/beutiful_mechanical_0035.mp3
valence/natural,beutiful,environmental,mountain stream,valley,a slow mountain stream flowing over smooth mossy stones,beutiful/beutiful_environmental_0036.mp3
valence/natural,beutiful,environmental,morning rain,garden,light morning rain hitting a bed of flowers,beutiful/beutiful_environmental_0037.mp3
valence/natural,beutiful,environmental,wind,pine forest,a breeze soughing through a dense canopy of pine needles,beutiful/beutiful_environmental_0038.mp3
valence/natural,beutiful,environmental,waterfall,grotto,a thin curtain of water falling into a deep pool,beutiful/beutiful_environmental_0039.mp3
valence/natural,beutiful,environmental,distant thunder,plains,the low roll of distant thunder across a prairie,beutiful/beutiful_environmental_0040.mp3
valence/natural,beutiful,environmental,ocean waves,beach,gentle waves receding over a sandy shoreline,beutiful/beutiful_environmental_0041.mp3
valence/natural,beutiful,environmental,icicles melting,cave,water dripping from melting icicles onto a stone floor,beutiful/beutiful_environmental_0042.mp3
valence/natural,beutiful,environmental,fire,fireplace,the soft crackle of a cedar log in a fireplace,beutiful/beutiful_environmental_0043.mp3
valence/natural,beutiful,environmental,leaves,woods,dry leaves rustling in a light forest breeze,beutiful/beutiful_environmental_0044.mp3
valence/natural,beutiful,environmental,reeds,marsh,marsh reeds clattering together in a coastal wind,beutiful/beutiful_environmental_0045.mp3
valence/natural,beutiful,environmental,geyser,basin,steam rising from a geothermal vent in a field,beutiful/beutiful_environmental_0046.mp3
valence/natural,beutiful,environmental,mist,valley,the sound of water condensing on a leaf in a mist,beutiful/beutiful_environmental_0047.mp3
valence/natural,beutiful,environmental,thaw,spring,meltwater rushing through a narrow rocky stream,beutiful/beutiful_environmental_0048.mp3
