category,tag,domain,source,environment,scenario
Mass/Thick,fat,Musical,synthesizer,studio,a synthesizer playing a low-frequency square wave with a wide filter opening
Mass/Thick,fat,Musical,tuba,concert hall,a wide-bore tuba blowing a sustained pedal note
Mass/Thick,fat,Musical,drum machine,club,a drum machine triggering a low-frequency kick drum with a long decay
Mass/Thick,fat,Mechanical,diesel engine,truck stop,a heavy-duty diesel engine idling with a wide exhaust pipe
Mass/Thick,fat,Mechanical,furnace,basement,a large oil-burning furnace igniting with a deep resonance
Mass/Thick,fat,Mechanical,steam shovel,quarry,a vintage steam shovel releasing a massive burst of low-pressure steam
Mass/Thick,fat,Environmental,mud pot,geothermal field,a large bubble of thick mud bursting in a volcanic pool
Mass/Thick,fat,Environmental,thunder,plains,a low-frequency roll of thunder through a humid atmosphere
Mass/Thick,fat,Environmental,ocean surge,sea cave,a massive volume of water surging into a wide rock chamber
Mass/Thick,fat,Organic,walrus,arctic,a walrus emitting a low-frequency grunt on an ice floe
Mass/Thick,fat,Organic,elephant,savanna,an elephant blowing air through its trunk in a low-pitched rumble
Mass/Thick,fat,Organic,lion,zoo,a lion letting out a deep chesty growl before a roar
Mass/Thick,fat,Domestic,refrigerator,kitchen,a large commercial refrigerator compressor starting up
Mass/Thick,fat,Domestic,washing machine,laundry,a washing machine drum thumping during a heavy towels cycle
Mass/Thick,fat,Domestic,drainage,basement,a large volume of water rushing through a wide cast-iron pipe
Mass/Thick,fat,Electronic,subwoofer,living room,a large subwoofer cabinet vibrating with a low-frequency test tone
Mass/Thick,fat,Electronic,transformer,power station,a massive electrical transformer humming with a wide-spectrum buzz
Mass/Thick,fat,Electronic,amplifier,studio,a tube bass amplifier warming up with a low-frequency hum
Mass/Thick,full,Musical,pipe organ,cathedral,a pipe organ playing a major chord with all stops engaged
Mass/Thick,full,Musical,orchestra,concert hall,a full symphony orchestra playing a sustained unison note
Mass/Thick,full,Musical,grand piano,ballroom,a grand piano with the sustain pedal down playing a low chord
Mass/Thick,full,Mechanical,turbine,power plant,a massive steam turbine reaching full operational speed
Mass/Thick,full,Mechanical,airplane,runway,a jet engine at full throttle before takeoff
Mass/Thick,full,Mechanical,factory,industrial park,the collective hum of a textile mill running at peak capacity
Mass/Thick,full,Environmental,waterfall,jungle,a wide waterfall cascading into a deep pool
Mass/Thick,full,Environmental,wind,forest,a strong wind rushing through the canopy of a dense forest
Mass/Thick,full,Environmental,river,canyon,a flooded river filling a rocky gorge with a roar
Mass/Thick,full,Organic,choir,abbey,a large choir singing a powerful sustained note in an abbey
Mass/Thick,full,Organic,cricket,meadow,the continuous collective drone of a field of crickets at dusk
