category,tag,domain,source,environment,scenario
Density/Complexity,sparse,Musical,temple bell,mountain peak,a single heavy bronze bell tolling once on a silent mountain peak
Density/Complexity,sparse,Musical,classical guitar,meadow,a single nylon string being plucked and allowed to fade in a meadow
Density/Complexity,sparse,Musical,flute,canyon,a lone flute blowing a long steady note in a deep canyon
Density/Complexity,sparse,Musical,timpani,concert hall,a single timpani strike with a soft mallet echoing in a large hall
Density/Complexity,sparse,Musical,piano,ballroom,a lone high piano key being struck once in an empty ballroom
Density/Complexity,sparse,Musical,triangle,cathedral,a steel triangle being struck once in a vast stone cathedral
Density/Complexity,sparse,Musical,harp,botanical garden,a harpist plucking a single high string in a glass conservatory
Density/Complexity,sparse,Musical,violin,art gallery,a violin playing a long slow harmonic in a minimalist gallery
Density/Complexity,sparse,Musical,cello,stone cellar,a cello playing one deep pizzicato note in a vaulted cellar
Density/Complexity,sparse,Musical,glockenspiel,snowy forest,a single glockenspiel bar being hit with a hard mallet in a quiet forest
Density/Complexity,sparse,Musical,pipe organ,cathedral,a single low organ pipe sounding and stopping in a cathedral
Density/Complexity,sparse,Musical,didgeridoo,outback,a lone didgeridoo blowing a short low drone in the desert
Density/Complexity,sparse,Musical,cowbell,pasture,a cowbell clinking once as a cow shifts in a quiet field
Density/Complexity,sparse,Musical,snare drum,gymnasium,a single drumstick hitting a snare drum in a hollow gym
Density/Complexity,sparse,Musical,kalimba,rainforest,a single kalimba tine being flicked in a damp tropical rainforest
Density/Complexity,sparse,Musical,chimes,clifftop,a single metal wind chime being struck by a gust of wind
Density/Complexity,sparse,Musical,tambourine,theater,a tambourine being tapped once on its rim on an empty stage
Density/Complexity,sparse,Musical,xylophone,playground,a wooden xylophone bar being hit once with a rubber mallet
Density/Complexity,sparse,Musical,harmonica,train station,a harmonica playing a single long note on a quiet platform
Density/Complexity,sparse,Musical,marimba,conservatory,the lowest bar of a marimba being struck once with a soft mallet
Density/Complexity,sparse,Mechanical,clock,library,a large grandfather clock ticking once in a quiet library
Density/Complexity,sparse,Mechanical,relay,server room,a single mechanical relay clicking shut in a large control room
Density/Complexity,sparse,Mechanical,typewriter,study,a single typewriter key hitting the paper in a quiet study
Density/Complexity,sparse,Mechanical,press,workshop,a manual cider press creaking once as the handle is turned
Density/Complexity,sparse,Mechanical,camera,photography studio,a film camera shutter clicking once in a quiet room
Density/Complexity,sparse,Mechanical,stapler,office,a desktop stapler being pressed once in an empty office
Density/Complexity,sparse,Mechanical,latch,vault,a heavy metal latch clicking shut on a steel vault door
Density/Complexity,sparse,Mechanical,winch,dock,a metal winch ratcheting one notch while holding a boat
Density/Complexity,sparse,Mechanical,metronome,music room,a mechanical metronome ticking slowly in an empty room
Density/Complexity,sparse,Mechanical,pulleys,theater,a single wooden pulley creaking as a rope is pulled once
Density/Complexity,sparse,Mechanical,lock,hallway,a key turning in a lock and clicking once in a hallway
Density/Complexity,sparse,Mechanical,switch,cockpit,a heavy toggle switch being flipped once on a metal panel
Density/Complexity,sparse,Mechanical,shutter,rooftop,a metal exhaust shutter banging once against its frame
Density/Complexity,sparse,Mechanical,pen,classroom,a retractable ballpoint pen being clicked once in a quiet room
Density/Complexity,sparse,Mechanical,staple gun,garage,a staple gun firing once into a wooden beam in a garage
Density/Complexity,sparse,Mechanical,bell,bicycle path,a bicycle bell ringing once on a quiet suburban path
Density/Complexity,sparse,Mechanical,lever,factory,a heavy iron lever being pulled once in a quiet factory
Density/Complexity,sparse,Mechanical,valve,shipyard,a steam valve being turned and clicking once in a shipyard
Density/Complexity,sparse,Mechanical,coin op,arcade,a single coin falling into a metal tray in an empty arcade
Density/Complexity,sparse,Mechanical,fan,attic,a large fan blade hitting a plastic shroud once per rotation
Density/Complexity,sparse,Environmental,water drop,cave,a single drop of water hitting a stalagmite in a limestone cave
Density/Complexity,sparse,Environmental,thunder,plateau,a single distant roll of thunder across a high plateau
Density/Complexity,sparse,Environmental,twig,pine forest,a single dry pine twig snapping under a light footstep
Density/Complexity,sparse,Environmental,ice,lake,a single crack forming on the surface of a frozen lake
Density/Complexity,sparse,Environmental,rock,cliffside,a small limestone rock hitting a flat ledge after a fall
Density/Complexity,sparse,Environmental,bubble,swamp,a single large gas bubble popping in a thick mud pool
Density/Complexity,sparse,Environmental,rain,tent,a single heavy raindrop hitting the nylon fabric of a tent
Density/Complexity,sparse,Environmental,geyser,basin,a short hiss of steam from a single volcanic vent
Density/Complexity,sparse,Environmental,leaves,autumn forest,a single dry leaf skittering across a paved road in a forest
Density/Complexity,sparse,Environmental,acorn,oak grove,a single acorn hitting a wooden boardwalk in a quiet grove
Density/Complexity,sparse,Environmental,hail,greenhouse,a single hailstone hitting a glass pane in a greenhouse
Density/Complexity,sparse,Environmental,icicle,slope,a single icicle snapping off a rock ledge and shattering
Density/Complexity,sparse,Environmental,pebble,shoreline,a small pebble hitting a flat slate rock on a beach
Density/Complexity,sparse,Environmental,sand,dune,a single clump of sand sliding down a dry dune face
Density/Complexity,sparse,Environmental,wood,orchard,a single dry branch snapping on a fruit tree
Density/Complexity,sparse,Environmental,mist,valley,the sound of a single frozen droplet hitting a metal roof
Density/Complexity,sparse,Environmental,snow,glacier,a single crust of frozen snow breaking under a light step
Density/Complexity,sparse,Environmental,lava,ocean edge,a single glob of lava hissing as it touches seawater
Density/Complexity,sparse,Environmental,reeds,marsh,a single dry reed snapping in a quiet winter breeze
Density/Complexity,sparse,Environmental,thaw,garden,a single drop of water hitting a metal watering can
Density/Complexity,sparse,Organic,crow,farmland,a lone crow cawing once over a quiet winter wheat field
Density/Complexity,sparse,Organic,heartbeat,bedroom,a single rhythmic human heartbeat heard through a stethoscope
Density/Complexity,sparse,Organic,footstep,hallway,a single heavy footstep on an old creaky wooden floor
Density/Complexity,sparse,Organic,bark,kennel,a lone dog barking once in a distant concrete kennel
Density/Complexity,sparse,Organic,wings,cliff,the single flap of a large bird's wings near a rock face
Density/Complexity,sparse,Organic,beak,pine forest,a woodpecker tapping once on a hollow tree trunk
Density/Complexity,sparse,Organic,tail,pond,a beaver's tail slapping the water's surface once
Density/Complexity,sparse,Organic,knuckle,library,a person cracking a single knuckle in a quiet room
Density/Complexity,sparse,Organic,tongue,classroom,a person making a single sharp click with their tongue
Density/Complexity,sparse,Organic,chatter,park,a squirrel emitting one sharp warning call from a tree
Density/Complexity,sparse,Organic,munch,stable,a horse taking a single loud crunch of a crisp apple
Density/Complexity,sparse,Organic,shiver,cabin,a single sharp intake of breath in a cold room
Density/Complexity,sparse,Organic,throat,study,a person clearing their throat once in a quiet room
Density/Complexity,sparse,Organic,eggshell,kitchen,a single bird eggshell being cracked against a ceramic bowl
Density/Complexity,sparse,Organic,grunt,weight room,a single guttural grunt during a heavy lifting effort
Density/Complexity,sparse,Organic,talons,mountain,an eagle's talons clicking once against a granite rock
Density/Complexity,sparse,Organic,scales,desert,a snake's scales rasping once against a dry rock
Density/Complexity,sparse,Organic,hoof,paddock,a horse stomping a single hoof on the hard ground
