tag,domain,source,environment,scenario
shimmering,Musical,ride cymbal,jazz club,a ride cymbal with loose rivets spinning after a light strike in a jazz club
shimmering,Musical,wind chimes,porch,thin glass wind chimes clinking together in a light breeze on a porch
shimmering,Musical,sitar,stone temple,the sympathetic metal strings of a sitar vibrating in a stone temple
shimmering,Musical,glockenspiel,theater,a pair of soft mallets performing a rapid roll on a glockenspiel in a theater
shimmering,Musical,hammered dulcimer,pine forest,a hammered dulcimer being played with light wooden mallets in a pine forest
shimmering,Musical,violin,stone cathedral,a violin section performing a fast tremolo in a stone cathedral
shimmering,Musical,finger cymbals,marketplace,two small brass finger cymbals clashing lightly in a busy marketplace
shimmering,Musical,mandolin,wooden boardwalk,a mandolin being strummed with a rapid tremolo on a wooden boardwalk
shimmering,Musical,zither,dusty attic,a plectrum plucking a high wire string on a zither in a dusty attic
shimmering,Musical,tambourine,subway station,the silver jingles of a tambourine being shaken gently in a subway station
shimmering,Musical,harp,limestone grotto,a rapid harp glissando echoing in a limestone grotto
shimmering,Musical,hand bells,nursery,a set of small silver hand bells being rung together in a nursery
shimmering,Musical,glass armonica,greenhouse,a glass armonica bowl spinning against a wet finger in a greenhouse
shimmering,Musical,triangle,concert hall,a metal beater striking a triangle repeatedly in a concert hall
shimmering,Musical,chime bar,recording studio,a metal chime bar vibrating after a light strike in a recording studio
shimmering,Musical,12-string guitar,high-rise rooftop,a 12-string guitar being strummed quickly on a high-rise rooftop
shimmering,Musical,steel drum,rocky beach,a steel drum being played with light rubber mallets on a rocky beach
shimmering,Musical,crotales,museum,a hard mallet striking a crotale disc in a museum
shimmering,Mechanical,silver chain,clock tower,a fine silver chain moving over a brass gear in a clock tower
shimmering,Mechanical,flywheel,old mill,a polished brass flywheel spinning at high speed in an old mill
shimmering,Mechanical,turbine blades,runway,thin metal turbine blades spinning in a jet engine on a runway
shimmering,Mechanical,ball bearings,laboratory,precision ceramic ball bearings rattling in a stainless steel tray in a lab
shimmering,Mechanical,sewing needle,boutique,a sewing needle oscillating rapidly through silk in a boutique
shimmering,Mechanical,mirror motor,ballroom,a small electric motor spinning a faceted mirror ball in a ballroom
shimmering,Mechanical,conveyor rollers,factory,metal rollers spinning under a fast-moving conveyor belt in a factory
shimmering,Mechanical,clockwork gears,playroom,tiny brass gears turning in a wind-up toy in a playroom
shimmering,Mechanical,metal shavings,workshop,metal shavings vibrating on a high-frequency sanding table in a workshop
shimmering,Mechanical,cooling fan,office,a cooling fan with thin plastic blades spinning in an office
shimmering,Mechanical,escalator treads,shopping mall,metal escalator treads moving and clicking in a shopping mall
shimmering,Mechanical,typewriter hammers,newsroom,typewriter hammers vibrating against each other in a newsroom
shimmering,Mechanical,bicycle spokes,park path,bicycle spokes spinning fast on a paved park path
shimmering,Mechanical,metal shutters,ghost town,thin metal shutters vibrating in a steady breeze in a ghost town
shimmering,Mechanical,loom shuttle,textile mill,a wooden shuttle moving rapidly across silk threads in a textile mill
shimmering,Mechanical,watch gears,jewelry shop,tiny gears turning in a mechanical wristwatch in a jewelry shop
shimmering,Mechanical,piston rings,engine room,metal piston rings sliding inside a polished cylinder in an engine room
shimmering,Mechanical,vent slats,warehouse,thin metal vent slats vibrating in a strong wind in a warehouse
shimmering,Mechanical,gyroscope,science center,a metal gyroscope spinning and wobbling on a glass plate
shimmering,Mechanical,telegraph key,railway station,a silver-tipped telegraph key being tapped rapidly in a station
shimmering,Environmental,water ripples,still pond,water ripples hitting a cluster of pebbles in a still pond
shimmering,Environmental,aspen leaves,dense forest,wind blowing through a grove of trembling aspen leaves in a forest
shimmering,Environmental,heat haze,desert highway,heat haze rising from an asphalt highway in a desert
shimmering,Environmental,ice crystals,arctic tundra,ice crystals blowing across a frozen crust in a tundra
shimmering,Environmental,light rain,mountain valley,light rain hitting the surface of a still lake in a mountain valley
shimmering,Environmental,sand grains,desert dunes,grains of sand skittering over a glass bottle in a desert wind
shimmering,Environmental,ocean spray,wooden pier,ocean spray hitting a rusted metal pylon under a pier
shimmering,Environmental,sleet,greenhouse,sleet hitting the glass roof of a greenhouse in a garden
shimmering,Environmental,poplar seeds,riverbank,dry poplar seeds drifting and hitting leaves on a riverbank
shimmering,Environmental,ice sheets,arctic bay,thin ice sheets knocking together in a light tide in an arctic bay
shimmering,Environmental,wheat field,wide prairie,wind rushing through a field of dry wheat in a prairie
shimmering,Environmental,gas bubbles,geothermal field,gas bubbles rising and popping in a mineral spring in a field
shimmering,Environmental,snowflakes,garden shed,large snowflakes landing on a corrugated tin roof of a garden shed
shimmering,Environmental,waterfall mist,tropical jungle,waterfall mist hitting broad tropical leaves in a jungle
shimmering,Environmental,marsh reeds,marshland,dry reeds brushing together in a light breeze in a marshland
shimmering,Environmental,dry leaves,backyard,dry leaves skittering across a concrete patio in a backyard
shimmering,Environmental,shale fragments,desert canyon,small shale fragments sliding down a rock face in a canyon
shimmering,Environmental,morning dew,pine grove,morning dew dripping from pine needles onto a dry leaf in a grove
shimmering,Organic,dragonfly wings,marsh,a dragonfly’s wings vibrating as it hovers over a marshland
shimmering,Organic,snake scales,desert wash,snake scales sliding over a smooth stone in a sandy desert wash
shimmering,Organic,bird feathers,flower garden,a bird ruffling its feathers in a garden birdbath
shimmering,Organic,cicada wings,orchard,the dry transparent wings of a cicada vibrating in an orchard
shimmering,Organic,bee swarm,clover field,a swarm of bees hovering near a wooden hive in a clover field
shimmering,Organic,fish scales,fishing boat,fish scales scraping against a metal deck on a fishing boat
shimmering,Organic,grasshopper legs,wheat field,a grasshopper’s legs rubbing together in a wheat field
shimmering,Organic,cat whiskers,kitchen,a cat’s whiskers brushing against a ceramic bowl in a kitchen
shimmering,Organic,human fingers,boutique,human fingers rubbing a piece of silk fabric in a boutique
shimmering,Organic,butterfly wings,meadow,butterfly wings flapping rapidly in a flower meadow
shimmering,Organic,bat wings,limestone cave,bat wings fluttering against the air in a limestone cave
shimmering,Organic,squirrel claws,city park,a squirrel’s claws clicking on a brick wall in a city park
shimmering,Organic,spider,dusty attic,a spider crawling over a sheet of parchment in a dusty attic
shimmering,Organic,crab shell,rocky shore,a crab’s shell hitting wet sand on a rocky shoreline
shimmering,Organic,beetle wing covers,porch,a beetle’s hard wing covers vibrating against a glass window on a porch
shimmering,Organic,human teeth,observatory,a person’s teeth chattering in a cold observatory
shimmering,Organic,hummingbird wings,flower bed,a hummingbird’s wings flapping at high frequency in a flower bed
shimmering,Organic,lizard,tropical jungle,a lizard scurrying over dry bark in a tropical jungle
shimmering,Domestic,chandelier prisms,ballroom,crystal prisms on a chandelier clinking in a drafty ballroom
shimmering,Domestic,silverware,kitchen,silverware being sorted in a wooden drawer in a kitchen
shimmering,Domestic,glass beads,workshop,glass beads falling onto a metal tray in a workshop
shimmering,Domestic,silver chain,bedroom,a thin silver chain sliding across a glass dresser in a bedroom
shimmering,Domestic,beaded curtain,hallway,a beaded curtain swaying in a drafty hallway
shimmering,Domestic,silk curtains,living room,silk curtains brushing against a wooden floor in a living room
shimmering,Domestic,wine glasses,dining room,the rims of two crystal wine glasses clinking in a dining room
shimmering,Domestic,metal whisk,bakery,a metal whisk striking the side of a stainless steel bowl in a bakery
shimmering,Domestic,tea set lid,parlor,a porcelain tea set lid rattling on a cup in a parlor
shimmering,Domestic,keys,entryway,a bunch of metal keys jingling in a front door lock
shimmering,Domestic,marbles,playroom,glass marbles rolling in a glass jar in a playroom
shimmering,Domestic,thimble,sewing room,a metal thimble hitting a sewing needle in a sewing room
shimmering,Domestic,coins,home office,metal coins being shaken in a small tin box in an office
shimmering,Domestic,window pane,attic,a loose window pane vibrating in its frame in a dusty attic
shimmering,Domestic,soap bubbles,bathroom,soap bubbles popping on the surface of water in a bathtub
shimmering,Domestic,sequins,closet,sequins on a dress rubbing together in a closet
shimmering,Domestic,measuring spoons,cupboard,metal measuring spoons clinking together in a kitchen cupboard
shimmering,Domestic,aluminum foil,pantry,a sheet of aluminum foil being unfolded in a pantry
shimmering,Electronic,neon sign,alleyway,a neon sign transformer flickering in a rain-soaked alleyway
shimmering,Electronic,plasma ball,science museum,a large plasma ball humming in a science museum
shimmering,Electronic,radio static,attic,white noise from an old radio between stations in a dusty attic
shimmering,Electronic,crt monitor,basement,a cathode ray tube monitor degaussing in a basement
shimmering,Electronic,tesla coil,laboratory,a tesla coil discharging a series of bright sparks in a lab
shimmering,Electronic,transformer,city street,an electrical transformer humming in a foggy city street
shimmering,Electronic,digital clock,bedroom,a digital clock alarm pulsing on a glass nightstand in a bedroom
shimmering,Electronic,drone propellers,meadow,drone propellers spinning at high speed in a meadow
shimmering,Electronic,electric shaver,washroom,an electric shaver motor vibrating in a tiled washroom
shimmering,Electronic,laptop fan,library,a cooling fan in a laptop spinning in a quiet library
shimmering,Electronic,circuit board,garage,a circuit board shorting out with a series of tiny pops in a garage
shimmering,Electronic,led indicator,control room,a small led indicator flickering in a control room
shimmering,Electronic,smart watch,nightstand,a smart watch vibration motor buzzing against a glass tabletop
shimmering,Electronic,geiger counter,uranium mine,a geiger counter clicking rapidly near a mineral source in a mine
shimmering,Electronic,hard drive,server room,a hard drive head moving across a glass platter in a server room
shimmering,Electronic,bug zapper,backyard,an electric bug zapper snapping in a backyard
shimmering,Electronic,synthesizer,recording studio,a voltage controlled filter modulating a sawtooth wave in a studio
shimmering,Electronic,microwave,kitchen,a microwave magnetron humming during a cycle in a kitchen
