category,tag,domain,source,environment,scenario
Attack/Transient,punchy,Musical,kick drum,concrete basement,a felt beater striking a kick drum in a concrete basement
Attack/Transient,punchy,Musical,timpani,mountain peak,a large timpani being struck with a hard mallet on a mountain peak
Attack/Transient,punchy,Musical,snare drum,empty subway station,a snare drum being hit with a rimshot in an empty subway station
Attack/Transient,punchy,Musical,slap bass,tiled bathroom,a thick electric bass string being slapped in a tiled bathroom
Attack/Transient,punchy,Musical,concert grand piano,deserted ballroom,a low staccato note played on a concert grand piano in a deserted ballroom
Attack/Transient,punchy,Musical,conga drum,open canyon,a sharp open tone on a conga drum in an open canyon
Attack/Transient,punchy,Musical,muted trumpet,narrow alleyway,a muted trumpet playing a loud staccato blast in a narrow alleyway
Attack/Transient,punchy,Musical,woodblock,dense forest,a hardwood woodblock being struck with a plastic mallet in a dense forest
Attack/Transient,punchy,Musical,tenor saxophone,shipyard,a tenor saxophone playing a short growling note in a shipyard
Attack/Transient,punchy,Musical,orchestral cymbals,clifftop,two orchestral cymbals clashing once on a clifftop
Attack/Transient,punchy,Musical,log drum,tropical jungle,a hollow log drum being struck with a heavy stick in a tropical jungle
Attack/Transient,punchy,Musical,electric guitar,industrial warehouse,an electric guitar chord being muted and struck in an industrial warehouse
Attack/Transient,punchy,Musical,pauken,stone cathedral,a pauken drum being hit with a wooden beater in a stone cathedral
Attack/Transient,punchy,Musical,xylophone,botanical garden,a rosewood xylophone bar being struck in a botanical garden
Attack/Transient,punchy,Musical,tambourine,windy hilltop,a tambourine being hit hard with a palm on a windy hilltop
Attack/Transient,punchy,Musical,bassoon,wooden library,a bassoon playing a low accented note in a wooden library
Attack/Transient,punchy,Musical,taiko drum,misty meadow,a large taiko drum being struck in a misty meadow
Attack/Transient,punchy,Musical,chimes,clock tower,a single chime of a heavy bell in a clock tower
Attack/Transient,punchy,Mechanical,pneumatic nail gun,construction site,a pneumatic nail gun firing into a wooden beam at a construction site
Attack/Transient,punchy,Mechanical,car door,parking garage,a heavy car door being slammed shut in a parking garage
Attack/Transient,punchy,Mechanical,hydraulic press,industrial plant,a hydraulic press making a quick downward strike in an industrial plant
Attack/Transient,punchy,Mechanical,punch press,metal workshop,a metal punch press stamping a hole in a steel plate in a metal workshop
Attack/Transient,punchy,Mechanical,staple gun,shipping warehouse,a heavy-duty staple gun firing into a crate in a shipping warehouse
Attack/Transient,punchy,Mechanical,jackhammer,city street,a jackhammer making a single powerful strike on concrete in a city street
Attack/Transient,punchy,Mechanical,pile driver,dockside,the heavy impact of a pile driver hitting a steel post at a dockside
Attack/Transient,punchy,Mechanical,air brake,mountain road,the quick release of an air brake on a truck on a mountain road
Attack/Transient,punchy,Mechanical,impact wrench,auto garage,a pneumatic impact wrench delivering a quick burst in an auto garage
Attack/Transient,punchy,Mechanical,piston,engine room,a large steam piston completing a stroke in an engine room
Attack/Transient,punchy,Mechanical,typewriter,quiet office,the heavy carriage return of a manual typewriter in a quiet office
