category,tag,domain,source,environment,scenario,file
harmonic/damped,muffled,musical,brass trumpet,theater,a brass trumpet playing behind a heavy stage curtain,muffled/muffled_musical_0000.mp3
harmonic/damped,muffled,musical,grand piano,conservatory,a grand piano played with the lid closed and covered in a thick blanket,muffled/muffled_musical_0001.mp3
harmonic/damped,muffled,musical,snare drum,studio,a snare drum with a pillow placed inside the shell,muffled/muffled_musical_0002.mp3
harmonic/damped,muffled,musical,acoustic guitar,bedroom,an acoustic guitar being played under a heavy duvet,muffled/muffled_musical_0003.mp3
harmonic/damped,muffled,musical,violin,attic,a violin heard through a thick wooden ceiling,muffled/muffled_musical_0004.mp3
harmonic/damped,muffled,musical,cello,basement,a cello playing in a room across a long carpeted hallway,muffled/muffled_musical_0005.mp3
harmonic/damped,muffled,musical,pipe organ,street,the sound of a pipe organ heard from outside a stone cathedral,muffled/muffled_musical_0006.mp3
harmonic/damped,muffled,musical,tambourine,closet,a tambourine shaken inside a padded storage box,muffled/muffled_musical_0007.mp3
harmonic/damped,muffled,musical,harp,parlor,a harp playing in a room with floor-to-ceiling velvet drapes,muffled/muffled_musical_0008.mp3
harmonic/damped,muffled,musical,marimba,gym,a marimba heard from the hallway of a school through a closed door,muffled/muffled_musical_0009.mp3
harmonic/damped,muffled,musical,shaker,vocal booth,a plastic shaker heard through a double-paned glass window,muffled/muffled_musical_0010.mp3
harmonic/damped,muffled,musical,harmonica,porch,a harmonica played with cupped hands tightly closed around the instrument,muffled/muffled_musical_0011.mp3
harmonic/damped,muffled,musical,didgeridoo,cave,a didgeridoo drone heard from deep within a side tunnel,muffled/muffled_musical_0012.mp3
harmonic/damped,muffled,musical,banjo,cabin,a banjo being played inside a thick log cabin heard from the woods,muffled/muffled_musical_0013.mp3
harmonic/damped,muffled,musical,timpani,hallway,a timpani strike heard through a reinforced concrete wall,muffled/muffled_musical_0014.mp3
harmonic/damped,muffled,musical,recorder,nursery,a wooden recorder played softly in a room full of stuffed toys,muffled/muffled_musical_0015.mp3
harmonic/damped,muffled,musical,tuba,rehearsal room,a tuba note echoing in a room lined with acoustic foam,muffled/muffled_musical_0016.mp3
