category,tag,domain,source,environment,scenario
Emotional/Subjective,haunting,Musical,cello,stone crypt,a long bowed note on a cello with heavy resin
Emotional/Subjective,haunting,Musical,glass armonica,museum,a wet finger circling a revolving glass bowl
Emotional/Subjective,haunting,Musical,pipe organ,abbey,a sustained minor chord on a 32-foot organ pipe
Emotional/Subjective,haunting,Musical,singing bowl,shrine,the lingering vibration of a large crystal singing bowl
Emotional/Subjective,haunting,Musical,theremin,laboratory,the wavering pitch of a theremin following a moving hand
Emotional/Subjective,haunting,Musical,piano,mansion,a solitary low-register note on a grand piano with no sustain
Emotional/Subjective,haunting,Musical,ocarina,canyon,a soft breathy melody on a clay ocarina
Emotional/Subjective,haunting,Musical,harp,sunroom,a single low harp string vibrating in a quiet hall
Emotional/Subjective,haunting,Musical,gong,temple,the complex overtones of a large bronze gong after a soft strike
Emotional/Subjective,haunting,Musical,viola,recording booth,a slow bowed harmonic note on a viola
Emotional/Subjective,haunting,Musical,trumpet,rooftop,a distant muted trumpet fanfare at dusk
Emotional/Subjective,haunting,Musical,choir,cathedral,the harmonized humming of a choir in a stone vault
Emotional/Subjective,haunting,Musical,flute,meadow,a low-register whistle tone on a silver flute
Emotional/Subjective,haunting,Musical,sitar,temple garden,the sympathetic strings of a sitar after a single pluck
Emotional/Subjective,haunting,Musical,bells,square,the distant tolling of a single iron bell
Emotional/Subjective,haunting,Musical,dulcimer,attic,a slow melody played on a hammered dulcimer
Emotional/Subjective,haunting,Musical,synthesizer,studio,a sustained sine wave with a slow pitch vibrato
Emotional/Subjective,haunting,Mechanical,foghorn,harbor,a foghorn blast across a wide misty bay
Emotional/Subjective,haunting,Mechanical,winch,dockside,the slow rhythmic squeaking of a rusted iron winch
Emotional/Subjective,haunting,Mechanical,clockwork,museum,the slow heavy ticking of an ancient astronomical clock
Emotional/Subjective,haunting,Mechanical,engine,shipyard,the low rhythmic throb of a steam engine in a hull
Emotional/Subjective,haunting,Mechanical,boiler,foundry,the internal churning and groaning of a steam boiler
