tag,domain,source,environment,scenario
punchy,Musical,kick drum,underground bunker,a heavy beater striking a kick drum in an underground bunker
punchy,Musical,snare drum,tiled hallway,a wooden stick hitting a snare drum in a tiled hallway
punchy,Musical,cowbell,mountain trail,a metal rod striking a cowbell on a mountain trail
punchy,Musical,woodblock,empty theater,a mallet hitting a cherry woodblock in an empty theater
punchy,Musical,double bass,jazz club,a thick gut string being plucked on a double bass in a jazz club
punchy,Musical,grand piano,stone church,a heavy chord played on a grand piano in a stone church
punchy,Musical,timpani,open field,a felt mallet striking a timpani in an open field
punchy,Musical,conga,rocky beach,a palm slapping the center of a conga on a rocky beach
punchy,Musical,tambourine,city square,a fist hitting a tambourine in a busy city square
punchy,Musical,cello,library,a bow hair snapping against a cello string in a quiet library
punchy,Musical,agogo bells,rainforest,a wooden stick hitting agogo bells in a dense rainforest
punchy,Musical,djembe,sandy desert,a fingertips-first slap on a djembe in a sandy desert
punchy,Musical,glockenspiel,dusty attic,a metal mallet striking a glockenspiel bar in a dusty attic
punchy,Musical,hi-hat,concrete garage,a hi-hat cymbal closing sharply in a concrete garage
punchy,Musical,marimba,botanical garden,a hard rubber mallet hitting a marimba in a botanical garden
punchy,Musical,floor tom,deep canyon,a drumstick hitting a floor tom in a deep canyon
punchy,Musical,electric guitar,high-rise rooftop,a plectrum digging into a thick electric guitar string on a rooftop
punchy,Musical,flat gong,monastery,a small mallet striking the center of a flat gong in a monastery
punchy,Mechanical,pneumatic nailer,workshop,a pneumatic nailer firing into a wooden stud in a workshop
punchy,Mechanical,typewriter,attic,a typewriter key hitting the platen in a dusty attic
punchy,Mechanical,jackhammer,street corner,a jackhammer bit striking asphalt on a busy street corner
punchy,Mechanical,stapler,office,a heavy-duty stapler being pressed through a thick stack of paper
punchy,Mechanical,piston,engine room,a metal piston reaching the top of its stroke in a ship's engine room
punchy,Mechanical,printing press,factory,a printing press arm striking a metal plate in a factory
punchy,Mechanical,manual pump,farmland,a manual water pump handle hitting its metal base on a farm
punchy,Mechanical,cash register,diner,a manual cash register drawer slamming shut in a diner
punchy,Mechanical,industrial press,shipyard,an industrial press punching a hole in a steel sheet in a shipyard
punchy,Mechanical,gear,windmill,a heavy wooden gear tooth engaging another in a windmill
punchy,Mechanical,relay,substation,a high-voltage relay clicking shut in a power substation
punchy,Mechanical,sewing machine,boutique,a sewing machine needle puncturing heavy denim in a boutique
punchy,Mechanical,loom,weaving shed,a wooden shuttle hitting the side of a loom in a weaving shed
punchy,Mechanical,cam,garage,a mechanical cam lobe hitting a valve stem in a garage
punchy,Mechanical,turret,military base,a metal latch locking a turret hatch on a military base
punchy,Mechanical,clockwork,museum,a large clockwork escapement wheel advancing in a museum
punchy,Mechanical,vending machine,arcade,a solenoid kicking a metal ball in an arcade machine
punchy,Mechanical,metal stamper,jewelry shop,a metal stamper marking a silver ring in a jewelry shop
punchy,Environmental,thunder,mountain peak,a sudden thunder crack near a mountain peak
punchy,Environmental,rock,quarry,a falling rock impacting a pile of stones in a quarry
punchy,Environmental,ice,arctic lake,a thick sheet of ice cracking on an arctic lake
punchy,Environmental,branch,pine forest,a dry pine branch snapping under weight in a forest
punchy,Environmental,hail,greenhouse,a large hailstone hitting a glass pane on a greenhouse
punchy,Environmental,wave,sea wall,a rogue wave slamming into a concrete sea wall
punchy,Environmental,rain,shed,a large raindrop hitting a hot tin roof in a shed
punchy,Environmental,geyser,volcanic field,a geyser's initial burst of water hitting a rocky ledge
punchy,Environmental,earth,construction site,a heavy clod of dry earth hitting a wooden board
