tag,domain,source,environment,scenario
explosive,Musical,timpani,concert hall,a felt mallet striking a timpani at full force in a concert hall
explosive,Musical,crash cymbals,stadium,two large crash cymbals colliding in an open stadium
explosive,Musical,grand piano,ballroom,a heavy cluster of keys being slammed on a grand piano in a ballroom
explosive,Musical,pipe organ,cathedral,a massive pipe organ chord beginning in a stone cathedral
explosive,Musical,gong,monastery,a large gong being struck with a metal hammer in a monastery
explosive,Musical,bass drum,parade route,a marching bass drum being hit with a hard beater on a parade route
explosive,Musical,cello,recording studio,a cello string snapping under high tension in a recording studio
explosive,Musical,trumpet,shipyard,a sudden trumpet blast echoing through a steel shipyard
explosive,Musical,snare drum,tiled bathroom,a snare drum rimshot in a small tiled bathroom
explosive,Musical,woodblock,theater,a heavy mallet fracturing a woodblock in a theater
explosive,Musical,taiko drum,mountaintop,a taiko drum being struck with large wooden beaters on a mountaintop
explosive,Musical,accordion,alleyway,accordion bellows being slammed shut in a narrow alleyway
explosive,Musical,harp,library,a harp string breaking and hitting the soundboard in a library
explosive,Musical,floor tom,cave,a floor tom being struck with a heavy stick in a limestone cave
explosive,Musical,saxophone,subway,a saxophone reed chirping during a sudden high-pressure note in a subway
explosive,Musical,tambourine,marketplace,a tambourine being struck against a knee in a busy marketplace
explosive,Musical,log drum,jungle,a hollow log drum being hit with a heavy wooden club in a jungle
explosive,Musical,electric guitar,garage,an electric guitar being smashed against a concrete floor in a garage
explosive,Mechanical,steam valve,factory,a high-pressure steam valve bursting in a factory
explosive,Mechanical,engine,racetrack,a racing engine backfiring on a track
explosive,Mechanical,pneumatic piston,assembly line,a pneumatic piston slamming into a metal stop on an assembly line
explosive,Mechanical,hydraulic line,construction site,a hydraulic hose bursting under pressure on a construction site
explosive,Mechanical,pressure tank,workshop,a compressed air tank being punctured in a workshop
explosive,Mechanical,pile driver,harbor,a pile driver hitting a steel beam in a harbor
explosive,Mechanical,printing press,basement,a printing press roller seizing at high speed in a basement
explosive,Mechanical,metal lathe,industrial site,a metal lathe tool bit snapping under a heavy load
explosive,Mechanical,chainsaw,forest,a chainsaw engine seizing with a sudden jerk in a forest
explosive,Mechanical,boiler,old house,a boiler tank cracking under steam pressure in an old house
explosive,Mechanical,crane cable,shipyard,a heavy steel crane cable snapping under a load in a shipyard
explosive,Mechanical,jackhammer,bridge,a jackhammer hitting a pocket of air in reinforced concrete on a bridge
explosive,Mechanical,air brake,truck stop,a truck air brake system venting pressure at a truck stop
explosive,Mechanical,conveyor belt,quarry,a heavy-duty conveyor belt motor exploding in a stone quarry
explosive,Mechanical,wrecking ball,city block,a wrecking ball impacting a brick wall on a city block
explosive,Mechanical,nail gun,attic,a pneumatic nail gun firing into a metal plate in an attic
explosive,Mechanical,elevator cable,office building,an elevator safety brake engaging on a rail in an office building
explosive,Mechanical,gear,windmill,a large wooden gear tooth shearing off in a windmill
explosive,Environmental,lightning,mountain peak,a lightning strike hitting a rocky peak
explosive,Environmental,volcano,island,a volcanic vent erupting with gas and ash on an island
explosive,Environmental,geyser,geothermal park,a geyser's initial burst of water hitting a rocky ledge
explosive,Environmental,thunder,open prairie,a sudden thunderclap over an open prairie
explosive,Environmental,ocean wave,sea wall,a massive wave slamming into a concrete sea wall
explosive,Environmental,ice shelf,arctic bay,a huge block of ice calving from a glacier into a bay
explosive,Environmental,rockfall,canyon,a large boulder fracturing upon impact in a canyon
explosive,Environmental,avalanche,mountain slope,the start of an avalanche on a steep mountain slope
explosive,Environmental,flash flood,desert wash,a flash flood slamming debris into a rock face in a desert wash
explosive,Environmental,wildfire,pine forest,a pocket of resin exploding in a burning pine tree
explosive,Environmental,methane bubble,swamp,a large methane bubble bursting on the surface of a swamp
explosive,Environmental,sinkhole,farmland,the ground suddenly collapsing into a sinkhole on farmland
explosive,Environmental,mud pot,volcanic field,a thick mud bubble bursting in a volcanic field
explosive,Environmental,tree trunk,storm,a massive oak tree snapping in half during a storm
explosive,Environmental,frost,tundra,the ground cracking due to sudden deep frost in a tundra
explosive,Environmental,lava tube,wasteland,a lava tube ceiling collapsing in a volcanic wasteland
explosive,Environmental,hailstone,greenhouse,a giant hailstone shattering a glass pane on a greenhouse
explosive,Environmental,meteor,desert,a small meteor impacting a sandy desert floor
explosive,Organic,human voice,canyon,a person letting out a sudden shout in a canyon
explosive,Organic,lion,savanna,a lion letting out an initial roar in a savanna
explosive,Organic,whale,ocean,a whale breaching and hitting the water surface in the ocean
explosive,Organic,elephant,jungle,an elephant trumpeting with high pressure in a jungle
explosive,Organic,alligator,swamp,an alligator snapping its jaws shut in a swamp
explosive,Organic,hands,stadium,a single loud clap from a person's hands in a stadium
explosive,Organic,feet,wooden floor,a person jumping and landing hard on a hollow wooden floor
explosive,Organic,lungs,library,a sudden violent sneeze in a quiet library
explosive,Organic,bone,butcher shop,a large bone snapping under a heavy cleaver in a butcher shop
explosive,Organic,gorilla,rainforest,a gorilla thumping its chest with great force in a rainforest
explosive,Organic,beaver,lake,a beaver slapping its tail on the water in a lake
explosive,Organic,horse,stable,a horse kicking a wooden stable wall with both hind legs
explosive,Organic,teeth,bedroom,a person's teeth clicking together during a sudden jaw shut
explosive,Organic,wings,barn,a heavy bird's wings flapping once during a panicked takeoff in a barn
explosive,Organic,seed pod,meadow,a pressurized seed pod bursting open in a sunny meadow
explosive,Organic,knuckles,classroom,a person cracking all their knuckles at once in a classroom
explosive,Organic,fist,gym,a heavy fist hitting a leather punching bag in a gym
explosive,Organic,tree root,forest,a thick tree root snapping under the weight of a falling trunk
explosive,Domestic,balloon,playroom,a rubber balloon being popped with a needle in a playroom
explosive,Domestic,champagne bottle,dining room,a champagne cork popping out of a bottle in a dining room
explosive,Domestic,lightbulb,utility room,a lightbulb imploding in a trash compactor in a utility room
explosive,Domestic,popcorn,kitchen,a single kernel of popcorn bursting in a metal pot
explosive,Domestic,pressure cooker,kitchen,a pressure cooker safety valve blowing in a kitchen
explosive,Domestic,door,hallway,a heavy front door being slammed shut in a hallway
explosive,Domestic,glass pitcher,terrace,a glass pitcher falling and shattering on a stone terrace
explosive,Domestic,firecracker,backyard,a small firecracker exploding in a backyard
explosive,Domestic,aerosol can,bonfire,an aerosol can bursting in a bonfire
explosive,Domestic,window,living room,a window pane being smashed by a heavy object in a living room
explosive,Domestic,ceramic plate,kitchen,a ceramic plate hitting a tile floor and shattering
explosive,Domestic,pillow,bedroom,a feather pillow being hit with a wooden bat in a bedroom
explosive,Domestic,book,study,a large encyclopedia being slammed shut in a study
explosive,Domestic,cabinet,kitchen,a kitchen cabinet door being slammed against its frame
explosive,Domestic,trash can,alley,a metal trash can being dropped onto asphalt in an alley
explosive,Domestic,wine glass,cellar,a wine glass shattering against a stone wall in a cellar
explosive,Domestic,ironing board,laundry room,a metal ironing board collapsing onto a tile floor
explosive,Domestic,toaster,breakfast nook,a toaster spring snapping as it ejects bread
explosive,Electronic,transformer,street,an electrical transformer exploding on a utility pole
