tag,domain,source,environment,scenario
surging,Musical,pipe organ,stone cathedral,air filling a pipe organ’s bellows rapidly in a stone cathedral
surging,Musical,timpani,concert hall,a drum roll on a timpani crescendoing in an empty concert hall
surging,Musical,violin,recording studio,a violin section performing a rapid tremolo in a recording studio
surging,Musical,suspended cymbal,theater,a mallet roll on a suspended cymbal in a theater
surging,Musical,accordion,bustling market,accordion bellows being pulled wide during a loud chord in a market
surging,Musical,gong,monastery,a large gong vibrating with increasing intensity after a soft mallet roll
surging,Musical,piano,ballroom,a fast upward glissando on a grand piano in a ballroom
surging,Musical,didgeridoo,limestone cave,a sudden push of air into a didgeridoo in a limestone cave
surging,Musical,harp,grotto,a rapid harp glissando echoing in a grotto
surging,Musical,trombone,empty warehouse,a trombone playing a brassy swell in a hollow warehouse
surging,Musical,cello,library,heavy bowing on a cello’s lowest string in a quiet library
surging,Musical,choir,underground dome,a choir of voices sustaining a crescendo in an underground dome
surging,Musical,flute,meadow,overblowing a low note on a flute in a windy meadow
surging,Musical,tambourine,subway station,a thumb roll across a tambourine skin in a subway station
surging,Musical,bagpipes,misty valley,air filling the bag of a set of bagpipes in a misty valley
surging,Musical,snare drum,gymnasium,a rapid press roll on a snare drum in an empty gymnasium
surging,Musical,synthesizer,garage,an oscillator signal passing through a resonant filter circuit in a garage
surging,Musical,saxophone,shipyard,air rushing through a saxophone during a loud overblown note in a shipyard
surging,Mechanical,jet engine,remote runway,a jet engine accelerating to full thrust on a remote runway
surging,Mechanical,hydraulic pump,hangar,a hydraulic pump engaging to lift a heavy aircraft wing in a hangar
surging,Mechanical,steam valve,factory,a steam valve opening to release high-pressure vapor in a factory
surging,Mechanical,water turbine,hydroelectric dam,a water turbine churning faster as a sluice gate opens in a dam
surging,Mechanical,diesel engine,dockyard,a diesel engine revving on a cargo ship at a dockyard
surging,Mechanical,circular saw,lumber yard,a circular saw blade spinning up to speed in a lumber yard
surging,Mechanical,industrial fan,warehouse,large fan blades accelerating from a standstill in a warehouse
surging,Mechanical,conveyor belt,mining quarry,a conveyor belt motor straining as it starts a heavy load in a quarry
surging,Mechanical,centrifuge,laboratory,a mechanical centrifuge spinning up to high speed in a laboratory
surging,Mechanical,wind turbine,grassy hill,wind turbine blades catching a sudden gust on a grassy hill
surging,Mechanical,outboard motor,river gorge,an outboard motor churning water as the throttle opens in a gorge
surging,Mechanical,printing press,basement,printing press rollers accelerating for a high-speed run in a basement
surging,Mechanical,elevator motor,high-rise,an elevator motor drawing power to lift a cabin in a high-rise
surging,Mechanical,air compressor,garage,an air compressor tank filling with pressurized air in a garage
surging,Mechanical,grain elevator,silo,a grain elevator auger spinning faster to move wheat in a silo
surging,Mechanical,motorcycle,tunnel,a motorcycle engine revving loudly inside a concrete tunnel
