category,tag,domain,source,environment,scenario
Material/Source,metallic,Musical,triangle,concert hall,a strike on a polished steel triangle with a metal beater
Material/Source,metallic,Musical,finger cymbals,marketplace,a clash of two thin brass finger cymbals
Material/Source,metallic,Musical,steel strings,porch,a sharp pluck on a steel-string acoustic guitar
Material/Source,metallic,Musical,handbell,chapel,the ring of a small silver handbell in a quiet room
Material/Source,metallic,Musical,trumpet,rooftop,a brass trumpet fanfare played in the open air
Material/Source,metallic,Musical,glockenspiel,classroom,a metal mallet hitting a high glockenspiel bar
Material/Source,metallic,Musical,vibraphone,jazz club,a mallet strike on a metal vibraphone key with the motor on
Material/Source,metallic,Musical,gong,temple,the long resonance of a large bronze gong after a strike
Material/Source,metallic,Musical,mandolin,meadow,a steel string mandolin being plucked rapidly
Material/Source,metallic,Musical,banjo,riverbank,a wire banjo string being snapped against the fretboard
Material/Source,metallic,Musical,vibraphone,orchestra pit,a strike on a high vibraphone bar with a hard mallet
Material/Source,metallic,Musical,cymbals,stadium,a pair of large crash cymbals slammed together
Material/Source,metallic,Musical,tambourine,festival,the jingle of silver tambourine discs being shaken
Material/Source,metallic,Musical,organ,cathedral,the air-driven tone of a large metal organ pipe
Material/Source,metallic,Musical,dulcimer,attic,a metal hammer striking a wire dulcimer string
Material/Source,metallic,Musical,jaw harp,campsite,a steel frame of a jaw harp vibrating against teeth
Material/Source,metallic,Musical,cowbell,pasture,the clank of a hollow metal cowbell as a goat moves
Material/Source,metallic,Mechanical,clockwork,museum,the ticking of a large brass clockwork mechanism
Material/Source,metallic,Mechanical,gears,watchmaker,the spinning of tiny stainless steel gears in a watch
Material/Source,metallic,Mechanical,lathe,machine shop,a metal lathe shaving a thin layer of aluminum
Material/Source,metallic,Mechanical,typewriter,study,the metal typebar of a typewriter hitting a steel platen
Material/Source,metallic,Mechanical,winch,dockside,a metal winch ratcheting quickly under high tension
Material/Source,metallic,Mechanical,cash register,diner,the bell of an antique cash register ringing as it opens
Material/Source,metallic,Mechanical,valves,garage,the rhythmic tapping of metal valves in a car engine
Material/Source,metallic,Mechanical,lock,foyer,a brass key turning in a well-oiled tumbler lock
Material/Source,metallic,Mechanical,bicycle bell,paved path,a small chrome bicycle bell being flicked twice
