category,tag,domain,source,environment,scenario
Pitch/Register,tinny,Musical,toy piano,quiet nursery,a child's toy piano being played in a quiet nursery
Pitch/Register,tinny,Musical,mouth harp,porch,a metal mouth harp being plucked on a wooden porch
Pitch/Register,tinny,Musical,pocket metronome,music room,a mechanical pocket metronome ticking on a music stand
Pitch/Register,tinny,Musical,miniature harmonica,campfire,a tiny miniature harmonica being played by a campfire
Pitch/Register,tinny,Musical,kazoo,birthday party,a plastic kazoo buzzing a melody at a birthday party
Pitch/Register,tinny,Musical,finger cymbals,desert tent,small brass finger cymbals clinking in a desert tent
Pitch/Register,tinny,Musical,toy accordion,playroom,a small plastic toy accordion being squeezed in a playroom
Pitch/Register,tinny,Musical,ukulele,beach,a soprano ukulele being strummed lightly on a sandy beach
Pitch/Register,tinny,Musical,tin whistle,meadow,a tin whistle playing a high-pitched tune in a meadow
Pitch/Register,tinny,Musical,banjo,riverboat,a banjo being plucked near the bridge on a riverboat
Pitch/Register,tinny,Musical,music box,attic,a small music box mechanism playing in a dusty attic
Pitch/Register,tinny,Musical,tambourine,street,a small tambourine with thin jingles being shaken on a street
Pitch/Register,tinny,Musical,mandolin,courtyard,a mandolin string being plucked with a thin pick in a courtyard
Pitch/Register,tinny,Musical,glockenspiel,classroom,a small glockenspiel bar being struck with a plastic mallet
Pitch/Register,tinny,Musical,triangle,kitchen,a small metal triangle being struck in a kitchen
Pitch/Register,tinny,Musical,soprano recorder,hallway,a plastic soprano recorder playing a high note in a hallway
Pitch/Register,tinny,Musical,kalimba,garden,a small thumb piano being played in a botanical garden
Pitch/Register,tinny,Musical,hand bells,village square,tiny decorative hand bells being shaken in a village square
Pitch/Register,tinny,Mechanical,wristwatch,study,a vintage mechanical wristwatch ticking in a quiet study
Pitch/Register,tinny,Mechanical,sewing machine,attic,a small handheld sewing machine stitching through thin fabric
Pitch/Register,tinny,Mechanical,clockwork toy,nursery,a wind-up metal toy car scurrying across a wooden floor
Pitch/Register,tinny,Mechanical,egg beater,kitchen,a hand-cranked metal egg beater spinning in a bowl
Pitch/Register,tinny,Mechanical,camera shutter,garden,a mechanical camera shutter clicking in a garden
Pitch/Register,tinny,Mechanical,bicycle bell,suburb,a small metal bicycle bell ringing on a suburban street
Pitch/Register,tinny,Mechanical,typewriter,office,a portable typewriter key striking the platen in an office
Pitch/Register,tinny,Mechanical,stapler,desk,a small metal stapler clicking shut on a desk
Pitch/Register,tinny,Mechanical,film projector,booth,a 8mm film projector clicking through a reel in a booth
Pitch/Register,tinny,Mechanical,lathe,workshop,a small hobby lathe cutting through a thin aluminum rod
Pitch/Register,tinny,Mechanical,gears,watchmaker shop,tiny brass gears whirring in a watchmaker's shop
Pitch/Register,tinny,Mechanical,can opener,pantry,a manual can opener cutting through a small tin lid
Pitch/Register,tinny,Mechanical,lock,jewelry box,a small key turning in a metal jewelry box lock
Pitch/Register,tinny,Mechanical,ratchet,garage,a small metal ratchet clicking as it turns a bolt
Pitch/Register,tinny,Mechanical,fan,desktop,a small plastic computer fan whirring on a desk
Pitch/Register,tinny,Mechanical,winch,boat,a thin fishing line being wound onto a small metal reel
Pitch/Register,tinny,Mechanical,tally counter,gate,a handheld tally counter clicking as it is pressed
Pitch/Register,tinny,Mechanical,metronome,parlor,a small mechanical metronome ticking on a wooden table
Pitch/Register,tinny,Environmental,hail,tin roof,small hailstones hitting a corrugated tin roof
Pitch/Register,tinny,Environmental,sand,glass window,fine sand grains hitting a glass window in a windstorm
Pitch/Register,tinny,Environmental,wind,keyhole,wind whistling through a narrow keyhole in a door
Pitch/Register,tinny,Environmental,rain,tent,light rain hitting a taut plastic tent in a forest
Pitch/Register,tinny,Environmental,icicle,cave,water dripping from a sharp icicle onto a stone ledge
Pitch/Register,tinny,Environmental,pebbles,metal bucket,small pebbles being dropped into a metal bucket
Pitch/Register,tinny,Environmental,grass,field,dry grass rustling against a wire fence in a breeze
Pitch/Register,tinny,Environmental,shingle,beach,small sea shells clattering in a receding wave
Pitch/Register,tinny,Environmental,snow,tundra,frozen snow crust breaking under a light footstep
Pitch/Register,tinny,Environmental,twigs,woods,small dry twigs snapping underfoot in the woods
Pitch/Register,tinny,Environmental,bamboo,grove,bamboo leaves rustling in a light summer breeze
Pitch/Register,tinny,Environmental,mist,shore,the sound of a gull through thin coastal mist
Pitch/Register,tinny,Environmental,thistle,field,dry thistle stalks rattling together in a light wind
Pitch/Register,tinny,Environmental,bubble,surface,a soap bubble popping in the quiet air
Pitch/Register,tinny,Environmental,geyser,vent,steam popping from a small geothermal vent
Pitch/Register,tinny,Environmental,stream,mountain,a thin stream splashing over small sharp rocks
Pitch/Register,tinny,Environmental,pine needles,deck,dry pine needles being swept across a wooden deck
Pitch/Register,tinny,Environmental,shale,cliff,small pieces of shale sliding down a rock slope
Pitch/Register,tinny,Organic,mosquito,ear,a mosquito buzzing near a person's ear in a room
Pitch/Register,tinny,Organic,cricket,barn,a single cricket chirping inside a quiet wooden barn
Pitch/Register,tinny,Organic,mouse,attic,a mouse scurrying across a wooden attic floor
Pitch/Register,tinny,Organic,wasp,window,a wasp's wings hitting a glass window pane
Pitch/Register,tinny,Organic,bat,cave,a bat's high-frequency squeak in a limestone cave
Pitch/Register,tinny,Organic,songbird,orchard,a small songbird chirping from a high branch
