category,tag,domain,source,environment,scenario
Density/Complexity,sparse,Musical,bass drum,empty warehouse,a single mallet strike on a large bass drum followed by long silence
Density/Complexity,sparse,Musical,piano,stone chapel,a lone middle-c note being struck on an upright piano
Density/Complexity,sparse,Musical,cello,underground cistern,a single slow pizzicato pluck on a cello string
Density/Complexity,sparse,Musical,triangle,abandoned theater,a solitary strike on a small steel triangle
Density/Complexity,sparse,Musical,flute,misty mountain,a single long breathy note from a bamboo flute
Density/Complexity,sparse,Musical,gong,deserted dunes,the fading tail of a single soft gong strike
Density/Complexity,sparse,Musical,harp,quiet library,a lone finger plucking a single gut harp string
Density/Complexity,sparse,Musical,snare drum,meadow,a solitary light tap on a drum skin with a wooden stick
Density/Complexity,sparse,Musical,chime,echoing cave,a single chime of a hanging metal pipe in a light draft
Density/Complexity,sparse,Musical,violin,attic,a single short staccato bow stroke on a violin
Density/Complexity,sparse,Musical,cowbell,farmland,an occasional clank of a single brass cowbell in the distance
Density/Complexity,sparse,Musical,synthesizer,recording booth,a solitary short electronic pulse from a modular synth
Density/Complexity,sparse,Musical,tambourine,empty street,a single light shake of a tambourine
Density/Complexity,sparse,Musical,recorder,nursery,a lone high-pitched peep from a plastic recorder
Density/Complexity,sparse,Musical,guitar,wooden porch,a single thumb strum across the strings of an acoustic guitar
Density/Complexity,sparse,Musical,woodblock,school hall,a lone strike on a hollow teak woodblock
Density/Complexity,sparse,Musical,xylophone,botanical garden,a single mallet hit on a wooden xylophone bar
Density/Complexity,sparse,Musical,handbell,cathedral,a lone chime from a small silver handbell
Density/Complexity,sparse,Mechanical,typewriter,study,the single snap of a typewriter key hitting paper
Density/Complexity,sparse,Mechanical,clock,bedroom,the isolated ticking of a mechanical wall clock
Density/Complexity,sparse,Mechanical,stapler,office,the single metallic click of a desktop stapler
Density/Complexity,sparse,Mechanical,valve,boiler room,an occasional hiss of steam from a slow-leaking safety valve
Density/Complexity,sparse,Mechanical,relay,server room,a lone mechanical click of an electrical relay
Density/Complexity,sparse,Mechanical,camera,darkroom,the single mechanical click of a manual camera shutter
Density/Complexity,sparse,Mechanical,gears,clocktower,the slow heavy movement of a single gear tooth engaging a pawl
Density/Complexity,sparse,Mechanical,drill,workshop,a short half-second burst of a hand-held power drill
Density/Complexity,sparse,Mechanical,switch,basement,the single heavy snap of a metal toggle switch
Density/Complexity,sparse,Mechanical,printer,library,the single strike of a dot-matrix print head
Density/Complexity,sparse,Mechanical,hammer,construction site,a solitary hammer strike on a thick steel nail
Density/Complexity,sparse,Mechanical,latch,vault,the single heavy clunk of a metal door latch engaging
Density/Complexity,sparse,Mechanical,ratchet,garage,a single sharp click of a metal ratchet wrench
Density/Complexity,sparse,Mechanical,metronome,music room,the isolated beat of a mechanical pendulum metronome
Density/Complexity,sparse,Mechanical,bell,suburban path,a single strike of a spring-loaded bicycle bell
Density/Complexity,sparse,Mechanical,fan,attic,the slow dying rotation of a single metal fan blade
Density/Complexity,sparse,Mechanical,solenoid,factory,a lone rhythmic firing of a small magnetic solenoid
Density/Complexity,sparse,Mechanical,coin,bank,the single clink of a coin hitting a stainless steel tray
Density/Complexity,sparse,Environmental,rain,forest,a single heavy raindrop hitting a broad tropical leaf
Density/Complexity,sparse,Environmental,thunder,plains,a lone distant rumble of a single thunderclap
Density/Complexity,sparse,Environmental,rock,canyon,the thud of a single pebble falling into a deep pool
Density/Complexity,sparse,Environmental,wind,prairie,an occasional soft whistle of wind through a single fence wire
Density/Complexity,sparse,Environmental,ice,frozen lake,a single sharp crack in the surface of a thick ice sheet
Density/Complexity,sparse,Environmental,geyser,volcanic field,a lone bubble of steam bursting at the surface of a mud pot
Density/Complexity,sparse,Environmental,twig,winter woods,the sharp snap of a single dry twig underfoot
Density/Complexity,sparse,Environmental,waves,sandy cove,the occasional soft wash of a single wave on the shore
Density/Complexity,sparse,Environmental,leaves,garden,the lone rustle of a single dry leaf skittering across stone
Density/Complexity,sparse,Environmental,hail,car roof,a solitary hailstone hitting a metal sunroof
Density/Complexity,sparse,Environmental,pinecone,coniferous forest,the thud of a single pinecone hitting the forest floor
Density/Complexity,sparse,Environmental,stalactite,grotto,a single drop of water falling into a deep cavern pool
Density/Complexity,sparse,Environmental,fire,campsite,the occasional sharp pop of a single burning ember
Density/Complexity,sparse,Environmental,sand,dune,the faint skittering of a few grains of sand against a tent
Density/Complexity,sparse,Environmental,reeds,marsh,the single clack of two dry reeds knocking together
Density/Complexity,sparse,Environmental,gravel,driveway,the crunch of a single footstep on loose granite gravel
Density/Complexity,sparse,Environmental,icicle,eaves,the sharp snap of a single icicle breaking off
Density/Complexity,sparse,Environmental,bamboo,jungle,a lone knock of two bamboo stalks in a light breeze
Density/Complexity,sparse,Organic,heartbeat,quiet room,the slow rhythmic thumping of a resting human heart
Density/Complexity,sparse,Organic,breathing,bedroom,a single long slow inhalation of a person sleeping
Density/Complexity,sparse,Organic,bird,orchard,the occasional solitary chirp of a small songbird
Density/Complexity,sparse,Organic,footstep,hallway,the thud of a single bare foot on a wooden floor
Density/Complexity,sparse,Organic,wing,barn,the solitary heavy flap of a large bird's wing
Density/Complexity,sparse,Organic,claws,tile floor,a single click of a dog's claw on a ceramic surface
Density/Complexity,sparse,Organic,mouth,library,a single quiet smack of lips
Density/Complexity,sparse,Organic,stomach,study,an occasional gurgle of a stomach in a silent room
Density/Complexity,sparse,Organic,throat,church,a single short dry cough from a person
Density/Complexity,sparse,Organic,fingernail,desk,a solitary tap of a fingernail on a glass surface
Density/Complexity,sparse,Organic,branch,woods,the single snap of a branch being pulled by an animal
Density/Complexity,sparse,Organic,shell,beach,the single crunch of a seashell being crushed
Density/Complexity,sparse,Organic,beak,forest,a lone sharp peck of a bird on a tree trunk
Density/Complexity,sparse,Organic,antler,tundra,the occasional single clack of antlers hitting a rock
Density/Complexity,sparse,Organic,tail,riverbank,a lone slap of a beaver's tail on the water
Density/Complexity,sparse,Organic,skin,gym,a single slap of a hand against a forearm
Density/Complexity,sparse,Organic,snore,bedroom,a lone short snort during a deep sleep
Density/Complexity,sparse,Organic,crunch,kitchen,a single bite into a crisp piece of celery
Density/Complexity,sparse,Domestic,faucet,kitchen,a single drip of water hitting a metal sink
Density/Complexity,sparse,Domestic,door,hallway,the single soft click of a door handle turning
Density/Complexity,sparse,Domestic,plate,dining room,the lone clink of a ceramic spoon hitting a bowl
Density/Complexity,sparse,Domestic,floorboard,old house,the single creak of a floorboard under weight
Density/Complexity,sparse,Domestic,book,library,the single thud of a hardcover book being closed
Density/Complexity,sparse,Domestic,light switch,bedroom,the single tactile click of a plastic wall switch
Density/Complexity,sparse,Domestic,key,foyer,the lone jingle of a single key hitting a wooden table
Density/Complexity,sparse,Domestic,glass,scullery,the single ring of a wine glass being set on marble
Density/Complexity,sparse,Domestic,chair,study,the single short groan of a wooden chair being moved
Density/Complexity,sparse,Domestic,kettle,pantry,a single metallic tick as a kettle cools down
Density/Complexity,sparse,Domestic,drawer,closet,the single smooth slide of a drawer being opened
Density/Complexity,sparse,Domestic,shoe,entryway,the lone thud of a boot being dropped on a rug
Density/Complexity,sparse,Domestic,zipper,bedroom,a single short pull of a metal zipper
Density/Complexity,sparse,Domestic,matches,kitchen,the single strike of a match against a box
Density/Complexity,sparse,Domestic,pillow,bedroom,the single soft thud of a pillow being punched
Density/Complexity,sparse,Domestic,scissors,sewing room,a lone sharp snip of metal scissors through paper
Density/Complexity,sparse,Domestic,can,pantry,the single thud of a tin can being placed on a shelf
Density/Complexity,sparse,Domestic,window,attic,a single short rattle of a loose window pane
Density/Complexity,sparse,Electronic,beeper,hospital,a single short beep from a digital monitor
Density/Complexity,sparse,Electronic,static,radio station,a lone short crackle of radio static
Density/Complexity,sparse,Electronic,capacitor,lab,a solitary sharp pop of a discharging capacitor
Density/Complexity,sparse,Electronic,relay,closet,the single click of a small electrical relay switching
Density/Complexity,sparse,Electronic,hard drive,study,a single mechanical click of a drive head parking
Density/Complexity,sparse,Electronic,buzzer,kitchen,a lone short beep from a digital timer
Density/Complexity,sparse,Electronic,modem,office,a single short handshake tone from a modem
Density/Complexity,sparse,Electronic,taser,training room,a single short arc of electrical discharge
Density/Complexity,sparse,Electronic,fan,room,the single click of a fan being turned off
Density/Complexity,sparse,Electronic,spark,garage,a single sharp snap of a static spark from a car door
Density/Complexity,sparse,Electronic,fluorescent,hall,a single flickering pop of a tube turning on
Density/Complexity,sparse,Electronic,watch,bedroom,a single short beep of a digital watch alarm
Density/Complexity,sparse,Electronic,intercom,warehouse,a single short burst of white noise from a radio
Density/Complexity,sparse,Electronic,transformer,substation,an occasional lone hum from a power unit
Density/Complexity,sparse,Electronic,calculator,classroom,the single click of a plastic button being pressed
Density/Complexity,sparse,Electronic,keyboard,office,the single tap of a mechanical keyboard key
Density/Complexity,sparse,Electronic,toy,playroom,a lone short electronic chirp from a toy
Density/Complexity,sparse,Electronic,scanner,library,a single short whir of a scanner carriage
Density/Complexity,thick,Musical,pipe organ,cathedral,a massive sustained chord with all organ stops engaged
Density/Complexity,thick,Musical,orchestra,concert hall,a full symphony orchestra playing a fortissimo swell
Density/Complexity,thick,Musical,synthesizer,studio,a layered drone of five overlapping sawtooth oscillators
Density/Complexity,thick,Musical,choir,monastery,the collective humming of fifty monks in a stone hall
Density/Complexity,thick,Musical,gongs,temple,the overlapping resonance of multiple large bronze gongs
Density/Complexity,thick,Musical,grand piano,theater,a low-register cluster chord with the sustain pedal down
Density/Complexity,thick,Musical,cellos,conservatory,the unison bowing of a full cello section
Density/Complexity,thick,Musical,drums,stadium,a continuous heavy roll on four large floor toms
Density/Complexity,thick,Musical,brass,plaza,the dense wall of sound from a full marching band
Density/Complexity,thick,Musical,accordion,seaside,a full-register chord with heavy bellow pressure
Density/Complexity,thick,Musical,harp,hall,a rapid overlapping glissando on all harp strings
Density/Complexity,thick,Musical,bagpipes,highlands,the continuous multi-tonal drone of bagpipe drones
Density/Complexity,thick,Musical,didgeridoo,cave,the vibrating harmonically rich drone of a didgeridoo
