category,tag,domain,source,environment,scenario
Attack/Transient,punchy,Musical,kick drum,recording studio,a felt beater striking a heavy bass drum skin in a recording studio
Attack/Transient,punchy,Musical,taiko drum,shinto shrine,a thick wooden bachi striking a massive taiko drum in a shinto shrine
Attack/Transient,punchy,Musical,marching snare,high school stadium,a high-tension rimshot on a marching snare drum in a stadium
Attack/Transient,punchy,Musical,djembe,beach bonfire,a firm open palm strike on the edge of a djembe at a beach bonfire
Attack/Transient,punchy,Musical,timpani,concert hall,a hard-felt mallet striking a copper-bottomed timpani in a concert hall
Attack/Transient,punchy,Musical,slap bass,jazz club,a thumb striking the low string of an electric bass in a jazz club
Attack/Transient,punchy,Musical,woodblock,music room,a hard rubber mallet striking a hollow maple woodblock in a music room
Attack/Transient,punchy,Musical,conga,dance hall,a sharp slap on a hide-covered conga drum in a dance hall
Attack/Transient,punchy,Musical,orchestral chimes,orchestra pit,a rawhide mallet striking a brass tubular bell in an orchestra pit
Attack/Transient,punchy,Musical,xylophone,school gym,a plastic mallet striking a synthetic xylophone bar in a school gym
Attack/Transient,punchy,Musical,piano,ballroom,a staccato chord played on a concert grand piano in a ballroom
Attack/Transient,punchy,Musical,banjo,farmhouse porch,a heavy thumb pick snapping a banjo string on a farmhouse porch
Attack/Transient,punchy,Musical,cowbell,football stadium,a drumstick striking a heavy steel cowbell in a football stadium
Attack/Transient,punchy,Musical,frame drum,desert canyon,a sharp finger strike on a taut goat-skin frame drum in a desert canyon
Attack/Transient,punchy,Musical,gong,monastery,a padded mallet striking a small bronze gong in a monastery
Attack/Transient,punchy,Musical,claves,recording booth,two rosewood claves striking together in a recording booth
Attack/Transient,punchy,Musical,tambourine,theatre stage,a fist striking the center of a tambourine on a theatre stage
Attack/Transient,punchy,Musical,guiro,street festival,a wooden scraper hitting the notches of a metal guiro at a street festival
Attack/Transient,punchy,Musical,cajon,subway station,a hand striking the front plate of a wooden cajon in a subway station
Attack/Transient,punchy,Musical,cello,chapel,a sharp pizzicato pluck on a cello string in a stone chapel
Attack/Transient,punchy,Mechanical,pneumatic nailer,construction site,a pneumatic nailer firing a steel spike into a structural beam at a construction site
