category,tag,domain,source,environment,scenario,file
mass/thin,thin,musical,high-gauge guitar string,tiled bathroom,a single high-gauge guitar string vibrating in a tiled bathroom,thin/thin_musical_0000.mp3
mass/thin,thin,musical,toy glockenspiel,canvas tent,a toy glockenspiel struck with a plastic mallet in a canvas tent,thin/thin_musical_0001.mp3
mass/thin,thin,musical,tin whistle,windy meadow,a tin whistle trill in a windy meadow,thin/thin_musical_0002.mp3
mass/thin,thin,musical,mouth harp,attic,a mouth harp being plucked in a dusty attic,thin/thin_musical_0003.mp3
mass/thin,thin,musical,ukulele string,open field,a nylon ukulele string snapped in an open field,thin/thin_musical_0004.mp3
mass/thin,thin,musical,music box,glass greenhouse,a music box mechanism playing without its wooden case in a greenhouse,thin/thin_musical_0005.mp3
mass/thin,thin,musical,kalimba,mountain peak,a small metal kalimba tine plucked on a mountain peak,thin/thin_musical_0006.mp3
mass/thin,thin,musical,violin,concrete tunnel,a violin playing a high harmonic note in a concrete tunnel,thin/thin_musical_0007.mp3
mass/thin,thin,musical,piccolo,desert,a piccolo staccato note in the middle of a desert,thin/thin_musical_0008.mp3
mass/thin,thin,musical,recorder,empty warehouse,a plastic recorder blowing a weak high note in a warehouse,thin/thin_musical_0009.mp3
mass/thin,thin,musical,cymbals,dense forest,two small finger cymbals clinking in a dense forest,thin/thin_musical_0010.mp3
mass/thin,thin,musical,triangle,noisy street,a thin steel triangle being struck on a noisy street,thin/thin_musical_0011.mp3
mass/thin,thin,musical,synthesizer,recording studio,a narrow pulse wave from a synthesizer in a recording studio,thin/thin_musical_0012.mp3
mass/thin,thin,musical,spinet,marble hall,a spinet key being pressed in a marble hall,thin/thin_musical_0013.mp3
mass/thin,thin,musical,tambourine,meadow,a single metal jingle on a tambourine being tapped,thin/thin_musical_0014.mp3
mass/thin,thin,musical,flute,canyon,a bamboo flute playing in a wide canyon,thin/thin_musical_0015.mp3
mass/thin,thin,musical,bells,winter woods,a small silver bell ringing in the winter woods,thin/thin_musical_0016.mp3
mass/thin,thin,mechanical,watch gear,watchmaker shop,a tiny brass watch gear clicking in a watchmaker shop,thin/thin_mechanical_0017.mp3
mass/thin,thin,mechanical,wire,workshop,a thin steel wire being snapped with pliers,thin/thin_mechanical_0018.mp3
mass/thin,thin,mechanical,needle,sewing room,a sewing machine needle hitting a metal plate,thin/thin_mechanical_0019.mp3
mass/thin,thin,mechanical,typewriter,library,a single typewriter key striking a thin sheet of paper,thin/thin_mechanical_0020.mp3
mass/thin,thin,mechanical,clock,office,a small travel clock ticking on a plastic desk,thin/thin_mechanical_0021.mp3
mass/thin,thin,mechanical,lathe,machine shop,a metal lathe shaving a thin strip of aluminum,thin/thin_mechanical_0022.mp3
mass/thin,thin,mechanical,drill,garage,a tiny drill bit spinning against a tin can,thin/thin_mechanical_0023.mp3
mass/thin,thin,mechanical,fan,bedroom,a small plastic fan blade scraping its housing,thin/thin_mechanical_0024.mp3
mass/thin,thin,mechanical,spring,attic,a thin metal spring bouncing on a wooden floor,thin/thin_mechanical_0025.mp3
mass/thin,thin,mechanical,camera,darkroom,a mechanical film advance lever clicking in a darkroom,thin/thin_mechanical_0026.mp3
mass/thin,thin,mechanical,zipper,tent,a fine-toothed plastic zipper being pulled on a tent,thin/thin_mechanical_0027.mp3
mass/thin,thin,mechanical,lock,basement,a small padlock being picked with a thin wire,thin/thin_mechanical_0028.mp3
mass/thin,thin,mechanical,gears,museum,tiny clockwork gears meshing in a vintage toy,thin/thin_mechanical_0029.mp3
mass/thin,thin,mechanical,stapler,office,a small desk stapler fastening two thin sheets of paper,thin/thin_mechanical_0030.mp3
