category,tag,domain,source,environment,scenario
Spatial/Near,near,Musical,ukulele,porch,a nylon ukulele string being plucked inches from the listener
Spatial/Near,near,Musical,harmonica,campfire,a single breathy note being played on a harmonica held to the face
Spatial/Near,near,Musical,triangle,orchestra pit,a steel triangle being tapped softly near a microphone
Spatial/Near,near,Musical,shaker,recording studio,a metal egg shaker being rattled right next to an ear
Spatial/Near,near,Musical,tambourine,festival,the metal jingles of a tambourine clinking close by
Spatial/Near,near,Musical,recorder,classroom,a plastic recorder being blown gently near the face
Spatial/Near,near,Musical,violin,art gallery,a bow moving across a violin e-string just inches away
Spatial/Near,near,Musical,guitar,bedroom,a fingernail tapping the wooden body of an acoustic guitar
Spatial/Near,near,Musical,kalimba,garden,the metal tines of a thumb piano being plucked close to the head
Spatial/Near,near,Musical,bells,temple,a tiny handbell being shaken right next to the listener
Spatial/Near,near,Musical,piano,ballroom,the internal hammers of a piano clicking near the open lid
Spatial/Near,near,Musical,flute,meadow,the rush of air through a flute mouthpiece held very close
Spatial/Near,near,Musical,mandolin,tavern,a thin plectrum picking a steel string close to the ear
Spatial/Near,near,Musical,chimes,balcony,small glass chimes tinkling right in front of a person
Spatial/Near,near,Musical,drum,basement,a drumstick lightly tapping a snare head near the rim
Spatial/Near,near,Musical,harp,conservatory,a finger sliding along a high harp string close by
Spatial/Near,near,Musical,music box,nursery,a miniature music box playing while held in a hand
Spatial/Near,near,Mechanical,watch,jewelry store,the internal ticking of a mechanical wristwatch held to an ear
Spatial/Near,near,Mechanical,camera,darkroom,a mechanical camera shutter clicking right in front of the face
Spatial/Near,near,Mechanical,gears,clockmaker,tiny brass gears meshing inside a device held in hand
Spatial/Near,near,Mechanical,fan,office,the light whir of a small desk fan blowing on the face
Spatial/Near,near,Mechanical,drill,workshop,a high-speed rotary tool engraving a piece of metal close by
Spatial/Near,near,Mechanical,stapler,library,a hand stapler punching through paper on a desk
Spatial/Near,near,Mechanical,scissors,tailor shop,metal shears snipping through silk right next to the ear
Spatial/Near,near,Mechanical,lock,vault,a brass key turning and clicking in a lock near the face
Spatial/Near,near,Mechanical,typewriter,attic,a single typewriter key hitting a ribbon inches away
