category,tag,domain,source,environment,scenario
Dynamic/Variable,fluctuating,Musical,theremin,observatory,a theremin being played with a wavering hand near a telescope
Dynamic/Variable,fluctuating,Musical,slide whistle,parade,a slide whistle moving up and down in a city street
Dynamic/Variable,fluctuating,Musical,violin,hall,a violinist performing a deep and wide vibrato on a single string
Dynamic/Variable,fluctuating,Musical,accordion,piazza,an accordion with an unsteady bellows squeeze on a cobblestone square
Dynamic/Variable,fluctuating,Musical,flute,garden,a flute player using a wide tremolo in a botanical park
Dynamic/Variable,fluctuating,Musical,harmonica,porch,a harmonica being played with a hand cupping and uncupping rapidly
Dynamic/Variable,fluctuating,Musical,pipe organ,cathedral,a pipe organ using a mechanical tremulant stop in a stone nave
Dynamic/Variable,fluctuating,Musical,electric guitar,garage,a guitar string being manipulated with a tremolo arm
Dynamic/Variable,fluctuating,Musical,saxophone,club,a saxophone player using jaw vibrato on a sustained low note
Dynamic/Variable,fluctuating,Musical,synthesizer,studio,an analog synthesizer with a low-frequency oscillator modulating the pitch
Dynamic/Variable,fluctuating,Musical,cello,chamber,a cello string being bowed with varying pressure in a wood-lined room
Dynamic/Variable,fluctuating,Musical,bagpipes,highlands,the air pressure wavering in a bagpipe bag during a gust of wind
Dynamic/Variable,fluctuating,Musical,singing bowl,shrine,a brass singing bowl being moved through the air while vibrating
Dynamic/Variable,fluctuating,Musical,harp,parlor,a harpist rapidly shifting a pedal while a string rings out
Dynamic/Variable,fluctuating,Musical,mandolin,patio,a mandolin tremolo with inconsistent pick speed
Dynamic/Variable,fluctuating,Musical,jaw harp,campfire,a jaw harp being played with shifting mouth shapes
Dynamic/Variable,fluctuating,Musical,human voice,meadow,a singer performing an operatic vibrato in an open field
Dynamic/Variable,fluctuating,Mechanical,engine,garage,a car engine hunting for a steady idle on a cold morning
Dynamic/Variable,fluctuating,Mechanical,ventilation fan,warehouse,a large industrial fan with a loose belt slipping intermittently
Dynamic/Variable,fluctuating,Mechanical,drill,workshop,an electric drill motor speed shifting under a varying load
Dynamic/Variable,fluctuating,Mechanical,piston,factory,a steam piston operating with an uneven supply of pressure
Dynamic/Variable,fluctuating,Mechanical,turbine,hangar,a jet turbine spooling up and down during a system test
Dynamic/Variable,fluctuating,Mechanical,conveyor,plant,a conveyor belt motor surging and slowing on a shipping line
Dynamic/Variable,fluctuating,Mechanical,winch,harbor,a cable winch straining and slipping while lifting a heavy crate
Dynamic/Variable,fluctuating,Mechanical,pump,well,the irregular throb of a water pump in a parched field
Dynamic/Variable,fluctuating,Mechanical,lathe,studio,a metal lathe turning an off-center piece of aluminum
