category,tag,domain,source,environment,scenario
Mass/Thin,thin,Musical,harpsichord,ballroom,a silver wire on a harpsichord being plucked with a plastic plectrum
Mass/Thin,thin,Musical,violin,orchestra pit,a horsehair bow drawn across a steel e-string with no vibrato
Mass/Thin,thin,Musical,triangle,concert hall,a chrome triangle being tapped with a small metal rod
Mass/Thin,thin,Musical,piccolo,alpine forest,a silver piccolo playing a sustained note in the high register
Mass/Thin,thin,Musical,zither,meadow,a plectrum plucking a high-tension steel wire on a zither
Mass/Thin,thin,Musical,glockenspiel,observatory,a steel mallet hitting the highest bar of a glockenspiel
Mass/Thin,thin,Musical,recorder,classroom,a plastic recorder being blown with a steady stream of air
Mass/Thin,thin,Musical,mandolin,front porch,a steel mandolin string being picked rapidly with a thin plectrum
Mass/Thin,thin,Musical,flute,tundra,a metal flute playing a trill in a frozen clearing
Mass/Thin,thin,Musical,handbell,cathedral,a small silver handbell being shaken in a stone tower
Mass/Thin,thin,Musical,sleigh bells,snowy trail,tiny silver bells jingling on a leather strap
Mass/Thin,thin,Musical,ukulele,beach,a high-tension nylon string on a soprano ukulele being plucked
Mass/Thin,thin,Musical,pan flute,temple,a small reed on a pan flute being blown across sharply
Mass/Thin,thin,Musical,tambourine,festival ground,the metal jingles of a tambourine vibrating after a light tap
Mass/Thin,thin,Musical,celesta,attic,a felt hammer hitting a small steel plate inside a celesta
Mass/Thin,thin,Musical,music box,nursery,a miniature music box playing a tune through a thin metal comb
Mass/Thin,thin,Musical,lyre,temple ruins,a copper wire being plucked on a lyre with a stone pick
Mass/Thin,thin,Mechanical,watch,jewelry store,the internal gears of a mechanical watch ticking in a silent shop
Mass/Thin,thin,Mechanical,drill,workshop,a steel dental drill spinning at maximum speed in a lab
Mass/Thin,thin,Mechanical,scissors,tailor shop,metal shears snipping through a piece of crisp silk
Mass/Thin,thin,Mechanical,calipers,laboratory,steel calipers being adjusted and locking into place
Mass/Thin,thin,Mechanical,gears,clock tower,brass gears meshing in a precision clock mechanism
Mass/Thin,thin,Mechanical,bicycle,paved path,the clicking of a high-end bicycle hub coasting on a road
Mass/Thin,thin,Mechanical,camera,darkroom,a mechanical camera shutter firing at a fast speed
Mass/Thin,thin,Mechanical,typewriter,newsroom,a steel typewriter key striking a paper-wrapped platen
Mass/Thin,thin,Mechanical,stapler,library,a stapler punching through a single sheet of paper
Mass/Thin,thin,Mechanical,lock,vault,a brass key turning in a complex tumbler lock
Mass/Thin,thin,Mechanical,fan,office building,a metal-bladed desk fan spinning at high speed
Mass/Thin,thin,Mechanical,lathe,factory floor,a metal lathe shaving a thin strip of aluminum
Mass/Thin,thin,Mechanical,winch,dockyard,a steel cable ratcheting through a metal pulley
Mass/Thin,thin,Mechanical,metronome,music room,a mechanical metronome ticking on a marble slab
Mass/Thin,thin,Mechanical,printing press,basement,a small letterpress machine engaging its metal gears
Mass/Thin,thin,Mechanical,escapement,watchmaker shop,the ticking of a pocket watch on a velvet pad
Mass/Thin,thin,Mechanical,needle,loft,a sewing machine needle piercing a piece of sheer fabric
Mass/Thin,thin,Environmental,ice,frozen lake,a thin sheet of ice cracking under a light weight
Mass/Thin,thin,Environmental,hail,tin roof,small sleet pellets bouncing off a corrugated metal roof
