category,tag,domain,source,environment,scenario,file
mass/thick,fat,musical,synthesizer,recording studio,a low-frequency sawtooth wave from an analog synthesizer,fat/fat_musical_0000.mp3
mass/thick,fat,musical,tuba,underpass,a sustained low note on a brass tuba in a concrete underpass,fat/fat_musical_0001.mp3
mass/thick,fat,musical,bass drum,stadium,a large bass drum hit with a soft felt mallet in a stadium,fat/fat_musical_0002.mp3
mass/thick,fat,musical,double bass,cellar,a low string plucked on a double bass in a stone cellar,fat/fat_musical_0003.mp3
mass/thick,fat,musical,timpani,concert hall,a timpani roll with soft mallets in a concert hall,fat/fat_musical_0004.mp3
mass/thick,fat,musical,pipe organ,cathedral,a deep pedal note on a pipe organ in a stone cathedral,fat/fat_musical_0005.mp3
mass/thick,fat,musical,didgeridoo,canyon,a continuous low drone on a didgeridoo in a rock canyon,fat/fat_musical_0006.mp3
mass/thick,fat,musical,taiko drum,open field,a massive taiko drum being struck in an open field,fat/fat_musical_0007.mp3
mass/thick,fat,musical,gong,temple,a large bronze gong struck with a heavy padded mallet,fat/fat_musical_0008.mp3
mass/thick,fat,musical,baritone sax,alley,a low honk on a baritone saxophone in a narrow alley,fat/fat_musical_0009.mp3
mass/thick,fat,musical,cello,chamber,a sustained note on the lowest cello string in a wood-lined room,fat/fat_musical_0010.mp3
mass/thick,fat,musical,kettle drum,gymnasium,a single strike on a large kettle drum in a gymnasium,fat/fat_musical_0011.mp3
mass/thick,fat,musical,organ,theater,a low-frequency chord on a theater organ,fat/fat_musical_0012.mp3
mass/thick,fat,musical,bass guitar,garage,a low note on a bass guitar played through a tube amplifier,fat/fat_musical_0013.mp3
mass/thick,fat,musical,harmonium,attic,a low-register drone on a harmonium in a dusty attic,fat/fat_musical_0014.mp3
mass/thick,fat,musical,djembe,beach,a deep bass stroke on a large djembe on a sandy beach,fat/fat_musical_0015.mp3
mass/thick,fat,musical,contrabassoon,hall,a low staccato note on a contrabassoon in a rehearsal hall,fat/fat_musical_0016.mp3
mass/thick,fat,mechanical,engine,garage,a v8 engine idling in a closed garage,fat/fat_mechanical_0017.mp3
mass/thick,fat,mechanical,hydraulic press,factory,a large hydraulic press compressing a metal block,fat/fat_mechanical_0018.mp3
mass/thick,fat,mechanical,steam locomotive,train station,a steam locomotive chuffing as it starts to move,fat/fat_mechanical_0019.mp3
mass/thick,fat,mechanical,excavator,construction site,a heavy diesel excavator idling at a construction site,fat/fat_mechanical_0020.mp3
mass/thick,fat,mechanical,turbine,power plant,a massive steam turbine humming in a power plant,fat/fat_mechanical_0021.mp3
mass/thick,fat,mechanical,compressor,workshop,an industrial air compressor cycling in a workshop,fat/fat_mechanical_0022.mp3
mass/thick,fat,mechanical,pump,oil field,a large oil jack pumping rhythmically in a field,fat/fat_mechanical_0023.mp3
mass/thick,fat,mechanical,furnace,basement,the roar of a coal furnace in a dark basement,fat/fat_mechanical_0024.mp3
mass/thick,fat,mechanical,generator,outpost,a diesel generator thrumming in a remote mountain outpost,fat/fat_mechanical_0025.mp3
mass/thick,fat,mechanical,winch,dock,a heavy-duty winch pulling a thick steel cable,fat/fat_mechanical_0026.mp3
mass/thick,fat,mechanical,blower,warehouse,a large industrial blower moving air in a warehouse,fat/fat_mechanical_0027.mp3
mass/thick,fat,mechanical,conveyor,mine,a heavy rubber conveyor belt moving ore in a mine,fat/fat_mechanical_0028.mp3
mass/thick,fat,mechanical,mill,farm,a stone grist mill grinding grain into flour,fat/fat_mechanical_0029.mp3
mass/thick,fat,mechanical,boiler,laundry,a commercial steam boiler rumbling in a laundry,fat/fat_mechanical_0030.mp3
mass/thick,fat,mechanical,hammer,forge,a pneumatic power hammer striking a hot steel ingot,fat/fat_mechanical_0031.mp3
mass/thick,fat,mechanical,ship engine,hull,the low throb of a freighter engine heard from the hull,fat/fat_mechanical_0032.mp3
mass/thick,fat,mechanical,ventilation,tunnel,a massive fan unit humming in a subway tunnel,fat/fat_mechanical_0033.mp3
mass/thick,fat,environmental,thunder,plains,a low rumble of thunder over an open plain,fat/fat_environmental_0034.mp3
mass/thick,fat,environmental,ocean,shore,a heavy wave crashing onto a pebbled beach,fat/fat_environmental_0035.mp3
mass/thick,fat,environmental,mud,geyser basin,thick mud bubbling and popping in a volcanic basin,fat/fat_environmental_0036.mp3
mass/thick,fat,environmental,wind,forest,wind moaning through a dense pine forest,fat/fat_environmental_0037.mp3
mass/thick,fat,environmental,waterfall,gorge,a massive waterfall booming in a deep gorge,fat/fat_environmental_0038.mp3
mass/thick,fat,environmental,ice,glacier,the deep groan of a moving glacier in a valley,fat/fat_environmental_0039.mp3
mass/thick,fat,environmental,geyser,park,the low-frequency hiss of a large steam vent,fat/fat_environmental_0040.mp3
mass/thick,fat,environmental,avalanche,mountain,a distant avalanche of snow and ice,fat/fat_environmental_0041.mp3
