tag,domain,source,environment,scenario
energetic,Musical,drum kit,subway station,drum sticks hitting a ride cymbal rapidly in a crowded subway station
energetic,Musical,bass guitar,sandy desert,a thumb slapping a bass guitar string in a sandy desert
energetic,Musical,marimba,mountain peak,a wooden mallet hitting a marimba on a windy mountain peak
energetic,Musical,violin,rainforest,violin strings being plucked rapidly in a dense rainforest
energetic,Musical,trumpet,shipyard,a brass trumpet blast in an empty shipyard
energetic,Musical,kick drum,underground cave,a drum kit kick pedal striking a skin in an underground cave
energetic,Musical,guitar strings,high-rise rooftop,a metal slide moving fast across guitar strings on a high-rise rooftop
energetic,Musical,piano hammer,bustling marketplace,a piano hammer hitting strings during a fast arpeggio in a bustling marketplace
energetic,Musical,tambourine,snowy meadow,a tambourine being shaken vigorously in a snowy meadow
energetic,Musical,celesta,pine forest,a celesta being played rapidly in a foggy pine forest
energetic,Musical,accordion bellows,wooden pier,an accordion bellows being pumped quickly on a wooden pier
energetic,Musical,taiko drum,cornfield,a taiko drum being struck with heavy beaters in a cornfield
energetic,Musical,djembe,city square,a hand tapping a djembe skin in a busy city square
energetic,Musical,steel drum,rocky beach,a steel drum being played with rubber mallets on a rocky beach
energetic,Musical,harp,limestone grotto,a harp being strummed quickly in a limestone grotto
energetic,Musical,saxophone reed,industrial warehouse,a saxophone reed vibrating during a fast run in an industrial warehouse
energetic,Musical,cello,blooming orchard,a cello being bowed aggressively in a blooming orchard
energetic,Musical,cowbell,train station,a cowbell being struck with a drumstick in a busy train station
energetic,Mechanical,pneumatic drill,sunny boardwalk,a pneumatic drill hammering into concrete on a sunny boardwalk
energetic,Mechanical,chainsaw,muddy riverbed,a chainsaw cutting through a thick log in a muddy riverbed
energetic,Mechanical,lawnmower engine,quiet cul-de-sac,a lawnmower engine revving in a quiet cul-de-sac
energetic,Mechanical,printing press,dockyard,a printing press running at high speed in a dockyard
energetic,Mechanical,jackhammer,mountain pass,a jackhammer breaking pavement in a mountain pass
energetic,Mechanical,wind turbine,coastal gale,a wind turbine spinning fast in a coastal gale
energetic,Mechanical,outboard motor,deep canyon,an outboard motor churning water in a deep canyon
energetic,Mechanical,metal lathe,desert oasis,a metal lathe spinning a steel rod in a desert oasis
energetic,Mechanical,belt sander,redwood forest,a belt sander running across a wooden plank in a redwood forest
energetic,Mechanical,conveyor belt,volcanic crater,a conveyor belt moving heavy rocks in a volcanic crater
energetic,Mechanical,motorcycle engine,salt flat,a motorcycle engine accelerating on a salt flat
energetic,Mechanical,hydraulic press,junkyard,a hydraulic press crushing a metal can in a junkyard
energetic,Mechanical,circular saw,wide prairie,a circular saw cutting through plywood in a wide prairie
energetic,Mechanical,train engine,tundra,a train engine chugging up a steep hill in a tundra
energetic,Mechanical,diesel generator,marshland,a diesel generator vibrating on a concrete pad in a marshland
energetic,Mechanical,clockwork mechanism,silent cathedral,a mechanical clockwork mechanism ticking rapidly in a silent cathedral
energetic,Mechanical,textile loom,sunny meadow,a spinning textile loom in a sunny meadow
energetic,Mechanical,power drill,construction site,a power drill boring into a metal plate on a construction site
energetic,Environmental,waterfall,tropical jungle,a waterfall crashing into a rocky pool in a tropical jungle
energetic,Environmental,hailstorm,suburban neighborhood,a hailstorm hitting a tin roof in a suburban neighborhood
energetic,Environmental,brush fire,dry canyon,a brush fire crackling and popping in a dry canyon
energetic,Environmental,thunderstorm,open ocean,a violent thunderstorm over an open ocean
