tag,domain,source,environment,scenario
metallic,Musical,ride cymbal,subway station,a drumstick striking a ride cymbal in a busy subway station
metallic,Musical,triangle,stone cathedral,a metal beater hitting a triangle in a stone cathedral
metallic,Musical,gong,misty mountain,a large gong being struck with a heavy mallet on a misty mountain
metallic,Musical,vibraphone,busy marketplace,a mallet striking a vibraphone bar in a busy marketplace
metallic,Musical,trumpet,empty shipyard,a trumpet's valves clicking during a fast passage in an empty shipyard
metallic,Musical,tambourine,snowy forest,a tambourine being shaken vigorously in a snowy forest
metallic,Musical,piano hammer,abandoned warehouse,a piano hammer striking a high steel string in an abandoned warehouse
metallic,Musical,cowbell,rocky beach,a wooden stick hitting a cowbell on a rocky beach
metallic,Musical,harp,limestone grotto,a plectrum plucking a metal harp string in a limestone grotto
metallic,Musical,steel drum,tropical garden,a steel drum being played with rubber mallets in a tropical garden
metallic,Musical,glockenspiel,pine grove,a brass mallet striking a glockenspiel bar in a pine grove
metallic,Musical,tuning fork,science lab,a tuning fork being struck and held against a wooden table in a lab
metallic,Musical,crash cymbals,open stadium,two large cymbals clashing together in an open stadium
metallic,Musical,kalimba,meadow,a thumb flicking a metal tine of a kalimba in a meadow
metallic,Musical,electric guitar,high-rise rooftop,a metal slide moving across electric guitar strings on a rooftop
metallic,Musical,hand bells,quiet library,a set of hand bells being rung in a quiet library
metallic,Musical,banjo,front porch,a fingerpick plucking a steel banjo string on a front porch
metallic,Musical,sitar,botanical garden,the sympathetic metal strings of a sitar vibrating in a garden
metallic,Mechanical,metal lathe,industrial workshop,a lathe bit carving into a spinning steel rod in a workshop
metallic,Mechanical,gears,old clock tower,heavy bronze gears grinding against each other in a clock tower
metallic,Mechanical,piston,engine room,a metal piston sliding inside a cylinder in a ship's engine room
metallic,Mechanical,chain,dockyard,a heavy metal chain rattling over a sprocket in a dockyard
metallic,Mechanical,hammer,blacksmith shop,a steel hammer hitting an anvil in a blacksmith shop
metallic,Mechanical,drill bit,construction site,a drill bit boring through a thick steel plate on a construction site
metallic,Mechanical,wrench,concrete garage,a heavy wrench falling onto a concrete floor in a garage
metallic,Mechanical,jackhammer,city street,a jackhammer bit striking a steel manhole cover on a city street
metallic,Mechanical,conveyor belt,mining quarry,metal rollers spinning under a heavy conveyor belt in a quarry
metallic,Mechanical,pliers,tool shed,the jaws of a pair of pliers snapping shut in a tool shed
metallic,Mechanical,circular saw,lumber yard,a circular saw blade hitting a metal nail in a lumber yard
metallic,Mechanical,typewriter,dusty attic,typewriter hammers hitting a metal platen in a dusty attic
metallic,Mechanical,clockwork,museum,a mechanical clockwork escapement ticking in a museum
metallic,Mechanical,engine valves,race track,metal engine valves tapping rapidly at a race track
metallic,Mechanical,crowbar,alleyway,a crowbar prying against a metal dumpster in an alleyway
metallic,Mechanical,ball bearings,bicycle shop,steel ball bearings rattling in a metal tray in a shop
metallic,Mechanical,scissors,tailor shop,metal scissors cutting through a wire thread in a tailor shop
metallic,Mechanical,staple gun,shipping warehouse,a staple gun firing a metal staple into a crate in a warehouse
metallic,Environmental,hail,suburban driveway,large hailstones hitting the roof of a car in a driveway
metallic,Environmental,wind,canyon,wind whistling through a high-tension wire fence in a canyon
metallic,Environmental,ice shards,arctic bay,shards of ice clinking together in the surf of an arctic bay
metallic,Environmental,rockslide,mountain pass,a rockslide hitting a metal guardrail in a mountain pass
metallic,Environmental,rain,industrial roof,rain hitting a hollow metal pipe on an industrial roof
metallic,Environmental,sleet,greenhouse,sleet hitting the metal frame of a greenhouse
metallic,Environmental,boulder,quarry,a boulder impacting a mineral-rich rock face in a quarry
metallic,Environmental,lightning,rooftop,a lightning strike hitting a copper rod on a skyscraper rooftop
metallic,Environmental,frozen branches,winter orchard,frozen tree branches clacking together in a winter orchard
metallic,Environmental,sand,desert,sand grains blasting against a metal sign in a desert storm
metallic,Environmental,geyser,geothermal field,a geyser's spray hitting a metal walkway in a geothermal field
metallic,Environmental,tumbleweed,farmland,a dry tumbleweed hitting a barbed wire fence on a farm
metallic,Environmental,river water,creek bed,river water rushing over a submerged metal drum in a creek
metallic,Environmental,earthquake,city center,an earthquake causing steel girders to groan in a city center
metallic,Environmental,ocean spray,wooden pier,ocean spray hitting a rusted metal pylon under a pier
metallic,Environmental,lava,volcanic wasteland,lava cooling and cracking with sharp pops in a wasteland
metallic,Environmental,icicle,backyard,a falling icicle shattering against a metal trash can lid
metallic,Environmental,wind,ghost town,wind vibrating a loose sheet of corrugated metal in a ghost town
metallic,Organic,woodpecker,city park,a woodpecker drumming its beak against a hollow metal pole in a park
metallic,Organic,horse hooves,cobblestone street,a horse's hooves hitting a cobblestone street
metallic,Organic,crab claw,rocky shoreline,a crab's claw snapping shut on a rocky shoreline
metallic,Organic,teeth,bedroom,a person's teeth clicking together in a quiet bedroom
metallic,Organic,beetle,porch,a beetle's hard carapace hitting a glass window on a porch
metallic,Organic,bone,butcher shop,a heavy bone being struck by a metal cleaver in a butcher shop
metallic,Organic,lobster,fish market,a lobster's shell clashing against another in a fish market
metallic,Organic,turtle,riverbank,a turtle's shell hitting a stone on a riverbank
metallic,Organic,insect wings,sunny field,an insect's wings vibrating against a dry leaf in a field
metallic,Organic,dog claws,tiled hallway,a dog's claws clicking on a tile floor in a hallway
metallic,Organic,knuckles,library,a person's knuckles cracking in a quiet library
metallic,Organic,bird wings,barn,a bird's wings flapping against a metal rafters in a barn
metallic,Organic,cat claws,garage,a cat's claws scratching a wire mesh screen in a garage
metallic,Organic,parrot,pet shop,a parrot's beak grinding together in a pet shop
metallic,Organic,fish scales,fishing boat,a fish's scales scraping against a metal deck on a boat
metallic,Organic,bamboo,bamboo forest,dry bamboo stalks knocking together in a forest
metallic,Organic,human hands,stadium,a person clapping their hands with cupped palms in a stadium
metallic,Organic,walrus,arctic beach,a walrus's tusks clashing together on an arctic beach
metallic,Domestic,silver spoon,dining room,a silver spoon hitting a ceramic bowl in a dining room
metallic,Domestic,keys,front door,a bunch of metal keys jingling in a front door lock
