category,tag,domain,source,environment,scenario
Space/Dimension,wide,Musical,orchestra,stone amphitheater,a full orchestra performing a symphonic movement in a large stone amphitheater
Space/Dimension,wide,Musical,marching band,football stadium,a brass marching band playing on an open football stadium field
Space/Dimension,wide,Musical,gamelan,temple courtyard,a full gamelan ensemble playing in a sprawling stone temple courtyard
Space/Dimension,wide,Musical,wind chimes,long veranda,multiple sets of metal wind chimes clashing across a long windy veranda
Space/Dimension,wide,Musical,pipe organ,cathedral,a massive pipe organ sounding from multiple directions in a cathedral
Space/Dimension,wide,Musical,taiko drums,valley,a group of taiko drummers striking in unison across a mountain valley
Space/Dimension,wide,Musical,handbells,chapel,a handbell choir ringing in a wide semicircle within a stone chapel
Space/Dimension,wide,Musical,bagpipes,highland ridge,multiple bagpipers playing across a misty highland ridge
Space/Dimension,wide,Musical,string section,ballroom,a large string section playing a lush arrangement in a grand ballroom
Space/Dimension,wide,Musical,pauken,historic square,several large kettle drums striking together in a vast historic town square
Space/Dimension,wide,Musical,tibetan bowls,monastery,a dozens of singing bowls being struck in a large monastery hall
Space/Dimension,wide,Musical,brass fanfare,palace courtyard,a fanfare of twenty trumpets echoing across a wide palace courtyard
Space/Dimension,wide,Musical,harps,art gallery,four harps playing simultaneously from different corners of an art gallery
Space/Dimension,wide,Musical,steel drums,beachfront,a steel drum band playing along a wide sandy beachfront
Space/Dimension,wide,Musical,synthesizers,planetarium,a multi-speaker synthesizer array playing in a domed planetarium
Space/Dimension,wide,Musical,didgeridoos,outback,a group of didgeridoos vibrating across the open desert outback
Space/Dimension,wide,Musical,choir,abbey,a hundred-voice choir singing a chorale in a vaulted stone abbey
Space/Dimension,wide,Musical,xylophones,school gym,a row of xylophones being played in a large echoic school gymnasium
Space/Dimension,wide,Mechanical,jet engines,airport runway,several jet engines idling across a wide airport runway
Space/Dimension,wide,Mechanical,cranes,shipyard,the mechanical groaning of multiple cranes across a busy shipyard
Space/Dimension,wide,Mechanical,printing presses,factory,a row of industrial printing presses clattering in a large factory
Space/Dimension,wide,Mechanical,wind turbines,wind farm,the collective wooshing of turbine blades across a vast wind farm
Space/Dimension,wide,Mechanical,trains,railway yard,multiple locomotives idling and shunting in a wide railway yard
Space/Dimension,wide,Mechanical,generators,construction site,several large diesel generators humming across a massive construction site
Space/Dimension,wide,Mechanical,conveyor belts,warehouse,an expansive system of conveyor belts moving in a distribution center
Space/Dimension,wide,Mechanical,stamping machines,auto plant,rhythmic industrial stamps echoing across a sprawling automotive plant
Space/Dimension,wide,Mechanical,ventilation fans,tunnel,a series of massive ventilation fans whirring in a long traffic tunnel
Space/Dimension,wide,Mechanical,fountains,public park,multiple tiered water fountains splashing across a wide public park
Space/Dimension,wide,Mechanical,looms,textile mill,a hall full of power looms clattering in a large textile mill
Space/Dimension,wide,Mechanical,tractors,farmland,several tractors plowing in different sections of a vast farmland
Space/Dimension,wide,Mechanical,oil pumps,desert field,the rhythmic creaking of dozens of oil pumps across a desert field
Space/Dimension,wide,Mechanical,air conditioners,office complex,the collective hum of rooftop AC units across a large office complex
Space/Dimension,wide,Mechanical,clock tower,town square,the heavy mechanical ticking of a clock tower echoing over a square
Space/Dimension,wide,Mechanical,dredging machine,harbor,a massive dredging machine churning water in a wide harbor
Space/Dimension,wide,Mechanical,elevators,skyscraper,the collective whir of multiple elevator cables in a large skyscraper core
Space/Dimension,wide,Mechanical,sawmill,forest,the loud whining of multiple circular saws in a large open-air sawmill
Space/Dimension,wide,Environmental,thunder,mountain range,a massive roll of thunder traveling across a mountain range
Space/Dimension,wide,Environmental,ocean waves,rocky coast,the sound of waves crashing against miles of a rocky coastline
Space/Dimension,wide,Environmental,monsoon rain,jungle,a heavy monsoon downpour hitting the canopy of a vast jungle
Space/Dimension,wide,Environmental,wind,savanna,the roar of a strong wind blowing across an open savanna
Space/Dimension,wide,Environmental,waterfall,tropical gorge,a wide curtain of water falling into a deep tropical gorge
Space/Dimension,wide,Environmental,sandstorm,desert,the hissing roar of a sandstorm moving across a desert expanse
Space/Dimension,wide,Environmental,ice cracking,frozen bay,the booming sound of an ice shelf cracking across a frozen bay
Space/Dimension,wide,Environmental,forest fire,wilderness,the expansive crackling and roaring of a large wilderness forest fire
Space/Dimension,wide,Environmental,river rapids,canyon,the continuous rushing of class-five rapids through a wide canyon
Space/Dimension,wide,Environmental,landslide,mountain slope,the roar of a massive landslide descending a wide mountain slope
Space/Dimension,wide,Environmental,cicadas,orchard,the collective high-pitched drone of cicadas across a vast orchard
Space/Dimension,wide,Environmental,blizzard,tundra,the howling of a blizzard across a flat arctic tundra
Space/Dimension,wide,Environmental,geyser field,volcanic plain,the hissing and bubbling of multiple geysers across a volcanic plain
Space/Dimension,wide,Environmental,hail,farmland,a heavy hailstorm hitting miles of open crops on a farm
Space/Dimension,wide,Environmental,leaves,autumn forest,the rustling of a billion dry leaves in an autumn forest
Space/Dimension,wide,Environmental,surf,shingle beach,the wash of the tide over a long stretch of shingle beach
Space/Dimension,wide,Environmental,avalanche,snowy peak,the muffled roar of a wide snow slab sliding down a peak
Space/Dimension,wide,Environmental,swamp,marshland,the collective chorus of frogs and insects across a vast marshland
Space/Dimension,wide,Organic,bird migration,wetlands,the flapping and calling of a massive bird flock over wetlands
Space/Dimension,wide,Organic,stadium crowd,arena,the roar of fifty thousand people cheering in a wide arena
Space/Dimension,wide,Organic,bison herd,prairie,the rhythmic thundering of a bison herd running across the prairie
Space/Dimension,wide,Organic,honeybees,meadow,the collective humming of a massive bee swarm in a wildflower meadow
Space/Dimension,wide,Organic,wolf pack,winter valley,the layered howling of a wolf pack echoing through a winter valley
Space/Dimension,wide,Organic,crickets,night field,the continuous chirping of crickets across an expansive night field
Space/Dimension,wide,Organic,elephant herd,savanna,the low-frequency rumbles of an elephant herd on the savanna
Space/Dimension,wide,Organic,market chatter,piazza,the collective noise of a busy outdoor market in a town square
Space/Dimension,wide,Organic,seabird colony,cliffside,the chaotic calls of thousands of gulls on a wide cliffside
Space/Dimension,wide,Organic,cattle,ranch,the lowing of a large cattle herd across a wide ranch
Space/Dimension,wide,Organic,monkey troop,rainforest,the screaming and crashing of a large monkey troop in the canopy
Space/Dimension,wide,Organic,human footsteps,city street,the sound of many people walking on a wide metropolitan sidewalk
Space/Dimension,wide,Organic,bat colony,cave,the fluttering and clicking of a million bats in a wide cavern
Space/Dimension,wide,Organic,laughter,party,the collective laughter of a large crowd at an outdoor garden party
Space/Dimension,wide,Organic,locusts,farmland,the rhythmic buzzing of a locust swarm moving across a field
Space/Dimension,wide,Organic,sheep,highland,the bleating of a large sheep flock spread across a highland
Space/Dimension,wide,Organic,seals,island,the barking of a large seal colony on a wide rocky island
Space/Dimension,wide,Organic,tree canopy,forest,the deep roar of wind through the top of a dense forest canopy
Space/Dimension,wide,Domestic,dinner party,banquet hall,the clinking of silverware and chatter in a large banquet hall
Space/Dimension,wide,Domestic,vacuuming,hotel,several industrial vacuums running in a long hotel hallway
Space/Dimension,wide,Domestic,washing machines,laundromat,a row of twenty washing machines tumbling in a laundromat
Space/Dimension,wide,Domestic,curtains,theater,the heavy swish of massive velvet curtains in a large theater
Space/Dimension,wide,Domestic,fireplace,manor,the roaring and popping of a large hearth in a mansion
Space/Dimension,wide,Domestic,showering,locker room,multiple shower heads running in a large tiled locker room
Space/Dimension,wide,Domestic,clocks,antique shop,the overlapping ticking of a hundred clocks in an antique shop
Space/Dimension,wide,Domestic,faucets,public restroom,the sound of multiple faucets running in a large restroom
Space/Dimension,wide,Domestic,rug beating,courtyard,several heavy rugs being beaten at once in a stone courtyard
Space/Dimension,wide,Domestic,pantry,kitchen,the rustling and clinking of a busy restaurant kitchen pantry
Space/Dimension,wide,Domestic,closet,dressing room,the clatter of many hangers being moved in a large walk-in closet
Space/Dimension,wide,Domestic,staircase,museum,the echo of footsteps on a wide marble staircase in a museum
Space/Dimension,wide,Domestic,sliding doors,mall,the mechanical whir of multiple automatic doors in a shopping mall
Space/Dimension,wide,Domestic,lawnmowers,suburban street,several lawnmowers running simultaneously on a suburban street
Space/Dimension,wide,Domestic,children,playground,the collective shouting and playing of children on a wide playground
Space/Dimension,wide,Domestic,silverware,cafeteria,the clattering of trays and forks in a large school cafeteria
Space/Dimension,wide,Domestic,sprinklers,golf course,multiple water sprinklers hissing across a wide golf course
Space/Dimension,wide,Domestic,shoveling,driveway,several people shoveling snow on a wide suburban driveway
Space/Dimension,wide,Domestic,tearing paper,office,multiple people tearing open envelopes in a large mailroom
Space/Dimension,wide,Electronic,server farm,data center,the collective whir of thousands of servers in a data center
Space/Dimension,wide,Electronic,pa system,stadium,a multi-speaker PA system announcing in a large sports stadium
