category,tag,domain,source,environment,scenario
Processing,distorted,Musical,electric guitar,industrial warehouse,an electric guitar signal clipping a small battery-powered amplifier
Processing,distorted,Musical,cello,stone cellar,a cello played with a metal file across the copper strings
Processing,distorted,Musical,piano,ballroom,a grand piano with metal coins placed on the internal strings
Processing,distorted,Musical,drums,basement,a snare drum with a loose sheet of aluminum foil on the head
Processing,distorted,Musical,saxophone,underpass,a baritone saxophone played with a cracked reed
Processing,distorted,Musical,synthesizer,studio,an analog oscillator signal overdriving a vintage mixing console
Processing,distorted,Musical,harmonica,porch,a harmonica being played through a small over-driven tube radio
Processing,distorted,Musical,bass guitar,club,a bass guitar played through a speaker with a torn paper cone
Processing,distorted,Musical,timpani,concert hall,a timpani drum hit with a metal chain instead of a mallet
Processing,distorted,Musical,organ,abbey,a pipe organ suffering from a massive air pressure drop
Processing,distorted,Musical,violin,art gallery,a violin bow drawn harshly across the bridge of the instrument
Processing,distorted,Musical,cymbals,rehearsal room,a crash cymbal with several metal rivets vibrating loosely
Processing,distorted,Musical,harp,sunroom,a harp string vibrating against a metal music stand
Processing,distorted,Musical,banjo,riverbank,a banjo string being snapped against a rusted metal pot
Processing,distorted,Musical,recorder,classroom,a plastic recorder being overblown until the note breaks
Processing,distorted,Musical,triangle,studio,a triangle being struck with a heavy steel bolt
Processing,distorted,Musical,gong,temple,a large bronze gong vibrating against a stone wall
Processing,distorted,Mechanical,wood chipper,suburban yard,a wood chipper processing a dry oak log
Processing,distorted,Mechanical,shredder,office,a paper shredder eating through a plastic credit card
Processing,distorted,Mechanical,engine,garage,a car engine running with a broken exhaust manifold
Processing,distorted,Mechanical,lathe,machine shop,a metal lathe tool chatter against a spinning steel rod
Processing,distorted,Mechanical,drill,construction site,a hammer drill bit vibrating against a steel reinforcement bar
Processing,distorted,Mechanical,chainsaw,forest,a chainsaw biting into a knot in a hardwood tree
Processing,distorted,Mechanical,grinder,garage,an angle grinder showering sparks off a rusted iron plate
