category,tag,domain,source,environment,scenario
Texture/Smooth,smooth,Musical,cello,conservatory,a horsehair bow sliding steadily across a cello string
Texture/Smooth,smooth,Musical,flute,meadow,a sustained and steady note played on a silver flute
Texture/Smooth,smooth,Musical,glass harmonica,observatory,a wet finger circling the rim of a crystal bowl
Texture/Smooth,smooth,Musical,pipe organ,cathedral,a long low-frequency note from a wooden organ pipe
Texture/Smooth,smooth,Musical,violin,art gallery,a bow moving in a continuous motion on a violin g-string
Texture/Smooth,smooth,Musical,french horn,concert hall,a french horn playing a long legato phrase
Texture/Smooth,smooth,Musical,vibraphone,jazz club,the sustain of a vibraphone bar with the motor spinning
Texture/Smooth,smooth,Musical,clarinet,recording studio,a clarinet playing a low chalumeau register note
Texture/Smooth,smooth,Musical,harp,ballroom,a thumb sliding across several nylon harp strings
Texture/Smooth,smooth,Musical,theremin,laboratory,the continuous pitch glide of a theremin
Texture/Smooth,smooth,Musical,accordion,tavern,the steady airflow through the reeds of an accordion
Texture/Smooth,smooth,Musical,didgeridoo,canyon,a continuous drone from a didgeridoo in a hollow space
Texture/Smooth,smooth,Musical,saxophone,subway station,a saxophone playing a long air-filled note
Texture/Smooth,smooth,Musical,harmonium,temple,the steady pump and hum of a hand-cranked harmonium
Texture/Smooth,smooth,Musical,bassoon,orchestra pit,a bassoon playing a long low-frequency tone
Texture/Smooth,smooth,Musical,singing bowl,spa,a wooden mallet rubbing the edge of a brass singing bowl
Texture/Smooth,smooth,Musical,pan flute,alpine forest,a pan flute playing a steady and breathy note
Texture/Smooth,smooth,Mechanical,ball bearing,machine shop,a steel ball bearing spinning inside a lubricated race
Texture/Smooth,smooth,Mechanical,fan,bedroom,the steady whir of a plastic-bladed desk fan
Texture/Smooth,smooth,Mechanical,steam engine,railway yard,a steel piston sliding inside a greased cylinder
Texture/Smooth,smooth,Mechanical,gears,clock tower,precision brass gears meshing in a silent clockwork
Texture/Smooth,smooth,Mechanical,turbine,power plant,a jet turbine spinning at a constant high velocity
Texture/Smooth,smooth,Mechanical,flywheel,foundry,a heavy cast iron flywheel rotating on a polished axle
Texture/Smooth,smooth,Mechanical,conveyor,warehouse,a thick rubber belt sliding over a series of rollers
Texture/Smooth,smooth,Mechanical,hard drive,server room,the high-speed rotation of a platter in a disk drive
Texture/Smooth,smooth,Mechanical,lathe,workshop,a metal lathe spinning a cylinder of soft aluminum
Texture/Smooth,smooth,Mechanical,sewing machine,loft,the rapid and even movement of a needle through satin
Texture/Smooth,smooth,Mechanical,winch,dockyard,a nylon rope sliding through a polished metal pulley
Texture/Smooth,smooth,Mechanical,escalator,shopping mall,the continuous movement of metal steps on a track
Texture/Smooth,smooth,Mechanical,piston,auto shop,the movement of a hydraulic lift rising steadily
Texture/Smooth,smooth,Mechanical,gyroscope,science center,a metal gyroscope spinning at high speed on a glass base
Texture/Smooth,smooth,Mechanical,shutter,photo studio,the silent movement of a leaf shutter in a camera
Texture/Smooth,smooth,Mechanical,centrifuge,lab,a laboratory centrifuge spinning at maximum speed
Texture/Smooth,smooth,Mechanical,hum,office building,the steady vibration of a central air conditioning unit
Texture/Smooth,smooth,Environmental,wind,desert,a steady wind blowing over a vast field of sand dunes
Texture/Smooth,smooth,Environmental,river,mountain stream,water flowing over a bed of perfectly round river stones
Texture/Smooth,smooth,Environmental,mist,forest,the sound of heavy mist moving through a dense canopy
Texture/Smooth,smooth,Environmental,glacier,arctic,a large sheet of ice sliding slowly over a wet rock
Texture/Smooth,smooth,Environmental,water,lake,ripples on a lake surface lapping against a sandy shore
Texture/Smooth,smooth,Environmental,bubbles,hot spring,gas bubbles rising through a pool of thick mineral water
Texture/Smooth,smooth,Environmental,lava,volcano,molten rock sliding down a cooled basalt channel
Texture/Smooth,smooth,Environmental,rain,greenhouse,a light and steady rain hitting a glass roof
Texture/Smooth,smooth,Environmental,snow,tundra,the sound of wind-blown snow sliding over a frozen crust
Texture/Smooth,smooth,Environmental,thaw,meadow,water trickling through a patch of soft moss
Texture/Smooth,smooth,Environmental,sand,beach,a steady stream of sand falling from a cliff face
Texture/Smooth,smooth,Environmental,ocean,shoreline,the long recession of a wave on a flat pebble beach
Texture/Smooth,smooth,Environmental,underwater,reef,the steady movement of a current through a kelp forest
Texture/Smooth,smooth,Environmental,ice,cave,water freezing in a slow and continuous drip
Texture/Smooth,smooth,Environmental,mud,swamp,thick mud sliding down a river bank after a rain
Texture/Smooth,smooth,Environmental,clouds,mountaintop,the sound of air rushing over a smooth granite peak
Texture/Smooth,smooth,Environmental,stream,valley,a narrow stream of water falling into a deep pool
Texture/Smooth,smooth,Organic,vocal,nursery,a person humming a steady and low-frequency lullaby
Texture/Smooth,smooth,Organic,scales,reptile house,a snake's belly sliding across a polished glass pane
Texture/Smooth,smooth,Organic,breathing,bedroom,the deep and rhythmic breathing of a person in sleep
Texture/Smooth,smooth,Organic,wings,garden,the steady hum of a hawk moth's wings in flight
Texture/Smooth,smooth,Organic,purr,living room,the continuous and low vibration of a cat's purr
Texture/Smooth,smooth,Organic,skin,spa,a hand sliding across skin with a layer of massage oil
Texture/Smooth,smooth,Organic,throat,woods,the long and steady coo of a dove in a tree
Texture/Smooth,smooth,Organic,hair,salon,a comb sliding through a long lock of wet hair
Texture/Smooth,smooth,Organic,fingers,library,a fingertip tracing a line on a piece of vellum paper
Texture/Smooth,smooth,Organic,insect,field,the continuous and high-pitched drone of a cicada
Texture/Smooth,smooth,Organic,heartbeat,quiet room,the steady and rhythmic thumping of a resting heart
Texture/Smooth,smooth,Organic,whistle,prairie,a person whistling a single and unwavering high note
Texture/Smooth,smooth,Organic,belly,swamp,a hippopotamus sliding into a muddy river bank
Texture/Smooth,smooth,Organic,throat,zoo,the deep and steady growl of a panther
Texture/Smooth,smooth,Organic,leaves,forest,the steady rustle of leaves in a constant breeze
Texture/Smooth,smooth,Organic,feet,dance floor,a dancer's feet sliding across a polished wooden floor
Texture/Smooth,smooth,Organic,feathers,aviary,a bird's feathers ruffling in a steady draft
Texture/Smooth,smooth,Domestic,drawer,kitchen,a heavy wooden drawer sliding on modern metal rollers
Texture/Smooth,smooth,Domestic,knife,pantry,a warm knife cutting through a block of cold butter
Texture/Smooth,smooth,Domestic,curtain,bedroom,fabric curtains sliding across a polished metal rod
Texture/Smooth,smooth,Domestic,pour,dining room,heavy cream being poured from a ceramic pitcher
Texture/Smooth,smooth,Domestic,iron,laundry room,a steam iron sliding across a piece of damp silk
Texture/Smooth,smooth,Domestic,bottle,cellar,honey dripping from a spoon into a glass jar
Texture/Smooth,smooth,Domestic,sponge,bathroom,a wet sponge being wiped across a marble counter
Texture/Smooth,smooth,Domestic,door,hallway,a heavy pocket door sliding into a wall cavity
Texture/Smooth,smooth,Domestic,polish,living room,a cloth being rubbed over a polished mahogany table
Texture/Smooth,smooth,Domestic,vacuum,rug,a vacuum cleaner head moving across a low-pile carpet
Texture/Smooth,smooth,Domestic,lid,kitchen,a glass lid being slid across the top of a ceramic pot
Texture/Smooth,smooth,Domestic,zipper,closet,a high-quality nylon zipper being pulled in one motion
Texture/Smooth,smooth,Domestic,soap,bath,a bar of wet soap sliding across a porcelain tub
Texture/Smooth,smooth,Domestic,spatula,bakery,a rubber spatula smoothing frosting on a cake
Texture/Smooth,smooth,Domestic,tape,office,a roll of adhesive tape being pulled steadily from a dispenser
Texture/Smooth,smooth,Domestic,pen,library,a fountain pen nib gliding across a piece of paper
Texture/Smooth,smooth,Domestic,ice cubes,kitchen,ice cubes sliding across a wet glass surface
Texture/Smooth,smooth,Electronic,oscillator,lab,a pure sine wave tone at a constant frequency
Texture/Smooth,smooth,Electronic,hum,substation,the steady 60hz hum of an electrical transformer
Texture/Smooth,smooth,Electronic,drone,studio,a low-frequency electronic drone with a slow filter
Texture/Smooth,smooth,Electronic,fan,datacenter,the constant whir of a server rack cooling fan
Texture/Smooth,smooth,Electronic,synthesizer,stage,a synthesizer playing a long and steady pad sound
Texture/Smooth,smooth,Electronic,feedback,rehearsal space,a controlled guitar feedback note held at a constant volume
Texture/Smooth,smooth,Electronic,interference,radio,a steady carrier wave signal on a radio frequency
Texture/Smooth,smooth,Electronic,beeper,hospital,the continuous and rhythmic beep of a heart monitor
Texture/Smooth,smooth,Electronic,hard drive,office,the steady spinning sound of an external hard disk
Texture/Smooth,smooth,Electronic,static,basement,the uniform hiss of white noise from a detuned television
Texture/Smooth,smooth,Electronic,motor,garage,a small electric motor spinning at a constant speed
Texture/Smooth,smooth,Electronic,pulse,laboratory,a rhythmic electronic pulse with no sharp transients
Texture/Smooth,smooth,Electronic,buzz,kitchen,the steady and low-frequency buzz of a refrigerator
Texture/Smooth,smooth,Electronic,alarm,bedroom,a digital alarm clock playing a soft and steady chime
Texture/Smooth,smooth,Electronic,speaker,subway station,a high-frequency hum from an idle public address system
Texture/Smooth,smooth,Electronic,circuit,attic,the subtle electrical hum of a fuse box
Texture/Smooth,smooth,Electronic,cable,studio,the low-level hiss of a high-gain audio circuit
Texture/Smooth,pure,Musical,tuning fork,classroom,a steel tuning fork struck and held near a wooden box
Texture/Smooth,pure,Musical,handbell,cathedral,a single brass handbell struck and allowed to ring out
Texture/Smooth,pure,Musical,flute,conservatory,a single long note played on a wooden piccolo
Texture/Smooth,pure,Musical,glass harmonica,observatory,a crystal bowl singing after being rubbed with a finger
Texture/Smooth,pure,Musical,triangle,concert hall,a steel triangle being tapped once with a metal rod
Texture/Smooth,pure,Musical,organ,church,a high-frequency note from a tin organ pipe
Texture/Smooth,pure,Musical,recorder,classroom,a child playing a single steady note on a plastic recorder
Texture/Smooth,pure,Musical,vibraphone,jazz club,a single strike on a vibraphone bar with the motor off
Texture/Smooth,pure,Musical,celesta,attic,a felt hammer hitting a small steel plate in a celesta
Texture/Smooth,pure,Musical,glockenspiel,theatre,a metal mallet hitting the highest bar of a glockenspiel
Texture/Smooth,pure,Musical,trumpet,stadium,a trumpet playing a single straight note without vibrato
Texture/Smooth,pure,Musical,chimes,mountaintop,a single tubular bell being struck with a leather mallet
Texture/Smooth,pure,Musical,marimba,theatre,a rosewood bar being struck with a hard yarn mallet
Texture/Smooth,pure,Musical,harp,ballroom,a single nylon harp string being plucked in the high register
Texture/Smooth,pure,Musical,piano,parlor,a single high note on a grand piano with no pedal
Texture/Smooth,pure,Musical,wine glass,kitchen,flicking the rim of an empty crystal wine glass
Texture/Smooth,pure,Musical,ocarina,cave,a ceramic ocarina playing a single clear tone
Texture/Smooth,pure,Mechanical,disk,laboratory,a polished aluminum disk spinning in a vacuum chamber
Texture/Smooth,pure,Mechanical,motor,machine shop,a high-precision brushless motor humming at high speed
Texture/Smooth,pure,Mechanical,spring,workshop,a long metal spring vibrating after being plucked
Texture/Smooth,pure,Mechanical,gears,clockmaker,the high-frequency ticking of a precision chronometer
Texture/Smooth,pure,Mechanical,fan,office building,the steady and clean whir of a balanced metal fan
Texture/Smooth,pure,Mechanical,valve,factory,a small air valve releasing a steady stream of pressure
Texture/Smooth,pure,Mechanical,lathe,workshop,a lathe tool cutting a micro-groove in a brass cylinder
Texture/Smooth,pure,Mechanical,centrifuge,lab,the high-pitched whine of a high-speed centrifuge
Texture/Smooth,pure,Mechanical,watch,jewelry store,a mechanical watch ticking on a glass shelf
Texture/Smooth,pure,Mechanical,sewing machine,loft,a sewing machine needle moving at a steady rate
Texture/Smooth,pure,Mechanical,escapement,tower,the rhythmic and clean strike of a clock escapement
Texture/Smooth,pure,Mechanical,pump,basement,the steady and low-frequency hum of a water pump
Texture/Smooth,pure,Mechanical,winch,dockyard,a steel wire moving smoothly through a lubricated block
Texture/Smooth,pure,Mechanical,camera,darkroom,the single and precise click of a high-speed shutter
Texture/Smooth,pure,Mechanical,drill,garage,a high-speed rotary tool spinning a small carving bit
Texture/Smooth,pure,Mechanical,metronome,music room,the clean and dry tick of a mechanical metronome
Texture/Smooth,pure,Mechanical,bearing,factory,a ceramic ball bearing spinning without friction
Texture/Smooth,pure,Environmental,water,lake,a single drop of water hitting a perfectly still pond
Texture/Smooth,pure,Environmental,ice,frozen lake,a single high-pitched crack in a thin sheet of ice
Texture/Smooth,pure,Environmental,wind,canyon,wind whistling through a perfectly round hole in a rock
Texture/Smooth,pure,Environmental,rain,greenhouse,a single raindrop hitting a taut glass pane
Texture/Smooth,pure,Environmental,crystals,cave,a crystal shard being struck against a limestone wall
Texture/Smooth,pure,Environmental,snow,tundra,the high-pitched squeak of a boot on dry sub-zero snow
Texture/Smooth,pure,Environmental,thaw,orchard,a drop of meltwater hitting a metal bucket
Texture/Smooth,pure,Environmental,bubbles,pond,a single air bubble rising and bursting on the surface
Texture/Smooth,pure,Environmental,geyser,thermal field,a steady hiss of steam from a narrow vent
Texture/Smooth,pure,Environmental,icicle,backyard,the ringing sound of an icicle snapping and falling
Texture/Smooth,pure,Environmental,leaves,forest,a single dry leaf hitting a frozen puddle
Texture/Smooth,pure,Environmental,river,mountain stream,water rushing over a submerged quartz boulder
Texture/Smooth,pure,Environmental,hail,car roof,a single hailstone hitting the center of a metal roof
Texture/Smooth,pure,Environmental,volcano,lava field,an obsidian flake clinking against another stone
Texture/Smooth,pure,Environmental,rock,cliffs,a small pebble bouncing once on a granite ledge
Texture/Smooth,pure,Environmental,sand,desert,a single grain of sand hitting a glass bottle in the wind
Texture/Smooth,pure,Environmental,mist,swamp,the subtle and clean rush of air through a reed bed
Texture/Smooth,pure,Organic,vocal,prairie,a person whistling a single steady high note
Texture/Smooth,pure,Organic,insect,meadow,a single cricket chirp in a silent field
Texture/Smooth,pure,Organic,bird,forest,the clear and simple whistle of a songbird
Texture/Smooth,pure,Organic,breathing,nursery,a person's long and steady exhale through the nose
Texture/Smooth,pure,Organic,fingernails,desk,a single sharp tap of a fingernail on a glass screen
Texture/Smooth,pure,Organic,heartbeat,quiet room,a single and well-defined thump of a heart
Texture/Smooth,pure,Organic,scales,reptile house,a lizard's claw tapping on a dry ceramic plate
Texture/Smooth,pure,Organic,bones,museum,two small bone fragments clinking together once
Texture/Smooth,pure,Organic,teeth,bathroom,a person clicking their teeth together once
