category,tag,domain,source,environment,scenario
Material,woody,Musical,marimba,conservatory,a mallet striking a rosewood marimba bar in a hall
Material,woody,Musical,woodblock,orchestra,a hollow wooden block being struck by a stick
Material,woody,Musical,log drum,jungle,a hollow tree trunk being struck with a mallet
Material,woody,Musical,castanets,dance studio,a pair of wooden castanets clicking in a rhythm
Material,woody,Musical,temple block,shrine,a set of wooden temple blocks being played
Material,woody,Musical,recorder,classroom,a wooden recorder playing a soft bird-like melody
Material,woody,Musical,guitar,porch,an acoustic guitar being tapped on its wooden top
Material,woody,Musical,cello,basement,the vibration of a cello's body after a pizzicato strike
Material,woody,Musical,violin,chamber,a violin bridge vibrating against the wooden body
Material,woody,Musical,clarinet,hall,a clarinet playing a note that resonates the wooden bore
Material,woody,Musical,harp,museum,the resonance of a wooden harp soundbox after a pluck
Material,woody,Musical,piano,room,a piano hammer hitting a string with a wooden thud
Material,woody,Musical,dulcimer,mountain,wooden hammers striking the strings of a dulcimer
Material,woody,Musical,claves,garden,two rosewood sticks striking together in a park
Material,woody,Musical,cajon,beach,a hand striking the wooden face of a cajon drum
Material,woody,Musical,kalimba,forest,a kalimba being played on a wooden resonator box
Material,woody,Musical,bamboo chimes,patio,bamboo tubes knocking together in a light wind
Material,woody,Musical,recorder,temple,a wooden recorder blowing air through its mouthpiece
Material,woody,Mechanical,gears,mill,massive wooden gears turning in a watermill
Material,woody,Mechanical,loom,workshop,the rhythmic clatter of a wooden loom weaving fabric
Material,woody,Mechanical,pulley,barn,a rope moving over a polished wooden wheel in a loft
Material,woody,Mechanical,hand pump,yard,a wooden water pump handle being moved up and down
Material,woody,Mechanical,scaffolding,site,wooden planks creaking under a worker's weight
Material,woody,Mechanical,carriage,park,the sound of wooden carriage wheels on a gravel path
Material,woody,Mechanical,windmill,field,the wooden sails of a mill turning in a steady wind
Material,woody,Mechanical,printing press,basement,wooden rollers moving across a flat printing plate
Material,woody,Mechanical,winch,dock,a wooden winch drum turning as a rope is pulled
Material,woody,Mechanical,lathe,workshop,a lathe carving a smooth curve into a cedar rod
Material,woody,Mechanical,drill,garage,a drill bit boring a hole into a block of oak
Material,woody,Mechanical,bellows,forge,a large wooden bellows pushing air into a furnace
Material,woody,Mechanical,metronome,room,a wooden metronome ticking at a slow tempo
Material,woody,Mechanical,clock,hall,the internal wooden frame of a clock ticking
Material,woody,Mechanical,elevator,shaft,an elevator car with wooden panels moving in a shaft
Material,woody,Mechanical,conveyor,warehouse,a belt moving over wooden rollers in a plant
Material,woody,Mechanical,fan,veranda,a large wooden ceiling fan whirring in a room
Material,woody,Mechanical,trapdoor,attic,a wooden trapdoor being lifted on its hinges
Material,woody,Environmental,branch,forest,a dry oak branch snapping in a dense forest
Material,woody,Environmental,log,mountain,a heavy log rolling down a steep rocky slope
Material,woody,Environmental,wind,woods,wind rustling through the leaves of a summer orchard
Material,woody,Environmental,leaves,garden,dry birch leaves skittering across a paved path
Material,woody,Environmental,roots,cliff,tree roots cracking as they grow into a rock face
Material,woody,Environmental,bamboo,grove,bamboo stalks knocking together in a strong wind
Material,woody,Environmental,floor,cabin,a wooden cabin floor creaking under a footstep
Material,woody,Environmental,pine cone,forest,a dry pine cone falling onto a forest floor
Material,woody,Environmental,driftwood,beach,two pieces of driftwood clashing in a wave
Material,woody,Environmental,hollow log,valley,wind whistling through a hollow fallen log
Material,woody,Environmental,beaver dam,river,wooden sticks being moved by water in a dam
Material,woody,Environmental,tree,field,a large tree falling and hitting the ground
Material,woody,Environmental,sap,hearth,sap popping and crackling in a burning oak log
Material,woody,Environmental,icicle,eaves,an icicle hitting a wooden deck and shattering
Material,woody,Environmental,rain,forest,rain falling onto a thick canopy of leaves
Material,woody,Environmental,pebbles,woods,small stones hitting the bark of a tree
Material,woody,Environmental,reeds,marsh,dry reeds rubbing together in a light wind
Material,woody,Environmental,bark,mountain,a piece of bark peeling off a frozen tree
Material,woody,Organic,woodpecker,orchard,a woodpecker pecking at a hollow cedar trunk
Material,woody,Organic,chest,forest,a gorilla drumming its chest in a forest clearing
Material,woody,Organic,claws,porch,a dog's claws clicking on a wooden floor as it walks
Material,woody,Organic,beak,tree,a bird pecking at a weathered wooden fence post
Material,woody,Organic,joint,room,a finger joint popping with a dry woody sound
Material,woody,Organic,stomp,stage,a heavy foot stomp on a hollow wooden theater stage
Material,woody,Organic,twigs,woods,a bundle of dry twigs being crushed by a boot
Material,woody,Organic,fur,barn,a horse brushing against the side of a wooden stall
Material,woody,Organic,bones,museum,two small dry bones tapping together in a hand
Material,woody,Organic,egg,kitchen,an eggshell being tapped against a wooden spoon
Material,woody,Organic,jaw,bedroom,a person's jaw clicking shut with a woody sound
Material,woody,Organic,wings,night,the flutter of an owl's wings near a wooden beam
Material,woody,Organic,scales,desert,a snake sliding over a dry fallen branch
Material,woody,Organic,tongue,room,a person making a soft tutting sound with the tongue
Material,woody,Organic,hand,water,a hand striking the surface of a wooden bucket
Material,woody,Organic,seeds,pod,dry seeds rattling inside a hollow wooden pod
Material,woody,Organic,shell,beach,a crab shell clicking against a piece of driftwood
Material,woody,Organic,throat,hall,a person clearing their throat with a dry sound
Material,woody,Domestic,spoon,kitchen,a wooden spoon stirring a thick stew in a bowl
Material,woody,Domestic,door,hall,a heavy wooden door thudding shut in a foyer
Material,woody,Domestic,chair,dining room,a wooden chair leg dragging across a floor
Material,woody,Domestic,cabinet,kitchen,a wooden cabinet door closing with a soft thud
Material,woody,Domestic,trunk,attic,a wooden trunk being dragged across floorboards
Material,woody,Domestic,rug,hall,a person walking on a wooden floor under a rug
Material,woody,Domestic,pot,stove,a ceramic pot being set on a wooden coaster
Material,woody,Domestic,drawer,desk,a wooden drawer sliding on its wooden runners
Material,woody,Domestic,shutter,house,a window shutter banging in a strong wind
Material,woody,Domestic,box,pantry,a wooden box of nails being set onto a shelf
Material,woody,Domestic,towel,bathroom,a wooden towel rack creaking as a towel is hung
Material,woody,Domestic,iron,laundry,a heavy iron hitting a wooden ironing board
Material,woody,Domestic,keys,foyer,a key ring hitting a wooden entryway table
Material,woody,Domestic,bag,store,a paper bag being set down on a wooden counter
