category,tag,domain,source,environment,scenario,file
harmonic/resonant,resonant,musical,gong,temple,a heavy mallet striking a large bronze gong in a stone shrine,resonant/resonant_musical_0000.mp3
harmonic/resonant,resonant,musical,cello,cellar,a bow drawing a long note on a thick cello string in a damp stone basement,resonant/resonant_musical_0001.mp3
harmonic/resonant,resonant,musical,pipe organ,cathedral,a sustained pedal note on a large pipe organ in a gothic cathedral,resonant/resonant_musical_0002.mp3
harmonic/resonant,resonant,musical,handpan,meadow,a firm palm strike on the central dome of a steel handpan in a valley,resonant/resonant_musical_0003.mp3
harmonic/resonant,resonant,musical,timpani,stage,a soft mallet hit on a large copper kettle drum in an empty theater,resonant/resonant_musical_0004.mp3
harmonic/resonant,resonant,musical,didgeridoo,canyon,a continuous drone through a hollow eucalyptus didgeridoo in a gorge,resonant/resonant_musical_0005.mp3
harmonic/resonant,resonant,musical,singing bowl,shrine,a wooden striker being rubbed around the rim of a bronze bowl,resonant/resonant_musical_0006.mp3
harmonic/resonant,resonant,musical,piano,ballroom,a low-register chord on a grand piano with the sustain pedal depressed,resonant/resonant_musical_0007.mp3
harmonic/resonant,resonant,musical,harp,conservatory,the lingering vibration of a low-register harp string after a firm pluck,resonant/resonant_musical_0008.mp3
harmonic/resonant,resonant,musical,djembe,forest,a palm strike in the center of a large hollow djembe drum,resonant/resonant_musical_0009.mp3
harmonic/resonant,resonant,musical,taiko,temple,a heavy wooden beat hitting a large hide-covered taiko drum,resonant/resonant_musical_0010.mp3
harmonic/resonant,resonant,musical,vibraphone,hall,a single strike on a vibraphone bar with the motor turned off,resonant/resonant_musical_0011.mp3
harmonic/resonant,resonant,musical,harmonium,porch,a deep chord played with multiple reeds on a bellows instrument,resonant/resonant_musical_0012.mp3
harmonic/resonant,resonant,musical,sitar,temple,the buzzing resonance of sitar sympathetic strings in a quiet hall,resonant/resonant_musical_0013.mp3
harmonic/resonant,resonant,musical,gong,observatory,a small metal beater striking the edge of a suspended bronze disk,resonant/resonant_musical_0014.mp3
harmonic/resonant,resonant,musical,handbells,church,the resonant ring of a large brass handbell in a stone chapel,resonant/resonant_musical_0015.mp3
harmonic/resonant,resonant,musical,lute,courtyard,a resonant pluck on the lowest course of a gut-string lute,resonant/resonant_musical_0016.mp3
harmonic/resonant,resonant,mechanical,boiler,basement,a metal wrench hitting the side of a large empty steam boiler,resonant/resonant_mechanical_0017.mp3
harmonic/resonant,resonant,mechanical,winch,shipyard,the low-frequency hum of a heavy cable winch under tension,resonant/resonant_mechanical_0018.mp3
harmonic/resonant,resonant,mechanical,clock tower,square,a giant mechanical clock bell striking the hour in a city center,resonant/resonant_mechanical_0019.mp3
harmonic/resonant,resonant,mechanical,turbine,hangar,the high-pitched whine of a jet turbine reaching full speed,resonant/resonant_mechanical_0020.mp3
harmonic/resonant,resonant,mechanical,engine,garage,the deep rhythmic thrum of a large diesel engine at idle,resonant/resonant_mechanical_0021.mp3
harmonic/resonant,resonant,mechanical,compressor,workshop,the heavy pulse of an industrial air compressor tank,resonant/resonant_mechanical_0022.mp3
harmonic/resonant,resonant,mechanical,lathe,factory,the sing of a metal lathe as the tool touches a spinning rod,resonant/resonant_mechanical_0023.mp3
harmonic/resonant,resonant,mechanical,saw,woodshop,the ringing vibration of a large circular saw blade at rest,resonant/resonant_mechanical_0024.mp3
harmonic/resonant,resonant,mechanical,gears,mill,the slow rhythmic clashing of large iron gears in a water mill,resonant/resonant_mechanical_0025.mp3
harmonic/resonant,resonant,mechanical,pump,well,the heavy rhythmic thumping of a piston water pump in a shaft,resonant/resonant_mechanical_0026.mp3
harmonic/resonant,resonant,mechanical,elevator,shaft,the resonant thrum of a freight elevator motor in a concrete shaft,resonant/resonant_mechanical_0027.mp3
