category,tag,domain,source,environment,scenario,file
valence/artificial,annoying,musical,out-of-tune violin,practice room,a beginner bowing an out-of-tune violin with uneven pressure in a small practice room,annoying/annoying_musical_0000.mp3
valence/artificial,annoying,musical,mismatched handbells,stone chapel,a set of mismatched handbells being rung out of sequence in a stone chapel,annoying/annoying_musical_0001.mp3
valence/artificial,annoying,musical,recorder,classroom,a plastic recorder being blown too hard on a single high note in a classroom,annoying/annoying_musical_0002.mp3
valence/artificial,annoying,musical,kazoo,nursery,a metal kazoo vibrating against a plastic toy in a quiet nursery,annoying/annoying_musical_0003.mp3
valence/artificial,annoying,musical,toy piano,attic,a toy piano with a stuck key being pressed repeatedly in a dusty attic,annoying/annoying_musical_0004.mp3
valence/artificial,annoying,musical,piccolo,orchestra pit,a piccolo flute playing a repetitive high-pitched trill during a rehearsal,annoying/annoying_musical_0005.mp3
valence/artificial,annoying,musical,tambourine,street festival,a tambourine with a loose jingle being shaken rhythmically at a street festival,annoying/annoying_musical_0006.mp3
valence/artificial,annoying,musical,metronome,parlor,a mechanical metronome ticking with a slight limp in a quiet parlor,annoying/annoying_musical_0007.mp3
valence/artificial,annoying,musical,harmonica,porch,a harmonica being played with a sharp inhaling sound on a rural porch,annoying/annoying_musical_0008.mp3
valence/artificial,annoying,musical,triangle,hallway,a silver triangle being tapped rapidly and incessantly in a marble hallway,annoying/annoying_musical_0009.mp3
valence/artificial,annoying,musical,synthesizer,studio,a synthesizer holding a high-frequency square wave with a slow filter sweep,annoying/annoying_musical_0010.mp3
valence/artificial,annoying,musical,bagpipes,highlands,the initial uncoordinated drone of bagpipes filling with air in the highlands,annoying/annoying_musical_0011.mp3
valence/artificial,annoying,musical,ukulele,beach,a high-pitched ukulele string being plucked repeatedly with a sharp fingernail,annoying/annoying_musical_0012.mp3
valence/artificial,annoying,musical,jaw harp,campfire,a metal jaw harp twanging against the teeth of a performer at a campfire,annoying/annoying_musical_0013.mp3
valence/artificial,annoying,musical,cymbals,rehearsal hall,two small finger cymbals clashing together slightly out of sync,annoying/annoying_musical_0014.mp3
valence/artificial,annoying,musical,banjo,farm,a banjo string being tuned up and down repeatedly on a farmhouse porch,annoying/annoying_musical_0015.mp3
valence/artificial,annoying,musical,glockenspiel,garden,a glockenspiel bar being hit with a hard plastic mallet in a quiet garden,annoying/annoying_musical_0016.mp3
valence/artificial,annoying,mechanical,slipping belt,auto garage,a slipping rubber fan belt squealing in a car engine at a garage,annoying/annoying_mechanical_0017.mp3
valence/artificial,annoying,mechanical,rusted hinge,cellar,a rusted metal hinge creaking slowly as a heavy door opens in a cellar,annoying/annoying_mechanical_0018.mp3
valence/artificial,annoying,mechanical,conveyor belt,warehouse,a squeaky conveyor belt roller spinning in a large distribution warehouse,annoying/annoying_mechanical_0019.mp3
valence/artificial,annoying,mechanical,typewriter,library,a manual typewriter carriage hitting the margin bell repeatedly in a quiet library,annoying/annoying_mechanical_0020.mp3
valence/artificial,annoying,mechanical,industrial fan,office,a desk fan with an unbalanced blade clicking against the metal guard,annoying/annoying_mechanical_0021.mp3
valence/artificial,annoying,mechanical,ratchet tool,shipyard,a metal ratchet wrench being turned rapidly in a hollow ship hull,annoying/annoying_mechanical_0022.mp3
valence/artificial,annoying,mechanical,well pump,farmland,a manual well pump handle squeaking at the top of its stroke on a farm,annoying/annoying_mechanical_0023.mp3
valence/artificial,annoying,mechanical,clockwork,antique shop,the repetitive whirring of a small mechanical toy motor in a shop,annoying/annoying_mechanical_0024.mp3
valence/artificial,annoying,mechanical,printer,study,a dot matrix printer head moving back and forth across a page in a study,annoying/annoying_mechanical_0025.mp3
valence/artificial,annoying,mechanical,winch,dock,a rusted winch cable grinding through a metal pulley on a fishing dock,annoying/annoying_mechanical_0026.mp3
valence/artificial,annoying,mechanical,lathe,workshop,a metal lathe tool chatter as it cuts through a piece of aluminum,annoying/annoying_mechanical_0027.mp3
valence/artificial,annoying,mechanical,centrifuge,laboratory,a laboratory centrifuge whining as it reaches its highest speed in a clean room,annoying/annoying_mechanical_0028.mp3
valence/artificial,annoying,mechanical,sewing machine,tailor shop,a sewing machine needle striking a metal plate repeatedly in a tailor shop,annoying/annoying_mechanical_0029.mp3
valence/artificial,annoying,mechanical,impact driver,garage,a pneumatic impact driver hammering a stuck bolt in a concrete garage,annoying/annoying_mechanical_0030.mp3
valence/artificial,annoying,mechanical,elevator,lobby,the high-pitched whine of an elevator motor starting up in a hotel lobby,annoying/annoying_mechanical_0031.mp3
valence/artificial,annoying,mechanical,stapler,warehouse,a heavy-duty stapler jamming and clicking repeatedly in a warehouse,annoying/annoying_mechanical_0032.mp3
valence/artificial,annoying,mechanical,bicycle spoke,trail,a plastic card hitting the spokes of a moving bicycle on a forest trail,annoying/annoying_mechanical_0033.mp3
valence/artificial,annoying,environmental,mosquito,swamp,a mosquito buzzing persistently near the ear in a misty swamp,annoying/annoying_environmental_0034.mp3
valence/artificial,annoying,environmental,dripping water,cave,water dripping into a plastic bucket in a hollow limestone cave,annoying/annoying_environmental_0035.mp3
valence/artificial,annoying,environmental,wind,canyon,wind whistling through a narrow gap in a window frame during a storm,annoying/annoying_environmental_0036.mp3
valence/artificial,annoying,environmental,cicada,olive grove,a single cicada buzzing loudly on a tree branch in an olive grove,annoying/annoying_environmental_0037.mp3
valence/artificial,annoying,environmental,hail,roof,small hailstones bouncing off a corrugated metal roof for a long duration,annoying/annoying_environmental_0038.mp3
valence/artificial,annoying,environmental,thistle,meadow,the sound of wind through a patch of dried thistles in a summer field,annoying/annoying_environmental_0039.mp3
valence/artificial,annoying,environmental,reeds,marshland,dry reeds knocking together incessantly in a windy marshland,annoying/annoying_environmental_0040.mp3
valence/artificial,annoying,environmental,mud pot,geothermal area,a thick mud pot bubbling and plopping at an irregular rate,annoying/annoying_environmental_0041.mp3
valence/artificial,annoying,environmental,stream,valley,a small stream splashing over a piece of hollow plastic trash in a valley,annoying/annoying_environmental_0042.mp3
valence/artificial,annoying,environmental,lava,crater,gas bubbles hissing and popping through a thick crust of volcanic ash,annoying/annoying_environmental_0043.mp3
valence/artificial,annoying,environmental,sand,dune,sand grains skittering across a metal container in a desert windstorm,annoying/annoying_environmental_0044.mp3
valence/artificial,annoying,environmental,ice,lake,a thin sheet of ice cracking and groaning repeatedly on a frozen lake,annoying/annoying_environmental_0045.mp3
valence/artificial,annoying,environmental,rock fragment,cliff,a stone fragment vibrating in a narrow crevice on a cliffside,annoying/annoying_environmental_0046.mp3
valence/artificial,annoying,environmental,foghorn,harbor,a distant foghorn sounding a repetitive low note in a misty harbor,annoying/annoying_environmental_0047.mp3
valence/artificial,annoying,environmental,leaves,garden,dry leaves rustling against a window pane in a persistent breeze,annoying/annoying_environmental_0048.mp3
valence/artificial,annoying,environmental,rain,tent,heavy rain hitting a nylon tent fly with a consistent drumming sound,annoying/annoying_environmental_0049.mp3
valence/artificial,annoying,environmental,geyser,park,the repetitive gurgling and sputtering of a thermal vent before eruption,annoying/annoying_environmental_0050.mp3
valence/artificial,annoying,organic,infant cry,nursery,a newborn infant crying in a persistent rhythmic pattern in a nursery,annoying/annoying_organic_0051.mp3
valence/artificial,annoying,organic,fingernails,desk,fingernails tapping rapidly on a wooden desk in a quiet office,annoying/annoying_organic_0052.mp3
valence/artificial,annoying,organic,human whistle,hallway,a person whistling a repetitive high-pitched tune in a stone hallway,annoying/annoying_organic_0053.mp3
valence/artificial,annoying,organic,dog bark,yard,a small dog barking at a fence in a repetitive and insistent manner,annoying/annoying_organic_0054.mp3
valence/artificial,annoying,organic,human cough,library,a person having a dry repetitive cough in a quiet library,annoying/annoying_organic_0055.mp3
valence/artificial,annoying,organic,pigeon,barn,a pigeon cooing incessantly in the rafters of a wooden barn,annoying/annoying_organic_0056.mp3
valence/artificial,annoying,organic,cricket,bedroom,a single cricket chirping behind a dresser in a quiet bedroom,annoying/annoying_organic_0057.mp3
valence/artificial,annoying,organic,howler monkey,jungle,a monkey barking repeatedly in the canopy of a tropical rainforest,annoying/annoying_organic_0058.mp3
valence/artificial,annoying,organic,human hum,nursery,a person humming a single note through their nose while waiting,annoying/annoying_organic_0059.mp3
valence/artificial,annoying,organic,bees,orchard,the constant hum of a bee hovering around a person's head in an orchard,annoying/annoying_organic_0060.mp3
valence/artificial,annoying,organic,frog,swamp,a bullfrog croaking in a repetitive rhythmic pattern in a misty swamp,annoying/annoying_organic_0061.mp3
valence/artificial,annoying,organic,stomach,office,a stomach gurgling loudly during a quiet meeting in an office,annoying/annoying_organic_0062.mp3
valence/artificial,annoying,organic,tongue click,hallway,a person making a repetitive tongue click while walking in a hall,annoying/annoying_organic_0063.mp3
valence/artificial,annoying,organic,snap,bedroom,a person snapping their fingers rhythmically while trying to remember something,annoying/annoying_organic_0064.mp3
valence/artificial,annoying,organic,mouth pop,cavern,a person making a repetitive pop sound with their lips in a cave,annoying/annoying_organic_0065.mp3
valence/artificial,annoying,organic,cluck,farm,a chicken clucking incessantly while being chased around a farm yard,annoying/annoying_organic_0066.mp3
valence/artificial,annoying,organic,wing flap,attic,a bird flapping its wings against a glass window in a quiet attic,annoying/annoying_organic_0067.mp3
valence/artificial,annoying,domestic,fork,dining room,a metal fork scraping against a ceramic plate in a quiet dining room,annoying/annoying_domestic_0068.mp3
