category,tag,domain,source,environment,scenario
Dynamic/Stable,constant,Musical,bagpipes,field,a steady drone from the pipes of a highland bagpipe in a windy field
Dynamic/Stable,constant,Musical,didgeridoo,cave,a fixed-pitch drone through a eucalyptus didgeridoo in a limestone cave
Dynamic/Stable,constant,Musical,harmonium,chapel,a sustained and unchanging reed note from a foot-pumped harmonium
Dynamic/Stable,constant,Musical,tibetan bowl,shrine,a wooden mallet circling a singing bowl at an unwavering speed
Dynamic/Stable,constant,Musical,pipe organ,cathedral,a single diapason pipe held at a fixed air pressure in a cathedral
Dynamic/Stable,constant,Musical,glass armonica,parlor,the steady friction of a finger on a spinning glass bowl
Dynamic/Stable,constant,Musical,tamboura,temple,a repetitive and unchanging pluck of a wire tamboura string
Dynamic/Stable,constant,Musical,accordion,tavern,the steady and uniform expansion of leather accordion bellows
Dynamic/Stable,constant,Musical,theremin,studio,a fixed and unmoving pitch held on an electronic theremin
Dynamic/Stable,constant,Musical,cello,chamber,a long and unwavering bow stroke on a thick cello string
Dynamic/Stable,constant,Musical,hurdy-gurdy,alleyway,the steady friction of a wooden wheel against a gut drone string
Dynamic/Stable,constant,Musical,marimba,gallery,a rapid and perfectly steady mallet roll on a rosewood bar
Dynamic/Stable,constant,Musical,flute,meadow,a long and unwavering breath through a wooden transverse flute
Dynamic/Stable,constant,Musical,synthesizer,bedroom,a pure and unmodulated sawtooth wave held on a synthesizer
Dynamic/Stable,constant,Musical,mouth organ,porch,a steady and unchanging inhaled note on a metal harmonica
Dynamic/Stable,constant,Musical,vibraphone,jazz club,a sustained note with the motor spinning at a fixed rate
Dynamic/Stable,constant,Musical,shruti box,studio,the unchanging reed drone of a manual shruti box
Dynamic/Stable,constant,Musical,violin,ballroom,a high-register harmonic note held with a steady bow
Dynamic/Stable,constant,Mechanical,electric motor,garage,the high-speed and unwavering whir of a small electric motor
Dynamic/Stable,constant,Mechanical,fan,office,the steady and unchanging hum of a three-blade desk fan
Dynamic/Stable,constant,Mechanical,turbine,bunker,the deep and fixed-frequency hum of a massive power turbine
Dynamic/Stable,constant,Mechanical,flywheel,factory,the silent and steady rotation of a heavy steel flywheel
Dynamic/Stable,constant,Mechanical,conveyor,warehouse,a rubber conveyor belt moving at an unwavering speed
Dynamic/Stable,constant,Mechanical,clockwork,museum,the rhythmic and unchanging ticking of a brass escapement
Dynamic/Stable,constant,Mechanical,pump,station,the steady and rhythmic thumping of a large water pump
Dynamic/Stable,constant,Mechanical,lathe,workshop,a metal lathe making a long and uniform pass on a steel rod
Dynamic/Stable,constant,Mechanical,ventilation,tunnel,the unchanging roar of a massive industrial ventilation fan
Dynamic/Stable,constant,Mechanical,generator,hangar,the steady and low-frequency hum of a backup diesel generator
Dynamic/Stable,constant,Mechanical,air pump,lab,the unwavering thrum of a laboratory vacuum pump
Dynamic/Stable,constant,Mechanical,potter's wheel,studio,the consistent and steady hum of a motorized potter's wheel
Dynamic/Stable,constant,Mechanical,metronome,parlor,the singular and unchanging click of a mechanical metronome
Dynamic/Stable,constant,Mechanical,centrifuge,lab,the high-pitched and unwavering whine of a laboratory centrifuge
Dynamic/Stable,constant,Mechanical,shutter,photo studio,the rapid and perfectly steady clicking of a camera motor drive
Dynamic/Stable,constant,Mechanical,drill,garage,an electric drill spinning at a fixed speed under no load
Dynamic/Stable,constant,Mechanical,elevator,shaft,the steady and unchanging hum of an elevator's hoisting motor
Dynamic/Stable,constant,Mechanical,spinning top,patio,the unwavering whir of a metal spinning top on a stone floor
Dynamic/Stable,constant,Environmental,waterfall,forest,the steady and unchanging roar of a wide forest waterfall
Dynamic/Stable,constant,Environmental,wind,canyon,a fixed-intensity breeze whistling through a narrow rock gap
Dynamic/Stable,constant,Environmental,rain,greenhouse,the steady and unchanging patter of light rain on glass
Dynamic/Stable,constant,Environmental,stream,meadow,the uniform flow of water over a bed of smooth pebbles
Dynamic/Stable,constant,Environmental,geyser,basin,the steady and unchanging hiss of a geothermal steam vent
Dynamic/Stable,constant,Environmental,river,canyon,the deep and unchanging rush of a river through a gorge
