tag,domain,source,environment,scenario
distant,Musical,trumpet,mountain range,a trumpet playing a melody from across a mountain range
distant,Musical,pipe organ,cathedral exterior,a pipe organ performing a hymn heard from outside a stone cathedral
distant,Musical,snare drum,city alley,a snare drum being played in a parade several blocks away from an alley
distant,Musical,church bell,snowy field,a church bell tolling in a village across a snowy field
distant,Musical,tuba,foggy lake,a tuba playing a low note on the opposite side of a foggy lake
distant,Musical,violin,forest clearing,a violin being bowed in a cabin deep within a forest
distant,Musical,gong,temple courtyard,a large gong being struck inside a temple seen from a hilltop
distant,Musical,bagpipes,misty highland,bagpipes playing in a valley below a misty highland ridge
distant,Musical,grand piano,apartment hallway,a grand piano being played behind a closed door at the end of a hallway
distant,Musical,cello,stone ruins,a cello being bowed in a hollow chamber of distant stone ruins
distant,Musical,saxophone,subway entrance,a saxophone playing for tips at a subway entrance seen from a street corner
distant,Musical,tambourine,desert dunes,a tambourine being shaken at a campsite behind a desert dune
distant,Musical,flute,riverbank,a flute playing on a boat moving down a wide river
distant,Musical,harpsichord,mansion ballroom,a harpsichord being played in a ballroom heard from a garden path
distant,Musical,bass drum,stadium,a marching bass drum being struck inside a stadium heard from the parking lot
distant,Musical,didgeridoo,canyon floor,a didgeridoo being blown at the base of a deep rock canyon
distant,Musical,accordion,village square,an accordion playing at a festival in a distant village square
distant,Musical,clarinet,park meadow,a clarinet practicing in a gazebo across a wide park meadow
distant,Mechanical,train engine,vast prairie,a freight train engine chugging across a vast prairie
distant,Mechanical,chainsaw,deep woods,a chainsaw cutting through a tree in a remote part of the woods
distant,Mechanical,jackhammer,suburban street,a jackhammer breaking pavement at a construction site down the road
distant,Mechanical,propeller plane,cloudy sky,a propeller plane flying through a thick layer of clouds
distant,Mechanical,foghorn,coastal lighthouse,a foghorn sounding from a lighthouse on a rocky peninsula
distant,Mechanical,truck engine,highway rest stop,a semi-truck engine idling at a highway rest stop across a field
distant,Mechanical,tractor,rolling farmland,a tractor plowing a field on the far side of a valley
distant,Mechanical,steam shovel,quarry,a steam shovel moving rocks at the bottom of a deep quarry
distant,Mechanical,pile driver,riverfront,a pile driver hitting a steel post at a shipyard across a river
distant,Mechanical,lawn mower,quiet cul-de-sac,a lawn mower running in a backyard several houses away
distant,Mechanical,concrete mixer,industrial zone,a concrete mixer drum rotating at a construction site over a hill
distant,Mechanical,helicopter,mountain peak,a helicopter flying near a snow-covered mountain peak
distant,Mechanical,steam whistle,harbor,a steam whistle sounding from a ship entering a harbor
distant,Mechanical,wind turbine,open moorland,a large wind turbine spinning in a gusty wind on a moorland
distant,Mechanical,printing press,office corridor,a printing press running in a basement heard from a top-floor corridor
distant,Mechanical,air compressor,garage workshop,an air compressor motor running inside a closed garage
distant,Mechanical,hydraulic lift,shipyard hangar,a hydraulic lift raising a platform inside a large hangar
distant,Mechanical,sawmill,valley floor,a sawmill blade cutting timber in a building on the valley floor
distant,Environmental,thunder,desert horizon,a bolt of lightning causing thunder on the desert horizon
distant,Environmental,waterfall,jungle canopy,a massive waterfall plunging into a pool heard from a jungle ridge
distant,Environmental,ocean surf,cliffside trail,ocean surf hitting a sandy beach heard from a high cliffside trail
distant,Environmental,rockfall,mountain valley,a rockfall tumbling down a slope in a remote mountain valley
distant,Environmental,wind,pine forest,wind rushing through the tops of trees in a faraway pine forest
distant,Environmental,geyser,volcanic plateau,a geyser erupting on a geothermal plateau seen from a distance
distant,Environmental,rain,metal shed,rain pelting the roof of a metal shed in a distant field
distant,Environmental,avalanche,arctic tundra,an avalanche of snow and ice on a mountain across a tundra
distant,Environmental,river rapids,forest path,river rapids churning through a gorge heard from a forest path
distant,Environmental,brush fire,dry canyon,a brush fire crackling in a ravine on the other side of a canyon
distant,Environmental,ice cracking,frozen lake,thick ice sheets shifting and cracking in the middle of a frozen lake
distant,Environmental,landslide,coastal road,a landslide of earth and stones moving down a mountain toward a road
distant,Environmental,storm surge,beach boardwalk,a storm surge hitting a sea wall heard from a boardwalk
distant,Environmental,volcanic rumble,island shore,a volcanic rumble coming from a peak in the center of an island
distant,Environmental,hail,greenhouse exterior,a hailstorm hitting the glass of a greenhouse in a large garden
distant,Environmental,flash flood,desert wash,a flash flood rushing through a desert wash over the next ridge
distant,Environmental,dust devil,salt flat,a dust devil swirling across a salt flat toward the horizon
distant,Environmental,mud pot,geothermal basin,a thick mud pot bubbling in a geothermal basin across a valley
distant,Organic,lion roar,savanna,a lion roaring at dusk in the middle of a savanna
distant,Organic,wolf howl,snowy ridge,a wolf howling from a ridge overlooking a snowy forest
distant,Organic,dog bark,residential street,a large dog barking in a backyard several blocks away
distant,Organic,bird call,misty lake,a loon calling from the far side of a misty lake
distant,Organic,elephant trumpet,jungle edge,an elephant trumpeting from deep within a tropical jungle
distant,Organic,human shout,canyon wall,a person shouting from the top of a canyon wall to the floor
distant,Organic,coyote yip,desert scrub,a coyote yapping in the desert scrub under a full moon
distant,Organic,cattle lowing,open pasture,a herd of cattle lowing in a pasture across a country road
distant,Organic,sea lion,rocky cove,a sea lion barking on a rocky island in a coastal cove
distant,Organic,owl hoot,nighttime forest,a great horned owl hooting from a tree deep in the woods
distant,Organic,horse whinny,meadow fence,a horse whinnying from a stable on the far side of a meadow
distant,Organic,cicada buzz,summer orchard,the collective buzz of cicadas in an orchard across a field
distant,Organic,woodpecker,woodland trail,a woodpecker drumming on a hollow tree heard from a trail
distant,Organic,bear growl,mountain thicket,a bear growling in a thicket on a mountain slope
distant,Organic,human laughter,park playground,people laughing at a playground on the far side of a park
distant,Organic,whale breach,coastal cliff,a whale breaching and splashing in the ocean seen from a cliff
distant,Organic,rooster crow,farmhouse porch,a rooster crowing at a farm down a country lane
distant,Organic,monkey chatter,rainforest floor,monkeys chattering in the canopy of a rainforest seen from below
distant,Domestic,vacuum cleaner,upstairs bedroom,a vacuum cleaner running in a bedroom on the second floor
distant,Domestic,door slam,apartment corridor,a heavy apartment door being slammed shut down a long corridor
