tag,domain,source,environment,scenario
compressed,Musical,snare drum,tiled basement,a snare drum with a heavy sandbag on the head being struck
compressed,Musical,piano strings,dusty attic,piano strings being clamped by wooden blocks while played
compressed,Musical,cello,recording booth,a cello being bowed with extreme pressure through a heavy metal mute
compressed,Musical,trumpet,empty theater,a trumpet playing a loud note into a tight copper cup mute
compressed,Musical,flute,misty garden,a flute being blown through a narrowed aperture in the mouthpiece
compressed,Musical,accordion,bustling market,accordion bellows being squeezed firmly against a wooden wall
compressed,Musical,guitar strings,garage,guitar strings being pressed against the metal frets by a heavy capo
compressed,Musical,harp,limestone grotto,harp strings being dampened by a thick wool cloth during a pluck
compressed,Musical,crash cymbal,stadium,a crash cymbal being clamped between two felt plates during a strike
compressed,Musical,organ pipe,stone cathedral,an organ pipe with a partially obstructed flue vibrating
compressed,Musical,bass drum,school gym,a marching bass drum stuffed with dense foam being hit
compressed,Musical,violin,library,a violin string being bowed so hard the hair grinds against the wood
compressed,Musical,marimba,botanical garden,a marimba bar being held down by a hand while struck with a mallet
compressed,Musical,kazoo,city square,a plastic kazoo with the membrane pinched while being hummed into
compressed,Musical,bagpipe,highland ridge,a bagpipe drone with a constricted air valve being played
compressed,Musical,harmonica,front porch,a harmonica reed being blocked by a finger while blowing
compressed,Musical,tambourine,subway station,a tambourine with the jingles taped together being shaken
compressed,Musical,chime,bell tower,a metal chime being struck while wrapped in a thick leather strap
compressed,Mechanical,trash compactor,alleyway,a trash compactor crushing a metal soda can
compressed,Mechanical,piston,engine room,a piston compressing air inside a heavy steel cylinder
compressed,Mechanical,vacuum pump,laboratory,a vacuum pump sealing a thick plastic bag in a chamber
compressed,Mechanical,hydraulic press,scrapyard,a hydraulic press squeezing a solid rubber block
compressed,Mechanical,steam valve,factory,steam escaping through a narrow safety valve under high pressure
compressed,Mechanical,pneumatic drill,construction site,a pneumatic drill reaching the bottom of its stroke in granite
compressed,Mechanical,car tire,garage,air being forced into a car tire at its maximum pressure limit
compressed,Mechanical,baling machine,farmland,a baling machine packing dry hay into a tight square
compressed,Mechanical,metal spring,workshop,a heavy metal spring being fully compressed into its casing
compressed,Mechanical,syringe,clinic,a syringe plunger pushing a thick liquid through a narrow needle
compressed,Mechanical,bellows,blacksmith shop,leather bellows forcing air through a narrow nozzle into a forge
compressed,Mechanical,industrial baler,warehouse,an industrial baler squeezing a stack of cardboard into a block
compressed,Mechanical,pressure cooker,kitchen,steam venting through a pinhole opening in a pressure cooker
compressed,Mechanical,gas cylinder,industrial site,a gas cylinder being filled with high-pressure oxygen
compressed,Mechanical,shock absorber,dirt road,a car shock absorber bottoming out on a rocky path
compressed,Mechanical,air brake,truck stop,an air brake line releasing a short burst of pressure
compressed,Mechanical,printing press,basement,printing press rollers squeezing a sheet of paper against a drum
compressed,Mechanical,metal clamp,carpentry shop,a mechanical clamp tightening on a dense wooden beam
compressed,Mechanical,fuel injector,engine bay,a fuel injector spraying a fine mist into a high-pressure chamber
compressed,Mechanical,hydraulic jack,hangar,a hydraulic jack lifting a heavy aircraft wing under load
compressed,Environmental,wind,rock crevice,wind rushing through a narrow vertical crack in a cliff face
compressed,Environmental,water jet,concrete dam,water jetting from a small fissure in a concrete dam
compressed,Environmental,tectonic plates,mountain range,tectonic plates grinding together under immense weight
compressed,Environmental,ocean water,submarine hull,deep ocean water pressing against a metal submarine hull
compressed,Environmental,sand,desert dune,dry sand being packed under a heavy boot on a dune
compressed,Environmental,steam,volcanic field,steam hissing from a narrow volcanic fumarole in a wasteland
compressed,Environmental,ice sheets,arctic bay,ice sheets colliding in a narrow strait during a tide change
compressed,Environmental,mud,riverbank,wet mud being squeezed between two flat river stones
