category,tag,domain,source,environment,scenario,file
texture/rough,rough,musical,cello,dilapidated barn,a bow scraping across a rusted cello string,rough/rough_musical_0000.mp3
texture/rough,rough,musical,didgeridoo,subterranean vault,a low-register drone through a coarse wooden pipe,rough/rough_musical_0001.mp3
texture/rough,rough,musical,cymbals,industrial park,a metal chain being dragged over a brass cymbal,rough/rough_musical_0002.mp3
texture/rough,rough,musical,snare drum,meadow,a strike on a snare drum with a torn head,rough/rough_musical_0003.mp3
texture/rough,rough,musical,acoustic guitar,desert canyon,a pick scraping against a heavy-gauge bronze string,rough/rough_musical_0004.mp3
texture/rough,rough,musical,hurdy-gurdy,misty forest,a wooden wheel rubbing against a dry gut string,rough/rough_musical_0005.mp3
texture/rough,rough,musical,güiro,carnival,a wooden stick being scraped along a notched gourd,rough/rough_musical_0006.mp3
texture/rough,rough,musical,trumpet,empty alley,a rasping low note through a corroded brass bell,rough/rough_musical_0007.mp3
texture/rough,rough,musical,tuning fork,concrete basement,a tuning fork vibrating against a brick wall,rough/rough_musical_0008.mp3
texture/rough,rough,musical,piano,attic,a felt hammer striking a brittle and rusted piano wire,rough/rough_musical_0009.mp3
texture/rough,rough,musical,harmonica,windy pier,a wheezing chord from a clogged harmonica reed,rough/rough_musical_0010.mp3
texture/rough,rough,musical,maracas,beach,shaking a dried gourd filled with jagged stone fragments,rough/rough_musical_0011.mp3
texture/rough,rough,musical,harp,mountain pass,a finger plucking a fraying nylon harp string,rough/rough_musical_0012.mp3
texture/rough,rough,musical,violin,arctic station,a bow stroke on a violin coated in frost,rough/rough_musical_0013.mp3
texture/rough,rough,musical,bassoon,botanical garden,a low-frequency growl from a split woodwind reed,rough/rough_musical_0014.mp3
texture/rough,rough,musical,tambourine,farmland,the jingles of a tambourine being rubbed with a coarse glove,rough/rough_musical_0015.mp3
texture/rough,rough,musical,shaker,quarry,crushed granite shifting inside a metal cylinder,rough/rough_musical_0016.mp3
texture/rough,rough,mechanical,metal file,machine shop,a heavy iron file grinding against a block of cast iron,rough/rough_mechanical_0017.mp3
texture/rough,rough,mechanical,fan belt,auto garage,a worn rubber belt slipping on a metal pulley,rough/rough_mechanical_0018.mp3
texture/rough,rough,mechanical,grindstone,blacksmith forge,a steel blade being pressed against a rotating stone,rough/rough_mechanical_0019.mp3
texture/rough,rough,mechanical,conveyor,shipyard,a heavy rubber belt moving over a rusted roller,rough/rough_mechanical_0020.mp3
texture/rough,rough,mechanical,lathe,factory,a cutting tool carving a jagged edge into a steel rod,rough/rough_mechanical_0021.mp3
texture/rough,rough,mechanical,gears,old mill,the grinding of ungreased wooden gears,rough/rough_mechanical_0022.mp3
texture/rough,rough,mechanical,drill,construction site,a masonry bit chewing through a cinder block,rough/rough_mechanical_0023.mp3
texture/rough,rough,mechanical,typewriter,dusty library,the mechanical strike of a rusted typewriter hammer,rough/rough_mechanical_0024.mp3
texture/rough,rough,mechanical,winch,fishing boat,a salt-crusted cable winding onto a metal drum,rough/rough_mechanical_0025.mp3
texture/rough,rough,mechanical,printing press,basement,the rhythmic thudding of a vintage letterpress,rough/rough_mechanical_0026.mp3
texture/rough,rough,mechanical,saw,woodland,a hand saw biting into a dry oak log,rough/rough_mechanical_0027.mp3
texture/rough,rough,mechanical,tractor,wheat field,the chuffing of a diesel engine with a clogged muffler,rough/rough_mechanical_0028.mp3
texture/rough,rough,mechanical,millstone,countryside,a heavy stone wheel crushing dry grain,rough/rough_mechanical_0029.mp3
texture/rough,rough,mechanical,pulley,barn loft,a hemp rope squeaking over a weathered wooden pulley,rough/rough_mechanical_0030.mp3
texture/rough,rough,mechanical,pump,abandoned mine,the dry rattling of a rusted piston pump,rough/rough_mechanical_0031.mp3
texture/rough,rough,mechanical,hinge,dungeon,a heavy iron door hinge creaking slowly,rough/rough_mechanical_0032.mp3
texture/rough,rough,mechanical,shredder,office,a mechanical shredder tearing through thick cardboard,rough/rough_mechanical_0033.mp3
texture/rough,rough,environmental,wind,canyon,wind whistling through a narrow rock crevice,rough/rough_environmental_0034.mp3
texture/rough,rough,environmental,sand,desert,a sandstorm sandblasting a corrugated metal wall,rough/rough_environmental_0035.mp3
texture/rough,rough,environmental,ice,glacier,the grinding of two massive ice sheets against each other,rough/rough_environmental_0036.mp3
texture/rough,rough,environmental,fire,forest,the roar of a large fire consuming dry pine branches,rough/rough_environmental_0037.mp3
texture/rough,rough,environmental,waterfall,rocky gorge,water crashing onto a bed of jagged boulders,rough/rough_environmental_0038.mp3
texture/rough,rough,environmental,thunder,open plains,a low-frequency rolling rumble of distant thunder,rough/rough_environmental_0039.mp3
texture/rough,rough,environmental,volcano,lava field,the crunching of cooling volcanic glass shards,rough/rough_environmental_0040.mp3
