category,tag,domain,source,environment,scenario,file
dynamic/stable,constant,musical,tanpura,temple,a four-stringed tanpura drone in a quiet incense-filled temple,constant/constant_musical_0000.mp3
dynamic/stable,constant,musical,pipe organ,cathedral,a sustained pedal note on a pipe organ in a stone cathedral,constant/constant_musical_0001.mp3
dynamic/stable,constant,musical,didgeridoo,canyon,a low-frequency drone on a wooden didgeridoo in a sandstone gorge,constant/constant_musical_0002.mp3
dynamic/stable,constant,musical,synthesizer,studio,a long sustained pad note on an analog synthesizer in a recording studio,constant/constant_musical_0003.mp3
dynamic/stable,constant,musical,singing bowl,shrine,a wooden mallet being rubbed around the rim of a bronze singing bowl,constant/constant_musical_0004.mp3
dynamic/stable,constant,musical,glass armonica,attic,a wet finger circling the rim of a rotating glass armonica bowl,constant/constant_musical_0005.mp3
dynamic/stable,constant,musical,cello,cellar,a long slow bow stroke on a cello string in a damp stone cellar,constant/constant_musical_0006.mp3
dynamic/stable,constant,musical,violin,hall,a sustained high note on a violin in a marble-walled hall,constant/constant_musical_0007.mp3
dynamic/stable,constant,musical,flute,meadow,a long breathy note sustaining on a silver flute in a grassy meadow,constant/constant_musical_0008.mp3
dynamic/stable,constant,musical,harmonium,porch,a steady chord on a harmonium with consistent bellows pumping,constant/constant_musical_0009.mp3
dynamic/stable,constant,musical,bagpipes,highlands,the continuous harmonic drone of bagpipes on a foggy moor,constant/constant_musical_0010.mp3
dynamic/stable,constant,musical,vibraphone,stage,a vibraphone bar bowed with a cello bow in a concert hall,constant/constant_musical_0011.mp3
dynamic/stable,constant,musical,accordion,street,a steady multi-reed chord on an accordion in a narrow alley,constant/constant_musical_0012.mp3
dynamic/stable,constant,musical,zither,courtyard,a wire zither string being bowed with a continuous motion,constant/constant_musical_0013.mp3
dynamic/stable,constant,musical,sitar,temple,the buzzing resonance of sitar sympathetic strings in a quiet hall,constant/constant_musical_0014.mp3
dynamic/stable,constant,musical,harp,conservatory,the lingering vibration of a low-register harp string in a greenhouse,constant/constant_musical_0015.mp3
dynamic/stable,constant,musical,trumpet,plaza,a single sustained trumpet note echoing in a stone plaza,constant/constant_musical_0016.mp3
