tag,domain,source,environment,scenario
focused,Musical,pizzicato string,velvet-lined room,pizzicato on a cello string in a velvet-lined room
focused,Musical,snare drum,recording booth,a drumstick hitting the dead center of a snare drum in a recording booth
focused,Musical,piano key,empty concert hall,a single piano key being pressed in an empty concert hall
focused,Musical,tuning fork,science lab,a tuning fork vibrating on a wooden tabletop in a science lab
focused,Musical,guitar string,quiet bedroom,a plectrum plucking a high guitar string in a quiet bedroom
focused,Musical,glockenspiel,nursery,a mallet striking a single bell of a glockenspiel in a nursery
focused,Musical,crystal glass,dining hall,a finger tapping a crystal wine glass in a dining hall
focused,Musical,trumpet,stone courtyard,a trumpet playing a long steady note in a stone courtyard
focused,Musical,recorder,library,a recorder being blown softly in a library
focused,Musical,violin string,attic,a bow hair catching a single violin string in an attic
focused,Musical,kalimba,greenhouse,a thumb flicking a kalimba tine in a greenhouse
focused,Musical,cowbell,parking garage,a stick hitting a cowbell in a parking garage
focused,Musical,triangle,bell tower,a triangle being struck in a bell tower
focused,Musical,flute,meadow,a flute playing a single short note in a meadow
focused,Musical,harp,grotto,a harp string being plucked in a grotto
focused,Musical,wooden blocks,theater,a single clap of wooden blocks in a theater
focused,Musical,chime bar,yoga studio,a chime bar being struck in a yoga studio
focused,Musical,piccolo,canyon,a piccolo playing a sharp note in a canyon
focused,Mechanical,sewing machine,tailor shop,a sewing machine needle puncturing leather in a tailor shop
focused,Mechanical,typewriter,newsroom,a typewriter hammer hitting a ribbon in a newsroom
focused,Mechanical,clockwork,quiet hallway,a clock escapement ticking in a quiet hallway
focused,Mechanical,laser cutter,fabrication lab,a laser cutting through a thin acrylic sheet in a fabrication lab
focused,Mechanical,camera lens,park,a camera lens focusing with a small internal motor in a park
focused,Mechanical,metal scribe,workshop,a metal scribe scratching a line on a copper plate in a workshop
focused,Mechanical,screwdriver,electronics lab,a precision screwdriver turning a small screw in an electronics lab
focused,Mechanical,nail gun,construction site,a pneumatic nail gun firing into a wooden beam on a construction site
focused,Mechanical,metronome,conservatory,a metronome ticking on a piano in a conservatory
focused,Mechanical,microscopic probe,clean room,a microscopic probe tapping a silicon wafer in a clean room
focused,Mechanical,fountain pen,study,a fountain pen nib scratching across heavy paper in a study
focused,Mechanical,bicycle chain,mountain path,a bicycle chain clicking into a specific gear on a mountain path
focused,Mechanical,telegraph key,railway station,a telegraph key being tapped in a railway station
focused,Mechanical,lock tumbler,bank vault,a lock tumbler falling into place in a bank vault
focused,Mechanical,fuel injector,engine bay,a fuel injector spraying a fine mist in an engine bay
focused,Mechanical,watchmakers hammer,jewelry store,a watchmaker’s hammer hitting a tiny anvil in a jewelry store
focused,Mechanical,turntable needle,living room,a needle dropping onto a vinyl record in a living room
focused,Mechanical,mechanical shutter,art gallery,a mechanical shutter firing in an art gallery
focused,Environmental,water drop,cave,a single drop of water falling into a deep puddle in a cave
focused,Environmental,wind,rock wall,air rushing through a narrow crack in a rock wall
focused,Environmental,pebble,frozen lake,a pebble hitting a frozen lake surface in a tundra
focused,Environmental,twig,forest,a dry twig snapping under a light footfall in a forest
focused,Environmental,gas bubble,still pond,a single bubble of gas rising and popping in a still pond
focused,Environmental,snowflake,suburb,a snowflake landing on a metal mailbox in a suburb
focused,Environmental,steam pipe,factory,a pinpoint leak in a high-pressure steam pipe in a factory
focused,Environmental,sand grain,desert,a grain of sand hitting a glass pane in a desert
focused,Environmental,sap,pine grove,a drip of sap falling onto a dry leaf in a pine grove
focused,Environmental,hailstone,nursery,a single hailstone hitting a skylight in a nursery
focused,Environmental,ice,mountain peak,a tiny crack forming in a sheet of ice on a mountain peak
focused,Environmental,raindrop,alleyway,a raindrop hitting a tin can in an alleyway
focused,Environmental,spark,parched field,a spark jumping from a dry bush in a parched field
focused,Environmental,volcanic vent,volcanic field,a jet of steam escaping a small volcanic vent
focused,Environmental,pinecone,forest floor,a pinecone hitting a forest floor during a calm afternoon
focused,Environmental,wave,marina,a single wave lapping against a narrow wooden piling in a marina
focused,Environmental,condensation,radiator,a drop of condensation falling onto a hot radiator
focused,Environmental,shale,canyon,a piece of shale sliding down a steep incline in a canyon
focused,Organic,fingers,tiled bathroom,a single snap of a person's fingers in a tiled bathroom
focused,Organic,bird beak,jungle,a bird's beak clicking shut in a dense jungle
focused,Organic,breath,library,a sharp intake of breath through the nose in a quiet library
focused,Organic,squirrel claws,park,a squirrel's claws clicking on a brick wall in a park
focused,Organic,tongue,study,a person clicking their tongue against the roof of their mouth in a study
focused,Organic,dog bark,suburban backyard,a single bark from a small dog in a suburban backyard
focused,Organic,cricket,basement,a cricket chirping once in a dark basement
focused,Organic,fingernail,bedroom,a fingernail tapping a tooth in a bedroom
focused,Organic,grasshopper,grass field,a grasshopper's legs rubbing together in a tall grass field
focused,Organic,bean pod,vegetable garden,a person snapping a dry bean pod in a vegetable garden
focused,Organic,bat,limestone cave,a bat emitting a single echolocation click in a limestone cave
focused,Organic,cat purr,living room,a cat's purr vibrating in a quiet living room
focused,Organic,knuckles,classroom,knuckles cracking in an empty classroom
focused,Organic,woodpecker,hollow branch,a woodpecker hitting a specific spot on a hollow branch
focused,Organic,mosquito,tent,a mosquito buzzing past an ear in a tent
focused,Organic,human whistle,tunnel,a person whistling a single note in a tunnel
focused,Organic,snail shell,glass surface,a snail's shell scraping against a glass surface
focused,Organic,horse hoof,dirt road,a horse's hoof hitting a single stone on a dirt road
focused,Domestic,lock,front door,a metal key turning in a lubricated lock in a front door
focused,Domestic,light switch,hallway,a light switch being flipped in a dark hallway
focused,Domestic,sewing needle,sewing room,a needle being pushed through a tight fabric in a sewing room
focused,Domestic,mouse button,home office,a computer mouse button being clicked in a home office
focused,Domestic,oil drop,kitchen,a drop of oil falling from a spoon into a pan in a kitchen
focused,Domestic,matchstick,living room,a single match being struck against a box in a living room
focused,Domestic,ceramic cup,cafe,a ceramic cup being placed gently on a saucer in a cafe
focused,Domestic,ballpoint pen,lecture hall,a ballpoint pen clicking open in a lecture hall
focused,Domestic,stapler,office,a staple being driven into a thin stack of paper
focused,Domestic,scissors,craft room,a pair of scissors snipping a single thread in a craft room
focused,Domestic,thermometer,bathroom,a digital thermometer signaling in a bathroom
focused,Domestic,tin box,bedroom,a lid of a small tin box snapping shut in a bedroom
focused,Domestic,pill,pharmacy,a pill being dropped into a plastic bottle in a pharmacy
focused,Domestic,bead,workshop,a single bead hitting a wooden floor in a workshop
focused,Domestic,stove igniter,kitchen,a gas stove igniter clicking in a kitchen
focused,Domestic,coin,nursery,a coin being dropped into a piggy bank in a nursery
focused,Domestic,zipper,coat closet,a zipper being pulled up on a heavy jacket
focused,Domestic,wine cork,cellar,a wine cork being pulled out of a bottle in a cellar
focused,Electronic,speaker pulse,lab,a single pulse through a small speaker in a lab
focused,Electronic,relay switch,telecommunications room,a relay switch engaging in a telecommunications room
focused,Electronic,piezoelectric element,circuit board,a piezoelectric element vibrating on a circuit board
focused,Electronic,camera alert,studio,a digital camera's focus alert in a studio
focused,Electronic,sonar,submarine,a sonar pulse in a submarine
focused,Electronic,microwave,kitchen,a microwave signaling the end of a cycle in a kitchen
focused,Electronic,hard drive,server room,a hard drive head moving to a specific track in a server
focused,Electronic,static discharge,office,a static discharge snapping between a finger and a metal plate
focused,Electronic,capacitor,workshop,a capacitor charging during a flash cycle in a workshop
focused,Electronic,smart watch,nightstand,a smart watch vibrating once on a wooden nightstand
focused,Electronic,laser scanner,office,a laser printer's scanner head moving across a page
focused,Electronic,key fob,parking lot,an electronic car key fob clicking in a parking lot
focused,Electronic,gaming device,bedroom,a handheld gaming device making a menu selection sound
focused,Electronic,smoke detector,hallway,a smoke detector emitting a battery alert signal in a hallway
focused,Electronic,digital metronome,rehearsal space,a digital metronome pulsing in a rehearsal space
focused,Electronic,stepper motor,robotics lab,a stepper motor moving a single step in a robotics lab
focused,Electronic,infrared sensor,art gallery,an infrared sensor clicking when detecting motion in a gallery
focused,Electronic,barcode scanner,warehouse,a barcode scanner's laser hitting a label in a warehouse
