category,tag,domain,source,environment,scenario
Material/Source,metallic,Musical,silver bell,snowy field,a small silver bell ringing in a quiet snowy field
Material/Source,metallic,Musical,triangle,concert hall,a steel triangle being struck once in a resonant hall
Material/Source,metallic,Musical,trumpet,alleyway,a trumpet playing a sharp brassy note in a narrow alley
Material/Source,metallic,Musical,ride cymbal,jazz club,a ride cymbal being tapped with a wooden drumstick
Material/Source,metallic,Musical,handbell,abbey,a polished brass handbell ringing in a stone room
Material/Source,metallic,Musical,steel drum,beach,a steel drum being struck with a hard mallet
Material/Source,metallic,Musical,electric guitar,arena,an electric guitar playing a piercing lead harmonic
Material/Source,metallic,Musical,harpsichord,library,a harpsichord key being plucked by a metal-tipped quill
Material/Source,metallic,Musical,mandolin,porch,a mandolin string being flicked with a metal plectrum
Material/Source,metallic,Musical,tambourine,festival,a tambourine with silver jingles being shaken rapidly
Material/Source,metallic,Musical,cowbell,stadium,a metal cowbell being struck with a heavy wooden stick
Material/Source,metallic,Musical,tubular chimes,clock tower,large tubular chimes striking the hour
Material/Source,metallic,Musical,banjo,farmyard,a banjo string being plucked with a metal fingerpick
Material/Source,metallic,Musical,kalimba,greenhouse,the metal tines of a kalimba being flicked
Material/Source,metallic,Musical,xylophone,studio,a xylophone with aluminum bars being hit
Material/Source,metallic,Musical,piccolo flute,mountain peak,a silver piccolo flute playing a high trill
Material/Source,metallic,Musical,zither,garden,a zither string being plucked and allowed to ring
Material/Source,metallic,Musical,gong,temple,a large bronze gong resonating after a heavy strike
Material/Source,metallic,Mechanical,lathe,machine shop,a metal lathe shaving a thin strip of aluminum
Material/Source,metallic,Mechanical,jackhammer,street,a jackhammer bit striking a steel manhole cover
Material/Source,metallic,Mechanical,metal shear,shipyard,a metal shear cutting through a sheet of steel
Material/Source,metallic,Mechanical,gears,observatory,precision steel gears clicking in an observatory
Material/Source,metallic,Mechanical,lock mechanism,vault,a tumbler lock clicking open in a steel vault
Material/Source,metallic,Mechanical,camera shutter,studio,a mechanical camera shutter firing at high speed
Material/Source,metallic,Mechanical,typewriter,office,a vintage typewriter key striking a hard metal platen
Material/Source,metallic,Mechanical,stapler,classroom,a small desktop stapler clicking onto paper
Material/Source,metallic,Mechanical,clockwork,workshop,small brass gears clicking in a dry workshop
Material/Source,metallic,Mechanical,sewing machine,sewing room,a sewing machine needle pulsing through a metal bobbin
Material/Source,metallic,Mechanical,drill,garage,an industrial drill bit screeching against a metal plate
Material/Source,metallic,Mechanical,radiator,apartment,the deep clanking of a steam radiator
Material/Source,metallic,Mechanical,elevator,hotel,the high-pitched ding of an elevator arriving
Material/Source,metallic,Mechanical,boiler,basement,a commercial boiler system igniting with a metallic roar
Material/Source,metallic,Mechanical,wind-up toy,playroom,a tin wind-up robot walking on a wooden floor
Material/Source,metallic,Mechanical,cash register,diner,a mechanical cash register bell ringing
Material/Source,metallic,Mechanical,bicycle bell,suburban street,a bicycle bell ringing on a quiet morning
Material/Source,metallic,Mechanical,slot machine,casino,the mechanical stop of a steel slot machine reel
Material/Source,metallic,Environmental,wind,fence,wind whistling through a chain-link fence on a prairie
Material/Source,metallic,Environmental,rain,tin roof,heavy rain hammering on a corrugated metal roof
Material/Source,metallic,Environmental,sea spray,pier,sea spray hitting a cold iron railing
Material/Source,metallic,Environmental,shale,cliffside,a shale slide creating a metallic clatter on a ledge
Material/Source,metallic,Environmental,lightning,field,a direct lightning strike hitting a metal conductor
Material/Source,metallic,Environmental,hail,shed,large hail stones hitting a metal garden shed
Material/Source,metallic,Environmental,sandstorm,desert,sandblasting wind hitting a metal sign
Material/Source,metallic,Environmental,ice,pipe,ice crystals cracking inside a frozen copper pipe
Material/Source,metallic,Environmental,pebbles,bucket,small pebbles being poured into a metal bucket
Material/Source,metallic,Environmental,icicle,ledge,water dripping onto a metal window ledge
Material/Source,metallic,Environmental,river,bridge,water rushing against a steel bridge support
Material/Source,metallic,Environmental,geyser,grill,steam hissing through a metal grate at a thermal park
Material/Source,metallic,Environmental,storm,turbine,wind rushing through the blades of a metal wind turbine
Material/Source,metallic,Environmental,volcano,crater,the sharp crack of volcanic obsidian cooling
Material/Source,metallic,Environmental,fire,woods,a brush fire popping as it hits a discarded metal wire
Material/Source,metallic,Environmental,bridge,canyon,wind humming through the steel cables of a bridge
Material/Source,metallic,Environmental,crane,dock,a dock crane's metal joints creaking in the wind
Material/Source,metallic,Environmental,tractor,farm,a metal tractor engine idling in a field
Material/Source,metallic,Organic,bird,tin roof,a songbird's claws scurrying on a corrugated tin roof
Material/Source,metallic,Organic,dog,claws,a large dog's claws clicking on a metal floor plate
Material/Source,metallic,Organic,eagle,roof,an eagle landing on a metal roof with a sharp impact
Material/Source,metallic,Organic,squirrel,pipe,a squirrel scurrying inside a metal drainage pipe
Material/Source,metallic,Organic,cat,vent,a cat's paws hitting a metal air vent
Material/Source,metallic,Organic,snake,scales,a snake's scales rubbing against a dry tin can
Material/Source,metallic,Organic,beetle,screen,a beetle's wings buzzing against a metal mesh
Material/Source,metallic,Organic,bat,click,a bat emitting a click near a metal ventilation duct
Material/Source,metallic,Organic,teeth,pencil,a person biting down on a metal pencil casing
Material/Source,metallic,Organic,claws,perch,a bird's claws shifting on a metal cage perch
Material/Source,metallic,Organic,hooves,bridge,horse hooves clopping on a metal bridge
Material/Source,metallic,Organic,wings,shade,a moth's wings fluttering against a metal lampshade
Material/Source,metallic,Organic,fingers,tray,fingernails tapping on a thin metal tray
Material/Source,metallic,Organic,antlers,fence,deer antlers clashing against a wire fence
Material/Source,metallic,Organic,shell,pier,a seashell clicking against a metal pier leg in the tide
Material/Source,metallic,Organic,bones,box,dry bird bones clinking in a small metal tin
Material/Source,metallic,Organic,tongue click,room,a sharp tongue click inside a small metal room
Material/Source,metallic,Organic,heartbeat,chest,a heartbeat heard through a metal stethoscope
Material/Source,metallic,Domestic,silverware,drawer,silverware clinking in a kitchen drawer
Material/Source,metallic,Domestic,keys,foyer,a large ring of keys jingling together
Material/Source,metallic,Domestic,wire whisk,kitchen,a wire whisk hitting the side of a metal bowl
Material/Source,metallic,Domestic,curtain rings,bedroom,metal curtain rings sliding across a brass rod
Material/Source,metallic,Domestic,thimble,sewing basket,a metal thimble dropping onto a glass table
Material/Source,metallic,Domestic,pins,kitchen,a sewing pin hitting a tile floor
Material/Source,metallic,Domestic,foil,kitchen,aluminum foil being crinkled into a ball
Material/Source,metallic,Domestic,soda can,pantry,a soda can being opened with a loud pop
Material/Source,metallic,Domestic,bottle cap,counter,a metal bottle cap rattling on a granite counter
Material/Source,metallic,Domestic,gold chain,vanity,a heavy gold chain being dropped onto a table
Material/Source,metallic,Domestic,porcelain cup,tray,a porcelain cup rattling on a metal tray
Material/Source,metallic,Domestic,lighter,porch,a metal zippo lighter being flicked open
Material/Source,metallic,Domestic,paperclip,office,a handful of paperclips being spilled on a desk
Material/Source,metallic,Domestic,stapler,study,a heavy-duty stapler being used
Material/Source,metallic,Domestic,iron,laundry,a steam iron hissing on a metal ironing board
Material/Source,metallic,Domestic,pot,stove,a heavy pot being set on a metal burner
Material/Source,metallic,Domestic,faucet,bathroom,water rushing through a narrow metal faucet
Material/Source,metallic,Domestic,hammer,garage,a ball-peen hammer striking a steel anvil
Material/Source,metallic,Electronic,relay,server room,a mechanical relay clicking in a server rack
Material/Source,metallic,Electronic,taser,alley,the rapid crackle of an electronic taser arc
Material/Source,metallic,Electronic,arc,lab,electricity arcing between two copper spheres
Material/Source,metallic,Electronic,solenoid,factory,a solenoid striking a metal plate in a machine
Material/Source,metallic,Electronic,capacitor,workshop,a large capacitor discharging with a sharp pop
Material/Source,metallic,Electronic,transformer,pole,a power transformer humming on a utility pole
Material/Source,metallic,Electronic,piezo,lab,a piezo element emitting a high-frequency beep
Material/Source,metallic,Electronic,flash bulb,studio,a professional camera flash bulb popping
Material/Source,metallic,Electronic,speaker feedback,arena,electric guitar feedback howling through a pa
Material/Source,metallic,Electronic,neon sign,diner,a large neon sign buzzing and flickering
Material/Source,metallic,Electronic,computer fan,office,a cooling fan whirring at high speed in a metal case
Material/Source,metallic,Electronic,motherboard,study,a computer bios beep during a startup
Material/Source,metallic,Electronic,led controller,hallway,the high-frequency whine of an led driver
Material/Source,metallic,Electronic,radio static,attic,static between stations on a vintage radio
Material/Source,metallic,Electronic,hard drive,server,a hard drive head clicking as it reads data
Material/Source,metallic,Electronic,buzzer,factory,a loud industrial piezo alarm sounding
Material/Source,metallic,Electronic,microwave,kitchen,the high-pitched end-of-cycle beep of an oven
Material/Source,metallic,Electronic,phone,bedroom,a phone vibrating on a metal nightstand
Material/Source,wooden,Musical,woodblock,orchestra pit,a hollow woodblock being struck with a hard mallet
Material/Source,wooden,Musical,marimba,foyer,a rosewood marimba bar being hit once
Material/Source,wooden,Musical,xylophone,classroom,a xylophone playing a rapid scale with hard mallets
Material/Source,wooden,Musical,acoustic guitar,porch,the body of an acoustic guitar being tapped
Material/Source,wooden,Musical,recorder,woods,a wooden recorder playing a simple air
Material/Source,wooden,Musical,temple block,shrine,a set of wooden temple blocks being struck in sequence
Material/Source,wooden,Musical,claves,studio,two rosewood claves being struck together
Material/Source,wooden,Musical,castanets,dance studio,wooden castanets being clicked rapidly
Material/Source,wooden,Musical,piano action,ballroom,the mechanical click of a wooden piano key
Material/Source,wooden,Musical,violin body,attic,the body of a violin vibrating during a low note
Material/Source,wooden,Musical,cello endpin,conservatory,the resonant thump of a cello's endpin on a floor
Material/Source,wooden,Musical,didgeridoo,outback,a didgeridoo vibrating with a deep earthy drone
Material/Source,wooden,Musical,log drum,jungle,a large hollow log drum being hit with a hand
Material/Source,wooden,Musical,cajon,street,a wooden cajon drum being struck on the face
Material/Source,wooden,Musical,harp soundboard,theatre,the wooden soundboard of a harp resonating
Material/Source,wooden,Musical,banjo bridge,farmyard,a banjo plucked with fingers near the bridge
Material/Source,wooden,Musical,lute,gallery,a lute string being plucked in a resonant hall
Material/Source,wooden,Musical,udu drum,shrine,the deep air-thump of a clay and wood drum
Material/Source,wooden,Mechanical,waterwheel,river,a wooden waterwheel creaking as it turns
Material/Source,wooden,Mechanical,wooden gears,windmill,large wooden gears meshing in a windmill
Material/Source,wooden,Mechanical,wooden pulley,barn,a hemp rope sliding through a wooden pulley
Material/Source,wooden,Mechanical,pump handle,farm,a wooden handle on a water pump moving
Material/Source,wooden,Mechanical,windmill axle,field,the low-frequency groan of a windmill's axle
Material/Source,wooden,Mechanical,loom shuttle,cottage,the wooden shuttle of a loom clicking in a frame
Material/Source,wooden,Mechanical,hand press,print shop,a wooden hand press being operated
Material/Source,wooden,Mechanical,cuckoo clock,den,a wooden cuckoo clock mechanism functioning
Material/Source,wooden,Mechanical,wooden bellows,forge,wooden handles of bellows clacking together
Material/Source,wooden,Mechanical,watermill,bakery,the thrum of a wooden millstone grinding grain
Material/Source,wooden,Mechanical,spinning wheel,attic,a wooden spinning wheel whirring softly
Material/Source,wooden,Mechanical,rocking chair,nursery,a wooden rocking chair creaking on a floor
Material/Source,wooden,Mechanical,wooden ladder,garage,a wooden ladder creaking under a heavy step
Material/Source,wooden,Mechanical,shutters,house,wooden window shutters banging in the wind
Material/Source,wooden,Mechanical,wooden crate,warehouse,a wooden crate sliding across a concrete floor
Material/Source,wooden,Mechanical,rolling pin,bakery,a wooden rolling pin on a floured surface
Material/Source,wooden,Mechanical,ruler snap,classroom,a wooden ruler snapping against a desk
Material/Source,wooden,Mechanical,yardstick,workshop,a wooden yardstick being flexed and released
Material/Source,wooden,Environmental,bamboo,grove,dry bamboo stalks clacking together in a breeze
Material/Source,wooden,Environmental,branches,forest,two tree branches rubbing together in the wind
Material/Source,wooden,Environmental,dry twigs,path,dry twigs snapping under a heavy step
Material/Source,wooden,Environmental,hollow log,woods,a hollow log being struck by a rock
Material/Source,wooden,Environmental,tree stump,forest,a hollow tree stump being tapped by a bird
Material/Source,wooden,Environmental,pine cones,deck,dry pine cones falling onto a wooden deck
Material/Source,wooden,Environmental,acorns,log,acorns hitting a hollow wooden log in sequence
Material/Source,wooden,Environmental,bark stripping,woods,thick bark stripping off a cedar tree
Material/Source,wooden,Environmental,driftwood,beach,driftwood pieces clacking in the surf
Material/Source,wooden,Environmental,roots,cliffside,tree roots cracking as a slope shifts
Material/Source,wooden,Environmental,wind,tree,wind whistling through a hollow trunk
Material/Source,wooden,Environmental,reeds,marsh,thick wooden reeds clattering in a storm
Material/Source,wooden,Environmental,thatch,roof,wind ruffling a thatched roof in a gale
Material/Source,wooden,Environmental,forest floor,woods,a heavy step on a bed of dry branches
Material/Source,wooden,Environmental,landslide,woods,a rockslide hitting a grove of trees
Material/Source,wooden,Environmental,river,pier,a floating log hitting a wooden pier
Material/Source,wooden,Environmental,geyser,boardwalk,water splashing on a wooden boardwalk
Material/Source,wooden,Environmental,fire,cabin,a dry wood fire crackling and popping
Material/Source,wooden,Organic,woodpecker,forest,a woodpecker drumming on a hollow cedar trunk
Material/Source,wooden,Organic,beaver,riverbank,a beaver gnawing on a piece of hardwood
