category,tag,domain,source,environment,scenario,file
temporal/sustained,slow,musical,cello,stone cathedral,a heavy bow drawn across a cello c-string with high pressure,slow/slow_musical_0000.mp3
temporal/sustained,slow,musical,pipe organ,empty basilica,a massive wooden organ bellows filling with air,slow/slow_musical_0001.mp3
temporal/sustained,slow,musical,double bass,subway station,a thick pizzicato note vibrating on a double bass,slow/slow_musical_0002.mp3
temporal/sustained,slow,musical,gong,mountain peak,a large bronze gong vibrating after a soft mallet strike,slow/slow_musical_0003.mp3
temporal/sustained,slow,musical,didgeridoo,dry canyon,a low-frequency vocalized drone through a wooden pipe,slow/slow_musical_0004.mp3
temporal/sustained,slow,musical,accordion,misty harbor,a slow expansion of leather bellows on an accordion,slow/slow_musical_0005.mp3
temporal/sustained,slow,musical,harp,botanical garden,a finger sliding along a thick wire harp string,slow/slow_musical_0006.mp3
temporal/sustained,slow,musical,synthesizer,underground bunker,a gradual pulse-width modulation on a sub-bass oscillator,slow/slow_musical_0007.mp3
temporal/sustained,slow,musical,violin,attic loft,a slow tremolo on a rosin-covered violin string,slow/slow_musical_0008.mp3
temporal/sustained,slow,musical,piano,deserted ballroom,a sustained low-octave piano chord with the damper pedal held,slow/slow_musical_0009.mp3
temporal/sustained,slow,musical,taiko drum,bamboo grove,a deep resonating mallet stroke on a hide drum,slow/slow_musical_0010.mp3
temporal/sustained,slow,musical,glass harmonica,quiet conservatory,a wet finger circling the rim of a crystal bowl,slow/slow_musical_0011.mp3
temporal/sustained,slow,musical,tuba,snowy field,a long breathy note through a brass tuba,slow/slow_musical_0012.mp3
temporal/sustained,slow,musical,hurdy-gurdy,village square,a wooden wheel rubbing against a heavy gut string,slow/slow_musical_0013.mp3
temporal/sustained,slow,musical,sitar,temple interior,a slow glissando across the frets of a sitar,slow/slow_musical_0014.mp3
temporal/sustained,slow,musical,tambura,meditation hall,the continuous sympathetic vibration of wire strings,slow/slow_musical_0015.mp3
temporal/sustained,slow,musical,flute,coastal cliff,a low-register air swell in a wooden flute,slow/slow_musical_0016.mp3
temporal/sustained,slow,mechanical,gears,clock tower,a massive iron cog turning in a mechanical clock,slow/slow_mechanical_0017.mp3
temporal/sustained,slow,mechanical,pulleys,industrial shipyard,a thick steel cable sliding over a greased pulley,slow/slow_mechanical_0018.mp3
temporal/sustained,slow,mechanical,crane,construction site,a hydraulic arm extending under a heavy load,slow/slow_mechanical_0019.mp3
temporal/sustained,slow,mechanical,printing press,newsroom basement,a large offset press cylinder rotating at low speed,slow/slow_mechanical_0020.mp3
temporal/sustained,slow,mechanical,elevator,skyscraper shaft,a heavy elevator car ascending on steel cables,slow/slow_mechanical_0021.mp3
temporal/sustained,slow,mechanical,wind-up toy,nursery,a metal spring slowly unwinding inside a tin robot,slow/slow_mechanical_0022.mp3
temporal/sustained,slow,mechanical,millstone,farmland,a heavy stone wheel crushing grain in a water mill,slow/slow_mechanical_0023.mp3
temporal/sustained,slow,mechanical,lathe,machine shop,a steel rod spinning at low revolutions per minute,slow/slow_mechanical_0024.mp3
temporal/sustained,slow,mechanical,fan,warehouse,the slow rotation of a giant industrial ceiling fan,slow/slow_mechanical_0025.mp3
temporal/sustained,slow,mechanical,bicycle,deserted road,a bicycle chain clicking slowly while coasting,slow/slow_mechanical_0026.mp3
temporal/sustained,slow,mechanical,manual drill,garage,a hand-cranked drill boring into a thick oak plank,slow/slow_mechanical_0027.mp3
temporal/sustained,slow,mechanical,typewriter,study,the slow mechanical return of a typewriter carriage,slow/slow_mechanical_0028.mp3
temporal/sustained,slow,mechanical,winch,fishing boat,a manual winch ratcheting as it lifts a heavy net,slow/slow_mechanical_0029.mp3
temporal/sustained,slow,mechanical,hinge,old barn,a heavy wooden door creaking as it opens,slow/slow_mechanical_0030.mp3
temporal/sustained,slow,mechanical,metronome,music room,a mechanical metronome ticking at a low tempo,slow/slow_mechanical_0031.mp3
temporal/sustained,slow,mechanical,escapement,watchmaker shop,the rhythmic movement of a pendulum in a grandfather clock,slow/slow_mechanical_0032.mp3
temporal/sustained,slow,mechanical,shredder,office,a mechanical paper shredder processing a thick stack of documents,slow/slow_mechanical_0033.mp3
temporal/sustained,slow,environmental,glacier,arctic tundra,the grinding of a massive ice sheet over stone,slow/slow_environmental_0034.mp3
temporal/sustained,slow,environmental,lava,volcanic ledge,a thick flow of molten rock moving down a slope,slow/slow_environmental_0035.mp3
temporal/sustained,slow,environmental,wind,pine forest,a low-frequency gust moving through a dense canopy,slow/slow_environmental_0036.mp3
temporal/sustained,slow,environmental,thunder,open plains,the distant rolling rumble of a storm,slow/slow_environmental_0037.mp3
temporal/sustained,slow,environmental,waterfall,tropical gorge,a heavy volume of water cascading into a deep pool,slow/slow_environmental_0038.mp3
temporal/sustained,slow,environmental,tide,rocky beach,the slow wash of a large wave over gravel,slow/slow_environmental_0039.mp3
temporal/sustained,slow,environmental,ice,frozen lake,a deep groan from a shifting layer of lake ice,slow/slow_environmental_0040.mp3
temporal/sustained,slow,environmental,landslide,mountain pass,a slow movement of earth and boulders down a cliff,slow/slow_environmental_0041.mp3
temporal/sustained,slow,environmental,rain,jungle,heavy raindrops saturating a thick layer of moss,slow/slow_environmental_0042.mp3
temporal/sustained,slow,environmental,geyser,volcanic field,the bubbling of a thick mud pot in a thermal area,slow/slow_environmental_0043.mp3
temporal/sustained,slow,environmental,fire,campsite,a large cedar log smoldering in a fire pit,slow/slow_environmental_0044.mp3
temporal/sustained,slow,environmental,river,valley,the steady roar of a wide river in a canyon,slow/slow_environmental_0045.mp3
temporal/sustained,slow,environmental,thaw,eaves,water dripping slowly from a melting icicle,slow/slow_environmental_0046.mp3
temporal/sustained,slow,environmental,sand,dune,a thin layer of sand sliding down a steep face,slow/slow_environmental_0047.mp3
temporal/sustained,slow,environmental,fog,harbor,the resonance of air moving through a thick mist,slow/slow_environmental_0048.mp3
temporal/sustained,slow,environmental,earthquake,fault line,the subterranean grinding of shifting tectonic plates,slow/slow_environmental_0049.mp3
temporal/sustained,slow,environmental,stalactite,limestone cave,a water droplet forming and falling in a cavern,slow/slow_environmental_0050.mp3
temporal/sustained,slow,organic,blue whale,ocean floor,a long resonant moan from a humpback whale,slow/slow_organic_0051.mp3
temporal/sustained,slow,organic,elephant,savanna,a deep infrasonic rumble from an elephant's throat,slow/slow_organic_0052.mp3
temporal/sustained,slow,organic,lion,safari park,a low-frequency purr from a resting predator,slow/slow_organic_0053.mp3
temporal/sustained,slow,organic,heartbeat,quiet bedroom,the slow thumping of a heart during deep sleep,slow/slow_organic_0054.mp3
temporal/sustained,slow,organic,tortoise,sandy beach,a giant tortoise dragging its shell across the sand,slow/slow_organic_0055.mp3
temporal/sustained,slow,organic,snoring,bedroom,a slow rhythmic snoring of a person in a deep sleep,slow/slow_organic_0056.mp3
temporal/sustained,slow,organic,tree,ancient forest,the heavy groan of an old oak swaying in the wind,slow/slow_organic_0057.mp3
temporal/sustained,slow,organic,scales,reptile house,a python sliding its body over a wooden branch,slow/slow_organic_0058.mp3
temporal/sustained,slow,organic,breathing,tent,a slow deep inhalation of a person in a quiet woods,slow/slow_organic_0059.mp3
temporal/sustained,slow,organic,wings,meadow,the slow fluttering of a large butterfly's wings,slow/slow_organic_0060.mp3
temporal/sustained,slow,organic,wood,carpentry shop,a dry cedar plank bending under slow pressure,slow/slow_organic_0061.mp3
temporal/sustained,slow,organic,caterpillar,garden,a silkworm chewing on a mulberry leaf,slow/slow_organic_0062.mp3
temporal/sustained,slow,organic,roots,flower bed,the snapping of thick plant roots being slowly pulled,slow/slow_organic_0063.mp3
