category,tag,domain,source,environment,scenario,file
spatial/distant,far,musical,trumpet,distant hills,a brass trumpet melody echoing from a remote mountain range,far/far_musical_0000.mp3
spatial/distant,far,musical,snare drum,foggy valley,a rhythmic snare drum cadence marching across a distant field,far/far_musical_0001.mp3
spatial/distant,far,musical,pipe organ,rural village,the faint sound of a church organ from across a wide meadow,far/far_musical_0002.mp3
spatial/distant,far,musical,tuba,snowy plateau,a low tuba blast carried by the wind over a frozen plain,far/far_musical_0003.mp3
spatial/distant,far,musical,violin,mountain pass,a solitary violin solo heard from high up a rocky cliff,far/far_musical_0004.mp3
spatial/distant,far,musical,taiko drum,misty forest,a deep drum strike thumping through a dense distant woods,far/far_musical_0005.mp3
spatial/distant,far,musical,flute,canyon floor,a high silver flute trill originating from the top of a gorge,far/far_musical_0006.mp3
spatial/distant,far,musical,gong,monastery walls,the strike of a large bronze gong from a remote hilltop temple,far/far_musical_0007.mp3
spatial/distant,far,musical,piano,empty estate,a piano arpeggio played in a house on the opposite side of a lake,far/far_musical_0008.mp3
spatial/distant,far,musical,bagpipes,highland moor,the drone of bagpipes approaching from the horizon,far/far_musical_0009.mp3
spatial/distant,far,musical,cello,coastal cliff,a cello vibrato drifting from a seaside balcony far below,far/far_musical_0010.mp3
spatial/distant,far,musical,acoustic guitar,desert camp,a steel-string guitar strumming by a campfire across the dunes,far/far_musical_0011.mp3
spatial/distant,far,musical,tambourine,festival grounds,the faint jingle of a tambourine from a parade blocks away,far/far_musical_0012.mp3
spatial/distant,far,musical,harmonica,railroad tracks,a harmonica blues note from a train departing in the distance,far/far_musical_0013.mp3
spatial/distant,far,musical,bells,clock tower,the tolling of a heavy bronze bell from the center of town,far/far_musical_0014.mp3
spatial/distant,far,musical,banjo,riverbank,a banjo roll drifting across a wide river at night,far/far_musical_0015.mp3
spatial/distant,far,musical,celesta,botanical garden,a delicate celesta chime from a distant greenhouse,far/far_musical_0016.mp3
spatial/distant,far,mechanical,locomotive,open prairie,a steam locomotive whistle blowing at a far crossing,far/far_mechanical_0017.mp3
spatial/distant,far,mechanical,chainsaw,pine forest,a chainsaw motor idling deep in a wooded valley,far/far_mechanical_0018.mp3
spatial/distant,far,mechanical,jackhammer,city outskirts,the rhythmic pounding of a jackhammer from a distant bridge,far/far_mechanical_0019.mp3
spatial/distant,far,mechanical,jet engine,cloudy sky,the low rumble of a passenger plane flying at high altitude,far/far_mechanical_0020.mp3
spatial/distant,far,mechanical,tractor,farmland,a diesel tractor engine chugging in a remote wheat field,far/far_mechanical_0021.mp3
spatial/distant,far,mechanical,siren,urban center,a mechanical siren wailing from several neighborhoods away,far/far_mechanical_0022.mp3
spatial/distant,far,mechanical,wind turbine,grassy ridge,the rhythmic whoosh of a massive blade from the valley floor,far/far_mechanical_0023.mp3
spatial/distant,far,mechanical,printing press,industrial park,the muffled thumping of a factory press through heavy walls,far/far_mechanical_0024.mp3
spatial/distant,far,mechanical,lawnmower,suburban park,a gasoline lawnmower humming from the end of a long street,far/far_mechanical_0025.mp3
spatial/distant,far,mechanical,crane,shipyard,the mechanical groan of a dock crane across a harbor,far/far_mechanical_0026.mp3
spatial/distant,far,mechanical,steam hammer,foundry district,the heavy impact of an industrial forge from blocks away,far/far_mechanical_0027.mp3
spatial/distant,far,mechanical,winch,fishing pier,the ratcheting of a boat winch heard from a coastal path,far/far_mechanical_0028.mp3
spatial/distant,far,mechanical,manual drill,construction site,the high-pitched whir of a drill from a skyscraper rooftop,far/far_mechanical_0029.mp3
spatial/distant,far,mechanical,propeller,hangar bay,a small airplane engine warming up at the far end of a runway,far/far_mechanical_0030.mp3
spatial/distant,far,mechanical,gears,clock tower,the mechanical ticking of a giant clock heard from the street,far/far_mechanical_0031.mp3
spatial/distant,far,mechanical,quarry drill,limestone pit,a stone drill vibrating deep within a rock excavation,far/far_mechanical_0032.mp3
spatial/distant,far,mechanical,excavator,quarry,the rumble of a heavy bucket hitting stone in a deep pit,far/far_mechanical_0033.mp3
spatial/distant,far,environmental,thunder,plains,a rolling thunderclap from a storm on the horizon,far/far_environmental_0034.mp3
spatial/distant,far,environmental,waterfall,tropical jungle,the constant roar of a massive waterfall deep in the bush,far/far_environmental_0035.mp3
spatial/distant,far,environmental,ocean,sand dunes,the low-frequency boom of waves hitting a shore miles away,far/far_environmental_0036.mp3
spatial/distant,far,environmental,wind,canyon,a gust of wind howling through a remote mountain fissure,far/far_environmental_0037.mp3
