category,tag,domain,source,environment,scenario
Harmonic/Resonant,resonant,Musical,cello,stone crypt,a cello bow drawing a deep note across the C string in a stone crypt
Harmonic/Resonant,resonant,Musical,gong,temple,a large bronze gong vibrating after a heavy strike in a mountain shrine
Harmonic/Resonant,resonant,Musical,piano,ballroom,the low strings of a grand piano ringing with the sustain pedal held down
Harmonic/Resonant,resonant,Musical,pipe organ,cathedral,a pipe organ holding a low pedal note that vibrates the floor
Harmonic/Resonant,resonant,Musical,timpani,concert hall,a timpani drum being struck with a soft felt mallet in an empty hall
Harmonic/Resonant,resonant,Musical,didgeridoo,cave,a didgeridoo maintaining a deep drone in a limestone cavern
Harmonic/Resonant,resonant,Musical,harp,museum,the resonance of a harp soundbox after a low string is plucked
Harmonic/Resonant,resonant,Musical,handpan,garden,a steel handpan being struck in the center in a quiet stone garden
Harmonic/Resonant,resonant,Musical,bass drum,canyon,a concert bass drum strike echoing off the walls of a rocky canyon
Harmonic/Resonant,resonant,Musical,marimba,studio,the low wooden bars of a marimba ringing after being hit with yarn beaters
Harmonic/Resonant,resonant,Musical,trombone,underpass,a trombone playing a brassy blast under a concrete bridge
Harmonic/Resonant,resonant,Musical,singing bowl,shrine,a crystal singing bowl being rubbed with a mallet to create a roar
Harmonic/Resonant,resonant,Musical,sitar,temple,the sympathetic strings of a sitar vibrating during a slow passage
Harmonic/Resonant,resonant,Musical,bells,square,massive iron church bells tolling in a city square
Harmonic/Resonant,resonant,Musical,double bass,vault,a double bass being bowed with heavy pressure in a concrete vault
Harmonic/Resonant,resonant,Musical,accordion,meadow,the air rushing through the internal reeds of an accordion
Harmonic/Resonant,resonant,Musical,harmonica,porch,a harmonica playing a long draw note through cupped hands
Harmonic/Resonant,resonant,Musical,viola,chamber,a viola playing a rich melodic line in a wood-paneled room
Harmonic/Resonant,resonant,Mechanical,iron pipe,factory,a long hollow iron pipe being struck by a metal wrench
Harmonic/Resonant,resonant,Mechanical,water tank,basement,an empty metal water tank being tapped with a hammer
Harmonic/Resonant,resonant,Mechanical,boiler,laundry room,a large industrial boiler rumbling during a heating cycle
Harmonic/Resonant,resonant,Mechanical,elevator shaft,warehouse,a service elevator cable rattling in a hollow concrete shaft
Harmonic/Resonant,resonant,Mechanical,gears,mill,massive wooden gears groaning as they turn in a watermill
Harmonic/Resonant,resonant,Mechanical,piston,engine room,a steam piston cycling rhythmically inside a hollow metal housing
Harmonic/Resonant,resonant,Mechanical,winch,mine,a winch ratchet clicking inside a deep underground cavern
Harmonic/Resonant,resonant,Mechanical,crane,shipyard,a gantry crane's metal joints creaking at a quiet shipyard
Harmonic/Resonant,resonant,Mechanical,shutter,parking garage,a rolling metal security shutter being slammed into the pavement
Harmonic/Resonant,resonant,Mechanical,turbine,dam,the high-pitched whine of a turbine inside a concrete structure
Harmonic/Resonant,resonant,Mechanical,pump,station,a high-pressure water pump vibrating in an underground bay
Harmonic/Resonant,resonant,Mechanical,lathe,workshop,a lathe tool biting into a spinning hollow brass tube
Harmonic/Resonant,resonant,Mechanical,drill,garage,a drill bit tip vibrating inside a hollow cinder block
Harmonic/Resonant,resonant,Mechanical,fan,warehouse,a massive industrial fan whirring in a high-ceilinged bay
Harmonic/Resonant,resonant,Mechanical,clock tower,square,the internal striking mechanism of a clock hitting a bell
Harmonic/Resonant,resonant,Mechanical,pulley,barn,a rope pulley creaking as it lifts a heavy load in a loft
Harmonic/Resonant,resonant,Mechanical,hammer,forge,a sledgehammer striking a solid steel anvil in a stone forge
Harmonic/Resonant,resonant,Mechanical,winch,dock,a metal winch drum ringing as the cable is pulled tight
Harmonic/Resonant,resonant,Environmental,thunder,plains,a low-frequency roll of thunder echoing across a vast plain
Harmonic/Resonant,resonant,Environmental,ice,lake,the resonant boom of a thick sheet of ice cracking on a pond
Harmonic/Resonant,resonant,Environmental,sea cave,coast,waves slamming into the back of a hollow rock chamber
Harmonic/Resonant,resonant,Environmental,echo,canyon,a sharp yell reflecting off a sheer cliff face in a valley
Harmonic/Resonant,resonant,Environmental,waterfall,cave,a waterfall crashing into a deep pool inside a limestone cavern
Harmonic/Resonant,resonant,Environmental,geyser,plain,steam roaring from a geothermal vent on a volcanic field
Harmonic/Resonant,resonant,Environmental,wind,tunnel,wind howling through a long concrete pedestrian tunnel
Harmonic/Resonant,resonant,Environmental,mud pot,basin,a large mud bubble popping in a hollow volcanic crater
Harmonic/Resonant,resonant,Environmental,lava,volcano,gas bubbles popping in a deep magma vent
Harmonic/Resonant,resonant,Environmental,fire,hearth,a large log popping and crackling in a stone fireplace
Harmonic/Resonant,resonant,Environmental,rocks,river,boulders shifting under the surface of a deep silty river
Harmonic/Resonant,resonant,Environmental,avalanche,slope,the distant thundering roar of a snow slide on a peak
Harmonic/Resonant,resonant,Environmental,river,gorge,a river current rushing through a narrow rocky passage
Harmonic/Resonant,resonant,Environmental,stalactite,cave,a single drop of water hitting a stone basin in a cavern
