category,tag,domain,source,environment,scenario
Clarity/Definition,clear,Musical,triangle,open meadow,a single strike on a polished steel triangle in the open air
Clarity/Definition,clear,Musical,piccolo,botanical garden,a high-register trill played on a silver piccolo near a fountain
Clarity/Definition,clear,Musical,harp,sunroom,a single nylon harp string being plucked and released
Clarity/Definition,clear,Musical,glockenspiel,primary school,a wooden mallet hitting a high-pitched glockenspiel bar
Clarity/Definition,clear,Musical,mandolin,mountain trail,a steel string being plucked on a mandolin
Clarity/Definition,clear,Musical,handbell,chapel,a silver handbell being rung once in a quiet room
Clarity/Definition,clear,Musical,celesta,ballet studio,a single note on a celesta with metal resonators
Clarity/Definition,clear,Musical,violin,art gallery,a staccato note played on the E string of a violin
Clarity/Definition,clear,Musical,tambourine,park,a single shake of a tambourine with silver jingles
Clarity/Definition,clear,Musical,xylophone,meadow,a hard rubber mallet striking a wooden xylophone key
Clarity/Definition,clear,Musical,trumpet,rooftop,a short ascending run on a brass trumpet
Clarity/Definition,clear,Musical,flute,canyon,a staccato note on a silver flute echoing once
Clarity/Definition,clear,Musical,banjo,riverbank,a sharp pluck on a wire banjo string
Clarity/Definition,clear,Musical,wind chimes,porch,thin glass wind chimes clinking in a light breeze
Clarity/Definition,clear,Musical,kalimba,bedroom,a metal tine on a kalimba being flicked sharply
Clarity/Definition,clear,Musical,ukulele,beach,a plastic ukulele string being strummed upward once
Clarity/Definition,clear,Musical,synthesizer,laboratory,a digital oscillator generating a pure sine wave
Clarity/Definition,clear,Mechanical,clock,library,the ticking of a small brass clock mechanism on a wooden shelf
Clarity/Definition,clear,Mechanical,sewing machine,tailor shop,a vintage sewing machine needle hitting a metal plate
Clarity/Definition,clear,Mechanical,gears,watchmaker,the spinning of tiny stainless steel gears in a pocket watch
Clarity/Definition,clear,Mechanical,bicycle bell,paved path,a bicycle bell being flicked twice
Clarity/Definition,clear,Mechanical,typewriter,study,the metal typebar of a typewriter striking a paper platen
Clarity/Definition,clear,Mechanical,camera,photography studio,the shutter of a 35mm film camera firing
Clarity/Definition,clear,Mechanical,drill,workshop,a high-speed hobby drill spinning in a quiet room
Clarity/Definition,clear,Mechanical,winch,dockside,a small metal winch ratcheting quickly under tension
Clarity/Definition,clear,Mechanical,stapler,office,a desktop stapler clicking through a single sheet of paper
Clarity/Definition,clear,Mechanical,lock,foyer,a brass key turning in a well-oiled tumbler lock
Clarity/Definition,clear,Mechanical,fan,server room,a small plastic cooling fan spinning at high revolutions
Clarity/Definition,clear,Mechanical,zipper,dressing room,a metal zipper being pulled up quickly on a jacket
Clarity/Definition,clear,Mechanical,metronome,music room,a mechanical metronome ticking on a hardwood floor
Clarity/Definition,clear,Mechanical,cash register,diner,the bell of an antique cash register ringing
Clarity/Definition,clear,Mechanical,timer,kitchen,the mechanical ding of a plastic kitchen timer
Clarity/Definition,clear,Mechanical,latch,vault,a spring-loaded metal latch snapping into place
Clarity/Definition,clear,Mechanical,telegraph,museum,the rhythmic clicking of a telegraph key
Clarity/Definition,clear,Environmental,ice,frozen lake,a thin sheet of ice cracking on a windless day
Clarity/Definition,clear,Environmental,rain,greenhouse,a single raindrop hitting a glass pane
Clarity/Definition,clear,Environmental,wind,canyon,wind whistling through a narrow rock fissure
Clarity/Definition,clear,Environmental,hail,carport,small hailstones bouncing off a metal car roof
Clarity/Definition,clear,Environmental,leaves,garden,dry maple leaves skittering across a paved road
Clarity/Definition,clear,Environmental,geyser,thermal park,a small vent of steam hissing from a rock
Clarity/Definition,clear,Environmental,stalactite,limestone cave,a single drop of water hitting a shallow pool
Clarity/Definition,clear,Environmental,snow,tundra,the crunch of frozen crusty snow under a boot
Clarity/Definition,clear,Environmental,stream,mountain creek,water bubbling over a bed of quartz crystals
Clarity/Definition,clear,Environmental,electricity,power station,the crackle of static electricity on a dry day
Clarity/Definition,clear,Environmental,shell,seashore,the clinking of broken seashells in the surf
Clarity/Definition,clear,Environmental,twigs,pine grove,a small dry twig snapping under a light footstep
Clarity/Definition,clear,Environmental,frost,arctic waste,the delicate splintering of frost on a window pane
Clarity/Definition,clear,Environmental,cicada,orchard,the high-frequency buzzing of a single cicada
Clarity/Definition,clear,Environmental,pebble,canyon,a small stone bouncing off a granite ledge
Clarity/Definition,clear,Environmental,bubbles,pond,air bubbles popping on the surface of still water
Clarity/Definition,clear,Environmental,reeds,marsh,dry reed stalks rattling together in a breeze
Clarity/Definition,clear,Organic,birds,canopy,a canary singing a sequence of high warbles
Clarity/Definition,clear,Organic,bones,museum,two small dry bones clinking together
Clarity/Definition,clear,Organic,teeth,dentist office,teeth chattering rapidly from the cold
Clarity/Definition,clear,Organic,nails,coffee shop,fingernails tapping on a Formica tabletop
Clarity/Definition,clear,Organic,wings,garden,the rapid fluttering of a hummingbird's wings
Clarity/Definition,clear,Organic,whistle,sports field,a human whistling a sharp piercing note
Clarity/Definition,clear,Organic,voice,nursery,a baby's high-pitched babbling in a quiet room
Clarity/Definition,clear,Organic,bark,kennel,the sharp yapping of a small terrier
Clarity/Definition,clear,Organic,hair,salon,the snip of sharp scissors cutting through dry hair
Clarity/Definition,clear,Organic,breath,winter street,a sharp intake of breath through gritted teeth
Clarity/Definition,clear,Organic,scuttle,attic,the scratching of a small rodent's claws on wooden rafters
