category,tag,domain,source,environment,scenario
Space/Dimension,wide,Musical,orchestra,concert hall,a full orchestral chord sustaining in a large stone hall
Space/Dimension,wide,Musical,pipe organ,cathedral,a massive swell of organ pipes in a vaulted sanctuary
Space/Dimension,wide,Musical,gong,temple,the long shimmering decay of a large bronze gong
Space/Dimension,wide,Musical,choir,canyon,a polyphonic vocal ensemble singing in a deep rock gorge
Space/Dimension,wide,Musical,taiko drums,meadow,the booming resonance of multiple taiko drums in an open field
Space/Dimension,wide,Musical,harp,ballroom,a grand arpeggio on a concert harp in a high-ceilinged room
Space/Dimension,wide,Musical,bagpipes,hillside,the drone of highland bagpipes echoing across a valley
Space/Dimension,wide,Musical,church bells,plaza,the heavy tolling of bronze bells across a city square
Space/Dimension,wide,Musical,piano,gallery,a fortissimo glissando on a grand piano in an art museum
Space/Dimension,wide,Musical,french horn,mountain,a long sustained brass note echoing off a peak
Space/Dimension,wide,Musical,synthesizer,warehouse,a slow-sweeping analog pad in a large industrial space
Space/Dimension,wide,Musical,marimba,gymnasium,the resonant decay of a marimba chord in a large arena
Space/Dimension,wide,Musical,cymbals,stadium,the wash of a pair of orchestral cymbals clashing
Space/Dimension,wide,Musical,accordion,dock,a long bellows-drawn chord on a wooden pier
Space/Dimension,wide,Musical,timpani,theatre,the rolling rumble of a timpani section in a large hall
Space/Dimension,wide,Mechanical,jet engine,airport,the massive roar of a jet turbine on a sprawling runway
Space/Dimension,wide,Mechanical,steam engine,station,the heavy chuffing of a locomotive in a vaulted terminal
Space/Dimension,wide,Mechanical,turbine,dam,the deep vibrating drone of a generator in a hollow dam
Space/Dimension,wide,Mechanical,ventilation,tunnel,the continuous roar of a giant fan in a highway passage
Space/Dimension,wide,Mechanical,crane,shipyard,the echoing groan of a heavy dock crane pivoting
Space/Dimension,wide,Mechanical,boiler,cellar,the resonant roar of an industrial furnace in a large basement
Space/Dimension,wide,Mechanical,shutter,hangar,the echoing rattle of a massive metal door rolling up
Space/Dimension,wide,Mechanical,press,factory,the rhythmic thud of a hydraulic press in a large workshop
Space/Dimension,wide,Mechanical,generator,camp,the steady hum of a backup power unit in a forest clearing
Space/Dimension,wide,Mechanical,conveyor,warehouse,the continuous rattling of a long belt in a shipping center
Space/Dimension,wide,Mechanical,fountain,plaza,the complex splashing of a large multi-tier stone fountain
Space/Dimension,wide,Mechanical,pumpjack,oil field,the heavy rhythmic thumping of an oil pump on a plain
Space/Dimension,wide,Mechanical,elevator,skyscraper,the low-frequency hum of a winch in a hollow shaft
Space/Dimension,wide,Mechanical,excavator,quarry,the rumbling of a heavy diesel engine in a rock pit
Space/Dimension,wide,Mechanical,mill,foundry,the continuous grinding of large gears in an industrial plant
Space/Dimension,wide,Environmental,thunder,plains,a massive rolling clap of thunder across a flat horizon
Space/Dimension,wide,Environmental,ocean,beach,the continuous wash of heavy surf on a long shoreline
Space/Dimension,wide,Environmental,wind,canyon,the deep howling of a gale through a rock gorge
Space/Dimension,wide,Environmental,waterfall,jungle,the thundering roar of a massive tropical falls
Space/Dimension,wide,Environmental,fire,forest,the continuous crackling and roaring of a large brush fire
Space/Dimension,wide,Environmental,landslide,mountain,the massive clatter of rocks falling down a wide slope
Space/Dimension,wide,Environmental,ice,lake,the deep resonant booming of a frozen lake surface cracking
Space/Dimension,wide,Environmental,storm,coast,the heavy buffeting of wind against a lighthouse tower
Space/Dimension,wide,Environmental,avalanche,valley,the distant muffled roar of a massive snow slide
Space/Dimension,wide,Environmental,river,mountains,the powerful roar of a river in flood stage
Space/Dimension,wide,Environmental,geyser,park,the deep explosive thud of a thermal vent erupting
Space/Dimension,wide,Environmental,sandstorm,desert,the continuous hissing of wind-blown sand across dunes
Space/Dimension,wide,Environmental,mist,woods,the dampened silence of a thick fog in a valley
Space/Dimension,wide,Environmental,earthquake,valley,the deep subterranean rumble of the earth shifting
Space/Dimension,wide,Environmental,cicada,field,the shimmering drone of a million insects in a meadow
Space/Dimension,wide,Organic,elephant,savanna,the deep resonant trumpeting of an elephant herd
Space/Dimension,wide,Organic,whale,ocean,the massive melodic groan of a humpback whale underwater
Space/Dimension,wide,Organic,lion,grasslands,the powerful guttural roar of a male lion at night
Space/Dimension,wide,Organic,wolf pack,forest,the overlapping harmonic howling of wolves in a valley
Space/Dimension,wide,Organic,crowd,stadium,the massive wall of sound from a cheering audience
Space/Dimension,wide,Organic,birds,rainforest,the multi-layered chorus of a jungle at dawn
Space/Dimension,wide,Organic,bison,plain,the heavy vibrating thud of a running herd on dry earth
Space/Dimension,wide,Organic,frog,swamp,the continuous rhythmic croaking of a marsh at night
Space/Dimension,wide,Organic,bats,cliff,the flapping of thousands of wings leaving a cave
Space/Dimension,wide,Organic,monkeys,jungle,the intense overlapping chatter of a troop in the canopy
Space/Dimension,wide,Organic,human,gymnasium,a single shout echoing in a large empty arena
Space/Dimension,wide,Organic,wings,auditorium,the heavy rhythmic flapping of a large bird in a hall
Space/Dimension,wide,Organic,footsteps,cathedral,the slow echoing thud of boots on a stone floor
Space/Dimension,wide,Organic,throat,temple,the dense harmonic resonance of a monk's deep chant
Space/Dimension,wide,Organic,moose,woods,the deep resonant call of a bull moose in a valley
Space/Dimension,wide,Domestic,vacuum,hallway,the continuous heavy drone of a vacuum in a long gallery
Space/Dimension,wide,Domestic,furniture,ballroom,the echoing drag of a wooden table on a polished floor
Space/Dimension,wide,Domestic,fireplace,mansion,the deep roar of a large fire in a brick hearth
Space/Dimension,wide,Domestic,door,gallery,the heavy thud of a solid oak front door closing
Space/Dimension,wide,Domestic,stairs,attic,the slow creaking of wooden steps in a large loft
Space/Dimension,wide,Domestic,curtain,theater,the heavy rustle of thick velvet drapes moving
Space/Dimension,wide,Domestic,pool,bathroom,water splashing into a large tiled swimming pool
Space/Dimension,wide,Domestic,refrigerator,kitchen,the steady hum of a commercial fridge in a large pantry
Space/Dimension,wide,Domestic,rug,yard,the heavy thud of a large rug being beaten outside
Space/Dimension,wide,Domestic,trunk,basement,the resonant slam of a heavy wooden chest lid
Space/Dimension,wide,Domestic,clock,museum,the slow rhythmic ticking of a grandfather clock in a hall
Space/Dimension,wide,Domestic,spray,room,the continuous hiss of an aerosol can in a large space
Space/Dimension,wide,Domestic,dishwasher,dining hall,the thick splashing of water in an industrial machine
Space/Dimension,wide,Domestic,coins,lobby,the echoing jingle of coins falling on a marble floor
Space/Dimension,wide,Domestic,fan,gymnasium,the continuous deep thrum of a large industrial ceiling fan
Space/Dimension,wide,Electronic,subwoofer,club,the deep vibrating pulse of a sub-bass speaker in a hall
Space/Dimension,wide,Electronic,transformer,power plant,the massive steady hum of a high-voltage system
Space/Dimension,wide,Electronic,feedback,stadium,the intense evolving drone of guitar feedback in an arena
Space/Dimension,wide,Electronic,synthesizer,cave,a deep sub-bass sine wave echoing in a cavern
Space/Dimension,wide,Electronic,noise,warehouse,the continuous wall of pink noise in a large garage
Space/Dimension,wide,Electronic,welder,factory,the thick intense sizzle of a plasma cutter in a shop
Space/Dimension,wide,Electronic,radar,ship,the echoing ping of a sonar system in a hollow hull
Space/Dimension,wide,Electronic,static,hangar,the continuous hiss of a shortwave radio in a large shed
Space/Dimension,wide,Electronic,alarm,hospital,the rhythmic piercing beep of an alert in a long wing
Space/Dimension,wide,Electronic,server fans,datacenter,the combined deep roar of a thousand cooling units
Space/Dimension,wide,Electronic,coil,garage,the deep low-frequency hum of a large tesla coil
Space/Dimension,wide,Electronic,monitor,office,the high-frequency whine of an old CRT in a large floor
Space/Dimension,wide,Electronic,bitcrush,club,the dense textured distortion of a signal in a dance hall
Space/Dimension,wide,Electronic,signal,tunnel,a short electronic pulse echoing in a concrete passage
Space/Dimension,wide,Electronic,reverb,cathedral,the long complex decay of a digital noise burst
Space/Dimension,narrow,Musical,flute,closet,a short breathy note on a wooden flute in a small space
Space/Dimension,narrow,Musical,piccolo,booth,a piercing high-pitched note in a padded room
Space/Dimension,narrow,Musical,kazoo,cardboard tube,the buzzing of a kazoo played through a small pipe
Space/Dimension,narrow,Musical,mouth harp,mouth,the metallic twang of a jaw harp between teeth
Space/Dimension,narrow,Musical,recorder,bathroom,a shrill note on a plastic recorder in a tiled stall
Space/Dimension,narrow,Musical,harmonica,drainpipe,a high-pitched draw on a reed inside a metal tube
Space/Dimension,narrow,Musical,triangle,closet,a light tap on a small steel triangle in a tight space
Space/Dimension,narrow,Musical,kalimba,pocket,the muffled pluck of a steel tine inside a jacket
Space/Dimension,narrow,Musical,ukulele,tent,a light strum on a small ukulele in a canvas shelter
Space/Dimension,narrow,Musical,bell,tin can,the sharp ringing of a small bell inside a metal container
Space/Dimension,narrow,Musical,violin,hallway,a short pizzicato note in a narrow corridor
Space/Dimension,narrow,Musical,toy piano,drawer,a single plink on a tiny keyboard inside a chest
Space/Dimension,narrow,Musical,handpan,box,the muted resonance of a steel drum inside a wooden crate
Space/Dimension,narrow,Musical,whistle,bottle,the sound of blowing across the neck of a glass vial
Space/Dimension,narrow,Musical,string,tube,the vibration of a wire stretched through a plastic pipe
Space/Dimension,narrow,Mechanical,pipe,basement,water rushing through a narrow copper tube
Space/Dimension,narrow,Mechanical,drill,workshop,a small drill bit spinning in a tight hole
Space/Dimension,narrow,Mechanical,watch,jeweler,the tiny ticking of gears inside a ladies' wristwatch
Space/Dimension,narrow,Mechanical,piston,engine,the rapid stroke of a small cylinder in a model motor
