tag,domain,source,environment,scenario
bassy,Musical,kick drum,open stadium,a large kick drum being struck with a soft felt beater in an open stadium
bassy,Musical,double bass,jazz club,a thick open string vibrating on a double bass in a jazz club
bassy,Musical,tuba,mountain valley,a tuba playing a sustained note in a mountain valley
bassy,Musical,pipe organ,stone cathedral,a pipe organ pedal being held in a stone cathedral
bassy,Musical,taiko drum,temple,a massive taiko drum being struck with heavy mallets in a temple
bassy,Musical,gong,monastery,a large hanging gong vibrating after a heavy strike in a monastery
bassy,Musical,timpani,concert hall,a timpani drum being struck with a soft mallet in a concert hall
bassy,Musical,cello,quiet library,the thickest string of a cello being bowed slowly in a quiet library
bassy,Musical,bass saxophone,hollow shipyard,a bass saxophone playing a long note in a hollow shipyard
bassy,Musical,floor tom,pine forest,a floor tom being struck with a mallet in a pine forest
bassy,Musical,concert bass drum,street parade,a concert bass drum being struck during a street parade
bassy,Musical,didgeridoo,limestone cave,a didgeridoo being blown into a limestone cave
bassy,Musical,marimba,botanical garden,the largest wooden bar of a marimba being struck in a botanical garden
bassy,Musical,log drum,jungle,a hollowed log drum being struck with a heavy club in a jungle
bassy,Musical,kettle drum,meadow,a kettle drum vibrating after a single strike in a meadow
bassy,Musical,bassoon,dusty attic,a bassoon playing a sustained note in a dusty attic
bassy,Musical,grand piano,ballroom,the leftmost keys of a grand piano being struck in a ballroom
bassy,Musical,sousaphone,football field,a sousaphone playing a long note on a football field
bassy,Mechanical,diesel engine,dock,a massive diesel engine idling on a cargo ship at a dock
bassy,Mechanical,hydraulic press,factory,a hydraulic press moving slowly downward in a large factory
bassy,Mechanical,steam locomotive,train station,a steam locomotive chugging out of a station
bassy,Mechanical,jet engine,remote runway,a jet engine idling on a remote runway
bassy,Mechanical,industrial fan,warehouse,a massive industrial ceiling fan spinning in a warehouse
bassy,Mechanical,excavator,construction site,an excavator digging into heavy clay on a construction site
bassy,Mechanical,tugboat,harbor,a tugboat engine churning water in a harbor
bassy,Mechanical,stamping machine,scrap yard,a metal stamping machine impacting a steel plate in a scrap yard
bassy,Mechanical,grain elevator,tall silo,a grain elevator motor vibrating in a tall metal silo
bassy,Mechanical,printing press,basement,a heavy printing press running in a basement
bassy,Mechanical,elevator motor,office building,a heavy elevator motor engaging in a high-rise office building
bassy,Mechanical,oil pump jack,sandy desert,an oil pump jack thumping in a sandy desert
bassy,Mechanical,wind turbine,grassy hill,the blades of a wind turbine cutting through air on a hill
bassy,Mechanical,cement mixer,suburban street,a cement mixer drum rotating with a heavy load on a street
